,UKF296,ZH8812bulk,ZH881T1
IGFL3,,0.06918194842120827,
BMP1,0.03650296971417304,0.015584239362445929,-0.028109003154707667
NDP,0.001562284536960131,-0.07048327181945511,0.029404293089492568
TNFSF18,,-0.023506807752755578,
RTN4,-0.046251927937726166,-0.031058311172332553,0.019440803269145105
HEBP1,-0.01877853296278963,-0.01638207400986025,0.06861756138720973
WNT7B,-0.012911975293597661,-0.0028063613282690563,-0.020366673885378588
PTMA,0.015231877424805328,0.05506183494354,0.049928016093179976
CEACAM1,,0.028354233584202783,-0.01351765766452986
PDAP1,-0.0065954619595426775,-0.024332271615535684,0.0563543053304427
QDPR,-0.07994864626873242,0.06878197263937784,-0.04060697487855408
POMC,-0.024443224595555636,0.04876723799887941,0.012236507947472957
CCL18,,,-0.046551375588747355
CCL17,0.054297101915270415,-0.030052262779403066,
VEGFD,-0.022576929078920362,-0.01589512376267978,
TNFSF13,,0.03229613150619527,-0.015179423569579693
WNT5A,0.02204941256700547,0.06609914977144181,0.07524426289186247
CXCL8,0.07891707303034294,-0.030473960676237817,-0.06507180832637287
GRN,0.007586338498166098,-0.10681840378704165,-0.022235587698110553
MIA,-0.01407159227948136,0.010904098156091831,-0.005877257932418352
COL4A4,0.00022080175351215053,0.03706365683493244,0.028618133822982932
TAC1,-0.046552034526388654,,0.03934620722436898
RARRES2,-0.03789956820347678,0.031875289531585846,-0.025336852863769
FGF7,0.009252810259252182,-0.028378951724076344,0.03176527503759555
HBEGF,-0.03503778723458317,-0.0024018446183534667,0.003901231766034461
CSF3,,,-0.019379408756106446
PI3,,-0.02553429864442969,-0.018245211105470418
PCSK1N,-0.07339237880232972,-0.03449006854123883,0.009615391430218428
NTS,-0.03728470713885001,,0.007270239947527508
SFRP1,-0.011653462357353081,0.054223004601497336,0.049638677549993855
CXCL13,,,-0.03161184845612294
MICA,-0.005033106313911043,0.011684189209265554,0.04092046538182041
TG,0.0045500882983957915,,0.07737359952125246
ADA,0.0210268818995596,-0.03952412544526736,0.03896145372786466
LAMC3,0.0008681461328516173,-0.09957966793698915,0.00757201789881035
NGF,,,-0.03327020987398998
TNFSF15,,,-0.012034280134144542
HMGB1,-0.03270553787283444,0.10087722600427163,0.03180261620365931
ITGB3BP,-0.05677163653151941,-0.06105531180276016,0.02331148870098075
AANAT,-0.025676503598472403,-0.03717368491908198,
RELN,0.07762284008704558,-0.034790126530589424,-0.014536106219093087
IL15,0.10204103850031958,-0.0011694902892297138,0.022262214688208652
BSG,-0.010674525237326196,-0.08439339305540422,-0.02609927269439936
ADAMTS3,-0.017089045279157576,0.025018354543195214,-0.00816756875003865
CD34,0.06528106405294723,-0.04469935025538107,0.039423210019073215
PLAT,-0.02206300396345172,-0.03764215501114017,0.0463762288918326
NTF3,0.03913043630899034,,-0.0033810058964369605
CKLF,-0.027701333647745068,0.021068506760298224,0.04526939090707622
CD24,-0.0034748724024897815,0.020789931549306542,0.04934221253885445
HSP90AA1,-0.06134590024528927,0.014489865279381783,-0.02966155506261685
BMP4,-0.00020575840612885527,-0.06574704652112084,0.030962676954300248
SCGB3A1,0.032586608403336756,,0.020356490518601725
IGFBP4,0.04392055995797826,-0.047648448741184034,-0.02194492187739877
RSPO4,0.06096847027483432,,0.07380534262832926
LEFTY2,-0.023748677188473573,-0.02034103149147966,-0.022888566634103626
ANGPTL2,0.027328864450160018,-0.02555135573022477,-0.0008729350964573379
LRIG2,0.008383072065061907,0.06099177139316667,0.010902850228440366
ICOSLG,-0.012319106529489547,0.0972150040017312,0.006313087945645248
WIF1,0.025867293227306406,,0.031922188319322115
NPPC,0.04768765504494863,-0.03526698570745257,0.002283891179758537
LYZ,0.07870456697763158,-0.02965673381881643,-0.04127612267954315
EREG,,,-0.02096285336347065
SPTAN1,0.01420072442776085,-0.07610331785036052,0.023059053937471048
PTH2,,,-0.026766334139950953
LIPC,,-0.04328844595526407,
COL8A1,-0.028444061793380254,-0.02303622867322643,0.03875826922523185
GSTM2,0.025737144816045807,1.0829701504396858e-05,0.005913953090513144
SPX,-0.029491560766101654,0.0035421579661347557,0.023735846005835694
MFGE8,-0.035709782741593324,-0.05122209293356928,0.009056607154488083
TGFA,0.0645250989445332,-0.02146839109647569,0.041906777159444276
SLIT2,0.0022574047540199066,0.00016030285556627882,-0.013029555464157076
PLTP,-0.0110958220401093,-0.021244101990929885,-0.023654592488084075
APOD,0.020520119976670328,0.0347764945332828,0.029315614005042196
B2M,0.05552111916970687,-0.06763161248232742,0.017518784637151247
OMG,-0.05731906881736892,0.04677304856483518,0.0622580494481103
CXCL3,0.02689290181579975,-0.02617772682198136,0.012388969962287364
CXCL10,-0.009931868788761587,0.02172982032389429,-0.022997528964617913
RSPO3,-0.014549879469829307,,-0.015803780258708915
CORT,-0.024067083580923125,,0.04079002903652923
NCAN,-0.020071472352203308,-0.04933072826431746,0.03393010123074872
PRG4,,,0.016706525102555405
TGM2,0.0100134457926398,-0.055366027977697775,0.02115616320850787
VEGFC,0.04707279474963665,0.028414904259671456,0.07697526860382543
WNT6,,,-0.022337013991709707
NRG4,0.026347513824341886,0.02691347483755046,-0.02222530473057149
PMCH,,,-0.012796412833528368
COL9A1,2.916257609285295e-05,-0.026870128772326547,0.01797124170860218
GDF11,0.021391101529050792,-0.03746164990888348,-0.013545020669644057
SORBS1,-0.020730169444777218,0.052232319208879836,-0.035778361949529956
DLL1,0.03127827230735729,-0.0025891111718605456,0.03381294035590991
TLN1,-0.04727240675000079,-0.0031436488134346983,-0.07910669085888858
COL2A1,,,-0.02695770517852749
SHH,0.04701632859708258,-0.02700029387075121,-0.02163023158482847
PON2,0.08070634625178298,0.002600415021872129,0.006518515853721474
ICAM5,0.03710604614427047,,0.02248438945525154
HPX,-0.021658379711199872,-0.03717366969586478,-0.013929488962172143
SFRP2,0.006100574885305561,0.06583010268046931,0.01343438724350041
CD70,,,0.027414107360243526
HP,0.011022780624343342,0.025826442120134147,0.022662411521019964
CXCL2,-0.0018501034777577666,0.036548866783675554,-0.0062904394542900345
NPPB,,,-0.019125561548563298
CCK,0.00305162795052073,-0.040463940195821384,0.0013856106299167915
SEMA6A,-0.01673585944440123,-0.029293067894225484,-0.015383578327200848
IRAK4,-0.03781843786323246,0.026871441926081676,0.017075586642597018
GSTP1,-0.04556936316703644,0.027471577715561663,0.018143862867546157
VCAM1,0.0032055999694912698,0.05991483928783967,-0.040864575542592346
NXPH3,-0.026127446722996765,0.010708046801069534,-0.011173374824054309
MTMR4,0.016715296611643962,-0.005598211256298102,0.015979388478865916
LAMC2,,-0.0268069207522137,-0.012420914611446841
IL10,,0.014742864530242272,0.01733583525500662
SEMA4D,0.04401078792340166,0.03642612715509912,-0.0130101796242598
TRH,,-0.03141428091625183,-0.031137355859051113
SEMA6D,0.005306901291580214,0.054936733262293994,0.036061133386960924
CEL,,0.008864222825701323,0.08796927197301568
PDCD1LG2,0.027986744808910502,-0.05183121116243384,0.01980196469248996
SPINT1,0.0222268932547429,0.02012024074806631,0.0572731109321392
CTHRC1,0.0050629022757517446,-0.049756877801472754,0.04586465670441662
PODXL,-0.0520384222150265,0.02541173399922591,0.09459960275103602
JAM3,0.01977476156047618,0.06834980899748898,0.026988694561026677
TGFB2,-0.008161284552519556,0.03574138586279354,0.03616842169675705
COL18A1,0.03249302756265567,-0.044436027566694375,-0.0415452353486682
NODAL,,-0.0024850530342313865,-0.014204247444002874
INHBB,0.035123098385516985,-0.03719591059795551,-0.03429370423135764
ARF4,-0.021118510309000582,-0.0087203873983929,-0.0159286432411678
CXCL14,0.06557522018831441,-0.06762109222035245,-0.017827893622567283
LIF,-0.025676503598472403,0.07142240226365684,0.030000605581592194
IL17B,,,-0.017671403707761723
MMP1,,,-0.012796411820130773
MATN1,,-0.027116495824537065,-0.01821227863533342
ADAM28,0.006381087806067768,0.09126357745306972,-0.007533724995519715
TCN2,-0.031146007144715118,0.032267153072733215,0.01839349508086586
THPO,-0.01571986399886919,,-0.015798308163063705
CUBN,0.047283848345923155,-0.0012422225844569397,0.08728221165148657
TIMP3,0.02311103569275559,-0.0441958004470635,0.006168454913755264
PIGF,0.026608304026417263,0.10267123236964856,0.023487286874813003
CRH,0.02111175105582545,-0.021726281625547423,-0.014219519461640264
BDNF,-0.008890749728082278,-0.058097327867264195,0.013860844717812137
CCL5,0.060959325589105336,-0.02020653468262134,-0.03219924768474278
GAD1,-0.013764530093930772,-0.06426440597263292,0.030696063774473988
COL14A1,-0.03499794165526102,0.05750897141952157,-0.017067500075661136
HLA-A,0.002222518927572994,-0.08747145107521723,-0.012178098495926796
FGF18,,,0.07830305784630129
ADM,-0.05790162576442878,0.033010757765238895,0.0021500153491044306
CCL15,-0.018176635238281485,,
GNAI2,-0.011392676285078169,-0.003969465944935937,0.017541471887548545
HDC,0.019643846394041667,,
COL11A1,0.002958028063224122,-0.023827990806673156,-0.03600811480696686
NUCB2,0.01773458729222077,-0.009152270313103958,0.037426447303799334
CXCL1,0.034777017892012076,-0.040760052977875806,0.033198928371462266
VCAN,-0.02507198982453946,0.0357084338948839,0.0027965421571768657
MMP7,0.028903282749203327,,0.016470779761100767
PTPN6,0.06038754127571137,0.019373187135340426,0.05698639901967213
PTGS2,0.003268367947004655,-0.033522895083617686,0.01415580558811667
CD58,0.004782514072539626,0.030071061249069525,0.01641959921007616
TNFSF14,-0.011524591503180399,0.035047529361677314,-0.018477347097953862
CNTN4,0.05818099014008519,0.04275849116578632,-0.008299222348494001
INSL3,,,-0.018477345312744618
BTLA,0.029513970643547164,,
MFNG,0.03203706356264745,0.005473430535032404,0.028430259404747138
ICAM1,-0.014819344454173423,-0.004779928507018299,-0.003146237907589583
PROS1,0.0371247791715195,-0.1234555588887829,-0.028644970729135272
CLCF1,-0.02204869798130789,0.008302966588212874,-0.017548809932617235
PSAP,-0.012581294514068891,-0.05966820360110696,-0.03525762298220557
EFEMP1,0.024759450791028766,-0.018795865990134844,-0.00745422384092785
C1QTNF1,-0.04089122108397151,0.0029017096542981132,0.01761606152457116
ALB,-0.015712361181109052,-0.04945624651721324,-0.019100435602696884
CCL13,,,-0.020726182288467714
EFNA3,0.031567483174925685,0.01315731493029158,0.003512725100719719
DRAXIN,0.05773583560307834,0.0096111114177506,0.01936816246856456
RAET1L,-0.004040550724572307,,-0.02244825172596512
NPTX2,0.04723707081054809,-0.0517334661854617,0.00866634523208499
FGF11,-0.03697612980240283,-0.01126036578559606,0.0401112230528108
CD59,-0.012956337597800717,-0.08146495961534812,0.0043835013230846655
