,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.021805326141170717,,,,,-0.021684179360926127,,-0.02018781237897294,
BMP1,0.053754197483088885,-0.0005653193874875903,0.029122335599903158,0.09298308816370295,-0.015565383972375977,-0.01629978079384754,0.13526244910786206,0.018136606280783375,0.0678209852019477,-0.10894217469686455,0.04074799381575961,0.05606994071723704,-0.036269648473441024,0.03969001212775586,0.023079772167328667
NDP,0.09132577656812808,0.044671312413204864,0.03133283937706832,0.04869960731745785,0.035116198930777984,0.039048927414235574,0.019762367049096945,0.014195647339366329,0.0022643047609975106,0.01846287529754752,0.044554260360356465,0.029654058544637756,-0.013981410554381464,0.07424404737508568,0.10012751731907145
TNFSF18,0.008973480035696677,-0.01732123843935671,-0.01244115352328204,,,-0.013117670802506653,-0.020308453134634172,0.04044390909286029,,-0.04262011286384091,,0.04651937994037486,,-0.010362357824543337,-0.028558123873589046
IL36G,,,,,,,,,0.08063375502483783,,,,,,
RTN4,-0.034068836922051815,-0.01673003247327475,-0.044801231592952157,-0.007507050400818472,0.044164761587082546,-0.040222724879879816,-0.14475301222303033,-0.03832851427086841,-0.029477207195023017,0.024400039745600538,-0.058451268158526776,-0.043962802397761146,0.036031936178795215,-0.013548320610346588,0.035142504511661295
HEBP1,0.04814296094406925,0.021062454558112946,0.01698751611180168,0.0069352436518633305,0.0009835305464891333,0.05734986311867254,0.05837125212414139,0.002030180170644171,-0.010308542551234902,-0.053816983217154064,0.04110313606043571,0.030182532998906688,-0.0714548932625507,0.009250467935030749,0.043195778763525185
WNT7B,0.11385956429844467,-0.016570609877617964,0.03642190516347164,-0.0303504374576324,0.016755981199079395,0.0467478993674682,-0.07711386938235915,0.04217645952627782,-0.015547030060268677,,-0.04593818504370299,0.04341116447156727,-0.004220246173569255,0.015034653778807415,-0.04394933010135923
PTMA,-0.04950716180757598,-0.026710612066034575,0.0662851633823158,-0.017579233514707242,-0.056238074157008607,0.04568009288632801,-0.043098122222135875,-0.04636052138572186,0.07770136528774259,-0.0401665056894449,-0.1057334541688949,-0.06846302082134942,0.03232613521910285,-0.025442045396717426,0.021343551706477226
FASLG,,,,,,,,,,,,,,0.02986985521226453,
CEACAM1,,-0.02360560612560661,-0.013910205948900658,0.0019578156781013454,0.06616916365752226,,0.042068963309106706,-0.03459592756221439,,0.013205740546116508,0.11319854227916021,0.1063714931281925,-0.020068260026313085,-0.006835557464631086,
PDAP1,0.017683318848805658,0.030334903967411887,0.04123507180690886,0.03611301464328411,-0.02367128463269208,0.0008866575946960593,0.11700012650337964,0.01276469263901057,0.03532968440752279,-0.04220339895675649,0.014702734747286804,-0.036193976986137424,-0.056030887030519574,-0.01858699504451188,-0.010540531254803403
