,MGH258,UKF259,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
HSP90AA1,-0.015877078084033765,-0.007926252468197227,-0.05186918599461314,-0.04944966103767402,-0.0659352219696003,-0.0734130679985024,-0.005458044082888499,0.0356979574461033,-3.4688952090949236e-05,-0.07881572191970777
BMP4,0.08990625710128076,-0.0049325719245604275,-0.013372313781721728,-0.00036385948036116313,-0.017373513430716036,0.01993653908588024,-0.04059168764941498,0.0028365845469222805,-0.022279076522185096,0.04694612888855853
SCGB3A1,,,,0.02761657616696023,0.0490129983171339,0.03897813405406971,0.03152924539179615,,0.03580627703191546,0.00044264388524392623
IGFBP4,-0.016202114613131965,-0.009386274075648116,-0.036408453570147804,0.03957452944130179,0.05792497311500859,0.05397261783640725,0.00995933354604715,0.015195775575186893,0.07397404722509002,0.05916131254472987
RSPO4,,0.05764571396546234,-0.01288130058431987,,,-0.054531563138613334,,,-0.016830646003687517,-0.009769236236377881
LEFTY2,0.16286773358201595,0.01845555597531554,0.0068093996664375135,-0.01770354392767448,0.008200952391515227,,-0.0164387012232871,0.08076007741595667,-0.022888566634103626,0.10494586053749612
PF4,,-0.009676866800179585,,,,,,,,0.062142952926961204
ANGPTL2,-0.0033622440826025675,0.029952190942914108,0.010420119418504957,-0.02899508986540179,0.03748339166913826,0.02057544060814714,0.002886938306200565,0.05981039168552292,-0.00015979500649938977,0.030762210559763036
LRIG2,-0.045991622142454364,-0.006774869520894207,0.038204761525455044,0.03180635534460926,0.05865276951029366,0.06000498255362665,0.02194510164323602,0.05620428716304851,0.0006076282100415818,-0.031239970695738094
ICOSLG,0.02710730081806756,-0.038296359114488414,0.025635014059796984,0.03278232230232702,-0.042571945072445674,0.057036843004935195,-0.011334106877342752,-0.004250910020028851,0.00637873983465281,0.030745033049195944
WIF1,,,-0.009940194558522877,,,,,,-0.015645715708879966,
NPPC,-0.022527057398188617,0.004231173498082986,0.03828139625151076,,-0.024874576118896517,0.051760308470139134,-0.014042195964611547,0.1371797767055377,0.047967731100670014,
LYZ,0.012226717322322254,-0.03641383126021856,0.02843752612160359,0.07015670830884602,0.012229934051448949,0.06368109749139167,0.015978849902209078,0.007920493601249341,-0.01135428832355202,0.0763807158973206
EREG,,,,0.01680423799733496,,,0.021278185245550033,,-0.02096285336347065,0.04210570481278421
SPTAN1,0.0054321283982227755,0.008851423770996885,-0.025798965734955354,0.10954773622487264,-0.00038945093335826986,-0.0003534059189758958,-0.03036393325198507,0.06613486834615308,-0.013550209882183641,0.012209763499913104
PTH2,,,,,,,,,-0.012010968107165317,
LIPC,-0.02660884882393383,-0.01739005034734445,-0.011905032950994918,-0.025884605785077314,-0.026376941709973085,-0.03920357379814798,,-0.030602273221086943,,0.2286128872873432
COL8A1,0.01957513544300388,-0.03727933764235624,0.03379107871370928,-0.045180593558043096,-0.036890814122798286,0.04207740867390946,-0.012456577407901636,0.07754193743860004,0.022850771709570266,0.0192519785432327
GSTM2,0.04965520315669352,-0.011222840682917035,-0.010027166906686777,0.04649787786107376,0.07109451768163033,-0.0018128241738583886,0.007214159309025248,-0.02064186751527644,0.00962596199295582,0.07247022494157195
SPX,-0.015336947917548263,-0.006250367800045958,0.0231213096593989,,-0.032976022269239645,,0.023836702675801853,-0.044129087258819165,-0.0224387024349715,0.026468803036617482
MFGE8,-0.00649620667738642,-0.02600522208520283,0.06840040351246351,0.04309120465549082,0.11783424153881603,0.0968453311041306,0.023805271001392573,0.040036849088311115,-0.035833293199506955,0.09782831740163198
TGFA,0.03898312741510566,-0.006507657346395634,-0.025690556665182038,0.055152795107638646,-0.03510103475839714,0.05372224441334332,0.030808483169792088,-0.09206846526187056,0.05733029128222729,0.05946910670774583
SLIT2,-0.02138903220461884,0.013610711470020314,0.003779782366493884,0.03714032286394431,-0.006741424972968753,0.04323040171126921,0.0494406117579136,-0.02359880658366271,0.029380935509684576,0.08231815736675233
PLTP,-0.031830698184178885,0.0054154062240474015,0.014583445905310365,0.041605863915871746,0.01971009781232477,-0.057942728359101685,0.027961865260773138,0.04433353573212924,0.08149149580823034,-0.010574145499839467
APOD,-0.016021439727962123,-0.02757304945967614,-0.0037749307202647694,0.03765119002924496,-0.0811324217025666,0.003214822094280228,-0.009014221203369659,-0.04299721981859279,-0.031025436583068524,0.005796572669742872
B2M,0.002735318174778103,-0.04490653143745567,-0.00014388454090323983,0.08517619612116813,0.027948605374187405,0.15993624746387158,0.013282866151973651,0.037489740714817074,0.039899994967696154,0.027208534984218387
OMG,-0.05772814234099545,-0.00875974345981133,0.01259706976367639,0.016418539445505382,-0.05940127534866864,-0.05154119136674601,0.009811415981302696,-0.07094511339250688,-0.004392610478876538,0.11047531804346102
CXCL3,-0.016736859522702395,-0.04437458800285698,-0.02703854615553783,0.15402858006313,-0.02563574517962597,,-0.023905244626360567,0.008188273831074191,0.0660273637148409,0.03021002479928984
CXCL10,-0.01838756105342198,-0.04310515080342211,0.007782515201079976,-0.017864254348569607,0.0002073156497089672,-0.012222030668221015,0.06718621141731985,-0.0249315906620512,-0.022997528964617913,0.06895035598240441
RSPO3,,-0.011237792921127093,-0.004664038874704377,,,,-0.0010374050579087881,,0.013344347173932344,-0.014249893893108625
CORT,-0.020783306976091955,0.047887437250788846,-0.037271427908998664,,,,-0.002175207803082373,,-0.0002724455276899221,
NCAN,0.03312489983267844,-0.007588965308050736,-0.007924214053428514,,-0.01941854304735865,0.05304721953889303,-0.02695038368970868,0.06693676275881145,-0.0781588493787955,-0.06796796990385731
PRG4,,-0.011091216983586775,-0.016461790778581637,,,,-0.021210045628408804,,0.009453455324396651,0.09211771842424006
ZG16B,,0.05406123778798303,0.022467603816360544,0.1595452531824495,,,,,,-0.01776808411281868
TGM2,0.05722586971903459,0.030642526691359678,-0.01305358812005166,0.008507588870490437,0.0321291817810226,0.023279960498924928,-0.014219922937205823,0.05544359582857207,-0.013579702466567126,-0.004731910422244543
VEGFC,-0.02078330831426342,-0.0051335263373056194,0.0015701552140135419,-0.01544787503237558,-0.004499081112984563,0.05254658005188272,0.009878745468780217,-0.02440977890018442,-0.02872514489272567,0.020780520754469404
WNT6,,-0.015340581225165774,-0.00508714986201255,-0.026114757898474984,,,-0.02890847280609391,,-0.005101110451608548,0.01814249530972622
NRG4,,-0.013498518446429854,-0.016906930054438364,,,0.05216065157302935,,-0.019600699882180876,-0.02222530473057149,-0.014249895490181753
PMCH,,0.013007820362849998,-0.012881299962657985,,,,-0.019683200440152492,,-0.012796412833528368,-0.03072818807190232
