,UKF251,UKF255,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,0.0803834233218642,,,,,
BMP1,-0.03574110355431016,0.03583146234498735,-0.0021684019279674524,0.11698590103511089,-0.014537359217559184,-0.022227291647649146,0.0012366924316110472,-0.030661637762414564,-0.06291083425440981
NDP,-0.025128807725083583,0.09613033277155864,-0.05180297943090591,0.050918188947380504,-0.042671846696696915,-0.03214973528230164,0.029610767054204574,0.033580777179761344,-0.10223596454709527
TNFSF18,-0.025289796944407413,,,0.09187838163343907,0.002816308715988466,,,,0.01773736784292257
RTN4,-0.08309803003426132,0.07689957922533786,-0.07610046318664412,-0.1775874516852384,0.007733349335349559,0.03220882938264629,-0.02094006194435984,0.03455808758751454,-0.03782094145491835
HEBP1,-0.0028476450267856308,-0.03704649597206308,0.0322264057626369,0.020227628637603783,0.05344764220797326,0.02276193716182764,0.04141305923863532,-0.0077828318519201235,0.04876354111273192
WNT7B,-0.01570923790960861,0.06237180690932528,0.047542816382416093,-0.10395813239289811,-0.01444335676331874,-0.011331622262737645,-0.007335087261959354,0.02814369334940466,0.04046769825664757
PTMA,-0.006786786392638333,0.1303977223656259,0.06485671096906503,-0.11073077848654637,-0.057571224647048884,0.0313878327690981,-0.0013962607437647805,-0.06733146699441454,0.17359688793848665
CEACAM1,-0.012055895248587255,,-0.029402730544398886,0.025014031305569173,-0.02379446152535836,0.0834847855889607,-0.02193086857977086,-0.018667416675348953,
PDAP1,-0.03090697632924259,-0.00782372045473223,-0.05218833794273541,0.09374348239517367,-0.02593781309579448,-0.04235799414615906,-0.006592673701094382,-0.055647137675477354,-0.026370368983859416
QDPR,-0.034331920942563564,0.02161979372280444,-0.006014284280672352,-0.13940688272018353,0.010516602492548847,0.06318383015144886,0.03554267670370982,0.020421645392135628,-0.13464775136880316
POMC,-0.021421402427895503,,0.021061413985521978,-0.012736600795161913,-0.017554604982041633,0.03875719148402412,0.0401399506767139,-0.01724586989227275,-0.10305892837828766
CCL18,,,,,,0.006105880576818455,0.018879441542240256,-0.036759929847660834,
CCL17,,,-0.023340352778900068,,0.0838836340880906,-0.017219976991110598,-0.03165858560241345,,
VEGFD,0.0013857561573475418,,0.03107517410284294,0.04513401748829616,-0.020103245228313287,,-0.02193086857977086,,
TNFSF13,,,-0.0305308206880986,,,0.019411291654122226,0.015063618738480715,-0.02096225778882469,-0.04683059627657258
WNT5A,0.043831117792663674,0.08838626140060113,-0.010765380799481852,0.12407228548442378,0.03879731405191057,0.01564206199068324,0.06045556314390581,0.045332542004595675,0.1327947997849412
CXCL8,-0.01616840507579756,-0.037572250153433524,0.13901572553081862,0.027415319591964915,0.052702277376740145,-0.07371259299660544,-0.020248213563480513,0.013862325994366414,0.23142112712221774
GRN,0.030609900530123288,0.11847167816491853,-0.06194541729558929,0.12342635222283127,-0.022590968358544062,-0.029532018796381728,0.006422715754323578,-0.018609431076825066,-0.11146197724718354
MIA,-0.015356641381203982,-0.01821459382918446,-0.007867181216899898,0.02410950445436818,0.025143078674583964,0.10235298982520767,-0.03162025706942241,-0.045147699416309146,-0.03470550803474748
COL4A4,-0.02582529688076796,-0.0037548599517855186,-0.030657029367267497,-0.01691638947144151,-0.01969974304387647,0.053733913938803626,-0.03511474968297827,0.023868175529635154,0.07479791157614846
TAC1,-0.0408227393096552,0.09387004993893504,-0.08131690272126497,-0.07431956822479552,0.02920192642651196,,,0.10920567829450738,-0.09880990463495933
RARRES2,0.021147602706169343,-0.1070540336409783,-0.020250801811550197,0.14373877871875773,0.030006594096916025,0.004589543900903591,-0.04861107326552788,0.04137403042920871,0.1700870847821458
FGF7,-0.019489737278893353,-0.038991947017374864,-0.016635006178054607,0.11750321663787719,0.03094552926596467,-0.018421137556578978,-0.03496301959667543,0.06767766725217,-0.06742528384509987
EFNA2,,,,,,,-0.02084382290386167,,
HBEGF,-0.007043355449238326,-0.008545530225702334,0.005276658285330434,0.07699641033747437,-0.03769473447016639,0.026854129336489226,-0.011365126579692408,-0.0182293341711822,0.12873092340560496
CSF3,,0.01887455710490478,0.21954049103351073,0.08316675537911698,,-0.013855030382063779,-0.02528526723440014,-0.026762291748326127,0.2653969910420758
PI3,,-0.04176673803912757,0.14212374415200474,0.011613015751094127,,-0.07890356235223461,-0.04327948495266021,0.011430740947611632,0.26037365709814186
PCSK1N,-0.04405977060237853,0.07406333171773495,-0.06128257654125018,-0.03721506489199134,0.0580774836298189,0.04882357348133711,0.020326281688900164,0.04024913662102998,-0.22076925061425168
NTS,,,,-0.03881178930898131,-0.02250466647920264,-0.017397341231004195,-0.025394242813155547,0.016766752214125817,
SFRP1,-0.004108738551033508,,-0.03862015877193715,-0.0018435062569380893,-0.005852368373811931,0.08348256394843329,0.06217000983511667,-0.008910077245697805,0.008285050854711606
CXCL13,0.028096109724567237,0.08847278527968767,,,,-0.03867959891199868,-0.013347866346457335,0.03208637271848754,-0.04465788537781278
MICA,-0.01636682642892575,0.04903856487254226,0.09439730329517351,0.07428600846007133,0.04374684841031284,-0.029273224560926518,0.052433055316242906,0.06845492698342574,0.07510490208598214
TG,-0.016393588464401067,,-0.026584770617557672,0.004817650385577685,0.0389859994412133,0.09174795024800253,0.020153119170923633,0.04526755196248068,0.07461542726037129
ADA,0.008590235694508454,0.02139732893296706,-0.045178172765250074,0.05249456366873756,-0.0139796812419811,0.0286151699182193,-0.00023493285921925182,-0.03369223753153012,-0.04217215684972616
LAMC3,-0.006483153508207,0.04508003956404465,-0.06587956915434005,0.14859809259413473,-0.02233867073225405,0.008471537416685703,0.040426850469835025,0.016989426101920512,-0.08380266796923537
CCL7,,,-0.00855301164743832,,,-0.0258087762942699,,,0.2490294462787876
NGF,,,0.11323145629571646,,,0.08955319988145782,-0.020563646856688725,-0.027912710305470337,-0.01097922279318522
TNFSF15,,,0.022601858229519205,,,-0.025160658811286166,,0.02839610822290479,0.05435536775183884
HMGB1,-0.012362580437456165,0.11107044134164032,-0.046531047910534,0.09753110942011146,0.0076945632613330695,-0.10913961615715823,0.012185703877384662,-0.04152782868908783,-0.07119339868400631
