,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.04801074099379831,,,,,,,,-0.01684587690047072,,0.041735478959713926,,
BMP1,-0.008894105393066036,0.06283289925262982,0.04924585423074865,0.0382187275882003,0.02054773005991162,-0.02881695378543865,0.0023566103778249695,-0.010072090358907416,0.06094162750059958,-0.03053703685782016,0.037592014447561446,-0.07905791377525484,-0.12012299447572454,0.02284087355788177,0.08478247198136434,0.03816359960226495,0.1347324049896778,-0.03528515084104669,0.06430394094394017,0.0678395341678461,-0.0756691888278048
NDP,-0.009660425490452441,0.04185537510887514,-0.007897281087670297,-0.01731950167741085,0.03523046487414091,0.00037027596669202725,0.11987318281360791,0.03867176844929845,-0.029956251801681426,0.010812152392193526,0.00928902790638827,-0.020245242806636005,-0.04935465297476499,-0.06230123009791209,0.10000480206320787,0.04273774322952477,-0.012553555607429386,-0.09506497874715988,0.06824354126018083,-0.010609229251075072,0.08843241157057263
TNFSF18,0.07683609480478949,0.020252830580384316,0.07381909421629007,0.07607404661096968,,,,-0.016121188116524375,0.013359508387862047,-0.016503114872680177,,,,,,,-0.01063130734049112,,0.038721228090388374,0.025140482891014036,
IL36G,,,,,,,,,,,,,-0.01647848588633506,,,,,,,,
RTN4,-0.012380261276286313,0.027940984772345422,-0.029895885597018917,0.021584172981225655,-0.0501541800630763,0.013639317170702091,0.07260448051626131,0.003928732586883864,-0.014604487106565513,0.02341899739088109,-0.03281743161551155,0.09989645230090594,0.11514558733973675,0.0269991025364901,-0.07314336421182728,-0.11277274941332445,-0.0925603635524137,-0.05003273495385101,-0.03049903002746479,-0.09384588093674995,-0.06282913394009033
HEBP1,-0.009396211963394376,0.04161262240117888,0.03569964586829843,-0.016782224595031467,0.00847274037915686,-0.02092834864692633,-0.040261535535370416,0.031397495739661004,0.08446777303895388,-0.03933608905044968,-0.046544618429248036,-0.052086054040526956,-0.012013019689519322,0.014833564629807833,0.007993202599042754,0.102895763632111,0.03939510682467081,0.08607114690355411,0.05613148664949047,-0.016938932341295093,-0.0609557740908784
WNT7B,-0.02385350561621383,-0.06115730021559806,-0.028873848028244182,0.023829336497325958,-0.03783819926331492,0.08203199649790062,0.02737510388808278,0.023657062537952613,0.043218627763243964,-0.021833667162270285,-0.004154483424442935,,-0.018111754992857165,-0.030935959622863392,0.01269703187066402,0.007897179799404757,0.022256285353366198,0.028129125214912058,0.015742372678863425,-0.04358149733100122,0.02884396068558058
PTMA,-0.0357817194217323,-0.03212478860104722,0.03309079520041919,-0.0042843549142571975,-0.04581389260018503,0.015171500530962166,-0.07640711479692734,-0.03582525168159321,-0.026881033092931297,0.04737866634923561,0.012030669807469812,-0.14877222166148416,-0.1371450773289272,0.0877217593801178,-0.05190888184717438,0.04233860188976868,-0.09607220328404875,-0.05599902684943452,-0.018614642177723236,0.07440319867844887,-0.07605288681249542
FASLG,0.015035092535818527,,,,,,,,,,,,,,,,,,-0.025514235771438427,,
CEACAM1,-0.03312081066969854,,-0.030192394991821293,-0.03424344709321427,,-0.026766815541926326,-0.0015090061170232843,,0.07907247973235233,-0.025955468091039796,,,,-0.02774386410182201,0.016611133782553134,0.012466676547922861,-0.0010447866228449221,-0.00028037428452827747,-0.011255767600756444,,
PDAP1,0.02431007669329361,-0.040344198832614864,-0.020969507148460437,-0.07540855996027215,0.03412715247660928,0.06294665834124141,-0.029509893527948174,0.0997816120080997,0.04697330392441814,0.0386689346944281,0.02383269897142128,-0.011441223930863954,-0.06861419004272987,-0.014966261269943762,-0.01932731369676574,-0.006998245999757839,-0.007693452702581335,-0.08373004346736587,0.013159293391794847,-0.05165921726415989,0.10643138196423431
QDPR,-0.0021955269635979533,-0.007759614988045307,-0.021906760522327078,0.018804394761310555,-0.006520107018024158,0.038362446581021135,0.06682002233183235,-0.07146706433278469,-0.10692768731496773,0.01803076749279437,-0.011866997434715526,-0.0375966103133921,-0.030028117607972703,0.030484604541171603,0.03328599552844635,0.01338854548971097,-0.09755473755305197,0.02427974628749738,0.014514547949560034,-0.040453541326001485,0.0025699864576728226
POMC,0.06553183616253035,-0.04947499536156001,-0.015190621446844575,-0.041256803854766724,,0.02192914647535335,0.096196814792424,-0.015217869729777322,0.04610072945917188,-0.019148909462674956,0.022339709496888443,0.008181725122432317,0.01527040154944434,0.1178634840185986,0.06788251352481797,0.009304876022207496,0.08874230987348623,-0.013027342892264652,0.10487957786281796,0.0429886991188775,-0.05031632302229125
CCL18,,-0.03513992184214076,0.009978529111135977,,,,,,,,,-0.04721558411099842,,0.3037542751248735,0.06038173067878018,0.10730823305278848,,-0.019855004861701473,,,
CCL17,,,,,,-0.01840445676445726,,,,0.020912562657500414,0.00421007518273378,,-0.015053564681222771,,-0.010895466991088053,-0.005345510281496881,0.05663596780713355,,-0.023125788977570005,,
VEGFD,,-0.024335781409012207,0.017635071186778917,0.056773574647011354,,0.0035333996478984606,-0.0003115683901063152,,-0.006840202589410231,0.027914066879614223,-0.018951505890926805,0.003906727022828379,-0.01613337152799476,,,0.019362513941607047,0.06070746902623823,,,,
TNFSF13,,,-0.01618954915648195,,,-0.02002321247035799,,-0.015634189403476745,,,,,,,0.052184068515134,0.03661959303781137,0.12288330923078061,-0.03727716207633693,0.0889445105228245,0.01634331703790139,
WNT5A,-0.02375411749753577,-0.01663680608358678,-0.022913467707110155,0.034207743804434955,-0.015927404678593292,0.04599236944886771,-0.05340329600180552,-0.025864254050160088,0.02493029524573168,-0.02745720573741977,-0.03067826231007314,-0.050349592741470044,-0.02125985275739473,0.015511385803899394,-0.037481089923758516,0.00691175772040732,0.02511099636250382,0.010652330536185448,0.030116706389602805,0.1414917132816292,0.00809337199567364
CXCL8,,-0.03061790364757533,-0.03822669640842162,-0.014252945961399095,0.1160894595396177,-0.04272766483728444,-0.05917212237553867,-0.004651105872453215,0.02506600501410938,-0.005560380753824213,0.06600813656233072,-0.05218579732937185,-0.04850687497535302,0.04603833160531921,-0.05036303905343242,-0.014346138963272921,0.07846611482676273,0.09557925159454199,-0.02438860319699576,0.04642269793614568,-0.03704579771098577
GRN,-0.042914774323817885,0.014620739911139486,0.0773460930576425,0.036895088150508536,-0.039153227793339955,0.05282915413850224,0.022471790305412954,-0.03365498733383052,0.053230639159631395,0.008565479722509085,0.07955000135561995,-0.07455110432522176,0.02367296223778413,0.08010370763801213,0.07366740590959775,0.06209076943570804,0.08347868990720202,0.02376721762836702,0.03757030160007384,0.04557377194886609,0.047873535736521165
MIA,0.1368654450327054,0.028628737431788204,-0.037331491465182054,0.0003935041285235182,0.041667186717139884,-0.04560988388016441,-0.04565708227435225,-0.014224508845846045,0.016482501818797953,-0.025470002588236257,0.018731023612253775,,-0.022095391660644583,-0.06239944130508419,0.1552929679065045,0.19942553995245635,0.13449724314743755,0.035365145482607385,0.08969207480148132,0.026519005444083817,
