,MGH258,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0010249271170978162,,,,,,,,,,,0.035460328321765044,
BMP1,0.08589223879747836,0.06115790740784377,0.013470011836482101,-0.003299709482582957,0.2247756416018814,0.023449174410775958,0.014400502932761112,0.05895932354264312,0.04249124087672918,0.06399733128628045,-0.015347747962807993,-0.018151031655324685,0.0019744568531436936,0.08366861580118404,0.005660342668251158,0.08065272274006392,0.06239318491089698
NDP,0.11931542031480008,0.01783946957294888,0.010464383233281561,-0.054393945127794864,0.0027741883046814813,-0.03659185284463982,-0.02656137523193814,0.015025124806311947,0.1071887268728765,-0.053505090477476,0.08620197463303575,0.06391552743588037,0.009857112668906803,0.10873733314128951,-0.027133519829207982,0.02440202639434343,0.043885349493108114
TNFSF18,0.07848284698876497,-0.026810247768900005,,-0.012024546675190755,0.10922125345120418,-0.010647508906761256,,,0.06491885717863462,,0.06343671620812552,,,,,0.03084697304209453,0.042032806890076505
RTN4,0.0210464374106263,0.01845877434206975,-0.019960864282299238,-0.06056235797431899,-0.2704306797337811,-0.04914018220191222,0.02725557703508371,0.011567414365255182,-0.036282141350913955,0.00841892898324148,0.037656189341266105,-0.046293234120685735,-0.025324825206137113,-0.0725603463481493,-0.014755247715065733,0.01147614392604556,-0.11443694710016206
HEBP1,0.002528828613452721,-0.021054357857353725,-0.06734656575597371,-0.023969962747045603,0.09924236527487769,0.007278472737223601,0.015884753238948925,0.041730269249853326,0.022518914640497857,-0.04186507394581816,-0.005773713521001797,0.005982852775634453,0.040673626738603905,0.039461931149646724,0.059866860337920644,-0.02539705072575073,-0.02781583414562373
WNT7B,0.035722252810138376,0.04181207782702617,0.02823326182034906,0.029663088057029528,-0.10026184573127025,-0.002030363383925245,-0.014267906753158976,-0.02448352353673768,0.03965166845738092,-0.05087407907887045,,-0.036534029801147755,-0.025187462787125095,0.006803247688361098,-0.02007281799485285,0.01642783645274458,3.6391050916847674e-05
PTMA,-0.04756664913224745,0.06306154800113968,-0.03358093645558884,0.00022329257215673764,-0.13080978063455997,-0.007527568797956393,0.006456659389107547,0.00215669831552581,0.0580049270001922,-0.037983867726967935,-0.15800655406164416,-0.09335967120466876,-0.007208901236395263,0.012661368405847131,0.04143388959127709,0.11688863930742821,0.0006557598884431733
FASLG,-0.00239690599065765,,,,,,,,,,,,,,,-0.027589242181946607,
CEACAM1,-0.013483906856604725,-0.004453769570391066,0.013573649147079163,,0.05326523465635393,-0.01674599491130014,,,,0.1865765166369402,-0.023309693231142046,-0.032764303103946894,0.006355885700244027,-0.02362260928930743,0.03878024447920089,-0.03838637837407791,
PDAP1,0.07450327839623486,0.03716304998694631,-0.035160943345286924,0.04470879791816991,0.21853639925224028,-0.01625819675193016,0.011991995136625513,0.0029324735299943055,0.021680779881064177,-0.15482656799653308,0.06547287987350303,0.0074479723317645505,0.1226286242155509,0.012992506585577612,0.02012993321193684,0.0025421341808900895,0.014868232819428808
QDPR,-0.1097278672966983,0.011565493270930937,0.007763133563217369,-0.039265261733689126,-0.26104991300451746,-0.018564350799296733,-0.013051185095336244,0.062362251106968705,-0.06639811415677695,-0.045017308689420624,0.07963294493885072,-0.04740245347860536,-0.030288097942980503,-0.019597093241224113,-0.04108609384116802,0.03295511797116084,-0.10863032160310088
POMC,-0.05877556160308693,-0.014010566615617531,0.04984250391083065,0.04412669372528425,0.02223753067487297,0.03245650076412117,0.008607838689569675,-0.026917823357979122,0.04044349909307181,0.060954863486575014,0.12244709495822066,0.013414132216008848,0.014115715417093626,0.04917973101046743,-0.03254062880843513,0.029608196944350754,0.039302859749607996
CCL18,,-0.026224266516450448,,,,,,0.021934504439674676,,-0.04537426518301801,,-0.023230429597516505,-0.004702933451494364,0.11238661617271241,0.010971375347183475,,
CCL17,,,0.04220171132577428,,,-0.013279516613040892,0.04924429209848132,,,,,,0.003705526204802248,0.06619282783177605,,-0.02500654922476638,
VEGFD,,-0.04936629791110975,-0.0033354455381955604,,0.040121749657824786,-0.014148201754226626,-0.012953580680015248,-0.018186769572018136,,-0.0010093639617986918,-0.02545169334415185,,,0.025743466640573195,,,
TNFSF13,,-0.008894085936343648,0.01710933966986941,-0.01166130181299622,,,,,,,,,-0.008186239670472712,0.012679874421462992,-0.03316243019222534,-0.0005995569764003713,0.047149945496611056
WNT5A,0.014680450679402808,0.006530348814321518,-0.006759463288909414,-0.02815722511784983,0.22546110717254927,0.027127274039070285,0.019592351236559932,0.016216406414192527,0.04690431450913541,-0.014839404099954007,0.013896430682971707,0.11397213949265504,-0.025828114259931378,0.06623278498047161,0.06942720481467565,0.12694792630870047,0.09047212263346041
CXCL8,,-0.02656300018583361,-0.06143282384266965,-0.016587445486798406,0.07147637047883201,0.025747457044630006,-0.012062937569643249,-0.030060186629272758,,0.10618834604422187,-0.02188176595849446,0.07960858424412978,0.031685685547310084,-0.007258743775437549,-0.02274431802450733,0.020408469829902295,0.06834336446781078
GRN,-0.13008640804959545,0.0342610364045056,-0.021891794392622007,-0.03478826935556276,0.24209535615934233,0.017079859064475532,-0.06461459713113843,-0.018312548663705505,0.029969276379513295,0.015453373462244306,-0.03284899822284546,-0.02373486608505333,0.060023002688188117,0.017676465662860713,0.06791178276061016,0.05388716565364379,0.05299568065181106
MIA,0.026747427217861032,-0.040826514482215526,-0.01076299380801041,-0.021085882690705483,0.12006568572293955,0.05211915706513118,-0.01473197002482727,0.038839542274582056,0.08365028488739658,-0.023466092171854785,-0.00482199517081659,-0.030608993324279028,-0.0012195628575953604,0.12623836835875732,0.02649155167639985,-0.0271943257478494,-0.009695340902420314
COL4A4,-0.012793705946715478,0.036671110430181834,0.05415595340214915,-0.011095213473902382,-0.00915360705258547,0.0059633208774971325,-0.0018281258934208621,,,,0.08028431392726341,0.11248708973479637,0.013155148174629675,-0.01281009198328128,0.050582316673979964,0.08633975131428544,0.17189363645983574
TAC1,-0.03318024456859969,0.031346373486492926,-0.033743044677229946,0.00663968684486948,-0.15865405692384374,-0.026224482785075894,0.016771027724209835,,,,,,,,-0.05142449279039193,-0.032873651728906106,-0.05454563754341239
RARRES2,0.05511945127176131,0.04214436660145214,0.0009590350175505697,-0.05664304096225339,0.23509097305210835,-0.006674026744752773,0.03514235991975594,-0.06286992019370405,0.018835213641760048,0.017775353982194927,-0.027274425609299335,0.054141368244442274,0.029788899069123926,0.11587619454333802,0.04726377876456146,-0.011545747295538483,-0.0181841270183366
FGF7,0.03196583661866741,,-0.017137504250814777,0.013625353462051603,0.11616342391103733,0.007557371852435585,0.024996546210369373,0.021706155931035954,-0.005220570685023478,0.12494800778314089,0.001982699484678386,0.00445624637770354,0.029906902730712136,0.0013304461499632771,0.014293288054551032,0.007102579664927766,0.02356080108652945
EFNA2,,,,,,,,,,,,,,-0.04129800644225319,,,
HBEGF,-0.030898939354075255,-0.019320870848118697,0.012042915518561004,-0.0134405698623152,0.1384724798884438,0.010680145985952932,-0.03326603720936817,-0.017709223170103323,0.11421383513909165,-0.020524483453328884,0.001609943089003941,0.058553005440393706,0.03604830092963352,-0.0059634617960392005,0.08616713904931664,0.0794755466072846,0.14037583100959553
CSF3,,,-0.023125301842376513,,0.014579349254882214,,,-0.027322461135170447,,,,,0.06622732927811227,0.033777811415134376,-0.02213770714691001,-0.02632803861813957,-0.03691136852814383
PI3,,-0.01069058557238129,-0.02400928501807075,,0.08222662689653303,,,,,0.04814094404667022,,,0.019618029278152937,-0.0421077409723392,0.0014371792813444757,-0.023867579203487213,-0.05569149250469723
