,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04187922701532548,,,,,,,,,,0.015025867793914441,,,0.12224602255264595,,
BMP1,0.0755487268136814,0.018613439471755196,0.041420602134434735,0.051820504554810055,0.06416333240308049,-0.020600858136412194,-0.029816581204267938,-0.028844771359390953,-0.2762115364771973,-0.07438145525361545,-0.006097667644940203,-0.16070051958426698,0.06759539634094715,-0.25334946290544,0.030731753764283564,0.03860223647783165,-0.02471961485153579,-0.024805472142540225,0.0659113082802364,-0.02010966106801236,0.006871487173131791,0.07090445993327961,-0.03292122506914742,-0.061346292130933955
NDP,0.030769734515780828,-0.06079326716109881,0.022755067636752255,0.050183541829051555,0.05762714193593531,-0.016239006940450728,0.1976228623864722,0.10577143192336144,-0.05165703781182986,0.06130273776792802,0.023529463352929037,-0.0962150870437193,-0.03838779665461111,-0.0669670430332191,-0.04304520963074689,-0.041074128736612814,0.1507003306454171,0.09711615610944183,-0.027935151974615706,-0.01874560053997955,0.01940355167365466,-0.0009008971021145803,-0.034001560444935894,-0.014881767938667953
TNFSF18,-0.029828683605651163,-0.012107929975138489,0.0025699776413615825,-0.021416124649744107,,,,0.032936345508973223,-0.058585970616856706,0.003289674247862974,,,,,,,,,0.011704360344856073,,0.055724072025308304,0.033136323644316845,-0.09519714472284689,
IL36G,,,,,,,,,,,,,,-0.058246495725624146,,,,,,,,,,
RTN4,0.07427099089575545,0.2302455115154395,-0.006023829521082001,0.04665383886750797,0.02200336113790471,0.008494586465204927,0.2160692468866962,0.21661173302501197,0.3844375651109601,0.11616198785546475,0.17369335019121118,0.4032883564687353,-0.05160001056634326,0.3794396705645875,-0.06407002827014933,-0.00968919679133523,-0.02700146426330376,-0.04345572577223595,-0.02032340277271186,0.1461277892007733,-0.0670586792909791,0.0021933575423536155,0.2616922482832135,-0.030383400102235034
HEBP1,-0.03970691773069641,-0.07006603869716867,-0.0077784855994172215,0.0020197476261585795,0.029005944890501845,-0.006570068806306092,-0.06931759058044805,-0.08256160871862851,-0.1381824888143904,-0.012282392233801998,-0.05113200365901376,-0.11769952250858472,0.027743194345714747,-0.05037073192413373,-0.025783259685524397,-0.049712662503421066,0.02091395089490405,0.08522755774745241,0.01954289973064827,0.06814511153519673,0.06837892308496236,0.016672236115977027,0.006274710334851863,-0.103645465055441
WNT7B,-0.026278135996228295,0.2605403226761224,0.0034460242714125706,-0.015454857661919357,-0.029278893104634763,-0.011988523094158496,0.06853839234702394,0.10632728130148893,0.26029381906541826,-0.022552346952331697,0.0620600474024433,,0.025759952024923722,0.067385909461032,-0.061664376162617315,0.009609907353042886,0.08010525911726506,0.061627501300987375,-0.05579271342889267,0.009466332737271195,-0.038189114223826724,-0.02152918633585026,0.05236351458673658,0.07857343339943051
PTMA,0.010635200881803376,-0.04005915773427328,0.11136893971048265,-0.0299694800047611,0.09162175567730531,-0.012950690663794246,-0.16179858222476678,-0.15143264537531853,0.059349559980684495,0.08276867936537477,-0.08823039640215724,-0.5102294158175645,0.11871007387591107,-0.37108595025802504,-0.06683523756238066,-0.128849674801716,-0.03314566096727897,-0.027675961597681736,0.040510809208601874,-0.015040457203250453,-0.07749167973083501,-0.03190772902447568,-0.14064291749391644,-0.28649464207167463
FASLG,-0.026278143424990026,,,,,,,,,,,,,,,,,,,,,-0.0327984433984243,,
CEACAM1,-0.023407093117943843,,0.04882420889398842,-0.020800485241554315,,-0.015318238581150835,-0.026519070910588048,,-0.0952405672046086,-0.043111035243267856,,,,,-0.046434821598328985,-0.030919729163049362,0.026087648722067452,-0.005024659013700109,-0.038338212758721804,-0.06035650926126277,,0.00340053180531389,,
PDAP1,-0.01310545401097315,-0.054195827832842255,0.03418353647400012,0.06321668292521788,0.017872065699899877,-0.05047227180940974,-0.02423370746497989,-0.08407628401426043,-0.22186522144734694,-0.03102336283169389,-0.0023774713806405594,-0.00060898297211341,0.053099174675612294,-0.19634079853743786,0.0132982776351477,-0.025188529827590653,-0.05593006771989832,-0.03553571126470935,0.047391265331096194,0.06300978183539005,-0.09554985125051363,-0.028109802852439032,-0.017114137093734803,0.04216324694883266
QDPR,-0.01921925783310631,0.15780384519126753,0.05678265136734129,-0.02543550767588387,0.06628306059415875,-0.0074913600329576105,0.20256340488463717,0.09020440695525543,0.06932870228032866,0.04492069343257201,0.0737013699243446,-0.40999480183343606,0.02132707004969097,0.05241423042049119,0.037835119982199496,-0.03513111476826619,0.09090923154605815,0.1544206856207974,0.04585380319895269,-0.043656284548944144,-0.002372240101504284,0.026294229158230313,0.197241956749206,-0.14751742356160474
POMC,-0.03554549865976997,0.1826043409546226,0.032133368653757544,-0.010960096874248872,,0.029216433052712435,0.13761911365490614,0.061808884080637706,-0.010494638786218187,0.013665512440945557,-0.022273658928552403,-0.0950558992926074,0.07149150597226837,0.10216009543666289,0.02446466799259505,0.06459162271261082,0.06876876721939044,0.09061618052754644,-0.05205679196629678,0.015537139449021508,,0.03537088330153641,-0.001709943590916489,0.07049823903725626
CCL18,,0.007988270721039982,-0.07389799319175117,,,,,,,,,-0.14357475788954605,0.11504305382262188,,-0.03981543191407031,-0.021922596345715344,0.055587515400727844,-0.030062667617717077,,-0.057480844971227,,,,
CCL17,,,,,,-0.027602159062644904,,,,0.01546799909255904,-0.002268993624084468,,,-0.013380634453282471,,,-0.06775841631971398,-0.034105340883207595,-0.03411066379476979,,,-0.029728105032007884,,
VEGFD,,0.0545648017742646,-0.010830124262307781,-0.019161484176816675,,-0.025040784987804158,0.012301938961720648,,-0.0910119312435474,-0.014252928576897314,0.002874735068518336,0.054876925557400646,0.0753935435615292,-0.021302189574991668,-0.04485653467456972,,,0.10414982165314297,-0.007443648191326204,,,,,
