,MGH258,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,0.006064626150139559,
BMP1,0.024693209810305032,0.025286622847826092,-0.016191992281042344,-0.03462814786621939
NDP,0.02503810731750691,0.05876010307800463,-0.06592246276010254,-0.023947801174461922
TNFSF18,-0.022403035978319566,,-0.02054079710939141,-0.02568578523264823
RTN4,-0.044412661777710714,-0.00990953257968762,0.00998670942539728,-0.03182836208091262
HEBP1,-0.008336259013831103,0.005404019687836362,0.048927887831181446,-0.059959815397402756
WNT7B,0.07752279343096893,0.013907995731010989,-0.0429524684629854,-0.014888140674755695
PTMA,0.0113102018391522,-0.04952081746995794,0.08623973264519938,0.0013999121482354629
FASLG,-0.019736378593722445,,,
CEACAM1,0.0445030829957331,0.14791388989993992,0.03838572945500742,
PDAP1,0.02727770942920493,0.04077337249294617,-0.007901552026124348,0.05218326751954877
QDPR,-0.00886840007818559,0.009856679311930296,-0.004635901474149208,-0.025636745097967796
POMC,0.014538645829624336,0.016838366905140997,-0.036542434137847704,-0.0069666871830975936
CCL18,,-0.02117864047989374,,
CCL17,,-0.024386208333802093,-0.026260368439754267,
VEGFD,,-0.016893070866904305,0.00786459853630312,
TNFSF13,,0.06678684989331952,0.04154323744746083,0.14489504776362375
WNT5A,-0.03503387868364811,0.03218098560289081,0.051434292808953855,-0.0018348309370113545
CXCL8,,-0.046201550543912825,-0.03728399882808289,0.03151069094635903
GRN,-0.051555719587505926,0.0016042986969656906,-0.028598949110684727,0.0005903581819359258
MIA,0.01148882915126402,0.08311234105437591,-0.023210613581351472,0.03312026511986694
COL4A4,-0.02285713127645243,0.06649554452956352,-0.04045197482387837,0.03216447632567914
TAC1,0.07407304776034983,,,-0.007533855736935479
RARRES2,0.012357131998690249,-0.014447599776353655,0.02529190961964328,0.04496148456054941
FGF7,0.0430017834792432,0.060203714664642645,-0.022319914948590275,0.042955039820149456
EFNA2,,-0.01605573332270715,,
HBEGF,0.013069247595621553,0.05146953943222916,-0.04483383958442117,0.05183784757124266
CSF3,,-0.01440475590406353,,0.0479195289017178
PI3,,-0.05062257302761779,-0.0223124659589031,0.03429384395017633
PCSK1N,-0.015719602408460202,-0.018471405577642146,0.015044256216954708,-0.03961730621100496
NTS,,0.021788849997418418,,
SFRP1,-0.028716913766884813,0.0039059025742035226,0.06944553533536414,-0.010934623086666633
CXCL13,,-0.041251755914776776,,-0.04002687912081558
MICA,-0.05753916586235816,-0.015129369996273134,-0.011223801513150092,0.011193764356680298
TG,0.018234650299369635,-0.0068833299002876765,,0.03902381762077259
ADA,-0.019609871480735053,0.015158373941884741,-0.006787760426423705,-0.007961389753167722
LAMC3,0.06424980235043361,-0.0012613202265470173,-0.05221167440789413,0.0254177266403658
CCL7,,,,0.0578743262895895
NGF,,-0.015839917254917315,,0.03572006295186244
TNFSF15,,,,0.06175922644020854
HMGB1,-0.06583641777463609,0.06527525750713839,0.0668624168532407,-0.02005768863951608
ITGB3BP,0.03914416829190071,0.010775359645319714,-0.07888360888065586,0.0036608229445954966
AANAT,,-0.021606668427088496,-0.0007375373056474088,-0.03013103591203529
RELN,-0.01894916354965711,,-0.014623698312839486,0.0077970468486814794
IL15,-0.0073531575641268805,-0.03917268889257339,-0.040451969697545845,0.014739394462930289
BSG,0.05327871804491573,0.07629178085894983,-0.09038041427174129,-0.023089537859432713
ADAMTS3,-0.013685531002608678,-0.037265248723345384,-0.05033063219805809,0.028717382091907655
CD34,-0.009525320476466488,-0.02076766793957521,0.025682670423086307,0.05448499977229052
PLAT,0.08100598520932499,0.08449147913578971,0.006318743646150431,-0.029482038647946976
NTF3,,0.06655759718568453,,
CKLF,0.003009692870169245,0.003569459219633931,0.0024984178089235403,0.027759751318058638
CD24,-0.04240182174382588,0.023540541920958113,-0.03039076926728055,0.04553365700305257
HSP90AA1,-0.08768243371630363,-0.057473870893699805,0.02264298912223666,-0.032785164054946546
BMP4,0.016219370435854905,-0.01951697057916287,-0.008008900481747076,0.044383774644048295
SCGB3A1,,0.024700173135783144,,-0.022618532990649972
IGFBP4,0.04457048104237634,-0.03864263007593003,-0.042516426239806775,-0.05556928351322463
RSPO4,,,,-0.037994042767540384
LEFTY2,-0.022631131357038783,-0.018461208633192252,-0.0458531237318378,0.03864108391223409
PF4,,0.09504076864804445,,-0.029762883580906264
ANGPTL2,0.004701243013829604,0.05881499832816058,0.029393591631428788,-0.04878859375699977
LRIG2,-0.06305638223081482,0.06456478709610011,0.0740699037770021,0.05442942899259188
ICOSLG,-0.06407063001088387,-0.017758931431560543,0.001588906586303431,-0.009446106219819738
WIF1,,,,0.013887139562119757
NPPC,0.081171926661544,0.0015100435508865794,-0.030817115011785082,0.011488016634954615
LYZ,0.023834190425094385,-0.019471108059377993,-0.07309792292341356,0.023141716573172388
EREG,,-0.04676132887213135,,-0.005742820015117308
SPTAN1,0.0021267523661263332,-0.018935623160329144,0.027967568751862945,-0.015748071822428933
LIPC,-0.02926396369901705,,-0.037826454144702,-0.023745922161440502
COL8A1,0.01130046714706736,0.06018578188089515,-0.023575003903990675,-0.051808305708424186
GSTM2,0.03675848164432746,-0.01683306785906413,-0.014619162039934235,0.07317808941751051
SPX,0.012468186288076024,-0.018272032353308855,0.04447729045595864,0.032734166551474674
MFGE8,0.005753794939043186,-0.00844868757674825,0.0024802668402384292,-0.038531097028690085
TGFA,-0.048208521420015145,-0.0023202071474795007,-0.02293848373622883,0.05187687067954931
SLIT2,0.01775911406693702,-0.004863183174395032,-0.02420662698608948,0.05033406385325171
PLTP,-0.046189261454065156,0.05525460146107689,-0.08350429987817062,0.012548987101961256
APOD,-0.054319554192059714,0.055382606858409934,0.07731844175048797,-0.09319839896523187
B2M,0.06975300641573241,0.0843030267421529,-0.05250682365251062,-0.04638840015336599
