,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,,0.08899157847249671,,,,,,,,,0.15714520907905072,,0.02343589539203396,
BMP1,0.027422625073122583,0.04258523935843272,-0.08683299501457228,-0.0006873169331886868,-0.046749439776345394,-0.05050374362168019,0.05036188124393249,0.08965458581228972,-0.0027102085760711426,0.01619438668819144,0.048604723050483384,-0.02807983298395482,-0.043802155877076504,-0.01635552511446098,-0.002826134722243664,0.013399447451504405,0.03061223321481614,0.04856100863860621,0.06788370586687001,-0.03662880468700817
NDP,0.016802113462253875,-0.10395888603685326,0.007646446218304947,-0.005600600625362079,0.00014426210377064622,-0.04077666163143458,-0.050282054263266096,0.0376059310861312,-0.01880068902696152,0.038684508838209404,0.034484414395277246,-0.0535671215289365,-0.0006895186802886587,0.03320669607108243,-0.008022561623496524,-0.008420115744339464,-0.0048969201011945076,0.08682940863118484,0.017297323068653184,0.020155081871230395
TNFSF18,-0.02089569698251844,-0.004197576174709896,-0.0072439665662010115,0.013926583570166922,,,-0.015533972524079155,0.009399083862159137,-0.020283830550133514,,,,0.09554100655221737,,-0.042222323394584385,,-0.020750294821236144,0.0649333446136373,0.07082923880998254,
IL36G,,,,,,,,,,,,-0.016974025298231648,,,,,,,,
RTN4,-0.01721432718464376,-0.005623276445824824,-0.07342518719846576,-0.05039468013872417,-0.03605728775509928,-0.08935627947620016,-0.06387156340250538,-0.1296522204060951,-0.07525830252059378,-0.01828746121475112,-0.07281231197600518,0.005149908699783656,-0.018024720589200644,-0.054144135246377546,0.026978297561813733,0.016208918312856185,0.03627030867387855,-0.04008124276964448,-0.004504706364195515,-0.06287647097315646
HEBP1,-0.00803437448464728,-0.0567835528628483,-0.015112956545006904,0.021467337243450183,0.05378542770526826,0.021702317988796797,-0.00552009097182179,0.018805385620688404,0.0040782366329923285,-0.007264638475036747,0.05447854566453453,0.04587709420049809,0.04369275154841345,0.03707318928558953,0.08778186394610624,0.02068157656733691,0.08733826429155692,0.018354126728037944,0.05879181287761678,0.011408478579036915
WNT7B,0.10963184247086587,0.029465607301085293,-0.04535440151158711,0.08882191319855523,-0.004843601791603231,0.06956069997009907,0.014862137993212314,-0.053968072201123256,0.08781988312847526,-0.025569256143645382,,0.03597919775931473,0.03029287252340886,-0.016451445603639918,,-0.03230493366354279,0.06991396131357869,-0.01241374989742215,0.1144014275574396,0.03957825074488482
PTMA,-0.011470056298914004,0.08901224483312006,0.02252451528432697,0.04831140137246133,-0.04099135764185113,0.048452445472984294,0.10502492399467785,0.004579530239449117,-0.08602920000620079,-0.003857547977969016,0.11214297298976837,-0.02785317301819737,0.029266130564496798,0.002234849568976406,0.013045389664447399,-0.09253096048736364,0.05105296772851138,0.04530617237549605,-0.0451834978972186,0.043391525238976776
FASLG,-0.018408459774192705,,,,,,,,,,,,,,,,,,0.0068680562729140585,
CEACAM1,-0.025560307501548488,,0.04902146155435371,-0.018000960178174426,,0.01812439632065535,,0.015373699738695979,-0.012999505794371605,,,,,-0.04178462440228781,-0.029689459081499423,-0.003527851058059452,-0.029816007298015423,,0.08464821449785978,
