,UKF248,UKF259,UKF313,ZH1019T1,ZH916T1
IGFL3,,,,,-0.02112309261299716
BMP1,0.02711770385257941,0.0240389170084892,0.015943103306870706,0.007544624429128703,-0.03604542200638743
NDP,-0.003260877194459753,-0.036624625887112294,0.04632445806969798,-0.060163840086663145,0.06937011580744845
TNFSF18,0.06044521636965532,,,0.05594418398265701,0.03967824363711745
RTN4,-0.0049789374832693075,-0.0018641413493759793,0.05862495881119577,0.028741875872000167,-0.02060592176004787
HEBP1,0.05450154029742019,0.030525525447654793,0.052098896523708006,0.058053815337225055,0.011826049038531359
WNT7B,0.06261015008232791,0.024064828886786137,-0.01787046268493872,,0.0404855701899183
PTMA,0.007248397160952809,0.03247877566938633,0.0035643318814275048,0.02551016429198602,0.016342527101514202
FASLG,,,,,-0.018320051017005262
CEACAM1,-0.02095441129013085,-0.01588173481640928,,-0.036829908739831774,0.008317953862666302
PDAP1,-0.021420494702822635,0.019059303221937857,-0.015823770828382152,-0.06083908525404541,0.004312145901658057
QDPR,-0.025016215197230296,-0.0028672282786676834,0.015786942394093794,0.04338509958182154,0.024110533546566077
POMC,0.019136625727556353,0.04991148415879446,-0.021232114015751327,-0.0010502980267043714,-0.0031401723279665473
CCL18,-0.026149125432917673,,0.021285449987430708,,
CCL17,,-0.01932048415119087,,,-0.016605068545766412
VEGFD,0.025199418313593215,-0.021525152900090824,0.05813859751753313,0.009077676474356138,
TNFSF13,-0.019732975438334632,-0.013326837562287919,,,-0.027056573226569576
WNT5A,0.06636444607082115,0.011170200106348423,0.021558948579206417,-0.04146726438793602,-0.03615734213787099
CXCL8,0.015268731801374282,0.032353508996656254,0.04999644171792666,0.05471171088314486,-0.015812165678425492
GRN,0.019461026298296585,-0.0015803451457549334,-0.024051585118699616,0.02052768587717863,-0.005736981831216451
MIA,0.015119060337197478,0.04971861871899485,0.074532465317408,0.020681195202493743,0.061548835047277435
COL4A4,-0.009777625295287844,0.02865010829566137,,-0.0392053684420217,0.0636065648999983
