,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.027396522840309953,,,,,,,,,,,-0.029111581488359833,,0.010237376168219216,,
BMP1,0.04566854177260785,0.11320155846946638,-0.017253523524628826,-0.02653387341441747,-0.02964834463841978,0.11317099824326712,-0.0175007849299874,0.10210189372514976,0.04336354716826946,-0.06385458418137593,0.10980421771907507,0.10885711877368723,0.07516358949922372,0.06728081892845329,-0.05623669998425074,0.011446728654282949,0.0049714635276748445,-0.009700050760472898,0.1628447566804556,0.1437688280456294,-0.06576713492343597
NDP,-0.022370239345061653,0.033982123264186335,-0.028429950134293298,-0.03157604962469486,0.08139271191156683,0.05151924066606938,0.006711629088965334,-0.04877730070447344,0.008727866761379627,0.00647821646299189,-0.02586794390183774,0.054569219762848786,0.055931144070701856,-0.008798478495096471,0.009749589134010321,0.10228026535757904,0.07271722587683556,-0.02162372676865837,-0.00949674849136873,0.02868917441244228,-0.04558112638636492
TNFSF18,0.024011163067149018,0.05401466856375208,-0.03924174701152789,,,0.0006364211174569175,0.0027527828791449197,,,,0.06659728896357767,,-0.017993668576606447,,,,-0.01347354911522986,,0.006036827664910441,0.07495149074297487,
IL36G,,,,,,,,,,0.13019662324278022,,,,,,,,,,,
RTN4,-0.07253716840810435,0.024703171293977297,-0.03235512811808611,0.0023214013635528908,0.10532598340221139,-0.13730805737252247,-0.005169485743280722,-0.09493733955630469,-0.024882723672988008,0.0630138760179921,-0.12587179605319632,-0.008068133098259581,-0.023864607139469668,-0.05811715149581669,-0.0276871470058281,-0.03463070320575517,-0.0742257219796215,-0.026483116651796597,0.02112030795902582,-0.08566050335891166,0.02550332218395331
HEBP1,-0.046655907810528176,0.010308277063223778,-0.015774582482035244,-0.01920864301542588,-0.011325183886050218,0.09861760381492946,0.030329534255492112,-0.014024595474662569,0.0030458615062218535,-0.02313966515913502,0.027630116872568722,0.04759015954533762,-0.05015425907359435,0.004509120476955711,0.02173826481293545,0.007866431267187347,0.04035681218955737,0.0532879637918509,0.012055443457751874,-0.05414364332811705,-0.019941047684411555
WNT7B,0.03806216649599536,-0.0062273180306827314,0.002000567414539889,-0.010732012703405657,0.01548144074754583,-0.061387604393357977,-0.03358132026741481,-0.01878565267608694,,0.18781046266184837,-0.02095811510128965,-0.043961250217423815,,0.029424637235962815,0.02305229759247955,-0.03692434699963084,-0.04711033587325431,0.038774125832406886,-0.0006791375070512187,-0.003646205436085899,0.11792725913401926
PTMA,0.02362804509367551,0.07929728377718435,0.022554426062304258,0.01683378484340776,-0.0484269687166929,-0.0238993809718018,-0.038217784358538,0.01648823252622652,0.050656609623310866,-0.04133432711463884,-0.018856266122726742,0.008549714948577156,0.06489401252136824,-0.10016394906008973,-0.039690154173630476,-0.0065830414356924105,-0.10936003071152439,0.0019229268493773492,0.08898503790200157,0.06360120746505765,-0.006665382810486728
FASLG,-0.012488135426637778,,,,,,,,,,,,,,,,,,0.04997704962413176,,
