,UKF251,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.13834827311024722
BMP1,0.04101915879179498,0.03823593989603535,-0.015622230453425739,-0.03394328979634284,0.03987140785145503
NDP,-0.0013070670518312863,0.024330645931415117,-0.039060057482464224,0.007786259100460587,-0.006714886171445393
TNFSF18,0.02656432984178688,,,,0.004838570433131754
RTN4,0.03281832075454809,-0.007928594954730375,-0.012506014406319288,-0.037078551566604716,0.007250108934976937
HEBP1,0.02884550190786166,-0.037740311431928235,-0.007540489927301968,0.01112235574908275,0.009584976169939394
WNT7B,-0.01570923750571714,0.2084737223646758,-0.016429575582628496,0.04778638281936624,-0.009086405629949638
PTMA,0.0268465029730372,0.023039592059257052,-0.02821464571531422,0.013593833092854245,-0.0204251611248684
FASLG,,,,,-0.013837167688334956
CEACAM1,-0.01205589493862484,-0.05189009269324158,-0.01705830655691939,-0.015399746388770199,-0.019252386528309986
PDAP1,0.01006150081719627,-0.03453212833932102,-0.08250097801078335,0.005893496365594379,0.006772943156456698
QDPR,-0.04530297252573179,0.04097730413889492,0.025873087063270073,0.033381894536770984,-0.003674876713949285
POMC,-0.021421401877141744,0.05614265640306032,0.025718805070299226,-0.036076107568022084,0.04387473105394612
CCL18,,0.006754303063817422,-0.03121649175183903,-0.037605160915910325,
CCL17,,,-0.012102042856888652,-0.0037874745789887245,0.11701473511048137
VEGFD,-0.017267650733020584,0.040735886272589325,,0.03625514434145146,
TNFSF13,,,-0.023222002487644392,-0.00735486270831555,0.02022206867763352
WNT5A,0.02396959658832875,-0.079476214335488,0.0015823453833621638,0.019036508460329137,-0.01831681910624672
CXCL8,-0.016168404660100694,0.09328228019248772,-0.06197983673432772,-0.07840223309857351,-0.020470161929391346
GRN,-0.015109172920916618,-0.0056474642838970305,0.025462516964198306,0.012417356404802531,-0.02062417341479623
MIA,0.11126317671691914,0.09053499337514227,0.10021814406828675,0.12261217508415735,0.09931976698337978
COL4A4,0.0005542976887955597,,0.08350241211479223,0.07450922012738928,-0.02538632361735232
TAC1,-0.03489811390972819,,,,-0.016487521784793777
RARRES2,0.0438649734137473,0.05579231721430508,-0.033094799622035626,-0.009502074305306864,0.019769738696671528
FGF7,0.013900400804512882,0.07322550193794682,0.03473344766783762,0.004806544793944241,0.03707698767664355
EFNA2,,,,-0.014636428344109985,
HBEGF,-0.04848475902334534,-0.014536438002767495,0.010886010457914486,0.06680145004484522,0.026336815026997338
CSF3,,,-0.05117375533017199,-0.04073350296125174,-0.013204620948325427
PI3,,0.011268577626278423,-0.11551773184096871,-0.03890697903102694,-0.028689254515457844
PCSK1N,-0.04107309126906973,-0.014958939697178422,0.025165742411057238,-0.00833818607540482,0.04593717074356086
NTS,,,0.0033432038528332293,-0.017831710478542828,0.021661546423410314
SFRP1,-0.020477616019076366,-0.056476217155585505,0.0023513486799569138,0.04772481291283113,-0.01909985195788841
CXCL13,0.016130885625192857,,-0.027183669523014948,-0.015887355111866237,
MICA,0.010858221856662369,0.002576834142686037,-0.01511771500503435,0.06909315675439055,0.0132635176203545
TG,-0.016393588042914638,0.05937889052716201,0.16910705079507324,0.016037521101012614,0.08803463344489515
ADA,0.02682462867703222,-0.07835055313590923,0.046016558279515264,0.029609192070504047,0.01353345029522079
LAMC3,-0.029152188385238607,-0.01845078441632877,0.04729564765806188,0.048519189014298095,0.05484239895663152
CCL7,,,-0.018138172714071785,,-0.013837162768003288
NGF,,,-0.02094813741423697,0.09574048779891184,-0.04142804828193519
TNFSF15,,,-0.01768268165508739,,-0.01165943834568189
HMGB1,0.07127001383177849,-0.044815973066487054,-0.10136570600362088,0.03197743252001358,-0.020417765031877366
ITGB3BP,0.017433491585132375,0.005065361596162299,0.022886856890190557,-0.001349916794692181,0.0016616821499344872
AANAT,,-0.0030037122554375946,0.0910208054739827,0.0015652864388343536,-0.014640295248374959
RELN,0.0374446391715953,,,,
IL15,-0.02088518035939677,0.07895865626896138,0.00042026048313736984,0.01028949289682429,-0.03306243555658499
UTS2,,0.014878349788171217,-0.013550484138127447,,
BSG,0.048590472297973204,0.1057754236195811,0.03736576989789432,-0.008871894672197357,0.0911967216836627
ADAMTS3,-0.02880472275285535,-0.08217210369124886,0.019065360193083743,-0.0050831636033643,0.03130562465260172
CD34,0.054705164621565154,0.00802166432349604,0.04980531617963803,0.030858005265527122,0.042982594828530805
PLAT,0.06620468051824445,-0.09218262062287713,0.07217579591025196,0.039118210311261475,0.045913129436427384
NTF3,,,0.05378107344970606,0.07492514488844432,
LTA,-0.012055896175775602,,,,-0.019703631058866293
CKLF,-0.018733136274050263,-0.06925076782958732,0.03584776514181661,0.07322233360657507,0.053433211898160485
