,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.12822966349810927,,,,,,,,,,,0.02339647424689414,,0.08292394347841385,
BMP1,0.018455745790291193,0.10040903264700829,0.07813952345266391,0.044523555055168765,0.16201237917143957,0.08787455799886473,-0.01864737404574277,0.02101059068204552,0.0008982164932266755,0.09624380064714337,-0.007016911075252973,0.028705520797954503,0.06681310339277194,0.07795591673253408,0.0331850900971028,0.010262015934004593,0.022653441623548473,-0.005378301962248219,0.06374014757042061,0.06576230886990535
NDP,0.04863869900671683,-0.004695818389246566,0.01275163649795067,0.029955923279705438,0.059875452449726634,0.016868342832499703,-0.021770618807493848,0.005503765768900284,0.011555789145087564,0.0667376956412052,-0.03323289548505425,-0.00108346981746121,0.006457276937207904,0.04303123044438141,0.10469756733930016,0.14421962645969139,-0.00516276219925818,-0.029229827634700736,0.054880001855682134,-0.02030200880362466
TNFSF18,0.0889041025250404,0.020069000846205737,,,-0.010050124869945583,-0.012674177686105919,-0.011674763952453069,,,,,-0.03590235309800785,,,,,-0.022749590290136634,,0.01661647742468167,0.14352338432719627
IL36G,,,,,,,,,,,-0.012934684195284082,,,,,,,,,
RTN4,0.0661863130061807,-0.04258741417181811,0.014940957660894021,-0.0022255653215980803,-0.19771436911409526,-0.0912562167061411,0.012472355093183656,0.12854798788826433,-0.05451130913521113,-0.028088548333573837,0.03239745949276536,0.006321709584239163,0.07571544096301755,0.059728955910902805,-0.09795657713081808,-0.10056577231169991,-0.003924963198292499,0.012857830204809543,0.04863650664879968,0.0092100093712604
HEBP1,-0.028044628954033347,0.062014747294259084,-0.0027765314953404163,-0.027548605328437618,0.07128305164944332,0.025819496070582423,-0.021302845828553418,-0.02371200384986737,0.020447308319020835,-0.03988232686586552,0.031902439355066876,0.08239330277421227,0.014892162002006437,0.06271576349823578,0.0568306337848841,0.11113118499083652,-0.02722346041895538,0.04290877345208293,0.10528274621449117,0.018465866798646098
WNT7B,0.09631113184970554,0.001972589604777411,-0.006662444272391773,-0.013593285687082048,-0.048722227344754766,-0.03885252828979269,-0.0004752033874655141,0.03477391204892002,,0.04809776867174071,-0.01421670854172577,0.09140177577320886,0.002498387840145937,-0.008220006377713604,0.006515145795732063,0.029286633224622004,0.056173819844627486,0.008250922461270948,-0.03374371504216548,0.027954528017480725
PTMA,0.05740951559474905,0.02187527887912495,-0.006381388163420699,-0.07435128520207683,0.24265171424766319,-0.02836578418364777,0.004597606138844577,-0.022472821309061707,0.06489838590888143,0.07439943624048603,0.0067905308501988275,0.03457505883127,-0.01896484916363477,-0.09511198641872103,-0.024939673011168218,0.017354369135848514,0.02200393181404313,0.07151906666897576,-0.04772548144642291,0.03272754089836692
FASLG,0.0005994118010108536,,,,,,,,,,,,,,,,,,-0.009855185945896804,
