,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.0026187750198094707,,,,,,,,,,,0.24457246350323092,
BMP1,-0.060834308134659745,0.004937668568241079,0.03502541272854822,0.06474208245664022,0.13004711720831513,0.026959390387839427,0.002958824067136027,0.03594640566384295,0.09340774954943622,0.037522463924609305,0.10155792266984463,-0.005101966412360174,0.09853634500015734,0.0019070452458597824,0.06183375820009847,-0.04212887887565856,0.0890674904137123
NDP,0.09352015315707998,0.011399492248445999,0.04950300447589342,0.024355537351174412,0.028168123294667412,0.024202933235263343,-0.017360243070373416,0.09747780182739624,0.06199877387850378,0.0430577296023575,-0.023465621598082995,0.09043665806582453,0.03366726169103348,0.04930868452210295,-0.056708685361667274,0.09285870680133501,0.05261537914153884
TNFSF18,-0.03492908552280014,-0.022088505775392026,,,0.09953827191228609,0.003532318847590612,,,,0.021305143991899846,,0.07680600293893719,,,,0.006230380355636935,-0.02122942418293656
IL36G,,,,,,,,,0.10434083478800572,,,,,,,,
RTN4,0.016519890224579753,0.09394544583384007,-0.011046229313476664,0.0807583048046652,-0.18838056276953444,-0.018533917124974535,-0.06938892577887561,-0.01725119595792538,-0.00624217429173197,-0.026786141480476547,0.009356033342105764,0.010071916610324088,-0.019240791157988987,0.00891476910652981,-0.014529099447836412,0.06273456768400588,-0.15130383512349607
HEBP1,0.0545211628158349,-0.02162365465280934,-0.0370371118621509,-0.00026214175883156954,0.09065802302816617,0.02543601971585744,0.04235640905784872,-0.03734540717814222,0.0468706331843123,0.0056695739426786225,0.038864395188375284,-0.02047192411275123,0.05826173570167174,0.033884224910946226,0.01642498209585495,0.050633236476355634,-0.014259235442253024
WNT7B,0.014615464808891471,0.044277380051798,-0.02695613539729454,-0.019268704610703947,-0.08886571540653153,-0.0271075694309243,-0.0464756322322496,0.05574329073106044,0.02592293375855109,-0.03236213894396308,0.10854031259016504,,0.0001861542561184726,-0.034870374828658714,-0.02065931467466913,-0.0053649018436751,-0.04503425921581134
PTMA,-0.06022440429495927,-0.019157260890473784,0.009257111646545534,0.04989384034684433,-0.07632300805919583,-0.026092762921537647,0.11646728419754439,0.06526477322437292,0.04717319612839642,-0.014648035453031807,-0.13738225775964877,-0.02211910038771205,-0.1331607503242047,-0.01650135951648454,0.002214860499461346,-0.07540005511560426,-0.046737556897699685
FASLG,,,,,,,,,,,,,,,,0.08200981295324206,
CEACAM1,,-0.015300313663736805,-0.037102036769487125,0.08519801324378302,0.03833855682273347,-0.023416195406074595,,,,,-0.038218538713268836,0.03972324846929214,0.014966439467996341,0.07887487521381836,0.04103977679351217,0.04624677275214011,
PDAP1,0.05787971983851248,0.03067843190757851,0.02632820073224862,0.04553953075757641,0.12923996779899058,0.040508319359851996,0.0015336954539928662,0.06949613117745083,0.028710773645109218,0.09213895724611351,-0.010225819683012465,0.08452004271566417,0.03711966086241735,-0.00517059367294778,-0.03955385836058519,0.08942540798542047,0.04062755049390105
QDPR,-0.009611896802719929,0.004309411065969288,-0.029362746708440746,-0.08036331737641676,-0.2242137476193662,-0.019931982785040707,0.030986042675512398,0.059420132182866646,-0.0058717523071055875,-0.0334727719670903,0.06152840522788699,-0.13257289205923783,-0.0953387218262478,0.028669005120821305,-0.015600542212373584,0.13440409914690465,-0.05051382263698904
POMC,-0.007583396208883712,-0.003567556009166472,-0.03778792350729562,-0.0065992164859959455,-0.020716979767937082,0.12176277818834903,0.05815541392369623,0.06489535480985259,0.03508023018025595,0.004700614983703171,0.05307259977629024,0.03364632524111539,-0.024960059542736415,0.013596331737086739,-0.022430846863212128,-0.011672377436468928,-0.0345965769043008
CCL18,0.037006814878963484,,,,,,,0.025946502916600372,,,-0.06223822066897744,,-0.041561502395049084,-0.03071829278193121,-0.04722025413865293,,
CCL17,,,-0.025109062934036176,,,0.012595153138202893,0.023341473911097477,,-0.02244401585188002,,,,,0.041567789842453226,,-0.02892185128193482,
VEGFD,0.04025672706609914,-0.021914629631071242,0.01888858078517495,0.05885475118184433,0.13443964871721828,0.014976075080596694,0.037317732869757404,-0.016993078118755306,-0.024053946954521052,,-0.005539567813143846,-0.06040603546123823,,-0.016893073170700663,,,
TNFSF13,,,-0.023232923701071145,,,,,,,,,,,-0.026506978335800083,0.008407118360542866,-0.0013303443034056936,0.07763517307382857
WNT5A,0.052342048774352425,-0.03952391044339044,0.04957364253248873,-0.10577631698547006,0.136163889992301,0.021196844370343627,-0.006539481787478942,0.07175485846489649,0.045345849075737805,0.03880768682894013,0.02504892031999054,0.052839990853127794,0.08222451168559064,0.07354619549633151,0.042292777542008206,-0.006923455502277734,0.035049492063362817
CXCL8,0.0190460005295975,-0.020519560265011907,-0.02751002111309802,0.11416132251903036,0.08434816102898608,0.038884535087608474,0.009232691182868957,-0.02813825051363088,-0.023254208664666678,,0.047738760984967474,-0.015944743713206075,-0.07317556854379863,-0.05884290388154748,0.04173070729598514,-0.09681722309599057,-0.004611299747210301
