,UKF269,UKF296,UKF304,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,-0.015031585158022923,,,,,-0.01971270493166568,,-0.02928043361191564,
BMP1,0.09784885276306356,0.05583375039275615,-0.03298397909226484,0.0737183465497371,0.020759565486533238,-0.01139716627301815,-0.036442706914730415,0.045230246306193794,0.09723125392264123
NDP,0.08325122578773125,0.0524408848686436,-0.008137616863635014,0.12441544356787167,0.058757542969560025,-0.005298286176765706,-0.014033131181057784,0.055947606972188764,0.012835009690447065
TNFSF18,-0.00417157353197018,,,0.03231617951690505,,-0.020329364646351412,,-0.014807620886425316,0.060558027778036164
RTN4,-0.13530158546611165,-0.022696079311376006,0.07261922410307355,0.0047829297822993945,-0.003626528486273217,-0.019001854305960495,0.038254299125167285,-0.031511396369219714,0.018993245514458225
HEBP1,0.11084482667836991,0.0385885397110315,0.02097972943678965,0.007641933316266069,-0.0005639722588421811,0.020821975910431664,-0.03900920014501052,0.03405590446178114,0.011778765596240434
WNT7B,-0.049333957409871836,-0.020429736786849905,,,-0.02826307058333384,0.009132561600180536,-0.004566938982570314,0.06464415239640041,-0.04561172371899223
PTMA,-0.03527070080890619,0.009149824625494721,-0.05328023136250205,0.03849819111266397,-0.0049455988154769774,0.01776709296632193,-0.028537746029838464,0.003982060345656333,0.029914572339446287
FASLG,,,,,,,,-0.025394910082450168,
CEACAM1,-0.016295441660673718,,,-0.0336319848679632,-0.02226731025732338,0.04175974448558594,0.03731884936355803,-0.03533328754635037,
PDAP1,0.12819642070261064,-0.016872312704695226,-0.022148504961737404,0.10489169472529314,0.009553490275501647,-0.07324008780834432,-0.01614207353004766,-0.08634350995112872,-0.028421671520814436
QDPR,-0.10901266674808832,-0.06472474649192914,-0.05421487964937123,-0.03815077381441566,-0.030075852586552924,0.019804001570796557,0.002360475185916178,0.018364210667629235,0.008521875795626304
POMC,0.03764739717849626,0.03110713201100119,0.011285324377532699,-0.01922791185858639,0.019712316962024537,0.018112370523188346,-0.023359474666546847,0.09169286602192606,0.009023917459264445
CCL18,,,-0.03234170642597653,,0.03317700436854253,,-0.017613994772488036,,
CCL17,,-0.025286287115724084,,,-0.015797578859459184,-0.025990062747624314,,-0.02301763364311806,
VEGFD,0.05443869114332858,-0.018547797397214107,-0.019823588902371334,-0.0037295991579471186,,0.04855031540322273,,,
TNFSF13,,,,,0.1017896716688314,-0.027870981181074304,-0.016034982203472815,-0.026177391026722865,0.022340190548019404
