,UKF248,UKF259,UKF260,UKF269,ZH1019T1,ZH8811Bbulk
IGFL3,,,,-0.013038942024053556,,
BMP1,0.08505838718240977,0.059827599576711236,0.004303311614402312,0.07452427540024771,0.029988927588893582,-0.03491907707205356
NDP,0.0032570152903210197,-0.009029174250830432,-0.05656218675170185,-0.07474261143334422,0.1019799782830117,0.048355069068229325
TNFSF18,0.006102605170718093,,,0.1219375216763354,0.07258562897503498,
RTN4,0.009610213189917682,-0.012192569635921387,-0.050596952693800296,-0.08050253494884552,0.03650194321954358,-0.06385051439512597
HEBP1,0.01753262755983346,-0.03523611795497019,-0.004239940050867001,0.024010195729946688,0.04722923802118319,-0.0028803754313165004
WNT7B,0.0032359456557553273,-0.026976179549281325,-0.055487311078114755,-0.0014637310167163594,,0.07595162926714481
PTMA,-0.006683248663779974,0.03549762105243958,-0.026376665445183942,-0.06809891073096783,0.17920623292924134,-0.01700382378521157
CEACAM1,0.07368938236185692,-0.02136498458861481,-0.01540585108022569,-0.025479864903216007,0.047475484617509896,0.00795630182354552
PDAP1,0.05994702295919026,-0.062298967786899376,0.032616765609810056,0.05224813030510653,-0.06314795941143468,-0.030206210187485982
QDPR,-0.009591680457088452,-0.013449939704597909,-0.06387570547723512,-0.08148436827087224,-0.056871131211052126,0.06784692895543516
POMC,0.07171061248669279,-0.02900791424697835,-0.03100021542790583,-0.0328449584574432,-0.05454663073952933,-0.004895084727291771
CCL18,-0.0008422344232026423,,,,,-0.020765502542354517
CCL17,,-0.018054782359879236,,,,-0.02408935644013835
VEGFD,0.0255131961146577,0.03627162971977752,0.03499843994830782,0.07084392549098881,0.19604533382644473,0.07971914321313305
TNFSF13,-0.020222499111043173,0.010954591072543813,,,,0.004855285204069894
WNT5A,0.00382179417469846,-0.007246640208267021,-0.036955628546506754,0.01651641454202737,0.13360544534156946,-0.032411909814070966
CXCL8,-0.03966810554251087,0.015376726796618572,0.055124746773372625,0.015331855786652665,-0.06522725609331238,-0.09854935180980309
GRN,0.005786622707721504,0.004644104117371022,0.010949741066197062,0.03537178835795073,-0.034360827180937734,-0.09097010882651578
MIA,0.0017281858520785068,0.0008335894590748443,0.09375344061142284,0.044756816303741336,-0.026757333023052002,0.11499675755971965
COL4A4,0.04520809217139185,0.025713594519203162,-0.011924273864337781,-0.012848909547053828,-0.037958943321815326,0.09380548981315852
TAC1,-0.018832525275154083,-0.00756572025985509,0.044118055126332635,-0.06472127091587716,,
RARRES2,-0.03458473437872114,0.0009170628290725686,0.031001204288673402,0.058618012980542526,0.019626673469238534,-0.07589282386391562
FGF7,,0.035216097891009206,0.024714751280306323,0.009307869285477582,0.11717843537920698,0.0632900727840181
EFNA2,,,,,,-0.015860287816141898
HBEGF,0.07861225314920056,-0.008981466473538204,0.0646177129676498,0.08970088212751297,-0.04542444675863103,0.0040051462252911375
CSF3,,-0.021519726321663338,0.07897635782724036,-0.013593898989984532,,-0.06435784304492204
PI3,-0.0281924333888042,-0.019571747576631198,-0.04521468142037452,-0.015306909682768722,,-0.14310879322225978
PCSK1N,-0.0019486137625004658,0.005209246200261222,-0.03947687670909469,-0.009787396987023267,0.0388691581867463,-0.030444727869352657
NTS,,,0.07351222233852381,0.02981369026667046,,-0.019322751001450016
SFRP1,0.08118476199377066,-0.01575349549115834,0.06929917686933784,-0.04903403096326579,0.0685556302243512,-0.003373636642226414
CXCL13,,,-0.016664033767460527,,,-0.04074960069274983
MICA,-0.015392931231553126,0.02328453577628517,0.013574790982051114,0.06955068404419185,-0.02820073495684177,-0.01927870782674992
TG,0.0011559555259525616,0.11777800295695454,0.06474892393509216,0.14982903308460266,-0.07742429648851092,0.009998765002931282
ADA,0.01166689261453259,0.03793998423153094,-0.00864220178789565,0.10979996517228217,-0.035444793343444234,0.06649125110558171
LAMC3,0.05197479287590055,0.06773243166455077,0.039894078110981876,0.11732283105206347,0.009165479952075022,0.0023778068673537245
CCL7,-0.017045675469077044,-0.012291347010592188,0.07690425783339361,,,
NGF,0.018502244114552195,0.002560483454876416,0.03742951406618159,,0.11795629671307199,0.08717079034833336
TNFSF15,,-0.013687016058375905,0.07420248664253778,,-0.035139579795054464,
HMGB1,0.008676937641161028,-0.013115779495173278,-0.029846662287972364,0.004928241076915234,-0.026976183646714544,-0.07149645298475123
ITGB3BP,-0.008053043300864244,-0.03170599097064068,0.06265340636442694,0.031643226711440264,-0.05819350601854059,-0.03520958321927167
AANAT,0.045410192566345514,0.010994771814214932,-0.014739448166780024,-0.012262064765980686,,0.01589056780225738
RELN,0.0009200946313037873,0.005953507335324532,0.06026922268689247,-0.014176916286722994,-0.04295857895247077,
IL15,0.0635570998902459,-0.016167422031814316,0.06547012180406436,0.0920811429748976,0.05352998543854993,0.004276844339049394
UTS2,,,,0.04040533304612158,,
BSG,0.06255161860781039,5.780467784698629e-06,-0.049148106067253304,-0.02120951788630799,0.026310226345189428,-0.05603276944269694
ADAMTS3,0.025871014269149797,-0.025364099967693447,-0.006297779766112414,0.10120978068171928,,0.10594211708075543
CD34,-0.021486410401183025,0.012223786085679174,0.006183409946055268,0.05870770978344632,-0.017255309294392653,0.018964186472658788
CCL23,,,,0.09721577953959587,,
PLAT,0.07137917295424381,0.026324249719250452,-0.030094574098550604,0.1442125309280277,-0.03452757065704102,0.036244198073354286
NTF3,,,,,,0.13752226180145383
LTA,,0.05596483400624549,,,,
CKLF,0.002183663248881245,0.007102105254458844,-0.01887078370102123,0.043195839680305104,-0.05405997420541449,0.05888757004416172
CD24,0.05471863650354921,0.028949933898099058,0.0061136937888472825,-0.028745328700126575,-0.008775197261565582,0.06384124766173871
HSP90AA1,-0.07062790825828198,-0.013812760305602835,-0.023960303717054487,-0.08351620793174826,0.004701451436096224,-0.16123426951074424
BMP4,-0.007430199861483594,-0.019760515201637505,0.02368038429356676,-0.03755912266260562,-0.06429163475113282,0.014956039725125507
SCGB3A1,0.06476439940206509,,0.0648477688192771,,0.09713358415030968,-0.03036066663239334
