,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,ZH1019T1
BMP1,0.01891845437237399,0.04489277552288842,0.0744216989395303,0.0033622114214754938,0.0368949723296941,0.005481514246254737,-0.05087278930221382,-0.056457830601295673,0.05560970586806154,-0.021347007297755002
NDP,-0.047483949826844146,-0.0157683096886027,0.00396320886251941,0.006004565095615977,0.028129541825635335,0.022906114697995878,-0.013863133191041264,-0.08541229435021241,0.12852834708848832,0.024233779621519687
TNFSF18,-0.021153802866917593,-0.038357512777164496,-0.036945865509069475,,,-0.027522097458817618,0.029694864759417634,,,0.021779116787121463
RTN4,-0.06342208625203154,0.03650735366645715,0.03992807798791547,0.03245094551291865,-0.08319506967753933,0.03480735196719086,0.08794017915888976,0.15204647183820783,-0.02956798547963486,0.022496223691464416
HEBP1,-0.011513987816412547,0.04654543498454081,0.03259957193874086,0.0031641920930581603,-0.04141633862543487,-0.016402028307058773,0.027857333114292167,-0.11946214121188917,-0.05330134436424918,-0.014004167445847931
WNT7B,-0.018635837770224307,0.061636708825916806,-0.047326239185989265,0.045180029555582035,0.024671750916775155,0.039132059932466434,0.04798922785018769,,0.03379434522611312,
PTMA,0.014105759417038725,-0.02510711590931374,0.04367678231327425,0.03090519085649513,0.029153081139529507,0.008985003238237753,0.0065978295257234365,-0.1457839103871338,0.047235452249316225,-0.003881232596734457
FASLG,-0.018635843038527902,,,,,,,,,
CEACAM1,0.046945754874425906,,0.021976640025439184,0.03910013263675293,-0.034090978165266336,,-0.018704073457449517,,,-0.03759369517231157
PDAP1,-0.01074872471806327,0.010272126476147324,0.11793417356038353,0.00929769427165788,0.03582436464413379,-0.027394111215017482,0.0006481706780234191,0.009933302062274791,0.0838676022172502,0.002921315673790278
QDPR,-0.053385713142405505,-0.03936992896842533,-0.03337338583645742,0.012823024671340767,-0.04512828926248994,0.06548636574211245,0.022668126768229085,-0.15109521891665342,0.0355196563934973,0.010887389925104943
POMC,0.014376005494608235,0.021215922773687217,-0.03412092576402582,0.016356846024206832,-0.00413810727012143,-0.03266255583349479,0.009792269033672469,-0.05894503897564083,0.041965193931878496,0.013841024175390326
CCL18,,0.018467005148205023,0.04773264343710694,,,,,0.016244004509253847,0.05189961570168622,
CCL17,,,,0.035073907678150086,,,0.04980349259772052,,,
VEGFD,,-0.03562332565212402,0.048919392782521734,0.03374623913599718,0.03831658655254073,,-0.01743257503763969,-0.018236493972871134,-0.01837868104613955,-0.012591726609229458
TNFSF13,,,-0.0078858143707406,-0.008234390898915254,,0.0012931722233111697,,,,
WNT5A,0.0821583885360087,0.016291590643376378,0.01474273913437507,0.027514517757492377,0.044201644709923826,-0.0018510527438454366,-0.0168492373115976,0.04133095898584359,0.060889327561986846,0.029439039588869488
CXCL8,,-0.041407879703511,-0.0003140208648296116,0.03277621125370948,-0.019221980430193124,-0.02786385705085366,-0.011741196552714474,-0.04155487202277376,0.066197694414255,0.000843983248571502
GRN,-0.04809026035133039,-0.026263196801986497,0.04819538381303319,-0.052418113530697405,0.03510434428881003,-0.0026090120498382203,0.04030229540805394,-0.09288599658978461,0.03676864405031228,0.0360472955503043
MIA,-0.024392711155841018,0.00968550942626412,0.009463415491384134,0.0031396220769201767,0.005876075115294996,0.08878104947844044,-0.042629944603177025,,0.020237698443459958,0.006085087141269614
COL4A4,-0.021582577003994047,0.021525145531943804,0.0022324396908825575,-0.01489408448701142,0.10107828030062978,-0.025395015280298174,0.0011821782745157947,,,0.15329886448787425
