,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.012030816748186757,,,,,,,,0.039340432312708645,,0.021141257147331106,
BMP1,0.06319461231115894,0.0002944061085974242,0.01460037688074265,0.0038711271201443778,0.033169646682184195,-0.020387101177271355,-0.014777987436643786,0.025875550406113286,-0.010878329582639144,0.06485302454226559,-0.030900701766511714,0.027163408588264278,0.09749740215642776,0.0317841198375576,-0.023432888562929025,0.09718586991332565,-0.0644656479784195,-0.020787214958422614,0.005076787786391677
NDP,0.012794868655256562,-0.026479489953058294,-0.010128966546234493,0.009506248927025798,-0.04776496525308888,0.003469615057311702,0.003848822989131274,0.006793264639439546,-0.015588014952238624,0.029800054815638626,-0.0118563284563096,0.09039276030208152,0.011793652412210861,0.03947867283064251,-0.026182753403283902,0.03684452939102307,0.012074842072913313,0.15942124404171035,0.08545271378641389
TNFSF18,-0.023564847993650165,0.015055913675033167,-0.02723211930082302,0.07233434013328681,,,,0.1369794299448331,,,,-0.05090875776229793,,,,-0.03151068805775816,,-0.015774967076050746,0.0022659111344779047
IL36G,,,,,,,,,,-0.013752911436744552,,,,,,,,,
RTN4,-0.04221670575469218,-0.06095102335720129,-0.03290477290194332,-0.006052874775601516,-0.019993485687204538,-0.0021009157795796925,-0.13691806860116135,-0.09658068143527823,-0.031891410456498744,-0.018135615347649587,-0.0765108533527074,-0.04017209286483387,-0.011838172850849812,0.006175243601821846,-0.01307407745074388,-0.05257567067185272,0.056649592674344704,-0.037845455441406294,-0.059986779170549065
HEBP1,0.012500964448801461,0.06444005045576405,-0.030585063443732588,0.04753728614051198,0.055210374065332475,0.03033479381964138,0.09060213821370731,0.023039591047154046,-0.01566691843344791,0.005282482117007984,0.030210962178530438,-0.012907510946185911,0.008988922206363959,-0.006138391248496613,-0.028581597340415196,-0.06521137100117455,-0.016582210388822634,0.1100630680020694,0.04959576815413153
WNT7B,0.02410002366959259,0.0008840887205401297,0.024667319586971367,0.01691401225532372,-0.030606252870623848,0.021124083749623095,0.00831660367344595,0.0004117767876769125,-0.011246854349888613,-0.015116034573743229,-0.08382369217275974,,-0.03732873461677933,-0.023870656322595,0.0558260039860383,0.04263284672256537,0.0488291657613485,0.0010110399857549332,0.044406351744325244
PTMA,-0.00039139079547291034,-0.029600336573137292,-0.02233838363004933,0.019010013547196714,0.08415333290460465,-0.005450680570459429,-0.011855053045805447,-0.0635999086090414,-0.02038693296683437,0.022057509847760712,-0.03223869222874738,0.002385666094078435,-0.1359659285868341,-0.039924922364961306,-0.03352111052538502,-0.07102657984174846,0.0844487294385132,-0.16837448969991828,0.02712143209610965
FASLG,-0.03304278549292288,,,,,,,,,,,,,,,,,-0.036650745347162686,
CEACAM1,-0.024756328106897752,,-0.017332497619762237,-0.027977866114866703,,-0.015622883469925962,-0.017528510716406858,-0.0235098510947937,,,-0.06312134223965424,0.05434155927732147,0.15952470747432565,-0.024697624839234995,-0.02272327792992533,-0.03374687352376249,0.09890954681183577,0.0014164648327091296,
PDAP1,0.04598369167081788,0.09494808383166048,-0.0326232499393406,0.021164985449827624,0.008937891568443913,0.01944353794801994,-0.04541967890482629,0.05040075910625136,0.00017630150243299405,0.026575941857428828,0.02290579897966141,-0.00026766847582925386,0.0011204103835501546,0.033406788082798726,-0.005797311696392189,0.054076302801035724,0.09442288395527083,0.09480381967933901,0.025897970957377135
QDPR,-0.04439483830446757,0.014614634516279087,0.04617592122777075,0.004809914220473619,0.07078644373403274,-0.0013576715949736953,-0.00046200986254182175,-0.06635771097557701,-0.04427737762953216,0.008392072552416334,-0.03158648347763304,0.005117494303991941,-0.05878720511027864,0.011686699036870748,0.056878519174851656,-0.0016774109533324426,-0.05658615576999359,0.06366759519209504,-0.08043796569618876
POMC,0.02803465279346412,0.030787444576447956,0.0644669441003376,-0.022390088094007585,,0.0190516327740806,-0.03527150856575774,-0.0177149365027669,0.008256489168653746,-0.017398829808032604,-0.031027282438161555,-0.06938350904864833,-0.010040630650619232,0.1044851240996919,0.02551423120349533,0.05946994767001574,-0.03147211593651097,0.01963898606388054,-0.004301906182907801
CCL18,,-0.03691739313536823,0.125700443835259,,,,,,,,-0.05412325099485522,,-0.02373574845696947,0.03423904204335472,-0.02006862946128616,,0.0031410092558154415,,
CCL17,,,,,,0.05764809802860715,,,0.027223653762742363,0.09554714365600095,,,,-0.0175217694247932,-0.03280247824637184,-0.04028481824634561,,0.06301827889646354,
VEGFD,,0.03151216354707654,-0.021629326253609228,0.01151834906607732,,0.007307746454327915,0.005273966304481723,-0.020154845244789252,-0.010210820531568644,0.011181170605213658,0.014824820310146364,-0.04725055580817612,,,0.030999348461152904,-0.018457914140538916,,,
TNFSF13,,,-0.016322183671981648,,,-0.013205443462740937,,,,,,,,-0.03362164371603356,0.03488849009126689,-0.017920110466646405,-0.021603859939123705,0.05642485777372308,0.05553666780050963
