,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,0.05883574094175261,,,,-0.018872399064887857,,
BMP1,0.09624527258390499,0.036436943882584484,0.03403287741081592,0.02070089130388487,-0.005772876879184427,0.00515719603080741,-0.03234658339512515,0.059193699787952386,-0.030106071348506395,-0.035183953112981385,-0.0993971974887839,0.019752673878379368
NDP,0.13576052973397307,0.013084295708040148,0.04687013901149997,0.02164563760899578,0.011744381322946942,0.027081786817111046,0.002961107136689118,7.972607901766703e-05,0.06542073601098561,-0.04281635645608073,0.057852762495274886,0.02916782742585501
TNFSF18,0.04530346932338387,-0.024830504610871256,-0.011885402305511588,,0.04563085064642043,-0.029570434431538176,-0.012358478658726475,,,-0.019462772038213016,,0.058537446041430734
RTN4,-0.09001298484276025,0.02025726720847095,-0.04469855731792496,0.04839197623889904,-0.006726938164048526,0.005711500071484132,-0.016531599321433124,-0.024937952683173566,0.08838700506799566,-0.007144569941930506,-0.019781346222866814,0.021676226376204782
HEBP1,0.030745782995778966,0.0065862672669748665,0.01655185696635029,0.03205173451938874,-0.08365794799316367,0.002070251977862088,-0.009949124893943413,-0.009752896305575647,0.0722658908891815,-0.02949975257529346,0.027710907001370296,0.06816224298062346
WNT7B,-0.05159015217149998,0.03537663120050405,0.028382169753219437,-0.028339107189628683,0.007739645769855338,0.03301065292624679,0.011648614455161561,-0.012332312690747553,,-0.04069823082919235,0.04932662164086181,0.06304403916730308
PTMA,-0.1454330659349098,0.03623557562973302,0.022853907911580918,-0.011408105836952133,-0.056160189410255267,-0.0627712056857237,0.09109150902570598,0.01306913606535221,-0.014218253517626725,-0.06469658810302371,-0.044074360542401186,0.019090150782273125
CEACAM1,,-0.01580393568753256,-0.016443407943448285,0.023069262890960916,,-0.028234779396196116,-0.019436942719909513,,,-0.02796597147800909,-0.014279551632714455,
PDAP1,0.05420978791308347,0.044797747127158186,0.040042585285750366,-0.049720231714203485,0.006230457949029397,0.04745330137931876,0.04497534477945303,0.012178519426473938,0.04922380244565006,0.025184103996661385,-0.009407435804578939,0.038081704738269335
QDPR,0.0834037666439147,0.011925696131541038,0.03999082393670379,-0.036174280044516824,0.0027645914284747334,-0.04907667799662158,0.04432375155035481,-0.026071933514593925,0.030590140755843286,-0.07199959424011952,0.036720664880535936,-0.04111376064905002
POMC,0.10324947337151127,-0.03745709290698404,0.007113796277887417,0.03627539654208265,-0.0033492973756573032,0.0013376628391141786,0.06228248872434559,-0.007388687153216822,-0.05074607972516232,-0.019995973231539545,-0.007182810493447095,0.02407859317796716
CCL18,-0.039999255280545716,-0.001980356878306605,,,,,,,0.02624592451881636,,-0.04917514467300429,
CCL17,,,,-0.018966970902878126,,,0.02004474682395262,-0.015263946019111355,,0.016155619489879872,,
VEGFD,-0.04506746952868989,-0.0015115378648896697,0.03615724482499243,-0.021131300103101228,,-0.033359872894484235,-0.016421704923668567,-0.011196288998412855,-0.021300074114519823,-0.02624300737849878,,
TNFSF13,,-0.01488272184950288,,0.07570179784510427,0.014204814020616942,,,,,-0.026682907343389562,-0.01603497943178565,-0.026057542443025165
WNT5A,0.04680869093796238,0.005498076734140581,0.011975352107998079,-0.038039758827162304,-0.008230568465777034,-0.015203148230512603,0.027745988526776323,0.02628977669431078,0.027113734956045982,0.02798720449854918,0.012562121362694995,0.05976538812947943
CXCL8,-0.1281895878022204,-0.023886068345311897,-0.01875341622188813,-0.009479396765706556,-0.0298404625434384,0.005862593835111447,-0.01223263036929424,0.016221217349192723,0.013598709968541253,0.050720139108335456,-0.04319366824537988,0.03667553775119823
GRN,-0.03438078052370222,-0.013631895991499094,0.036990466441569905,0.03460374145714497,-0.031062747809233363,0.0005488331727580878,0.009825057810481711,0.029175907488016847,0.005985605238453229,0.030011295468247982,-0.020282741502570385,0.014982539169675993
MIA,-0.0023445453320934634,-0.029331961231146123,-0.03553301303814862,-0.03278197468669705,0.010700568673094761,0.05059720879319503,0.034721884459003975,-0.012733420819186759,,-0.0388496345117174,-0.1364726857770445,-0.025004429854707105
COL4A4,0.19158791687718474,-0.008578592344851076,0.0645932263868965,0.05082981590634862,-0.019960053664860065,-0.019622934248129435,-0.0160920967567471,-0.021391134320868723,,-0.025524206961745528,-0.02877823200976819,-0.029123249257063027
TAC1,-0.05682022535242665,0.016482703375780186,0.03330472872202117,0.025744292825911796,0.0768924986918328,0.03526495453506991,0.014292958532568756,-0.025488012454822826,-0.016825547202946534,,0.03876403459731727,0.06165202593160057
RARRES2,0.015198506803582958,-0.005616735809412694,0.023810402240252704,0.06465921666442134,-0.02721751413864203,0.004300919180276672,0.01279038917086401,0.02003310504312529,-0.0039392917512996554,0.02225012339097316,-0.08273053535933103,0.10333692234003528
FGF7,0.013621080452992944,,0.005338951532616603,-0.025069140922629747,0.046706064934003255,-0.03431524279824868,-0.005574230250186324,0.014550011662271344,0.011431558878881526,-0.06274550559569518,0.009775605562233537,0.055418947914265014
HBEGF,0.04252669375254548,-0.052914013189664044,-0.0012172308671355564,-0.0280673048581031,-0.02104822602895491,-0.0039242013260172666,0.0014053733504355488,-0.00942134014206858,0.061381722052972855,0.004762688178319341,-0.07320102373016564,0.0557354187800397
CSF3,0.007082483851852223,,,-0.02260697552842831,,0.016782124865939822,,,,,-0.02047168783319866,0.038438488888848064
PI3,0.005235366428039657,-0.020748184587981264,,-0.03901281450375993,,0.06014110441684241,,,,0.0025850453269220092,-0.08483434492900527,0.06409999398747812
PCSK1N,0.07329009244832546,0.009642025962605449,0.03598372989141774,-0.011207375986208466,-0.008767774700857375,0.04096554692750907,-0.03943464382204492,0.022927963519837613,0.035166434308523696,-0.008594656547015623,-0.1082146322598957,-0.009563635719021807
NTS,,,,,-0.008473794658141838,0.06490712004974115,0.01266199276433831,-0.005874330161535558,-0.019176908864042583,,0.07138058015631038,
SFRP1,-0.0523700154431545,-0.04034155613535608,0.03438844812723358,0.019421169390865963,-0.00661814134349442,-0.06815873382737442,-0.008280533802140163,-0.01526394617283183,-0.002204749606157555,0.02239213268083326,0.09775608047453643,0.04324804978164615
CXCL13,,,0.008056932148765607,,,,,,,,-0.03339358292962451,0.055457473695527434
MICA,0.007680357191674966,-0.053301265887370115,0.032925467343372594,-0.02703688387366771,-0.0440020207930618,0.012672798321384503,-0.007891487844438294,0.0060670348828783085,-0.06104956485117003,0.007556030399252257,0.037831294475840556,-0.04266252520826567
TG,0.07300641331603898,-0.03105707965186022,0.08877468442392651,-0.0018541868460747873,-0.02812558414779249,0.039639714766170696,-0.015528446428892093,-0.0110464514484964,,,-0.016848513666568088,-0.008246414327553875
