,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.005054564367428939,,,,,,,,-0.006602246831346958,,,0.04242524628437385,,
BMP1,-0.10027368953812177,0.052861000674672025,-0.03322046575770828,0.03736371697682461,-0.005131477031057581,0.03929332117236478,0.039661740316887,0.035149736190190316,-0.023170518337861788,0.08245557408358675,0.022403702804560065,-0.0009884961961718435,-0.0013001861343771902,-0.0172201860000381,0.05317411764010648,0.014809290903248612,-0.02189324518626014,0.051172957807818976,-0.04722130177693351,0.020040252159264697,0.1404097142869989
NDP,-0.041643405157351814,0.04682320679266387,0.023124332698959717,-0.008838995145505991,0.02485615628111544,0.0597286884768005,0.01426796773969898,0.049130750380082744,-0.04846854278839882,0.03789957269492655,0.03142304035839195,0.09080004392262007,0.04607235931481802,0.03677218626135624,0.009644260960241386,0.05886761329593671,-0.006988709198086869,0.05669027910304298,0.0559788602704226,0.01914608332818405,0.025442865390796474
TNFSF18,0.06897486778030766,-0.031601315821651085,0.07668692707967557,0.05759799718556706,,,0.00588071138087631,0.11941577176987468,-0.016298662021795467,,,0.04625668094455149,,,,-0.038345613773470046,,0.1739228859218289,0.01850293930274559,-0.028861145402811084,
IL36G,,,,,,,,,,,-0.0311873928748784,,,,,,,,,,
RTN4,0.0552684501206096,-0.0456954003134424,0.053753793346063714,-0.04128548950803393,0.0025630977553931706,0.010189595476150622,-0.09465020785599171,-0.04231283412446502,-0.05357485985339305,-0.12983782375789527,-0.09069773875189205,0.0384522226134578,-0.12101342564727563,0.042835954019532115,-0.07044603953402226,0.07761697719917268,0.03291555215243731,-0.04844546874715222,0.030926956140753862,-0.04322400298884318,0.06220575353609801
HEBP1,-0.04382234390775677,0.12338432444743398,0.08365211383287435,0.0327405417240404,-0.05069768696886419,0.08035955475403973,0.028018348233891256,-0.014695593965729505,0.001994753337077661,0.1498760334732731,-0.01687560231684999,0.00718070946448165,-0.019254200185480394,0.012891803798649338,0.04154795443601486,0.08417434056907254,0.0017845674424516859,0.08574783528224103,0.004052343560278293,0.02903885627759088,-0.046986638322958636
WNT7B,0.028593485660510582,-0.05700646190953753,-0.037700076088545365,-0.0005565448410185011,0.005100912342448482,-0.024485636981782816,-0.05042016632853288,-0.03387385298077027,-9.79282948585409e-05,,-0.03427853884829256,,0.017813305908055837,-0.032501353011143,0.07023448898035431,0.06678677519586247,-0.025385186751289725,0.012771231592468991,-0.023743220360661257,-0.04504276902092116,-0.06514302648847665
PTMA,-0.038422083487155874,-0.09582480684572246,0.02909529071732768,0.04025822570216414,-0.0059002979648487665,0.15566337569822644,0.11910821849584896,0.030000073853194326,0.0571933084336879,0.21021279438913185,0.01917290995587679,-0.047799990154258946,-0.1197093628899228,0.001100864427526914,0.017320852176536124,0.05120802446692671,-0.024462138724223894,-0.10453936892833976,-0.12701384067536062,0.018585903934176782,0.08051124987791541
FASLG,0.022906972125746744,,,,,,,,,,,,,,,,,,0.12956125006293623,,
CEACAM1,0.018675947361145927,,-0.029809916513847033,0.01905062629908625,0.08633643843017583,-0.013325622907547711,,-0.04934109914332706,-0.02563391246422628,,,-0.04493524864820555,-0.0014554922990752974,-0.018212111119549616,-0.01788811959922247,0.013511423480181091,-0.0168485176413829,,0.009764918772235417,,
PDAP1,-0.025907948437025534,0.030408933385800932,0.01537020331635997,-0.00665978025578654,0.046402693658935526,-0.025830733415188135,0.030786131613473888,0.022316319386541866,0.01595481118015594,0.02612501829762579,0.018992900231461086,-0.027242308341741753,-0.002750509264284125,-0.032243303725235865,-0.042200638757042976,-0.01051671516762188,-0.005095002799416665,0.08783054774205983,0.052688483682500536,-0.027552482832265187,0.16792942221301294
QDPR,-0.0006767888274211941,0.01784852370833787,-0.032358725905794535,-0.005396481324137762,-0.0201026655417351,-0.028466259299877904,-0.0008701235015610428,0.023828615933238234,0.02555352301078531,0.22927347086289795,-0.09050863988184495,-0.015980187015302436,-0.0889996267482996,0.013383909903818174,0.060973054644427434,0.0784410957815595,0.0007657775613317954,0.008939440375863562,0.08119242588161821,-0.061622512024162385,0.02167428807788335
POMC,0.06050099479546221,0.09714986661620664,-0.0273045715669334,0.023289812673069194,-0.02543032726996947,-0.034575481342041095,-0.00939455286485815,0.09166190598044884,-0.018911678542258944,0.05168538743250067,0.021553180166737847,0.06846122809226815,-0.006706408710732325,-0.03371213760572938,-0.04190547756823997,-0.012129562596681192,0.05350996921159794,,-0.022502329598101157,0.005675466202475212,-0.030663887994189763
CCL18,,0.02645662210849271,-0.0007544953470562254,,,,,,,0.06205357804152065,,,-0.04893395268372202,0.11294137280575657,-0.014537431242367145,,-0.058022010343974,,,,
CCL17,,,,,0.007131009053694635,,,,0.03367703720412056,,-0.028490568800984935,,,-0.012920611348364182,0.005223540209906118,-0.029773625659086173,,,0.05179101613138332,,
VEGFD,,0.027493767575708455,-0.017854685580547636,0.031311209342497426,0.07251282760427144,-0.0022089419142681723,,-0.044985506335670916,0.08250497606955624,-0.020502611239527437,-0.03053422503199752,-0.026682735114869717,,,-0.01788811959922247,0.10968351880039563,,,,,
TNFSF13,,,-0.002318076137996102,,-0.012891199921887527,,-0.015911881708503224,,,,,,,-0.024792712471912212,0.043583679823389544,0.03543628566513434,0.019882091538006526,,0.04104659206782436,0.03215415995229272,
WNT5A,0.009744691513412727,-0.003969208021074004,0.0335102739433616,0.06850823283641463,0.039190772904535216,0.0778511736731005,0.10566806669041537,0.07544460695143242,0.027400149032664727,-0.02525699364933578,0.033112060508889214,0.10304950178301855,0.08777839613651736,-0.05737932283438397,0.017649049020382942,0.005603647034740416,0.011955725985782187,0.07271060173770924,0.014732045562314465,0.07510337790463718,-0.04105516920422197
CXCL8,,0.011275242578022726,-0.013279537306147848,-0.007727226500456235,-0.012747235625262525,-0.053458805402782576,0.04398493098601859,0.040420011891265296,0.007894840832888609,0.10846058117374345,0.06619655138617742,0.0014080484750839768,0.04245040728762994,-0.0694542458577973,-0.005882376319502353,0.0552154742942364,-0.00595305408768832,0.0008676734487923542,0.015589696716771932,0.007510570623134611,-0.0016348155949678408
GRN,0.03561485104743344,0.0808272208542203,0.041846417798176216,0.03547369304903116,-0.013628302891178664,-0.006796965155213189,0.10289586533149181,0.06493564139133297,-0.030729439787355674,0.11733197871881874,0.005087720353794064,-0.0603667968896548,-0.009765844431730765,0.003894579674199046,-0.010950531161228285,-0.05125324127545272,-0.04297237227435933,-0.0005483615666527833,-0.10572780856542534,-0.015742637392627292,0.08880285456304131
MIA,-0.007179688994687002,-0.023794770855645783,0.018462000317515055,0.0019026973983357217,0.028360879449277846,0.0005852934717795177,-0.028771750913775117,-0.07057104688608254,-0.011709691145713297,,-0.0011423102259008108,-0.029710112498920836,0.08259666383482359,0.06848790736893598,0.1282356548563315,-0.002683295664209024,0.017400347651349065,,0.0578008438643886,-0.016789486316373427,
COL4A4,-0.01556711122499608,0.05316488075628061,-0.0043572188312153,-0.02372617636153526,0.008067330339229878,0.004490310978658953,-0.015139452452089886,0.02071487389024204,-0.008235394895718366,,0.0010409560956145172,0.026824516999858737,-0.04868093265493131,-0.007580196251854758,0.03082843821077777,0.06378756937544203,0.021302014783329385,,-0.05088189640039441,0.06242802962771329,
TAC1,-0.035453721026679014,-0.06020209691699364,-0.04279268469669289,-0.012523543855841176,0.03225788495426506,-0.0350660838255759,-0.11436525752820559,0.004575527323134902,-0.021678185847352746,-0.10569579214311413,-0.07188972498088851,,,,,,0.024529445260066247,0.06864016480139282,-0.03570688970459757,-0.05480580379309618,-0.012744024991829484
RARRES2,-0.003235271623318939,-0.052456957782142884,0.04699534986743995,-9.241326632106016e-05,0.08437766107647711,0.06864905620288461,0.061229508695163644,0.05409321487178212,-0.038411824726651105,0.08762797240976629,0.07794145990512164,-0.01699272325744623,9.261004751289439e-05,0.0011713050731313457,-0.01792267788520171,0.02425111389757873,-0.01369591694570539,-0.06754331159481898,0.05291810428659546,0.054565310393756464,-0.03866717958378993
FGF7,0.005038381092883887,0.08000771703627942,,-0.000591298901467066,-0.0026621503051324075,-0.032389056303483904,-0.04339221673218276,-0.05206466583119578,-0.023624046492253074,-0.02216661528655224,0.05518925373415259,0.044357085094670005,0.05806266322561515,-0.03397518094981225,-0.01148904476631831,0.03383222186302168,-0.025127785784744044,-0.004759356245648268,0.1165600289174216,-0.013543776854869245,0.12366726546534174
EFNA2,,,,,,,,,,,,,,,-0.01700146055105246,,,,,,
HBEGF,0.0824272063637054,0.09964307620411712,0.018916406330261558,-0.0046201403893027,-0.0421995318909879,-0.05125407092588114,0.058649155220275605,0.015004282821155387,0.0730725336433231,0.1202815626646074,0.06672928234188205,-0.10074154616339183,-0.005159178062379844,-0.015675041306387527,0.08368413030548728,0.02364183365066483,-0.040278700363887365,-0.054438373242598904,-0.017624966085797323,0.014677149704856642,0.03602552548554869
CSF3,,0.045570621452284306,,,-0.02882370218286778,-0.05785776333226041,,-0.03281650683637105,,,,,,-0.02571378701753815,0.00820823749073792,,0.035914256096561285,-0.004639849694394412,0.04442301563034475,0.016354916737868846,
PI3,,0.04443129913179553,-0.030110578724247654,,-0.015325284182432973,-0.08401109236972971,,-0.036951819828761695,,,,,,-0.042041653383828315,-0.004548916165006208,-0.008926929015404886,0.01824805924485653,,0.029531574598204435,-0.03522380889180604,
