,UKF259,UKF334,ZH8811Abulk,ZH881T1
BMP1,0.02072534604110581,0.07849044501527444,0.04325095223587926,-0.033553361384368874
NDP,0.01638224163179967,0.05531060659347388,0.04972024707102226,0.09370836361608216
IL36G,,-0.01956199988286436,,
RTN4,-0.034028680375623975,-0.0038331750043610405,-0.05312837201337779,0.06634012351107775
HEBP1,0.0037311791825420963,-0.000528200140019721,0.06427655510232305,0.010347817512860456
WNT7B,0.004510210200081363,-0.021500892223511165,0.007511255304400266,0.13620063415165218
PTMA,0.03354351400153579,0.009886652246726671,-0.052788825091167904,0.030765744256134788
CEACAM1,-0.025892616067957192,,-0.024697623724096826,-0.012712569437745642
PDAP1,0.03468568814175948,0.006612125325260928,0.017629407228881035,-0.024238998959308564
QDPR,0.04204578530975346,-0.012015698253815002,-0.024233317115644422,0.040681548944033946
POMC,-0.024112254637149867,0.025381416904462602,-0.013775940965093391,0.12422328222161325
CCL18,,,0.09487334638055635,0.01649745097425819
CCL17,-0.015007680523775602,0.0006984110273466521,-0.01752176863365664,
VEGFD,-0.016720213397451188,-0.019152306475108606,,
TNFSF13,-0.01035196214349223,,-0.007207325034043329,-0.014275363449955076
WNT5A,0.041468704481149525,-0.0003156508261877633,-0.047073072386186805,-0.014172250300396077
CXCL8,-0.03883100066644915,-0.0324711944040335,-0.06488613573396443,-0.04075855836695384
GRN,-0.011595347787496048,0.027500324359102376,0.02578823440493811,-0.037003896186260966
MIA,0.00766370810099867,-0.026229961421140178,0.08052330747830869,-0.06571957469811945
COL4A4,-0.017270834808011854,0.0027869900343692688,0.055271634541030554,-0.010707253639551613
TAC1,-0.02553127089024314,-0.037754287939058224,,-0.004948947546819162
RARRES2,-0.010747699230724253,0.011665626060818475,-0.026254785288423853,-0.024964747278557495
FGF7,-0.015143797363953508,0.06764198312195767,-0.009245879281318387,0.046283360709562626
HBEGF,0.012426428296233935,-0.037324070120623325,-0.03343015575641886,-0.033414149613576354
CSF3,-0.01788784661909202,,-0.04675991160284364,-0.018225204809033568
PI3,-0.03086902275560002,,-0.07844828694892228,-0.07119363411962407
PCSK1N,0.03252365990665554,-0.05475456929595715,-0.031659743868170005,-0.004970583930404333
NTS,,,-0.04087646227342631,0.029534154341847318
SFRP1,-0.013094781357731369,-0.010115546156562459,0.019092845401381293,0.0366452120864482
CXCL13,,,-0.039357484817113444,0.007505703914304339
MICA,-0.049825739048126955,0.06792659908346724,0.05334037103994859,-0.04191390096989438
TG,-0.014131343746771068,0.04948386338841388,0.013478487156260592,-0.014999623616917264
ADA,-0.013901719733457869,0.015993391918424475,0.05631542233837823,-0.018823194113943294
LAMC3,0.07648922908175879,0.03738330869893037,0.031065812735232373,-0.051614700753586006
CCL7,-0.010216938950853445,,-0.02626109240328514,
NGF,0.026101890204136162,,0.02935536105805937,-0.019636793124036114
TNFSF15,-0.01137706122585827,,0.008471098826541283,-0.011317539298249142
HMGB1,0.04051412567489455,0.06231055161194151,-0.03977320864844554,-0.08045703218301535
ITGB3BP,0.014202143858671391,-0.003753847933728038,0.0015352527067225821,-0.04865473531738181
AANAT,0.017919310934808468,-0.023971488962822012,-0.023038387996908112,
RELN,-0.017968689928273086,-0.000854369547628558,,-0.013670360964204379
IL15,-0.0009704963796052334,0.04024105911478672,0.031416803505426825,-0.027606961557740856
UTS2,,,-0.019618873503423083,
BSG,-0.037609240377443086,0.011178700451646463,-0.012221211534297092,-0.12566240232688397
ADAMTS3,0.002088661090616169,-0.01857569127990693,-0.022274272494033288,0.06481996628379053
CD34,-0.03050661314580967,-0.01577334598401665,0.02431888961866055,-0.05601966591551791
PLAT,0.05426534284263247,0.02360166691538098,0.02625691789672017,-0.07819107764248107
NTF3,,,-0.0061569933863440274,0.16129593905404546
LTA,-0.013094780745136914,-0.022232450813204376,,
CKLF,0.01287152535331643,0.052830640695523665,0.030873521703979327,0.040074091491118506
CD24,0.029008829209333422,0.012777250144719683,-0.03225458071129712,0.1194249271294985
HSP90AA1,-0.02763643284131213,-0.022787420409862754,-0.06327370551836246,-0.030763211092807472
