,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013231777339730674,,,,,,,,,,0.04675716850290923,
BMP1,0.089509899935464,0.05539695660841863,0.056624743515529874,-0.012303875659477112,0.004809895214931256,0.0943172612518465,0.09157730156110837,-0.00809354474915065,0.03575594631521736,0.03801683321922705,0.0482219711730183,0.06853824058889332,-0.035719970132888676,0.05393973319829015,0.035560077508206465,-0.02486672971280744,-0.023369430098612354,0.016728885964322697
NDP,0.021512467124459072,0.07513500971050034,-0.0018339169463794677,0.006665524658251278,-0.0007591568139473247,0.01568401918592913,0.05279787934254084,-0.045729152069279654,-0.0011995124595954294,-0.01051463080244799,0.06252051399664675,0.002737256852597425,0.011729001706703464,0.04386201628074605,0.06621755970281024,-0.04725411854955069,0.062222524117170684,0.0032771602423395485
TNFSF18,0.07353830347520393,0.12632925613480725,-0.03251737023934541,,,-0.012582394976069378,0.01997105623573305,-0.01288057700821946,,,,,-0.0074829650651408635,,,,-0.01818365620158595,-0.02430872834009309
IL36G,,,,,,,,,,,-0.015082912256850173,,,,,,,
RTN4,-0.002350095582747119,-0.023976533358530127,-0.03771071075969211,0.01848233796529288,-0.03040854178472581,-0.026421066293242843,-0.08103530721538713,-0.00042911039195393726,0.009952773383096582,-0.009021870690614454,-0.02190155313143583,0.004960495488723671,-0.03993172963530645,-0.0006069418089444903,-0.007979622490806746,-0.007730892884668649,-0.049194451396935505,0.012101109539929971
HEBP1,-0.012990714277889765,0.03452339414169635,-0.04125665783725159,-0.03015798913553975,-0.050185094676096935,0.009639894418071065,0.04446003658629972,-0.00329357263468469,-0.04119109893238831,0.04601290213700816,0.010674174990196225,-0.04309873330233376,0.04833219049973787,0.00028566900832140536,-0.022632867139319002,0.026880607670010204,0.06735861327041913,-0.019328217330004963
WNT7B,0.044815881424572594,0.00760231052084527,-0.012775579709383741,-0.0022707293438465376,0.001891449681316016,0.06640340639880171,-0.05476591774886646,-0.0369209749712379,-0.010749563873455955,0.0008498723860202876,0.003636975614746144,-0.02352351309969297,,0.07451884490958192,-0.00369793243775542,-0.025623811439099094,0.008975206218899108,0.08221672459344416
PTMA,-0.020521516406746987,0.07565663924429922,0.047737549783534,0.011492716676293641,-0.05836326745394134,0.05992511904351523,-0.07630703974292069,0.0017690666980767049,-0.0002794930486639685,-0.024384191186707708,0.03080661888976673,-0.023593804668563683,0.09546122913506731,-0.01661078572920088,-0.06347106638441322,-0.014997845255016972,-0.018003036456291,-0.014068339849966848
FASLG,-0.02078330719977841,,,,,,,,,,,,,,,,-0.001197246739258964,
CEACAM1,0.020085746575385706,-0.020060547251295177,-0.019612604485655653,-0.03567531542144007,-0.014777319648623886,,0.0347555882584977,-0.020258079042064246,,,,-0.055828601486007386,0.03573733423039615,-0.02937164423664176,-0.023942731148884434,0.04866706147366843,0.029860935601155623,
PDAP1,0.03253603375818547,0.008538070014386074,0.017812296880095203,0.02907982728461322,0.01933919379269145,0.019607967957195025,0.05966369621925173,-0.028985253493543015,0.09950012674994088,0.031243808347550858,-0.0023132731568351146,0.0695224160057256,-0.018074877588434294,-0.005179354186389182,-0.05325086538072456,-0.03028592014617295,-0.029704864437373774,0.06020031899016491
QDPR,-0.058909366274891094,0.0560336337018689,0.008231783623252432,0.006927343010177799,-0.036371440764219394,-0.02501480059583051,-0.10947958915716884,0.0008546613874308789,-0.01791316862623909,-0.010050085889121442,-0.00037923847670838756,-0.04509880923493305,-0.05714455228795835,0.004912163650611266,-0.014933368140207907,0.04053109672712333,0.03633911684395987,-0.02944901118948869
POMC,0.03614160825889929,0.021572589284913308,0.023025621137336517,0.04542461529997165,-0.029735461557353644,0.014145129469909397,0.04974013237995435,-0.014945602988301216,0.014396174020410131,-0.02422257576111557,-0.009200426912430889,-0.07857973669533469,-0.007920713595652022,-0.004726806915652141,0.060557010485040565,-0.0010673892654661818,0.004292017474116617,0.0021047766483004837
CCL18,,-0.025033667568324876,,,,,,,,-0.01986531501366154,,0.0020530392999783295,,0.07890981757403959,0.03147452577406738,-0.015727776687919626,,
CCL17,,,,-0.020677854065602665,,,,-0.016064587300564367,-0.013304946672048353,,-0.01377866855036642,,,-0.020837759958355333,0.036908268640993856,,-0.018782465544704093,
VEGFD,,0.09757971869316899,0.017537917830398726,0.0676584263237352,-0.014138102775176672,,0.0972363980624369,0.11385866054999792,-0.0097593392863294,-0.016365751344362554,-0.014767025856768812,-0.01392418026177121,-0.046919805357420886,,-0.007105447166673254,,,
TNFSF13,,-0.018891214871581682,,0.12507403936498773,,0.10742615940614435,,,,,,,,0.07111353153815277,-0.015320389597634569,0.06038457364948546,0.07945297679377078,-0.026444429044639093
WNT5A,-0.0036566450747114254,-0.04461958931407331,0.007582836082367911,0.060211975541143686,0.06337364946995071,0.07705161117126379,0.09310489090816704,-0.0386049917527592,0.0007658022293845009,0.01938117591657115,-0.044938426038283526,-0.004294371765325776,-0.05109978130113783,-0.04844913854614432,0.0027862055052282468,0.007115314107747881,0.004146059042274801,-0.02637874818338389
CXCL8,,-0.06637959182871543,0.02456951762183007,0.0614931186555763,0.026223449863567956,0.003635138861446099,-0.017257107084367264,0.006070483814471453,-0.009088321093609745,0.0031574072112808675,-0.028547867639336862,-0.14083397506875955,0.03416135721774113,0.021264852944571273,-0.03711771711085821,0.02142371864916878,-0.05290407013409939,-0.029866039516919213
GRN,-0.01779556040638693,0.015493384044173079,-0.02331599355699623,0.004012554325653187,0.03972936958004497,-0.010951896820331134,0.09251445398861895,0.009243268432540619,-0.02399161608956288,0.029071542256269588,0.04087546418523524,-0.10778611914727286,0.011946656087364489,0.024505107733242285,-0.06710406454450386,-0.008469453570811285,0.02047026901651822,-0.04932923304461899
