,UKF260,UKF266,UKF269,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,-0.01680310260935168,,,,-0.01777121584272391,,0.059189692229692295
BMP1,-0.017584724247127533,0.05905854691764179,0.11966513114342843,0.0023914856555737793,0.009901101744934878,-0.006537393630786569,0.023170944669398952,0.024319904179717466,0.005646652420066292
NDP,-0.04747932788666545,0.05248228847328838,0.02057785095686289,-0.0206255083801484,-0.00826777036971738,0.07062285483644926,-0.04336445151726215,-0.021704208334551903,0.05237676346146343
TNFSF18,,0.04193840234188903,0.005865654413748874,,,,-0.018327141218220655,,-0.008303239546568817
RTN4,0.03644155995731541,-0.05661504264460928,-0.1691565641508114,0.006663218035954073,-0.023694712545376462,-0.04390656124919906,-0.08500772761301256,-0.016995804863272842,0.00572785319885749
HEBP1,0.05445464471602472,-0.009874775286496608,0.03494346859471515,-0.03790156696088658,0.06028122903809582,0.047897552163459554,0.015559688297579869,0.028612026667286565,0.014668211084468877
WNT7B,-0.024041217108394897,0.026668810142661672,-0.06954752274030093,-0.013333401732465127,0.020128136615140884,-0.008874155125395196,-0.010958438577749923,-0.0355514227636182,0.025182060724164988
PTMA,-0.03824548006876881,0.030014544613288223,-0.030558281760188582,-0.03313013398890394,-0.09650028061674397,-0.025014495743804918,-0.0036884482100284495,-0.027597838276859493,-0.023291428435466617
FASLG,,,,,,,,,0.017765461898437897
CEACAM1,-0.014777320781550952,,0.05055411134763813,,0.03381749360393654,-0.022409297836332935,-0.0263341885511424,0.04185388974028761,-0.02040062878350438
PDAP1,0.01755805451399665,0.017854295925557817,0.08281476077622406,0.02037041073340802,-0.09291143460634212,-0.010212780208859861,-0.02488107919734799,-0.026437539705490006,-0.011808665716386321
QDPR,0.00849429987747544,0.001829937679909993,-0.10566587263301916,0.039678184361523317,-0.004167647046717264,0.03776304845607796,0.008381430164293243,0.052583173961440396,0.08078249043962424
POMC,-0.029735463837070805,-0.02357987884097615,0.004715831344925346,0.013419915744119123,0.019173018538487324,0.04706716663180805,-0.017293349655931232,0.030139367796215785,-0.011565351523982139
CCL18,,,,,0.02480495125935527,-0.008690217132804339,,-0.01991781506924918,
CCL17,,,,-0.016503013619510867,-0.020449246884730786,-0.032349228269778686,-0.023430321534008897,,0.023892511316176725
VEGFD,-0.014138103859097145,,0.0561054040161637,-0.012105160067877664,,0.0513518421875724,-0.024711757465598578,,
TNFSF13,,0.04352825308373924,,,-0.027690385843211932,-0.035162505144321926,-0.025125989763167215,-0.01260508937531938,0.00019382466473788547
WNT5A,0.024803115235464832,0.02736410673556409,0.12254940374176747,-0.016699254697080314,0.028398167299801422,-0.0021255149666375376,0.037984642987150055,-0.009773144136941907,0.025241524626243534
CXCL8,0.01706439914347522,0.0617898348688712,0.149694261699395,-0.011272851405066077,-0.018497194871743658,-0.06884781054762733,0.07869604055776383,0.03589565530728777,-0.007435504705659581
GRN,0.009460430163367289,-0.040995893566198816,0.09104469958462061,-0.012713038767263103,-0.06915849015856759,0.013017838450153698,0.06998376237021588,0.05654024638429536,0.003504560266212523
MIA,0.004695462425328375,0.023598114410785208,-0.014152183014172069,-0.013767070254237986,0.18083202141980576,0.08558877112834734,-0.0032131669628180843,0.011465675573867466,0.0881535899143662
COL4A4,-0.03670038527838833,0.017632317229007124,-0.016558210408416582,-0.023127583168342142,0.024150917237888352,0.03410945219669366,-0.036092516332492566,-0.015420400390368903,0.06744758037390382
TAC1,0.05932570468823432,-0.00844605731903666,-0.06576087165722116,-0.02095769381138242,,,,-0.0407098157683592,-0.0408021313303818
RARRES2,-0.009826883896300305,-0.0104353528223603,0.08537216907393329,0.006532830648699002,0.02285655540477269,-0.04561666988335934,-0.020361476764645323,-0.022256922504116716,0.04181821852457645
FGF7,0.06792656003036661,0.02020816005742314,-0.003055487469152725,0.008345846286419559,0.031742287442117094,-0.032479943518115784,-0.041324041410977945,0.0380767052561629,0.06869522383164954
EFNA2,,,,,,0.058274999814585275,,,
HBEGF,0.03409332264714239,0.11413812261159902,0.04204024509607204,-0.03108721172861851,0.023853994659354293,-0.010045848814592436,0.03779507647861749,-0.029758646259139338,0.01914558918905675
CSF3,0.037872097988058524,,-0.0175182679061304,,-0.01593137982020904,-0.04768988016631627,,0.07113122850476117,-0.019770118947479206
PI3,-0.01523272232448275,,-0.019725800878412223,,-0.05232181656836343,-0.07266771090637122,0.00583342648958849,0.011771444773761653,-0.04415018979269262
PCSK1N,-0.00992615142101048,-0.032199147415598754,-0.04332337217688234,0.006067168333623986,0.03485445947002755,-0.019174778512953256,0.060080532568158644,0.0051768475460311466,0.055844582020224014
NTS,-0.047360922264232545,-0.014971924777954785,-0.02153205855298955,0.06802853765856379,0.003753738449249659,0.03984892941989943,,-0.036093686831029884,0.08393675748419037
SFRP1,-0.016129128111250647,0.08222750777666804,-0.056582075235668966,-0.01650301378570977,-0.008370043855784508,0.07232151587576943,0.07824317054629105,-0.011146294979046964,0.020430479075194574
CXCL13,-0.015984171936624603,,,,-0.007989272376595167,0.018764292940972857,,0.018020807695157442,
MICA,0.007931572200557875,0.002551114485987761,0.05087543537606602,0.020299961181706704,-0.026211117685707448,0.1094875782699,0.07445364209964848,0.01913075433153819,0.07022778951130446
TG,-0.03420926176659747,-0.017281547991881727,0.015253940245186837,-0.011943159290104385,0.06818034804202783,0.07369064146824429,,0.04101570384712744,0.007039110795802399
