,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,0.14681941507102356,,,,,,,,,,,-0.02851795070710141,
BMP1,0.10615507287521597,0.002756921516276956,-0.048491707176590806,-0.019641566292461186,0.09269032020755034,0.10536584293567003,0.03195446838749715,0.008014378469512118,0.04399280013533468,0.046535428163038475,0.06205788722752229,0.11728375255876658,-0.04812644909094475,0.05746966732965996,0.03490653225940162,-0.0331951658848315,0.0463092412347221,0.01323435853225113
NDP,0.056631030468044644,-0.06854301468651898,0.0215611384501292,-0.0013480711656157463,0.06152184897062521,0.041332599654723676,0.014708769550635414,-0.020502818155357254,0.05532391464750685,-0.028660434707786692,0.024462259388336283,0.017825113844591685,-0.05118188813248392,0.1242945665376281,-0.00947874723808192,0.008447367026952153,-0.025428323756927627,-0.003998656355451128
TNFSF18,-0.028800797823692503,0.02635988081308377,,,-0.02061179714021097,0.013277998342086789,-0.02143899123666911,,,,-0.027396218348301478,,-0.04937558595808607,,,,-0.0294100591928432,
IL36G,,,,,,,,,,0.05376069198283155,,,,,,,,
RTN4,-0.04533162589180256,-0.03748348137480813,0.037246813895834736,-0.0421930841862727,0.0018035178508669719,-0.12287522765880933,0.010216611708457885,-0.0238515571953859,-0.025664739027444664,-0.02394018831208759,0.027623912738325193,-0.12865347370663288,-0.007512733757081896,-0.05952147907474009,-0.03815406970068045,-0.027580398085840733,-0.1309643384433802,-0.0411018457793852
HEBP1,0.03731867804366478,-0.014290155293527325,0.03510956548824105,0.01774255146279539,0.037810628597898646,0.06700842840651351,-0.026084318860792096,-0.03710236496497549,0.028514897411772055,0.02640374808640037,0.018167673898670588,0.0628269644443869,0.09530059210913448,-0.049802245323979935,0.04407191504117234,0.04622423305520888,-0.027317213612951106,-0.004958014249582283
WNT7B,-0.06722138227500131,-0.015709239525174813,0.011655792525209402,-0.036025971346663396,0.037560135649421234,-0.0860963087468602,0.037968773816160456,-0.009088791371060004,,-0.020701692782933094,-0.005511690908857839,-0.03258859768768014,,-0.03274975490221592,0.05560089246214755,0.029186985069873852,-0.01226177884349987,-0.020893033197269515
PTMA,-0.06896719546919906,0.04048692675030335,-0.015405109396928346,-0.019412846072665257,0.030394786675266225,0.008709985291301353,0.01891911560387638,-0.022344629199601233,0.11405752176680534,0.046437345745381935,0.05747926773790468,-0.21416487969759107,-0.09812554075549731,-0.057822290909603724,-0.06339133534109335,-0.0057945710567822275,-0.04645134723879989,0.06964873609367914
CEACAM1,,-0.012055896488437145,-0.013677355594668757,-0.005239089074800426,,0.004172895440891052,-0.03371842571783999,,,,,0.003616533503431903,-0.0554969183041096,-0.029370504760535963,-0.030794236405362583,0.012947147562792097,0.018077967513555924,-0.026613612165281544
PDAP1,0.014871781173393238,-0.007551732341911163,-0.01728401849920608,-0.04078938265125105,0.029625741631715722,0.0934553582238344,0.04543906178966149,0.02791482166819202,0.028217238948858383,-0.008074414651719543,0.015039165602963717,-0.14654438398880615,0.03943583497513992,0.06201582968399514,-0.007954400204469305,-0.01975477953517578,-0.017866226403315807,0.06351954409084311
QDPR,0.002792229132817507,0.05783312242086863,-0.0011259717741269437,0.036491783251172964,-0.05823734491056684,-0.010025589892341138,0.010262647110278106,-0.00863553076535188,0.1260923333488899,-0.011533940523292057,0.017426330445251322,0.07588363905787314,0.01875328848281656,-0.11486796016766472,-0.007790436414719879,0.05042977565476657,-0.10038191795836472,-0.07585892745670554
