,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.01595431306857704
BMP1,0.017762011690960238,0.0012597261416431884,-0.051491307049007486,-0.024127815876649195
NDP,0.07319346250442905,0.03213869533292845,-0.03394850725354405,-0.027591394166079284
TNFSF18,,,,-0.026912073808298756
RTN4,0.05950654274281735,0.03443039191701436,0.032926257511669804,0.0892138306150517
HEBP1,0.014338093101546028,0.060998407564883235,0.02388436444782139,0.0027336124592577927
WNT7B,0.0006064607283662206,0.001388216462476523,-0.025860404422708774,0.04486616844301432
PTMA,0.013093021740023981,0.024404649454228544,0.05632543767043919,-0.0038742408623690027
FASLG,,,,-0.013837170281484316
CEACAM1,-0.023621187685734263,-0.020089994730681807,-0.01716392652132718,-0.019252390136296454
PDAP1,0.0336144574043837,-0.02350481330731315,0.05235961058851519,0.01087015576459065
QDPR,0.08183522409349481,0.0058665667780282565,-0.014459958677686496,0.02304238160324204
POMC,-0.039472024648734255,-0.011531328389671497,8.40905425170314e-05,0.06326324736335724
CCL18,-0.04322648371337097,0.030763831370350665,0.009057805508453566,
CCL17,-0.01675808936540718,-0.029001168632235286,,-0.012541840674472554
VEGFD,,-0.020089994730681807,,
TNFSF13,0.03763747693687963,0.035181894181085506,0.05673586675751499,0.019561471157501526
WNT5A,-0.04701180714552981,0.010727778006616158,-0.022955234636000844,-0.027425842776996
CXCL8,-0.005826594980022207,-0.042957571334077564,-0.005704957466463229,0.08203058031265408
GRN,0.0352244132741852,-0.04054763528155256,-0.05326268002871699,0.013854239002882148
MIA,-0.015233015296022678,0.006908127620540481,0.058181592783304266,0.0342816470800566
COL4A4,-0.023264465977136495,-0.03216722281355328,-0.034591244342555776,-0.0015653238915870667
TAC1,,,-0.029612662951455707,0.033273805916653625
RARRES2,0.002218192621141214,0.019003007017890608,-0.0003307504976470056,0.011309998057872406
FGF7,0.007769237138031537,0.02689459440553334,0.01894074431313355,0.04688430289640672
EFNA2,,0.12800073437200635,,
HBEGF,-0.015283618519020251,-0.004000211788970605,-0.007272304374854272,0.06269541156338715
CSF3,-0.008440480462140822,-0.008996291704462854,-0.024606833237786705,-0.013204623422932597
PI3,0.009013525935555497,-0.008887101799936355,0.03499130124813941,0.0005065084967447955
PCSK1N,0.05999605447467889,0.009339410288209471,-0.0024304535764878288,-0.013333669211129367
NTS,0.005798798517869936,-0.023262653845663582,-0.016914256424309777,-0.01955424669083678
SFRP1,0.06842141067585032,0.006074458713677032,-0.0067779308022900475,-0.01909985553728919
CXCL13,0.009190315230647988,-0.04905843144142966,0.01777904680008105,
MICA,-0.0429316119514809,-0.0023233595077178405,0.03458063329534427,0.019077596685143167
TG,-0.02226731100416187,-0.02865050120111443,-0.020251801877590105,-0.025751534356010606
ADA,-0.06453601170882384,-0.02543012018794618,-0.043328826173062,-0.03070180412861578
LAMC3,-0.04650193807449313,-0.03326567808956591,-0.05317200600812257,-0.019840253706650886
CCL7,-0.025116513208725436,,,-0.013837165361151725
NGF,0.0018102138620244774,-0.018837537395830505,0.05360436802480866,-0.041428056045743455
TNFSF15,-0.024485780037320447,,-0.015280420993462718,0.04804569391272031
HMGB1,0.05147440519822624,-0.07024534054042515,0.030125521318390396,-0.016887313273030037
ITGB3BP,0.05609822042528418,0.022094251285031303,0.07271259576934183,0.036186263747344086
AANAT,-0.0220342690831741,0.02254206588523279,,-0.014640297992034146
RELN,,,-0.01845709258530762,
IL15,0.003820100178971463,0.006782617054792103,-0.007395607824059764,0.01302117510554506
UTS2,-0.01876379275933691,,,
BSG,-0.014628273675116016,-0.05022210070174222,-0.0739693547810853,0.00791932782047721
ADAMTS3,0.015770604391890874,-0.025562883434963157,-0.0703495302970941,0.09193238271533827
CD34,-0.053796930594408245,-0.05642350931575555,-0.03908551790724538,0.007291763020085949
PLAT,0.004872154705070807,-0.021149273366097284,0.044813136189884514,0.002324244903074481
NTF3,-0.04917306716993814,-0.043843390781702345,-0.04510665482514471,
LTA,,,,-0.019703634751418078
CKLF,0.019346261055697558,-0.011885347848046892,0.0032141198261709794,-0.03138810976889061
CD24,0.00038464305571995073,0.07126982483050473,-0.01179601947027853,0.033085919593475184
HSP90AA1,-0.008084055529684483,0.008814180652124958,-0.06391769580147247,-0.009384239884786417
BMP4,-0.044426192309811534,0.04600690877363679,0.016837906812094024,0.009610631456899608
SCGB3A1,-0.03822839490137973,-0.03655119699777506,0.05021075340907421,0.058379190439170246
IGFBP4,-0.059684642933878,-0.017068583536395645,-0.01669330038777469,-0.025502816531620773
RSPO4,,,-0.021370564226654322,0.024657835729356856
LEFTY2,-0.021321075493694608,-0.02195489423355598,0.021327400771555323,0.09426222733695708
PF4,,-0.01750115213512899,,-0.01970363019185085
