,UKF248,UKF259,UKF260,UKF304,ZH1007nec,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01754336622072638,,-0.02758498628989541,
BMP1,0.014676054008902047,0.00811629565479678,0.08762283867765011,0.08062461490960039,-0.0026694696976829776,-0.056179087054754176,-0.008339236842980824,0.028513608395730958,0.04624283610189796
NDP,-0.008277615320744405,0.040258318871173975,0.0064686281868849204,-0.0034569688456406933,-0.1413743016377536,0.057900843767779896,0.03222286235324373,0.08364693203369326,0.010790860614340375
TNFSF18,-0.024830504610871256,,,,,0.03627684714708705,,0.027337846958427982,-0.008925830898331199
RTN4,0.044826801538193226,0.06591015478674415,0.017967972777828176,-0.06933105261872916,-0.1488909944641163,-0.032485866494519386,0.03170938236913243,0.030310640633037116,-0.02902456192261876
HEBP1,-0.026212346514328473,-0.027305630821074678,0.053354109698410555,0.08167797788940077,0.030546593153638946,0.051180519777087506,-0.002241114818935833,0.04412281780177567,0.004906186679562359
WNT7B,0.01439468691144561,-0.028867302110798618,0.0006982725258616906,,-0.011824022465924941,-0.023521469736234344,-0.020069971474067548,0.059768744184577914,0.03655984065381005
PTMA,0.08399450936715906,0.00653981924603212,-0.04504942662935076,0.11691849980100734,-0.00843137962665438,0.06327251820086852,0.022361067843960015,-0.06154004871711769,0.01630115484627077
FASLG,,,,,,,,0.04988420852999082,
CEACAM1,-0.01580393568753256,-0.03333345780958037,-0.01434378134246864,,0.06854865761547879,-0.02599655071251099,0.014616422673169432,-0.033287357197687356,
PDAP1,-0.009739546806615273,-0.018718260936070277,-0.03360898954074593,0.0004594874866184201,-0.005910386255038357,-0.029293717418580393,0.034464229489047836,-0.0028037858684985596,-0.015895453906493603
QDPR,-0.0575447988303193,-0.006245928707168135,-0.03140681957008904,0.12486439967805261,0.06563333426870437,0.06040672321637192,-0.05080309663012893,0.08130171622614532,-0.055535322305177555
POMC,-0.019772665597937045,0.03485610732365144,-0.02886307996564056,0.002842742671431218,0.025983272694967714,-0.05622523041746043,-0.021790967598544254,0.01204641490130615,-0.004747669496370619
CCL18,-0.019721818518551773,,,0.03083709190360275,0.037723387470532874,,-0.011082714298194117,,
CCL17,,-0.01932048442868689,,,,-0.02312991496914292,,-0.00177826481904274,
VEGFD,-0.019721824781152864,-0.021525153209252034,0.012533532553488836,-0.026918486918218833,-0.01977230657526581,0.016648093920016163,,,
TNFSF13,-0.01488272184950288,0.07501338776824204,,,,-0.02480384257185979,-0.014958289200720416,0.1065380418821169,-0.039629379873504886
WNT5A,0.07827526612357263,0.03740088327711612,0.018272038836779674,-0.02796854218556278,0.031560645212725745,-0.012234414657299634,0.02680891281964101,0.00420874009212029,0.09257222275531929
CXCL8,0.0232916079594617,-0.05334314112476138,-0.04940362360504959,0.1096982233060208,-0.051660038263600994,-0.03283943729051698,0.0029248360508385943,-0.053551933681700734,0.05754392863609113
GRN,0.047439988161624286,-0.033099273060593265,0.014761391512913238,0.10196942783343212,0.08047314853048705,-0.05320537284825131,-0.021791880217296583,-0.02354324611784825,-0.018510841777177323
MIA,-0.020007363331785443,0.0010114803393740013,-0.012614849505831466,,0.004445130204644145,0.051051839114007104,-0.02767900074804211,0.10954283549532201,0.0027749028558104872
COL4A4,0.03730573660951367,-0.006155885294085686,-0.0519152014822375,,,0.1266863771612134,0.05769401683238513,-0.04241906003453422,0.013633806299640696
TAC1,-0.019575855508720322,-0.00224168885695355,0.03426955161136678,-0.06637295466247041,,,0.08954189955755916,0.0014807865220514552,0.055984416626361645
RARRES2,-0.06327984411496886,0.05333999754635309,0.05505396059777899,0.00900156073276483,-0.026934810019427942,-0.005047238494345514,-0.024229139329396694,0.004990667042917945,0.08322381687023843
FGF7,,-0.03424735125954553,-0.026276162596306305,-0.05329024615088455,-0.0006057691723695435,0.04752337736421133,0.0158962946223561,0.11249239766220129,0.05305002582085257
HBEGF,0.047138423432147095,-0.017544173058999444,-0.025572078347383054,0.018944672105899094,-0.058598576028266076,0.026942847875238717,0.005947780700766517,0.02998284711774821,0.11511197207411233
CSF3,,-0.023028332827274303,-0.045722478870153245,,,,-0.019097088857428883,0.014350136165949852,0.05040014888522659
PI3,0.06190659935543462,-0.03973994998984088,0.02149836089396292,,0.0014786636742112756,-0.019652635170192376,0.000635856360246647,-0.0412382497896888,0.08315205231055996
PCSK1N,-0.045524960806213155,0.004631978408984011,-0.03206310082297022,-0.12127147543543954,0.029198741980558322,0.03269331249567958,0.016758619889415637,0.04600681392939851,-0.010829144330750527
NTS,,,0.07018627134295426,-0.024235285173806652,,,0.019331564871333893,-0.03380926678305896,
SFRP1,0.09029957171567496,-0.016857869470122466,-0.015655929128998842,0.01956658288167914,0.08324975612358343,0.038425447073870966,0.07078811194775324,-0.008048310947158526,0.09128548693127118
CXCL13,,,-0.015515225702186011,,,,0.018059454870165515,,0.08175227885494459
