,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.047851028100475874,
BMP1,0.08058436058702004,0.06740025358945326,0.1296877202147753,-0.0008321253861251695,-0.0004191818921999345,0.13112796659945797,-0.017501490121147132,-0.05113660350320567,0.040827617161394554,-0.010594895067586435,0.14052246801725982,0.00816335165951847,-0.021552473873854467,-0.09760430945543896,0.018910919971302214,0.1302661951802626
NDP,0.08865286042723676,0.02663318922038797,0.13642376435767753,0.022184463649436797,-0.003989211294911385,-0.009877445949121075,0.04708368672276812,0.015533573565090568,-0.013974809374836049,0.048483608856044524,0.0443263050587626,0.03052112319286021,-0.01063427860106379,0.05451505840058707,0.11563018587713733,0.026563913079071678
TNFSF18,0.0639212113212531,-0.02347794555024586,,,,-0.02282520189336714,0.02445972028707561,,,0.08335705477524495,,,,,0.020099330841089877,-0.009265545936792886
IL36G,,,,,,,,,-0.015442931575986677,,,,,,,
RTN4,-0.04979173720547532,-0.013187516784105981,-0.031283161169776245,0.018901221128199162,-0.01184921810990096,-0.15095539157277685,0.03523022133570505,-0.0067821873638267945,-0.025858587361735342,-0.060056655948717605,-0.06766105512753538,0.013585244488538718,-0.03209747047222914,0.056284133294312574,0.0002892059681152991,-0.17067278548500242
HEBP1,0.04304552486193308,0.011916685652795895,-0.028469560402627117,-0.011674070001075515,0.04528858718289323,0.09107554967014109,0.037408276041425506,-0.03961356869553535,0.008988362301981495,-0.05620624413969294,0.044829888631720466,0.06202872912054486,-0.03723066831338652,-0.013736846792197185,0.10189494820373442,0.034884375411564784
WNT7B,-0.04493623669420573,0.03739902155671212,-0.005396609868527936,-0.016420956764171015,0.026453151377653226,0.03190179970374912,0.008646687802240576,-0.015587235120404563,-0.016973561467056326,,0.00978348165838105,0.012331753986235705,0.04133673482947572,0.0709716670717541,-0.021336541080312535,0.03094306320116384
PTMA,-0.07905004466218225,0.09439751018691073,0.04302634464645861,-0.007787140592981253,0.0007361770282829246,0.23590310492794517,-0.0064017294125564535,-0.007317414905268474,0.09576733904671436,0.004376018684085657,-0.11995174246220637,-0.043178600936419655,-0.02958321696317911,0.040325542480417,-0.06396109417721813,0.08112829516414803
FASLG,,,,,,,,,,,,,,,-0.03319717519551367,
CEACAM1,,-0.02581896736110206,,-0.02215294982337817,-0.0383657456129716,,-0.02237492718749754,,,0.03313095230057845,0.023867956994035103,0.013693329538610799,-0.027182404533873494,0.019581196579135325,0.06995632711612393,
PDAP1,0.045308876721755924,-0.003481621602284823,-0.023170772091338963,0.014886424198878664,0.021824868962872234,0.08643462191594917,-0.025301293081362645,-0.011573541938386854,0.010379924163017978,0.04988515081114185,0.0451485690094742,-0.03217963457809456,-0.0033791531677819773,-0.000943229525941533,0.05991054498158701,0.060511892653001255
QDPR,0.0204044931879614,0.038804757801777424,-0.0023357210030772327,-0.03564595924427542,0.048613118232231745,-0.05278476399107317,0.020158498343026472,-0.0438955049638458,-0.04093667944232029,0.09557309593461187,-0.17110562305377847,-0.020584269741985683,0.06502534641813333,0.04620487063406567,0.048286897852068494,-0.1309909618395121
POMC,-0.0332058878889362,0.09888854951126122,,-0.03829841285341049,-0.04788157572240748,0.042153978742347956,0.004106260096750459,0.050621626156922665,-0.033086646420952485,0.06985627958615065,-0.07240983469628812,-0.010029315483703534,0.017531817451091277,0.03921453156122088,0.015225594849509293,-0.07788459312964731
CCL18,0.06767837796179096,0.029541577814067282,,,,,,-0.057411989110478984,,,-0.05559731095443832,0.1037680000463355,-0.06024528191243166,-0.05935798519140389,,
CCL17,,,,0.033216864887031426,,,-0.017622813571466375,,-0.014107556419342622,,,-0.02649536612534623,0.004803109215525619,,-0.038900607290310266,
VEGFD,-0.026844541910234037,0.010240524061951183,,-0.0019335992829962766,0.02537179514447422,,-0.0025913489357323404,-0.020379182292917943,-0.015119505172705331,0.05122808640586795,,,-0.027182404533873494,,,
TNFSF13,,-0.013435348446480973,,0.011878823775583287,,0.07862136810797136,,,,,,0.07162050644590895,-0.013682466969725278,-0.03185057718685553,0.01498669183158075,0.053829342526073055
WNT5A,0.08816122577514776,-0.007541764443906717,0.011819847903871524,-0.0623658610069633,0.08876322823896196,0.21504786385513802,-0.003818185971689786,0.005830304152506615,0.02453784419501225,-0.0012393550575889548,0.10937252891223688,0.007150714701836228,-0.027429413514103915,-0.027189201310954574,0.03575426277993091,0.045050116703818026
CXCL8,-0.021810025560547997,-0.0591668380453306,-0.10448233945360501,0.031307033716768747,-0.05340319540469241,0.04141170756004307,-0.012341426444626769,0.11532853796290583,-0.04545856678680083,0.018784156614284814,-0.022240616155017247,-0.06020575328745053,-0.143863880942474,-0.08967993432504805,0.04069688456127881,0.068473724815922
GRN,0.09567624222638582,0.033824755832814114,0.059235035883797034,-0.007995663843875117,0.0037016216447808407,0.1249056814738098,0.017902488770470397,0.014633034844585363,0.049825414286312715,-0.03971091445982541,-0.0012223386662572114,-0.019265939740835715,-0.03839154617897423,-0.06842670035264856,-0.08321491508575558,-0.06846874824669011
MIA,0.007791427792739688,0.04104727241731555,0.010849421027680372,-0.013998293092631457,0.03329160857905997,-0.0020387967847502494,0.02110380309892827,0.014676381916895454,0.011805331516724998,-0.05785118614150443,0.15458899709509563,0.10666979881677727,0.04495596686422441,-0.07981911799969703,0.13019738415125934,0.11009785576928069
COL4A4,0.041537222788790566,0.07280340590014787,-0.004057251165154191,-0.022189457913376825,0.05118872761156373,0.1019046727327286,-0.004421611996091187,,0.02962991811240486,-0.050616538754605415,0.019848120383221358,0.0037306826004856264,-0.04352327986994824,-0.022027646592359135,-0.03185680389853334,0.12235343818261234
TAC1,-0.047723081031665414,0.06592308073713239,0.12901450301861397,-0.03365386299607422,-0.050680143067242986,-0.16456014564868635,0.02605716869397722,,-0.035597336024539045,,,,,-0.06297909549686047,0.0027982793827319376,-0.1734174450815752
RARRES2,-0.027489635605891273,0.008135697514268814,-0.07094123891970151,-0.011197120338456573,0.027266255963780635,0.12325335571238272,0.051608090418028704,0.1708537425702628,0.05965979464219188,-0.09411164721711604,0.03746198404225547,-0.04140294491661408,-0.1539097328550931,0.011786579088901617,0.02850093030049827,0.05081591524359526
FGF7,0.012517521820260773,,0.02078723183229685,0.004653871193422236,-0.0050039977848067635,0.08643441343145991,0.05016747269125798,0.10251943561472195,0.03193022999086254,0.026999049489759803,0.12940161681132137,0.09005511424926745,-0.04658388593154756,0.017354303479331923,0.049092293101611596,0.07631093372494167
EFNA2,,,,,,,,,,,,,-0.025835056379290268,,,
