,UKF266,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.0528434857963048,0.11937250868748697,-0.03744357206238974,-0.0070695406657182835,0.012515249882464788,-0.03180991905543059
NDP,-0.03802849604306125,0.04263367160338316,0.009395968557848522,0.10182297761934916,0.030376792394994145,-0.00596653842673254
TNFSF18,-0.010614861249780123,,-0.04099763077563242,,,
RTN4,-0.018394579871073593,0.03318069260333643,0.020188903379110612,0.030655374950607075,0.009278665242387778,0.05991963690143702
HEBP1,0.023080971204440526,0.1636427323974545,0.062159119924681795,0.050523757290440154,-0.025479816702731826,0.029820661377672426
WNT7B,-0.02285046596815364,-0.05820464879256678,,-0.04700139410819846,-0.008596801046660513,0.113132826320505
PTMA,0.0558551851507579,-0.01925982138043466,-0.04224867317356958,-0.05904744746489838,0.02004923910655028,0.011528802448592262
CEACAM1,,-0.04382956012964093,-0.040885661068797215,-0.026337199315326333,-0.02209136364889733,0.03605555878626078
PDAP1,0.023496223914030043,-0.1131171665325431,0.006453843985434485,-0.0038401633001099314,-0.027621649609338165,0.03226515731983375
QDPR,0.028043954769121752,0.031930502849388635,-0.10319277894309493,0.0030078615843480714,0.03187784666316005,0.02363631026426098
POMC,-0.014257599724058812,-0.004746922984472952,-0.08291641552058115,-0.006145961522636374,0.02394940987540446,0.022240699607440274
CCL18,,-0.037581556407404584,,-0.03894206165183395,-0.02103143334797044,-0.01624708959076192
CCL17,,,,-0.018684968157944674,-0.03189027031048709,
VEGFD,,-0.04233982421065503,-0.020896534190842066,,-0.02209136364889733,
TNFSF13,-0.010294201027316534,,,0.028286439977544972,0.011995507059685984,-0.01644695800171898
WNT5A,-0.0014784613936016811,0.029687944750276814,0.06823361248352208,0.039714302022675466,-0.02756666414109517,-0.03563784624411009
CXCL8,-0.014642833288171626,-0.04281953454451802,-0.03454290639611148,-0.055691829184026334,-0.09732738246216703,-0.016556275126977372
GRN,0.05161184679906322,0.0747770122733661,-0.07268334850621111,-0.004799493517120127,0.053462899333165184,-0.030896328288995984
MIA,-0.01861390080948132,-0.04005346543449635,-0.0023136752795883744,0.03480675672195695,0.0663994795762608,-0.07404482927342056
COL4A4,0.0284140098320209,,-0.043522709152527185,0.013355991260646245,-0.03537172738348425,-0.029517616486002183
TAC1,0.008750140460445748,,,,,-0.010064477036313944
RARRES2,0.00884252624345102,0.024364753729707752,0.024610501914443805,0.01933248733177903,-0.06361742939033918,-0.08737682189825366
FGF7,-0.014549451214570082,0.02352707545402461,0.1365697456148166,-0.0014722394831353576,0.0040287025108074115,-0.02178927518520131
EFNA2,,,,,-0.02099636272624248,
HBEGF,-0.02418724715233788,-0.038308537414155505,-0.1007658114817737,0.06722045387226416,0.043951224628711594,0.0110247211178902
CSF3,,,,-0.028230360092124304,-0.039123204627602215,-0.020997656495242868
PI3,,0.03979960633332658,,-0.007525016815985882,-0.07322762600136654,-0.04800497951326299
PCSK1N,-0.021024340791368657,0.09354904543832065,-0.049608021103104805,0.0428590612044332,0.05912233966562755,0.04392549859684586
NTS,-0.011956831612095577,,,-0.002585991584675274,0.008326354727219943,0.041248523283182764
SFRP1,-0.0023317721249091292,0.09630943040023948,-0.05554375919064984,0.023552012649108105,-0.00900487604789468,0.038713583322240744
CXCL13,,,,-0.00025605081012258736,-0.023534557495738944,-0.02308462431619287
MICA,0.07863291543811021,0.09934824647144644,-0.022051310998596807,0.03172959277297379,-0.005832091014841168,0.010860986145691079
TG,-0.013801335659896698,0.18589976296297658,-0.06626503551192715,0.010595013862066288,-0.0315046693262875,-0.017281393957770425
ADA,-0.026962264896457134,-0.009785955928583369,0.004365553498539176,-0.0363901975174244,0.015480568395784357,0.02791216027784064
LAMC3,0.036995055735589394,-0.06037860103114784,0.00521574221107403,-0.059890202145140514,0.05185633807844634,-0.0017190098450193137
CCL7,,,,0.03530620996696903,,
NGF,-0.013170175972715938,,-0.009903387418710162,-0.032342909803072487,-0.020714136287225952,0.006118874615365443
TNFSF15,-0.01599148096882463,,-0.04597693558690751,-0.02730120423299541,,-0.013039184198262463
HMGB1,0.06704304455872548,0.0009275519317389321,0.16931287095976033,-0.05051913379413313,0.010494225742295754,-0.0028224643572584657
ITGB3BP,0.04994883912344221,-0.07338922234528611,0.019279456245446056,0.0630011934017312,-0.030780706492035664,-0.033915655902213834
AANAT,,0.03405251675993718,,-0.024567813622748836,-0.028255417456342607,
RELN,-0.009940515811856104,,-0.05901381716069921,,,-0.015749921424754725
IL15,-0.011378889391877112,0.020122152955616042,-0.06349051893464003,0.05605357458132808,0.027060157309798535,0.01656883779549724
UTS2,,0.1334277539879187,,-0.0209212913587995,,
BSG,0.05800266847963228,0.056764374252665936,-0.022088083696621262,-0.030183920935136742,-0.0052646248538851595,-0.05000760642648539
ADAMTS3,0.0447279136000621,0.04105074902262429,,0.07563658682320364,0.06295097290764577,0.04848660302932932
CD34,0.011390752812009741,0.039616366800341994,-0.00255780506355444,0.02546866791203986,0.05316541196470145,0.061600354428709383
PLAT,0.07434612479440743,0.03818803901893847,-0.018481936912788544,0.019755440108582715,0.04558651317086605,-0.06674383640265755
NTF3,,,,0.0032846950321883035,0.0421389831817473,0.08948986705114251
CKLF,0.050740399876306394,-0.0177320060827686,-0.09730701038286216,0.010539663080768482,0.04713486147976139,0.03581986509889152
CD24,0.03420114830910482,0.02353239616427883,0.12240937236334679,0.09046479273082345,0.05333653402024797,0.06505793963755081
HSP90AA1,0.00021569630418676077,-0.017608194057740063,0.139594518712623,-0.015730632680842897,-0.07318964436909739,0.02940779811497536
BMP4,0.015894147281761705,0.04824875969012222,-0.04059448440071264,0.017269988942096092,-0.014580843291313397,-0.0020825207288005304
SCGB3A1,0.010781412284561757,0.03708111202726129,-0.05963947649788381,0.01254919628209404,0.10224642972656102,-0.027078271143113314
IGFBP4,0.03017257087838577,0.026758103613609436,-0.003581681362776288,-0.024718930355880617,0.07126443364927228,-0.07166611645211388
RSPO4,,,-0.019229179136417245,,,-0.018236063227011767
LEFTY2,-0.032616837149711725,-0.02028642337468219,,0.013361446329789549,0.14574188515839917,0.006100071821684027
