,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02701197189629653,,,,,,,,,,-0.009177012074409135,,,-0.02056656824306903,,
BMP1,0.01330477891176273,-0.010628922940387175,-0.01900221450626329,0.011847421180123743,-0.01284044256899017,0.08424946330460073,-0.1273396767880634,-0.13369013530256232,-0.39921544870363707,-0.08544304072579563,-0.01534674896057702,-0.12913383537496753,0.1057734840255795,-0.22310125812669174,0.0755653205162792,0.08049943965407698,-0.017523263586679754,-0.09472020365910096,-0.004832018041711393,-0.012884738517313872,-0.08339020918183092,0.05518664913611123,-0.10456032489756403,-0.06079705800225661
NDP,0.02774292079268077,0.00416676005965912,0.030112154681370244,0.010730213229314988,0.04782740773914821,0.014731214025142762,0.1723853078288336,0.06058598009753811,-0.10524090361041925,0.037601350257193876,0.029036311577765428,-0.05987658953043738,-0.02743603358258661,-0.017519896295048933,0.036322746264623805,0.057854899817504135,0.02319462242088285,0.09679271667859983,-0.03446162124201119,-0.019585316137411702,0.12835587878925087,0.009002027551201875,0.020513509732167663,-0.09110426854900977
TNFSF18,0.0881301257747745,-0.04710473840150587,-0.025244103349763798,0.023104984038000948,,,,0.005004778540659375,-0.08909751369497759,0.017880100086271788,,,,,-0.03307880557082143,,,,0.03129097787146071,,0.06978228346033984,-0.034692123701083454,-0.05878623365249318,
IL36G,,,,,,,,,,,,,,-0.014665432006687495,,,,,,,,,,
RTN4,0.008333565559959857,0.2860852667257929,0.0753988573389403,0.025958708436216508,0.10176290675605135,0.08529531044084035,0.2533536553392564,0.43949498476556303,0.5241951802845907,0.17638644513805815,0.08587350263702705,0.37411047539679415,0.011711613505751691,0.3542542302449967,0.030941970518760787,-0.09078037732196671,0.08687651753462002,-0.02452354607983486,-0.08436569684348727,0.220972327413254,-0.1077823306983422,-0.000519663008260211,0.3342337520297008,0.015221815559265925
HEBP1,0.029864151577131945,-0.09221645386103353,0.04494123187166476,0.010122816328526225,-0.02338052437852568,-0.018490644217566677,-0.009173938099326817,-0.16625563568337762,-0.20072462423155266,0.008274095529484953,-0.013926463111984713,-0.077165221491036,0.04981470577587664,-0.007743302633355286,0.028201117997646755,0.05915408095038108,0.06499035074920886,0.057534346827236814,0.0008210207176733511,0.03221971121281526,0.11186663833499591,0.04080091106725264,0.027982975425031073,-0.06941593271134695
WNT7B,-0.015970526343122484,0.3356704799097881,0.007449977395158422,-0.031367580368455675,-0.04587439386125117,0.11036102663489543,0.002985233768114647,0.19321469268122993,0.4103964854928586,-0.016657986574486167,0.08666046355199779,,0.05622098229654159,0.1206678130966731,0.04524820762414481,-0.06064946622212026,-0.01829343792705054,0.09349518798502802,-0.10562029829158652,0.017965476213775013,-0.03725455746570173,-0.0346010842687724,0.0656730478719477,0.08582833749868397
PTMA,0.013531849287520149,-0.024744098456222684,0.028268769838946294,-0.09111254370664013,0.0755651899601945,-0.026479330739954586,-0.187675582680647,-0.4265522976760232,0.11855430109891783,0.09988093968081692,-0.1432043184568051,-0.36732344838476594,0.09481787919289532,-0.38739071113989265,0.10960036754870761,-0.014939680490116089,-0.08793258955540602,-0.0017947352036092189,-0.04950527512530393,-0.03455546261586285,-0.010700325931662535,0.04882307995749794,-0.09616409877274094,-0.18994330167249
FASLG,-0.015970530857949368,,,,,,,,,,,,,,,,,,,,,-0.017837377620827627,,
CEACAM1,-0.02217522186535331,,0.006042332188323934,-0.01438385876430286,,0.03553396204462914,-0.013972796125436173,,-0.10845954089839328,-0.05821701854312047,,,,,,-0.0376704301677436,0.0881708121230754,0.007091651029039236,-0.01597936972650716,0.04171321847666565,,-0.02481809112547679,,
PDAP1,0.03577878636564253,-0.0920304075594717,0.009447290980966156,-0.041262602547948904,0.013765034790286894,-0.029285380019141095,-0.15528584203349793,-0.12643580217645362,-0.3146325176731061,-9.659418247553581e-05,-0.04708732143488403,0.020987960448967294,0.03163133278191318,-0.15349708572214704,0.03315866329113462,0.01756703942260048,-0.02415339577440472,-0.035666289124589266,0.04217564954843323,0.0036377760669014684,0.0646963811751642,-0.027831795243305136,-0.05894376770442268,0.08277449920651131
QDPR,0.02239808883905513,0.22969048731090957,0.039490396412124186,-0.010030006671845667,0.06348238434599154,0.01593013222024598,0.22207475054352424,0.05523485773207925,0.09891859232915157,0.09623672923215952,0.026521748777155088,-0.2466342528203781,0.09589547177918306,0.035307402423826115,0.04397364332852458,-0.0413334954605119,0.08324399770940731,0.09687274181123282,-0.06411583556765936,0.04573539166333467,-0.11458503220321394,0.031191599137458566,0.2103663550056091,-0.06269198823124704
POMC,-0.040232392213964914,0.2523064981070039,-0.001891836133189417,0.021396298697808933,,0.02587199964652541,0.17253084230572463,0.05744887401220031,0.027133342892186715,-0.012708132482848652,0.010125613620504022,-0.050320876868296435,0.0044342665567200495,0.04503367736027849,0.043678910966083465,0.150506320549432,0.029554019894111088,0.052613840770928434,0.08392043490922554,-0.011171363822966913,,-0.057097363347415386,0.054706233334830386,-0.02179165154260274
CCL18,,0.0066269252134811656,-0.06976980189284432,,,,,,,,,-0.1598767230853008,0.045205426130786916,,,-0.04880087766266664,0.015226389101770583,0.0027191999565857137,,-0.13201597350282246,,,,
CCL17,,,,,,-0.04078579309367514,,,,-0.02748427516254742,0.031200194607010096,,,-0.0345305752853976,,,-0.08673185865150324,-0.042897534258626586,0.07514865534954894,,,-0.016167579325823307,,
VEGFD,,-0.0027216920986273467,0.018378337601542505,0.07820815310012234,,-0.0004935026253382584,0.02054655996328397,,-0.09888378449295468,0.03599989028383494,0.09623962727935063,0.0655801373203712,-0.025244138300429035,-0.03773617708721102,,0.009932031311017223,,0.013907572792873295,-0.021538058730555504,,,,,
TNFSF13,,,0.0156904453029363,,,0.05785166912392786,,0.044055984228377726,,,,,,,,,0.007435725482518435,0.03897406837008137,-0.016311404651215833,-0.006415556739097104,,0.09698453777346343,-0.019336283086656754,
WNT5A,-0.01747593817266894,-0.050131819336858195,-0.03347358411847622,0.018541749010797793,-0.009290105430491382,0.026372489586221515,-0.12443015447402835,-0.21320527239204762,-0.36540327867474626,-0.033149167577963656,-0.04404236802696502,0.06554240076945957,-0.013451013253562672,-0.053775151180270535,0.0021662779947540347,-0.04842192135199348,0.06758901044051159,0.032779718387740964,-0.011928458117125503,0.02778747905923922,0.010387416598720847,0.06116999813914676,-0.07980798075340761,0.007885826834525704
CXCL8,,-0.19967660148911628,-0.02401052374295945,-0.025350407001875058,-0.018751480743808068,-0.05963326488006847,-0.13592876629365086,-0.013403797311844962,-0.13924716627547978,-0.05920358569776037,0.012419692770195783,-0.14991383247087817,-0.00018497977645363833,-0.07785920510439508,,-0.07028417892036304,-0.1404054551348374,-0.22387766356023364,0.10586823984541839,-0.03173250310735702,0.03218341341339136,-0.03766722901272157,-0.1325413808054581,0.046662319555773955
GRN,0.010574497234799366,-0.09969532716952159,-0.05071898606284996,-0.04648130926260621,0.02087341895004405,0.013504824534466017,-0.07566625376337466,-0.22460569926488205,-0.4167835378728381,-0.043235716012349,-0.035972907720241656,-0.261242982784148,0.056039886562511194,0.1061361140154641,0.031155524721463778,0.05408099842059699,-0.019165847423993815,-0.03865722032082293,0.08449934349764224,-0.07907606013191393,-0.06103318533771884,0.07517550813970646,0.07140276463991287,-0.15336119181665867
MIA,-0.020904047400378708,0.019257654723111767,-0.009145403382098126,-0.028200106848363504,0.03352455935024263,0.02154853146345717,-0.07167829714512236,-0.037598138467406506,-0.1434129576173144,-0.040572807418953874,0.014324583270813304,,0.03920352882856611,-0.04409806312707215,0.045400492643319565,0.003939059078424329,0.14031175588955636,0.15604669478530278,0.022999016197127596,-0.010255209117389441,,-0.0559603597257164,-0.05950711915084151,
COL4A4,0.10987760154068105,-0.034126266544281594,0.0025544939488798346,0.06682995792439474,-0.014035702111873286,-0.008792355739742195,-0.10704640726939003,-0.024976087064907632,-0.009896150389341076,0.0359574646952267,0.0190865576426585,,,-0.015413713173091141,,,0.1039339715210185,0.14167110553158138,0.023500151173229032,-0.0348453895116556,,-0.009283846594058637,-0.05712396871944744,
TAC1,-0.015970522169040654,0.3979223069430717,0.11547030118127198,-0.030319160003216227,0.0679080556464981,0.12872860476327716,0.3312127553889993,0.3366651677663702,0.44332173922251267,0.24325507082731207,0.0828487208671977,0.23063458546822482,,0.33678075921333,,,,,,-0.01252395062717222,0.018417223726609824,0.017163228645521455,0.23310423414969922,0.2480047603902303
RARRES2,0.017403567216454276,0.0770726513342508,-0.012715582438325657,0.05169574905528978,-0.03543642551892296,-0.006306930888265244,-0.23590041272372203,-0.18345088002798995,-0.476425926703632,0.11028494451930795,-0.013818205510357194,-0.10434151698740589,-0.054584387525632744,-0.1573561552035706,-0.1194136803100486,-0.024636785794740833,-0.033656243352115985,-0.1192420354295229,0.08615710533366783,-0.012354647123990823,0.04754662528129149,-0.006844922994332599,-0.140447025813755,-0.01655392811821011
FGF7,0.003948015230252993,-0.058254166397480205,,-0.02595379439379146,-0.00237139499831479,-0.03266937258040095,0.11190974333769767,-0.009288203854688502,-0.11112882539763973,-0.012900235336689457,0.0051462047749037294,0.03414621748190422,-0.003137292788926736,-0.007786339153864077,0.19191046443431045,0.049559458970595965,0.08513116074697,0.09836471106693699,0.014802944882045149,-0.004384902512475681,0.09999163942523,0.03773804613831196,0.03753760579317325,0.018441762955164732
EFNA2,,,,,,,,,,,,,,,,,,-0.011388047530143414,,,,,,
