,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.014579915438477292,,,,,,,-0.02052170186934974,,0.00949633502315002,
BMP1,-0.007333302625623723,0.0109208467509853,0.04749439193409593,-0.028813629925598674,0.0007679771900751388,-0.018807286241324495,0.005648271006306445,0.08874125192579724,0.05813349228531373,0.014964274559254554,0.027382047553809664,0.009139396035011007,0.06541605554726054,0.09439740180533208,-0.04061902103795229,0.08026613749975776,-0.06448523559706172,0.026632103982018457,0.07085796793773319
NDP,0.012189924786652267,0.0437534273826771,0.05725400592851644,-0.0023847036980112844,-0.05585024431238491,0.0255247119046417,-0.005982982820508436,-0.025762269542754047,-0.023152248677851203,0.031624018687399384,0.06403228853540821,-0.01846510035643886,0.06687060775175038,0.03190603429245825,0.05798826276520931,0.04778985230082876,0.03707451768218465,0.030620335940605543,0.045702174621340005
TNFSF18,0.18630318856624498,0.000453871084112149,0.03303777440796488,0.032916091451928475,,,,-0.017509961835116186,-0.031468092245173086,0.017546142704286175,,,,,,-0.021163668908550464,,-0.010989230057568838,-0.03518295142800538
IL36G,,,,,,,,,,,,-0.02081244459767695,,,,,,,
RTN4,-0.05550553408503411,-0.03729561246991328,0.012539110225639416,0.006648104933449051,-0.010401832421520686,-0.009719250328137934,0.04186365461733066,0.0218130380531601,-0.1339970543526192,0.0014902387604003085,-0.013635360113263746,-0.03447281399915247,0.07145205773023086,-0.011828829111756764,-0.06589467249397217,-0.06723758995192519,0.05227566210547626,-0.021701911329207593,-0.04316574411043625
HEBP1,0.06719746628260058,-0.007805002248232761,0.02076427401460818,-0.028857020736126934,-0.08471935739100288,-0.0303171364090245,0.043483564614819385,-0.01664636031374564,0.06092610711900421,0.024638290248626682,0.024327145798340544,-0.012302634768426678,-0.050981538551881415,0.09875165865746756,-0.033987625865916464,0.06279380264246216,0.03341658965856592,0.005734574558669765,0.0031621654582593465
WNT7B,0.06541807295626614,0.01144611803842619,-0.005603028856825863,-0.01722763696686439,-0.03060627577574703,-0.040096692774462275,-0.051025629297987936,0.10561992817924387,-0.005266155917806115,-0.02186024831521209,-0.003627471326125057,-0.02287527506808911,-0.063333739641078,-0.046644631454282916,0.13037803935796358,-0.006632621468587737,0.03665316063521375,-0.04467952377130116,-0.022853816712498108
PTMA,-0.01599611271795846,-0.052433289101504764,0.04601980770022055,0.09469670175374238,0.03970704643598632,0.01797815438241584,0.007181092816140445,0.01631934259964542,-0.043272921781837316,-0.0015448098233680017,0.041577518120854015,0.017677084468561022,0.0624297659283597,-0.0639457689234901,0.004630541408751373,-0.03868397280552498,-0.04496725988228841,-0.02642261041386198,0.009635905384603063
FASLG,0.022092387748663,,,,,,,,,,,,,,,,,0.01786692801681611,
CEACAM1,0.0016305814280019226,,-0.00847319155874586,-0.013221175199477332,,0.05031407705482492,0.05236747320685895,,-0.03200646457988684,0.03850746993581478,,,-0.04769189415997569,-0.026137287604137336,-0.02240930461078318,0.0018778908306569034,-0.021768431132252918,-0.02999965770254287,
PDAP1,0.04056994601655352,0.019700625109732983,0.025370898877939405,-0.02870532420671015,-0.043336605574073796,0.01598743336078974,-0.0029638062467942576,0.03863701827289276,0.09777359479939104,0.009931108407569196,0.067201247151596,-0.010477678317051474,0.06910823845146014,-0.011423521220756117,0.05140722149615173,0.011053034547644914,0.01035103558043164,-0.03585166008041842,0.0037510375548071265
QDPR,-0.03470919558399561,0.017586378294136878,0.03020149340543158,0.0019709515158927706,0.01987939366552775,0.05348321987317466,0.030228551758632205,-0.014704028554051734,-0.1572057010536001,0.061829636777934065,0.000615242409902348,0.00923589485273729,0.1077426257747094,0.00402698002196013,-0.003383881072941451,-0.025968749504494126,0.004022598952437062,0.04129210037009024,-0.05165730480056767
POMC,0.09049630701704292,0.004172769652485912,0.021810516543290335,-0.023491918988836902,,0.024717952768945558,0.017238933363964905,-0.014019992035123111,-0.053380065621650895,-0.01938348732497304,-0.012535027846544304,-0.02140863261211107,0.023505722975945175,0.005885322806564662,0.07055103226163717,-0.010960811290810021,-0.0027569999691779835,-0.010304329787946964,0.04917035853138862
