,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.01675395931882074,,,,,,,,,-0.008063870440740249,,0.0946815217502257,,
BMP1,0.032599295914985206,0.026711388985061185,0.02980562082047532,0.0643305065782842,0.016692827478345457,0.048576250897433164,0.2926423076256737,-0.011339826839303825,0.06289345776503977,0.13353062403791296,-0.06364530166031786,0.06978125759571506,0.12159966974583228,0.10876841882974277,0.03246209188879513,0.10660226912767104,0.003354707762773497,0.04867608775278202,0.06664335430261743,-0.03669304788993433
NDP,0.05890583765698707,0.04773289237888617,0.011304690680139385,0.08972441147947517,-0.04310239874336887,-0.007194463789969923,0.057405958710243454,-0.016623959341226294,0.05429069061315917,0.06797366018272312,-0.036429069080314784,0.13967717282113895,-0.04736502918190234,0.0844249308519971,0.12133589741054737,0.046120434055159525,0.011758082478221897,0.10300769944849753,0.04040115843571259,-0.003596513731812792
TNFSF18,0.02840040870364288,-0.01294148557304994,-0.011955925889131407,,,-0.021296567462062953,0.09289057980870037,-0.015088011083894988,,,,-0.02797388446772898,,,,0.05966834320768056,,-0.05088026539259138,0.12490827776078142,
IL36G,,,,,,,,,,,-0.014714567299005925,,,,,,,,,
RTN4,-0.11059904601298193,0.006778872564975198,0.050912339983633474,-0.03212368801319271,0.058894945968060386,0.023523089296544623,-0.37426432413395844,0.06007633353346716,0.05357449560169536,-0.07340452160105689,0.10785816650418346,0.016578677894466227,0.058053982035309114,-0.04221563633748817,-0.09123151805306304,-0.0979605683871091,0.010407383464616511,0.07280422007547702,-0.07224757710533454,0.04982935468520835
HEBP1,-0.04441867261535948,0.029610284513320883,-0.018821971924968442,-0.06535724816696815,-0.026025716308870878,-0.009860630792472019,0.14240988240470884,-0.015146972937885056,-0.0003724106400950498,0.02444701643614267,0.019634361305219762,0.06034615824595824,0.013813253494965214,0.010054172184523206,0.05477521878777418,-0.041734890246411215,0.020565563000645805,0.03262241786455495,-0.0697722940404395,-0.05872202858309601
WNT7B,0.059916771297393354,0.02395244920593361,0.0239795686032323,0.017503274073207235,0.042555174378299386,7.658695426756264e-05,-0.11917191967879921,0.06654425690744566,-0.0026245149711248564,0.056559742162790215,-0.016173005188935868,0.09677561648551682,-0.05900280023887278,0.034989545418790596,0.008285366416704293,-0.024050714243552943,-0.03728953385957885,0.05434056971207433,-0.037728171692608434,0.1426247041662992
PTMA,-0.0638618619138753,0.0716084019810483,0.04561142875174129,0.10822296096137474,0.05700992712152865,-0.07063043418511945,-0.1842996408430338,0.009876231155385285,-0.05396730858637,0.15678689411035268,-0.11822599518380379,-0.036930273764655054,-0.059776853751842086,-0.08182424108977264,0.012869260835666377,-0.09147614551831341,0.035431128364658185,-0.13798746996559888,0.008637560398620145,-0.17745502930906312
FASLG,,,,,,,,,,,,,,,,,,0.07309444061663582,,
CEACAM1,,0.0004937897716942371,-0.0039018751217715177,,-0.0018629878680707084,,0.19801593589293606,-0.03126185537678905,,,,,-0.039243475684673755,-0.0010911561194972405,-0.04694104384501287,-0.01873733097726826,0.03770765977183992,0.016990698789728063,,
PDAP1,0.01996870583654402,-0.0031354887849343285,0.08971012585803369,-0.05073949630293417,0.010362492919487518,-0.008438416376697322,0.26464843867902343,0.013613176505213419,0.01878132225958487,0.10020136626994174,-0.05047623478586923,0.0236707133069778,-0.002522377553006,-0.011578959081155688,0.012423007011305933,0.015366343474352038,0.023642774265059136,0.007862335182257275,0.034856672578593345,0.10479040240850736
QDPR,0.06081710647557542,-0.03837146968958833,-0.013748833551573584,-0.025657951844766054,-0.009108280550670214,-0.08327456368924292,-0.2926045013703387,0.03146112600348041,0.0020568247452895367,0.051912817970310395,0.039655923546315454,0.06489857263906154,0.006666480442584551,-0.019813936103218452,0.03429612535292032,-0.059210829786462214,-0.05251860193844874,0.12750190945056958,-0.06598053797216197,-0.08228456778090892
POMC,0.025918679605278928,0.05928215281458294,-0.03639421891543827,,0.020943606032160514,-0.056184640278390145,0.01432297538879436,0.031075836046556386,-0.00797338874947781,0.0965499473108302,0.08404782141979596,0.005812111063211755,0.010163096413696013,0.04860105886338636,0.007494930938654878,2.5249097677240843e-05,-0.011923602464596509,0.03325026844966128,0.050779770421515075,0.12902902297062405
CCL18,-0.024948670016369377,-0.018530388149460272,,,,,,,,0.08788288038365578,,,0.015180959968177813,0.10240388126906835,-0.015108720892133299,,-0.005208349072639712,,,
CCL17,,,,,-0.04118690854755881,,,-0.03679097737456232,0.002112985021451267,,0.03593464624297474,,,0.016785773462488662,-0.067762343722435,-0.002693484791468076,,-0.037831542159958355,,
VEGFD,-0.03231131120718653,0.08941589927916857,-0.006687949829325016,,-0.005937078111361479,,0.06823907154899023,-0.02370307166354635,-0.016593472895196498,0.05334184599714642,-0.01440639526871868,,-0.06290958074046013,,0.0216046868426075,0.041968566503186866,,,,
TNFSF13,,-0.004283525358791957,,,-0.01860131772002036,0.01447261089160314,,,,,,,,0.010959938693478827,0.037602152844252355,0.04624716066481192,-0.014401922702586518,-0.055461435694045415,0.009687336469304222,
WNT5A,0.028032101181907507,0.05367381224375454,0.09470132205084451,0.05017895164151008,0.030651553196628226,-0.03570490827480414,0.20052031363323752,0.042450878552202226,-0.013780127391302289,0.06428761621473486,-0.027745940136255247,0.08295998929660049,-0.029984671142052815,0.010146455179088023,0.014234531076896482,0.02246056747516133,0.0023972954370321624,0.061012177162846286,0.02834900132796904,0.07350899669285194
CXCL8,-0.11281618211973607,-0.043377248172998824,-0.014860043712726943,-0.11953121682941974,0.012990718820869268,0.010370801542466794,0.16708335514972697,-0.0018462843983378659,-0.015452563468195197,-0.022805606153993168,-0.03513882539166588,,-0.004076056261905806,0.02086682422440239,-0.12517506824976454,-0.020615530873862396,-0.021243667613519958,-0.005121074483221459,0.0653535050709879,0.2124938688660454
GRN,0.038657352575663426,0.061351725612023435,-0.04119325980811013,0.0536311056198211,-0.029300171228210572,-0.06127683211609029,0.23972884782098977,0.013030186595385082,-0.038007451322573396,-0.00028529352287742614,0.010542578385144372,0.11857626549670462,0.02280579195917311,0.08088159949324258,0.057229982960045785,0.09819023254192802,-0.011504979009857983,-0.10614460759414913,0.0713544094617349,-0.08894154586838511
MIA,0.017739170173254385,0.016644747472438347,0.08722439500488958,-0.0713587228375399,0.0035697337653217698,-0.017176358691152565,0.1087449293081631,0.05468580010373442,-0.003737565083388201,0.06603243809556177,-0.01973021853045742,0.1580264108678634,0.07154905995731918,0.039376705535524394,0.12318536863935237,0.03363642820776467,0.039494906871585106,0.22398652926322998,0.2049688154427296,
COL4A4,-0.004667720452898307,-0.04208663122787943,0.03274751709855691,-0.05430004486056454,0.009388481854118155,-0.019650633710829975,0.06043777414344975,0.023058190106203875,0.034092186699780716,,0.10835046206604064,,,0.04794318988585982,0.029690680249127185,-0.024450505539801066,0.01242252611337454,0.04608062594062725,-0.03308536367854304,
TAC1,0.009521807188889713,-0.022699172672727547,-0.06021676205138108,0.10106605795197184,0.01797188138230388,0.016886197202350007,-0.2367448287439103,-0.03860265348541234,0.04762656974153934,,0.14202950276781245,,,,,,-0.04270012099389043,0.008243820731744105,-0.022252538207625544,0.15304431688557887
RARRES2,0.020900590831265595,-0.018308947923102267,0.029718881562512435,-0.012531571201594783,0.018640511708737765,0.020800640523535554,0.33951435684951176,-0.038528371621841896,0.010848486700716356,-0.09754860604956646,-0.05948667602392159,0.05706952349294597,-0.023406918161111474,0.032607431809887344,-0.02267893045359446,-0.037719720726939854,0.01687257775715208,0.04242449354357967,0.023704509310569978,0.042052940380191604
