,UKF243,UKF248,UKF259,UKF269,ZH1019T1,ZH1019inf,ZH881T1,ZH916bulk
IGFL3,,,,-0.019246213721793037,,,,
BMP1,0.06215051868367539,-0.05758899073191525,0.0005635564086787892,0.08513567851962847,0.03798457905968772,0.08117840670944174,-0.08252811576882878,-0.04324890678352704
NDP,0.11756809666637483,-0.024140882218656328,0.0717487603650373,0.01605150997521777,0.049435913211200264,0.020168716859988563,-0.046803151565330686,0.03691845486859075
TNFSF18,0.009255983272946156,-0.031230431638975244,,0.11856616170719142,-0.012380858690085336,,,0.11923760026909143
RTN4,-0.04445263946045197,-0.007812102789651008,0.05443228313991037,-0.14381748076920928,0.0026131237246324254,-0.042132706920465834,0.07039259848158214,-0.031022023979041625
HEBP1,0.058771908721067405,0.04017062762783761,-0.035569657502797364,0.06787133519036233,0.09879931720078504,0.003263876543243511,-0.005569205392058112,0.009952174093531321
WNT7B,0.007318620449297527,-0.03781490505531818,0.013169792043852636,-0.010354675429278282,,0.018523465487116957,0.04627603638128295,-0.023577796766977487
PTMA,-0.09063772519716184,-0.07001442343568338,0.023570061739581216,0.0050269244900893245,0.052575233071441484,-0.0967757927994898,0.00722418763192456,-0.037848584607505745
CEACAM1,,-0.002311104582527656,0.015608847866553774,0.014019337382122892,0.02650872549121522,-0.004880203800169696,-0.014279550084004845,
PDAP1,0.004475428559099361,0.0036499376688389684,0.010987081910813984,0.09823610387896232,-0.06451487024330411,0.006501155988535492,-0.006331804619942231,0.001377025873784081
QDPR,0.044162629449814465,0.06479926050603545,-0.0016339300942742187,-0.09201450772606157,-0.0333640623150267,-0.1356610922474746,0.022085881544980573,0.04716896607509063
POMC,-0.03752278463779137,-0.00937872163727626,0.06802829451447802,-0.0173779887280853,-0.019395611269998586,0.04109705516360778,-0.02335946809531719,0.010743290579644214
CCL18,-0.02665079015845497,0.003815091363952214,,,,-0.028574199455598526,-0.019769045726761126,
CCL17,,,0.009174039501356292,,,,,
