,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.017990293021400882,,,,,,,-0.023683402839526153,,-0.01839537832637345
BMP1,0.050586212369359264,0.00714874936383241,0.06294098419554589,-0.03959008138118866,0.044360458539205776,0.03574293387714465,0.029302858267824118,0.06108585629731549,-0.08868026633792886,-0.07121839776639019,-0.016148107841184575,-0.0003255551312198517,-0.013025144105572312,0.013988079895319907,0.026213358422894694
NDP,0.09298445442505004,0.02820002957071799,0.05125752327819544,-0.012666811950446355,-0.029467916248858923,-0.01968105082760444,0.042682175049815224,-0.06343827384509398,0.004372179319699295,0.10859888066805629,-0.046440704094916,0.08641458988063593,-0.022900540609693088,-0.07582928913644456,0.011576003360481129
TNFSF18,0.02251886806364437,0.23156503855848953,,,-0.012399098733781038,-0.012582710556153162,-0.01208941456138577,,0.012524274564657751,,,,-0.024424275311793982,,-0.004029441859506206
RTN4,-0.03239090034257996,-0.05959710201685772,0.04372478614085715,0.0027494839664254506,0.04304774725880088,-0.044916182090999734,0.0067571409825098174,-0.0024778441244803083,-0.06688375031377071,-0.010444235955734679,0.05338294652987762,-0.03230960288886411,-0.07457699077361876,0.06584211690042083,0.012468677732932015
HEBP1,0.018657439022586143,0.014871662977796659,0.010576021557935994,0.0010313755772199044,-0.04650554713175326,0.007537746549047217,0.029189557088634258,0.05916138147079769,0.023853850139520988,-0.017647249677990286,0.022307741092499344,0.038176005201858196,-0.005699504321646807,-0.00635627663738389,0.015113988479861574
WNT7B,-0.057366114097855976,0.005027966422430876,0.053317971119783945,0.023321756866157246,0.07170495910710264,0.01037807845450976,0.005231645491816826,-0.05265180076295988,,0.008381704555086045,0.012731472019181476,0.03164999320195047,0.01456357507499194,-0.034106826061873825,0.07468617637822118
PTMA,-0.0988979991224071,0.05160838623783315,-0.025309938757020412,0.026628789971344963,-0.0750969780801219,-0.03321396055651175,0.004237265160954887,0.04548709574441753,0.007683574502241707,-0.11293026733940685,-0.009701638297382666,-0.020727726032320228,0.010264139029937966,0.05259141534145415,-0.06857522444533756
FASLG,,,,,,,,,,,,,,,-0.015954305346789693
CEACAM1,,-0.01534065130716381,,-0.018894532119539332,,0.04424440853189842,0.010245845849909181,-0.03964812631544884,0.05361276718110775,0.06432720846081,-0.02295337228240738,-0.022878839592494607,-0.019892941099075155,0.043444624538002366,0.034538262458305685
PDAP1,0.08256656002967522,0.08145667505045504,-0.019773745891545964,-0.009826180010330695,0.054497022171389346,0.047919780376218316,-0.045412308351175844,-0.04095456647690248,-0.03053059801870474,0.04222742775972445,0.021420552542838027,-0.02039506761931601,-0.0738762293856968,-0.06899424607402012,0.011790476983434323
QDPR,0.0024708766544210845,-0.01948816078222107,0.04348108536049152,0.02998683226394644,-0.062250955098669875,-0.06497132345058441,-0.008470322015321833,0.04517095044331821,-0.025682354108291193,-0.016575152554755467,0.03540541366014848,0.04414183476459569,0.02945738929304024,-0.02186749912497135,0.014507808282677774
POMC,0.005973804915550851,0.04129024805587808,,-0.022671102676620772,0.025703439139774055,-0.02776759100932205,-0.014027600648647966,0.06844656483292001,-0.08636598681976229,-0.0718100312103055,-0.0009494000187393987,0.0436173145460582,-0.04784443433562445,-0.027086444060610587,-0.00860075855185164
CCL18,-0.032961572186468946,-0.019143683384825548,,,,,,-0.0008810238543981555,,-0.02137969977946022,0.012813340751482532,0.0017549787353258355,,-0.029804489398659297,
CCL17,,,,-0.02375667540139929,,,0.07683008348958666,,,,-0.016284306659920863,0.05883761055917937,-0.03122519857169786,,-0.014460785815368141
VEGFD,-0.03713805768913641,-0.019143689463841658,,0.0187028237917388,,0.04852308269971221,-0.01606417780936131,0.07388402203670115,0.18404542186532008,,,-0.022878839592494607,-0.03293294685687259,,
TNFSF13,,-0.014446442386806334,,-0.01638682300178978,0.17369715905836505,,,,,,-0.03124713854000242,-0.011228502861266632,-0.00373785232864886,-0.02542005446352434,0.04545488299314123
WNT5A,-0.0807281333743138,-0.053399132464218346,0.08226596899952598,0.03213032023729774,-0.030215750393053912,0.07066420040913483,0.019662109078800345,0.08438071312087508,0.01743163971706056,0.04474394621251426,0.08084790685276344,0.04499869574283885,-0.002111407387827198,0.03852648131131127,0.031239625583063667
CXCL8,-0.019647748477656574,-0.032311187999060034,0.0007470365555904421,-0.030442437206433134,-0.017104127073361085,-0.032140095891041595,-5.42728848810358e-05,0.04843450987312075,-0.06905473925797519,-0.03764232755079836,-0.01796673612760127,-0.04764971195339669,0.04125219869989795,-0.057628495046533126,-0.019686740595310732
GRN,0.040783884060814984,-0.007037987787257006,0.05169597498727847,0.0004776749613385991,0.008145139294303294,0.020741523143388937,0.012558468269251074,0.1719613558229874,-0.07294741456156725,-0.06455339405042027,0.023355031936623343,-0.10394085530943488,0.07890975242832153,-0.00967754439887872,0.006022201530366567
MIA,-0.049914452581142195,-0.038140834264032794,0.0008839411055713032,-0.021015649873810095,-0.021742685893548202,-0.018873155658595223,-0.009562459272399255,-0.005400874181026458,0.09176438875090813,-0.04677021400612799,-0.009615283972599017,0.07719735124464994,0.012059697810799465,0.0016783830919711881,0.08289668593942712
COL4A4,0.023064136399851037,0.007450637361635756,-0.03622685048353721,-0.0011922993027926147,-0.011440817774788253,0.06947708074208372,-0.01574174574609773,,-0.00030122914307214514,-0.0008383248397604637,0.02378527401735831,0.010542433529131897,0.035233886274955314,0.055507687176245955,0.037890549094583816
TAC1,0.03570765025833493,0.0024811253038678678,0.06530936864983056,0.011463226676629861,0.03119155165320174,-0.01251008365587297,-0.02085421239511253,,,,,,,0.027513862638521965,0.0029204501468011773
RARRES2,-0.004853175327242888,0.053294332047452625,-7.629878926394892e-05,0.061334498248987145,0.017551441190868725,0.03854865032142026,0.02716549793973859,0.07049534232095304,0.039728418896194176,0.005812004649182746,0.03361275338802666,-0.06198109885038565,-0.008549918298560368,-0.0019609743736909847,0.013125243167267014
FGF7,-0.025649822951063064,,-0.030773324079705896,0.10341277053929249,0.004512766392736393,-0.01968743391945288,0.007711976380805463,-0.039941286745336514,0.09888876082009859,0.036892537726103014,0.005124406124060774,0.06713406171335602,-0.0160988675860469,0.0598817016593884,0.07177621111032859
EFNA2,,,,,,,,,,,,-0.021744805910318344,,,
