,UKF266,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,0.023932304854216765,,
BMP1,-0.00881712347319212,-0.015627568970034766,0.11624920028829658,-0.1118992380812237,-0.047197687452719635
NDP,-0.002884410315831378,0.034670507031524564,0.1495079246477223,0.1223361248577372,0.11638939416775551
TNFSF18,-0.01311767102957848,,0.05160885561343692,,-0.0325683149399864
RTN4,-0.011193052971668858,0.050300268403811355,-0.0371487609391344,-0.07678971582928822,-0.009967105676152194
HEBP1,0.001166352150089805,0.02289982680456803,0.01437574456825517,0.05656156041185955,0.009505138288832062
WNT7B,-0.015431773073554164,0.05300729697966967,0.04696992180886542,-0.007065972167732935,0.09758832303248631
PTMA,0.02474419710879038,-0.08234479937703376,-0.09924264527597908,-0.11002067504626557,-0.11392576469024022
CEACAM1,,0.03027675466853163,-0.0033954259819549658,0.015580261785945406,
PDAP1,0.05646705989469668,-0.027571682118650742,0.0038802566836272545,-0.048650728089093695,-0.017280446353837662
QDPR,0.002312313492561877,0.08828455287346093,-0.08556065441641242,0.07551519142240695,0.08134670719630407
POMC,-0.013080411647089613,-0.0331578348694944,0.02762135533712721,-0.03392262449340774,0.022514554705009703
CCL18,,-0.0190712703583688,,-0.0336181621522734,
CCL17,,-0.012720654206125072,0.02314464521981088,,
VEGFD,,,-0.03910649410998723,,
TNFSF13,-0.012721404398148327,0.19577788118935097,0.04870581435127454,-0.023285997986327755,0.024805899810268477
WNT5A,-0.021548118114205705,0.0011342285896625759,-0.04071571429364265,-0.053198769304312776,-0.06208662221662838
CXCL8,0.06277597885939966,-0.04538652372888159,0.021332474062452193,-0.07511634323431157,-0.07518823528800024
GRN,-0.01404653573932691,-0.022252288356632895,0.10165458262204895,-0.12539336102482526,-0.11317933496308777
MIA,-0.007310529585760967,0.09825636696813332,0.11503811244431043,-0.194483588092881,0.05441236528751147
COL4A4,0.10871743899699815,-0.0077308359870723615,-0.0272711523183301,-0.03280245493855373,0.015038132083212767
TAC1,-0.044909230688565005,,,0.008773516565523018,0.06032071082615574
RARRES2,-0.05594434882089052,-0.027702404289956566,-0.0702494788240969,-0.06928036923653194,0.010026369730040329
FGF7,0.01059398661066167,0.0454541348792347,0.030299188309185387,-0.030308011538536392,0.046532430470291986
HBEGF,0.031229074067722146,0.04177226276360007,0.07036913190845982,-0.0008463580552767902,-0.13772093188032045
CSF3,,-0.006380192875849663,,-0.02972898616356434,-0.04165260042771878
PI3,,-0.08952522635134641,-0.009015792877097832,-0.143919432231483,-0.09075707014801696
PCSK1N,-0.020815485854713597,0.0776151654760141,0.06901265185227297,-0.12811612897488286,0.07042745593281355
NTS,-0.014776055942020269,0.02935618875283772,,0.09453110811020263,
SFRP1,0.006653514083586048,0.04914557054167684,0.0127985718082922,0.05660962862604721,-0.030099547420463224
CXCL13,,0.0011189958854511438,,-0.04849416291199517,-0.0337859169912486
MICA,-0.019839215512907675,-0.005972002944304673,0.09377608845799368,-0.049125613950314416,-0.023739992745855
TG,-0.01705546372158801,0.08546019243879185,,-0.024467412445482,0.0035217529563049375
ADA,0.05627483590466894,0.02844586672836163,-0.0007616349085649712,0.0072423674086826845,-0.027228636910044964
LAMC3,0.04068530267531881,0.05757050466782728,0.07146717717426271,-0.0929794025093366,-0.008602955604534548
CCL7,,-0.019065328536276488,,,-0.0705314237644034
NGF,-0.016275486956113062,-0.0017107387440847544,,-0.05103817260116711,-0.047205180471427265
TNFSF15,-0.0005744329311085238,-0.01858655447111739,,-0.018461190023854986,-0.04609884391932748
HMGB1,0.02559250478106326,-0.07710328545363333,-0.10690793159695075,-0.10427089078565674,0.004307462096895084
ITGB3BP,0.03866618512399912,9.958338468526651e-05,0.0041709116892420075,-0.03492087612558548,0.05265813379046057
AANAT,,-0.0167256726933536,0.050357234438719055,,0.01539430688934104
RELN,-0.016685595337064495,,0.0057605649220620276,-0.022299116866676936,0.09016942949687051
IL15,-0.014061844447349335,-0.030642117653199477,-0.008497758484206636,-0.036632217376971955,-0.055959611855877466
UTS2,,0.015896472773236348,,,
BSG,0.05630199609520483,-0.03855735388457857,0.14034843556898277,-0.03553279075678557,-0.04647637696155166
ADAMTS3,0.14049858590623251,0.0918643982184482,0.009492348644097565,-0.006569011090755574,0.005713298247832533
CD34,0.019366134327846656,0.051382901109866715,0.04346220525217845,0.041471240884842074,-0.08005710144944601
PLAT,0.03306317792181878,0.1028211771183476,0.12855757981337684,-0.2063792308574925,-0.030785681404366265
NTF3,,0.15378427663107053,,-0.014929587822706314,
CKLF,0.02478415345952503,0.04960084367595329,-0.012146041408246131,-0.026294421035084187,0.02256725831527753
CD24,0.05539107515173294,0.054272662802830676,0.03310705964590744,0.034110095927142564,-0.09597313379866045
HSP90AA1,-0.016233922749751675,-0.06147821724511782,-0.03493547823046939,-0.025844297619961685,-0.01915143789630473
BMP4,-0.017197056799779616,0.050033862002133375,0.06950103688004429,0.06355311678808492,0.019912086195823242
SCGB3A1,-0.017950193139232143,-0.012583567501984978,,-0.038338066361321727,0.04929201553545791
IGFBP4,0.05904067410649182,-0.00029106681857739617,0.09484224374384025,-0.20091267772455063,-0.05311585853603935
RSPO4,,,,0.032663094841460336,-0.015180008724846487
LEFTY2,0.01593751104680537,-0.016184304949336124,0.08994529642332279,0.19155924704482807,-0.10268433485735624
PF4,,,,,-0.005012415231347413
ANGPTL2,0.05040030346858854,0.11122251324996926,-0.013048845998757705,0.010170162240883827,-0.054206638117666316
LRIG2,0.038280994389904656,0.043775101155707395,0.07185347032849392,-0.041853062183872705,0.05183418708173046
ICOSLG,0.037693153333522265,0.05570396480558356,-0.004062646974717784,0.04833137761377757,-0.023403852512177487
WIF1,0.025992859973517128,,,0.15082656210065604,0.04650570460428146
NPPC,-0.0010373934983575197,-0.028461097384473628,0.04702438145263652,-0.07828955611653331,-0.04212875132168633
LYZ,0.010318169855885113,-0.033029050236042745,-0.016608074832825538,0.026963956992044028,-0.09891688009816671
EREG,,-0.016735136393410007,,-0.03215806970349782,-0.02892318198808021
SPTAN1,-0.003748633910373816,0.07587422255387098,0.06289575820580402,0.08842632913565632,0.12879049699076478
PTH2,,,,-0.0041411362021563855,
LIPC,0.030563809352071532,,-0.03482667620973039,,-0.011566619812406241
COL8A1,-0.03582184305298602,0.022770394755790527,0.09938693837918572,-0.002692391935485544,-0.04866165995408248
GSTM2,0.01902094325817608,0.03389396073593766,0.08420837167864698,0.04047132021727522,-0.021660204951684164
SPX,0.0357403885163704,-0.019222542463276454,-0.04381620723914605,0.22850242031241114,0.22015907251690967
MFGE8,-0.01649637658127547,0.023583511421826228,0.05667316795309331,-0.011483489919852595,-0.07301263992970355
TGFA,0.009141421739226066,0.05971960012271633,-0.0542387822868754,-0.002872687849729275,0.008539808141741583
SLIT2,-0.013109753755230536,-0.04881497159866008,0.05291147590909424,-0.06116017043019686,-0.07000023402822743
PLTP,0.05864959899729985,-0.02932042107757279,0.1891945793478425,-0.1024786109183022,-0.0006118911157302769
APOD,-0.039772619066363056,0.05601452139414958,-0.11262977083803398,0.005205482336615269,0.08445706734789557
B2M,-0.02181341833832528,-0.012857246904978402,0.11884915360174009,-0.10507892346495738,-0.1738484200136446
OMG,0.020842515868564813,0.05030741037236988,-0.11760055798178057,0.1405381407346988,0.14766991008114555
CXCL3,,-0.017314205837499243,0.03533677440930732,-0.06663764843011893,-0.021904702095309515
CXCL10,0.15189299434357212,0.06605789193106598,-0.032709669112860704,0.08649030886568951,0.01587825815833321
RSPO3,0.002628028659563369,0.07775928963877815,,-0.05181563086502844,0.050120216967204534
CORT,-0.03235202345535023,-0.001196819641837188,,0.05318972265138944,
NCAN,0.023902342038063323,0.12671738562886747,0.09384990598685106,0.21706070431122468,0.172229452410057
PRG4,,-0.0005703829008184006,,-0.03624551461638439,-0.034966785928479696
ZG16B,,,,,0.0021417712972977136
TGM2,-0.004334561478485778,-0.025279618579595597,0.09717463290373154,-0.008166798190246048,-0.06174018203981187
VEGFC,0.023056908346803705,-0.02453598256988399,0.10214243003446319,0.028372595549802707,-0.05404262247558476
WNT6,0.03575955955405892,-0.02846110122438613,,-0.0342661011103157,-0.022145560170936215
NRG4,-0.01765656472134522,,-0.004530023519655037,0.011347006720095375,0.09283029784007091
PMCH,,-0.019378594085709376,,-0.019630339854994308,0.003840457883587428
COL9A1,0.08691803890938238,0.0678846276171018,0.08652791877938118,-0.08412458584610973,-0.007088083540991889
GDF11,0.08371841676030835,0.030427825963965448,0.14245909159633463,-0.08206876449538461,0.0006547724081632587
IL24,,-0.014448212785673802,,,-0.037232233984616135
SORBS1,0.0012280107258405353,0.05361715326961535,-0.044042959781627304,-0.08616391911320184,-0.023085058271822417
DLL1,0.07191257559976413,0.057018669644323235,0.042332281376550686,0.031368510936992264,-0.0014786141955857883
TLN1,0.0704659952292981,-0.030801722812290728,0.05887701079892412,-0.033223138999573854,-0.07999236421104887
COL2A1,0.15211329122838915,-0.03158568720097331,,-0.04135447341763518,-0.030004689227574335
SHH,0.071691327441302,-0.046759991491044345,0.041245164304117864,-0.062180732365995285,-0.03460497326834537
PON2,0.0448886784953564,0.11885681664091788,0.12084678417540638,0.1326933233165484,0.22531977501646788
ICAM5,-0.017586294341149774,-0.01722185506602558,,-0.06392378071358694,0.0003325141086174971
HPX,0.03728518848792504,0.01024347962617059,0.060239074947417565,-0.005076873975436636,-0.0043376536245523355
SFRP2,-0.034096212494885085,-0.01720552903928127,-0.024584980323133197,-0.15320191943809205,-0.06564335313775176
CFC1,-0.009462285197763988,,,,0.08914536663943035
CD70,,0.01786458169858735,,-0.04965054746901537,-0.04948466302085309
HP,,0.03689219594031591,0.11942487127034349,-0.09460926360825911,-0.07961486623398285
CXCL2,-0.02229155729475424,0.0031096666944171758,0.011405369639021546,-0.10218492075484943,-0.06132516279185897
NPPB,,-0.03806564744770754,,-0.029339571800325228,
CCK,-0.01656482082983586,0.09975265288232431,0.09174411058158509,0.07818721468192989,0.0995424724490954
SEMA6A,0.05837051697361777,0.04804053317878237,0.04269222789649412,0.06571325079710788,0.05596255207192066
IRAK4,0.04193013516576525,-0.0029509919483308336,0.1062519268159607,-0.06304119761872448,-0.003946278869894647
GSTP1,0.04047457035320838,0.0332197006800492,-0.030576416944995608,0.03873576355047184,0.0018221272999027719
VCAM1,0.03339469024419701,-0.032492587529772805,-0.006865714889901406,0.01967062202684681,0.005443147039072673
NXPH3,0.06352398719628836,0.03575262021425924,0.04030828782117669,0.0882970228088161,0.07619263963881764
MTMR4,-0.026245592317723634,0.034555576147824785,-0.04553207857616148,0.0177017201118555,0.008004646329234127
LAMC2,-0.01976200734721221,-0.017762759617550042,-0.008413574947233332,-0.019054306726780983,0.033376433773018625
IL10,,-0.03380928479505803,0.04457036129254176,-0.01630557642936235,0.023669486963214737
SEMA4D,-0.03177971116276354,0.09951447121018346,-0.1381401670841878,0.15628516098302916,0.061624936162698984
TRH,0.14021549104237915,0.051962375121042195,0.16856611177656156,-0.04279828695571111,-0.08086358617966276
SEMA6D,0.034492431311298845,0.03799134554811903,0.05188998531461087,0.021090581250593685,-0.018604648811857187
CEL,,-0.021879609791201796,0.0512286090199393,-0.03127552477849254,-0.018948475935919033
PDCD1LG2,0.03967320664079591,0.003888491292480752,-0.012942935793973771,0.040766438007660805,-0.0785261537684922
SPINT1,-0.017950198623919004,0.17501150747675467,0.08109045048369765,-0.05065459712187399,-0.05948545083812181
CTHRC1,0.03836665001955445,0.037107811324002385,0.10503203943245233,-0.09477522783008017,-0.046703895787239824
