,UKF243,UKF248,UKF251,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.0050017210164879575,
BMP1,-0.014651802066307265,0.033330252471570176,0.0470133366925231,0.03787103331067259,-0.008640247590959448,0.06959679386120776,0.0635556523496412,0.09926326738395645,-0.00927444196165415,-0.0122057431236559,0.028151388275369997,0.05805969439680165
NDP,6.386577751017888e-05,-0.0229115221276348,0.059238949180556735,-0.03603171989800726,0.017520869826638058,-0.018689268760315538,-0.020841814017560707,0.11971464938376591,0.016014777022375335,-0.031423688193676254,0.03266708012547977,0.07536918557049492
TNFSF18,0.022195353203647825,0.0021904146321374404,-0.011003628606970883,,-0.01362822044017906,,0.034299547042971584,,,,-0.03918184493276937,-0.01959852853090546
RTN4,-0.08609747095442258,-0.02446182684472206,0.03355319141010389,-0.025660796358388565,0.048371997546185354,-0.019553848725757675,-0.11261814271747872,0.07344317290391633,-0.08560480489401869,-0.028064719669040252,0.0009369499971038223,-0.029029525816402987
HEBP1,-0.00209824142688262,-0.02088318811802592,0.030770308970508243,-0.056847736162848606,-0.017455454727198158,0.016092626211844464,-0.016004799968101342,0.07651450109012693,0.06484923419313952,0.011064212986943335,0.0733996868659856,-0.022500208039213824
WNT7B,-0.036694570186870466,-0.01442645519610075,-0.015248987408938746,0.0012640122196739818,0.004588169582750035,0.04360598758182363,-0.027806274525264664,-0.01071787905372067,0.014364753983041057,0.05343890087063282,0.0576145751230301,0.03512935528856947
PTMA,-0.10109746311384721,-0.020340824143626687,0.08938362472094318,-0.032358825521920875,-0.004620030313424049,0.02920306022744983,-0.06789441847773171,-0.040287186139167715,-0.058165984330560215,-0.0003339997821035791,-0.02153795632691111,-0.08147070024234485
FASLG,,,,,,,,,,,0.08359560457415138,
CEACAM1,,0.07077725268129847,-0.011702680671526716,0.0020719590113583096,-0.02143394404642335,,,0.06650662698832509,-0.02295336751526289,-0.021606674591811332,-0.012181511859943235,
PDAP1,-0.01958212899310238,-0.018574996301682,-0.0007046575861168816,0.009139339403177855,0.00018873837276019254,-0.012187508933995722,-0.0018732153548083144,-0.049081666089518056,0.0329521234723253,0.03866691013963099,-0.02555238784546674,0.06921542020673711
QDPR,0.090681794763778,-0.047439424079317026,-0.015619591907026702,0.011686855626970385,-0.02616429496593496,-0.03398257463609281,0.08554718360980264,-0.031326108853026474,0.008429418962322174,0.004656571799393031,0.03582349268051518,-0.0565185803888054
POMC,0.05688056055681236,0.026464140805381283,-0.020793796477230054,0.023883900073922795,0.01850625614014799,0.01010937767347915,-0.022386643304336824,-0.0597854928839687,0.04055384932427874,0.03353553276870071,0.06015077524219895,0.004641959180392841
CCL18,0.10589575082118811,0.033560983133745094,,,,0.018654306203050534,,-0.03642081362801213,0.013174888437049411,0.034030096746716594,,
CCL17,,,,-0.023465495076783572,0.04734646799015751,,,,0.14520271486422184,-0.0178245986004396,0.0277091530736019,
VEGFD,-0.03785357433759665,0.048051644225153844,0.09987108001861997,-0.026143152803598958,-0.018108912988679404,0.008583409183299303,,-0.04103211772025591,,-0.021606674591811332,,
TNFSF13,,-0.014882719679791863,,0.09022267858153098,,,,,-0.031247132050340576,-0.020779471363635203,-0.029753024126068808,-0.010553633027959274
WNT5A,0.031117055948091644,-0.041639580485527426,-0.020870895632128572,0.0186905090681978,0.012953230126499739,0.026774300792928588,-0.021281578526933406,-0.025341129477280358,0.015126487459048196,-0.014046808979185454,0.03543825219752797,0.06018350954932957
CXCL8,-0.022546552227073365,0.0717817854249029,-0.015694701859003228,0.017116467352073745,0.0458900763827934,0.028519587883971586,,0.06766852173444338,0.08384158223788078,-0.0292392037189065,-0.026095599758717374,0.017557104103485183
GRN,0.06754986191874884,-0.030299699310781688,0.03874462694723054,0.027605672862505603,-0.01810653836056926,-0.039810101266490795,0.12278594611358788,0.008319676922488396,0.02836682524723257,-0.0078062719374297875,-0.014949987597922007,0.027757067855570014
MIA,-0.019222056176482236,-0.02984468116233337,-0.014906721281643734,-0.02655074172764195,0.10257440676559651,-0.03933631814522744,0.02604615792197671,-0.01599461952798682,-0.02904270853882869,0.002012063753862029,0.04691389866053485,0.002689711219749569
COL4A4,0.020680892149416534,-0.023685740352540677,0.0001047858848380671,-0.013559151779558567,-0.017745440033655337,,,,-0.0005485220192470973,-0.03459566441763562,-0.0360250533919474,0.05983250975397015
TAC1,-0.034788992400991564,0.012601754778812905,-0.039636179004336566,0.04782476766281024,0.021842048579705113,,,,,,0.011367982739844958,0.006370355856876992
RARRES2,-0.021331620620426435,-0.01973280348815797,0.03022571817578176,0.06745444094791145,-0.019133532445336783,-0.028930575849727948,0.0367624772669353,0.037916446229226436,0.07960367618626077,-0.01714788807572699,0.05046606964905771,0.00126114344478538
FGF7,0.05830220086501842,,0.12242781831758989,0.05204956264808923,0.01589601696639433,-0.0015057698056068665,-0.053307473162705975,0.04043545506066409,-0.04936364473979953,-0.025393189500811122,0.07343122470701595,0.018057036605648332
EFNA2,,,,,,,,,,0.02066747546668583,,
HBEGF,0.05863275359307649,-0.022520852443284025,0.004632856228000973,0.022680205950861686,0.05427861706992421,-0.006335933011844468,0.02083353937357305,-0.041430010325768055,0.023588629672823446,-0.059093953911928135,0.0088979724848165,0.05718703989051125
CSF3,-0.038106198644250945,,,-0.006988877325248772,,-0.005128191022774224,,,0.05707000336900283,-0.01590641780705041,-0.01922488437860247,0.002511015045720556
