,MGH258,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007nec,ZH8811Bbulk
IGFL3,,,,0.04240285812414245,,,,
BMP1,-0.06080191644092556,0.026843716145492847,-0.01831519798108589,0.15770483590892417,0.02616285214459466,0.008867596143476979,-0.03815643412935088,-0.004983292834595904
NDP,0.012645180443516202,0.03222532647427253,-0.038265124891343066,0.015237230404855622,-0.02876272723821535,-0.003278523271096629,0.03953477587308937,0.015549277006774217
TNFSF18,-0.02115380433574415,0.04899529170279329,,0.03380691984294703,-0.01619555087467558,,,
RTN4,-0.04887863852688359,-0.030741840057297624,-0.004930273029378161,-0.16668460284398431,-0.03377766151619116,-0.014254058839681557,-0.02227321691694894,-0.10175499367611379
HEBP1,0.023701195315056454,0.015678834848217655,0.03886156206114242,0.06962529590510647,0.03718822625997552,0.002252500809054988,0.05101638742759661,0.030402807963005662
WNT7B,0.006792399124775078,-0.036746411649810386,-0.013684485935173412,-0.023866683182002364,-0.020020021844955344,-0.014267905918234763,0.06639412411245847,-0.03652214933545503
PTMA,-0.014692585771277423,0.04282121183107019,0.01913529175474944,-0.04599303691241487,-0.020528651951492,-0.04180172750982756,-0.06664768793358286,-0.05532607876480104
FASLG,-0.018635844332518463,,,,,,,
CEACAM1,0.01012648556674801,0.027880582084815114,-0.028298661385377344,0.11673802387293981,-0.002468712467323711,,0.037571775142125834,-0.0176932810188215
PDAP1,0.0746371283077939,-0.01644348607446056,0.002327322976507014,0.12570167356445508,-0.008749697965330738,-0.018205268104554938,-0.015043840506079645,-0.04416218125775824
QDPR,-0.07256499267522257,-0.03961976517555753,-0.07563588810087507,-0.13428939728789943,-0.02963497815484982,-0.009527714377305523,-0.07880199788426118,-0.002010298366360994
POMC,0.0005772478474132883,0.023222783290295087,0.017594094185122575,0.0014312024368509243,-0.01879203652097847,-0.004366519822472796,0.01790891129733111,-0.00032222993563918456
CCL18,,0.04871567135309554,,,,,-0.02033920089937852,0.09124658151217965
CCL17,,,0.03369300094526338,,0.03414950820838139,0.014507047234613796,,-0.0255413619248349
VEGFD,,-0.019721818593244428,-0.011778203713463761,-0.03890311388273409,0.004807217764807408,-0.012953579922002294,0.18809111365646333,0.1441085391779993
TNFSF13,,-0.014882717179908607,-0.014710416861883272,,,,,0.0023647732199389834
WNT5A,0.019761876627309688,0.03935086152013372,-0.01685784672044431,0.1700477908851571,-0.009058421571695683,0.02193230160440847,0.07581970224058189,0.006053570984669973
CXCL8,,0.032626451848823866,0.024962799087093705,0.11197778084114103,-0.007705649590983284,-0.012062936863748625,0.017267780782406972,-0.060725061077439024
GRN,-0.06445627303871743,0.03432277471955436,0.022270233817058387,0.09710385094231451,-0.04168125868454841,0.024683988855010414,-0.024707431600196134,-0.05091545231831856
MIA,-0.00450318052543483,0.04113497756020695,-0.03203003234706977,0.052905639473768855,-0.03271208745631795,0.004482942511258705,-0.013797256645595642,0.12582183998847352
COL4A4,-0.021582578502592785,-0.023685736373994622,0.05959924153875302,-0.022883577769704365,-0.021088386273181953,-0.0016029394793619766,,0.00021539436596614868
TAC1,0.056748838443680116,0.0021624002283840704,0.07095331517089346,-0.09710876423515238,0.00784262496790018,0.034355503251060356,,
RARRES2,0.044799569980703675,-0.06396306148339143,0.0020887871374814836,0.14910094940459853,0.028250812465286698,0.021401820322010007,0.08330596185573544,-0.013070780196110651
FGF7,0.049515053790462546,,-0.030008090292219413,0.11054526327229047,0.010170875274397065,0.012801048857800488,0.08582206540628308,0.11410918291908248
EFNA2,,,,,,,,0.10444291266400886
HBEGF,0.04026522845397577,0.03856639701860203,0.0030227723297087017,0.06356173350441893,0.015290020372989587,0.0047217072196669915,-0.08272233941116754,-0.020773602536393068
CSF3,,,0.05628748519891793,-0.024210384826169513,,,,-0.06454230617561495
PI3,,-0.004566995053399077,0.065789653468383,-0.027261212856759115,,,-0.03818079244400583,-0.0371681222784694
PCSK1N,0.08365518443428413,-0.08063853630481671,0.004179985915516278,-0.05490507327714209,-0.025360707251229856,-0.016488092997758892,-0.043111185432352886,0.01136941017002662
NTS,,,,0.051564485114457805,-0.024091029949249877,0.044254873948178286,,0.09875398932851705
SFRP1,-0.027115609488776303,-0.0014693317217276197,-0.018608036797018532,-0.03957672747551566,0.0004520309461212256,-0.017659668011690888,-0.058584987948239665,-0.010473157055288505
CXCL13,,,,,,,,-0.023798058306206557
MICA,-0.009149243474598561,0.029242268717714986,0.014356356730314011,0.03599026047856829,0.009379245540423785,-0.010751129054306016,0.08249991148584669,0.023689127429335516
TG,-0.02158257363887562,-0.019177203483097968,-0.020081019854216963,0.04996466747254684,-0.02034973325508919,-0.012780224922105902,-0.008728806678050965,0.03913902615655376
ADA,0.0015624439471187085,0.040193979300936905,-0.047274698807839605,0.0544670177918861,-0.014199976842007005,-0.020756113059872298,-0.020401719423943032,-0.008570845646719756
LAMC3,-0.030754992342046355,0.05287947972325113,-0.001889578883750111,0.06689432549487512,0.014568567215799326,-0.01942796010860029,-0.017191290574545305,-0.003955672172965646
CCL7,,0.09501826587894271,-0.014518545270564948,,,,,
NGF,,-0.005087790041830998,-0.03326569542543226,,,,,-0.016590240431371025
TNFSF15,,,-0.01616711025172708,,,,,
HMGB1,0.02722056806940921,-0.0014907231525802204,-0.007185392038030395,0.13527265368343547,0.0024385462407475523,-0.01085986515552886,-0.017625226155559393,-0.09239513438184943
ITGB3BP,-0.01662780126987331,0.016126114028345427,-0.005197686856430634,0.09874051203591146,7.750001416269047e-05,0.0387283708270575,-0.009091554738957171,-0.02955006612374443
AANAT,,0.020014869529211457,-0.014710418431898064,0.05062149992528125,0.012197469091824769,-0.014731969982176909,0.08420368127463511,-0.022630157617460518
RELN,-0.01789252574710764,-0.03929265646224102,-0.014326211274806105,-0.039849592894215254,0.031274689150403545,-0.02014519130976433,,
IL15,0.11366941579923194,0.07763931235703565,0.0036141135016235135,0.04143639889285229,-0.03589326518432734,-0.03166383144692696,0.044127019402581076,0.02572819775558991
UTS2,,,,0.18793666081656013,,,-0.029340844826149824,
BSG,0.08395106264511233,-0.06364905722287953,0.0008627920346903276,0.009461943038496831,-0.009131720554036951,0.0004641680608526313,0.05732940282613962,-0.03189442334941301
ADAMTS3,0.03420768498554016,0.027112076589531738,-0.04107942531540181,0.17298166703988185,0.008514152091114183,0.010002126078312194,-0.055694158681828185,0.050847892516556734
CD34,0.03587730658227143,0.001944231819543222,-0.0413545841764128,0.12488022276685819,-0.005003475706716095,-0.02756311583284131,-0.019153721832640188,0.028893151092807063
CCL23,,,,0.12062783649841913,,,,
