,MGH258,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1
IGFL3,,,,-0.015367755473064215,,,,,,0.044688814174749784
BMP1,0.018136036139496985,0.05081206222532709,-0.06882161517122373,0.11347755235762907,0.009256289598838454,0.06998704237388385,-0.07443190824809368,0.03513207563163445,-0.07012813068535405,0.08728152675062038
NDP,0.03726514909261363,-0.009621793501923373,-0.027201152642084822,0.009638200604866693,-0.05693836881565652,0.10425701311066189,-0.031439467312633994,0.02279069406707057,0.0008972459815664326,-0.003560725922351304
TNFSF18,0.10749783282554602,0.153184884344105,,0.07616769240337218,,0.1198583609244932,,0.02233657373921992,,0.10367197003387653
RTN4,0.0586444588968884,-0.03656167484470179,0.005895422577365332,-0.14181174329252272,0.1408864663338377,-0.03708739821641154,-0.0034519355053784827,-0.09819127164446649,0.027867092657358806,-0.03179907987971282
HEBP1,-0.0735550006982788,0.0049144960380823974,-0.012492716372925325,-0.016191384063790382,0.12258746431644375,0.07716543343141466,-0.0345876413799763,0.0083571985684183,-0.012336953125186985,0.048168213166545196
WNT7B,0.12734316311847682,0.012216088027368543,-0.023080015307058093,-0.03898583255394763,0.010505082857327661,-0.033067383373997575,-0.004327514017545013,,-0.025517150393808332,0.05654394006261262
PTMA,0.03744723561119516,0.08082238788431133,0.06694522191630459,-0.037468495085450235,0.15957597155064826,0.0469575388594679,-0.06422617418670078,0.0010239309751689286,-0.02953790491287876,0.004794578433079771
FASLG,-0.015970529683371586,,,,,,,,,-0.021145571642299153
CEACAM1,0.018806762429446178,-0.019506065603297224,-0.015681262932929645,0.09991280155048346,,,-0.054726486438316034,-0.011167322271318489,-0.020833081695118178,-0.029420957221094512
PDAP1,0.007994348505944842,0.017592336673420608,0.0025437844502103845,0.12686494428228456,-0.062176739987457125,0.023561494954585163,0.016754220335367886,0.03458423952660363,0.00871536636098874,0.02021941714555536
QDPR,0.04253467264914659,0.010058081734355021,0.004039357759645318,-0.13215340010304014,0.15028884200615839,-0.019783627242327347,-0.0188874606649228,0.05069260403372103,0.004481723238634978,-0.03536996887373316
POMC,0.02662056323035103,0.04338297696970011,0.02588492799679114,-0.028880251971738324,-0.06487120446259118,0.10343012418832147,-5.491475173068779e-05,-0.015152994222850593,0.014178810808486974,0.04891134048781785
CCL18,,-0.009699721494619024,,,0.03853085811567442,,0.04806654143482769,,0.0332598140473949,
CCL17,,,0.0033844536431485097,,,,,,-0.014780063113188312,-0.019166085631195432
VEGFD,,0.030305168107437927,-0.01720981280652705,0.006000286249917719,-0.02832047369575784,,0.054266756160542856,-0.04954359680954688,,
TNFSF13,,-0.018369054043990016,-0.01065508713524635,,,,,,0.17334204268133777,0.1170241900550549
WNT5A,-0.016149329421442007,-0.002787391074601535,0.046852023721801035,0.05963833993735977,0.04871151450510549,0.04362182019799343,0.08037466180488863,0.015708719230213535,0.012696784137533591,0.02060492708222734
CXCL8,,-0.0320228057377618,0.0544860185248887,0.02817968880148781,0.023938484264708383,,-0.004436907331407891,0.04813068847494725,-0.001713784775848692,0.014057800685013654
GRN,0.02407071240716769,0.02809802446694718,-0.011879809241752281,0.06985640880947554,-0.06275130424218824,0.061666193178789026,0.06551281817840245,0.019871915914664126,0.020733553782115496,0.11823807180098782
MIA,0.02273491291430927,-0.0021174419145345686,0.03197656515187987,0.027532095763113683,0.029272553077647593,0.04425249458185739,-0.017167638811636424,0.07384914387106421,0.06991677318048685,0.021874881439348525
COL4A4,-0.018495819372020616,-0.004377956318743163,-0.021068339840912043,-0.015143782344486366,,,,-0.03879361202493637,0.022693938274865384,0.010999735188663692
TAC1,-0.01597052099446351,0.0013645932755061228,0.04709508891387082,-0.08266627801872796,,,,,,0.04331153792047819
RARRES2,-0.05278853909360277,-0.029741798760789185,0.08142307145034386,0.09769423733791731,-0.17171114589732128,0.036530150949486216,0.12550854051531635,0.021640631851001006,-0.014825689975844292,-0.0053855167162003975
FGF7,0.015070161578042859,,-0.027381477779346197,0.019985910110196167,0.1173365061158178,0.027348818262200727,0.033834462236179405,-0.06544608825211477,0.050321290373187375,0.04333358095176301
HBEGF,0.011883988443034295,-0.003698574290080394,0.02839756082736426,0.053835875037643297,0.0831193921797728,0.09868521647075383,-0.08078926673957489,0.08257320229418523,0.03360242230181435,0.004069968138397045
CSF3,,,0.044682590409940194,-0.016021830238851814,-0.005834522883611251,,,,-0.04726185765987131,5.3529175958090074e-05
PI3,,-0.025608522947974,0.006579343563783821,0.004108269105612312,,,-0.030274797474526657,,-0.002835858287782744,-0.043842114252339984
PCSK1N,-0.020946302944691502,0.02552750640321072,-0.04811853145803223,-0.015697567503623056,0.06347749101727694,-0.01824329471768311,-0.011018175690027224,-0.0073601850325535866,0.0416416585031012,0.03546797553285249
NTS,,,,0.05688729676671356,,,,,0.05969705983429974,-0.029882245856695893
SFRP1,-0.003711244698721644,0.01449103332218742,-0.013478221273378627,-0.03001155488189198,0.09775905750403203,0.020276410305955207,-0.013389834560360947,-0.03185291628227631,0.007556064722656933,-0.01479988361539189
CXCL13,,,,,0.07463706963714314,,,,-0.006104524192182283,
MICA,0.025907868805449204,0.0015933794725071515,-0.003668009548918531,0.13709976232228205,-0.033566312438579306,0.02150034555349546,-0.03344874077933633,0.095661853333666,-0.011202641328428341,0.06633748017451413
TG,0.03094212575265719,0.045439687342828425,-0.014545136165767447,0.05984063917658602,0.09144071063506344,-0.038493326980313686,0.08478151769256162,-0.04040170172617819,0.07062950749168963,0.0034797056026665027
ADA,0.025208496692604183,0.08634271839214727,0.09635280590296236,0.11510914265611376,0.010646572215010603,0.03621105977206067,-0.042641971291765696,0.05152400814752366,0.00854010677900866,0.12277994666106816
