,ZH8812bulk,ZH916T1
IGFL3,-0.012816608550911544,-0.019410026215462204
BMP1,-0.02557411225142757,0.10693529778635523
NDP,0.044364093908392424,-0.04777966750326702
TNFSF18,0.024730086399205996,-0.03274124406900096
RTN4,-0.02805237891354411,0.0008857081645558564
HEBP1,0.012668253997308433,0.05867365322451402
WNT7B,-0.02763894995326065,0.01237171217686329
PTMA,-0.04323089641319153,0.026602091531242572
FASLG,,0.10718451164478011
CEACAM1,-0.01899222817126931,0.10264131230043112
PDAP1,0.027604311760165857,-0.01610641823189148
QDPR,0.0008701947585233788,0.002002894129818675
POMC,-0.004471320891457222,-0.011776136806508243
CCL17,-0.016897958022739135,0.11788587312758197
VEGFD,-0.017822130170756904,
TNFSF13,-0.018120874682897622,-0.02486230616179512
WNT5A,0.06411626011062976,-0.0014301041964542693
CXCL8,-0.023991416897374468,-0.01762314175799172
GRN,0.002414701925785146,-0.021996283290735767
MIA,-0.002428152384767613,-0.009303261201083622
COL4A4,-0.02602993838715514,-0.04480915463017148
TAC1,,-0.020058731997367706
RARRES2,-0.037620447076243554,-0.009510549522178497
FGF7,-0.04261167755005999,-0.005962455513903602
HBEGF,0.01737626745525745,0.061489559481811326
CSF3,,-0.01606475225243198
PI3,-0.01435757133500708,0.04415333709546746
PCSK1N,0.04824364894632018,-0.04818736719158237
NTS,,-0.006838057401455331
SFRP1,0.022032728548439833,-0.023236894944759244
MICA,0.1243601633083979,-0.043521101837995506
TG,,-0.017687578276047337
ADA,-0.020501977410850983,0.020065881615081785
LAMC3,-0.05357499696154197,-0.03274722878181256
CCL7,,-0.016834303128764858
NGF,,0.012535235624465601
TNFSF15,,-0.04447914344220064
HMGB1,0.023752545290824975,0.03531003207107101
ITGB3BP,-0.066096754828783,0.053267131302357086
AANAT,-0.020902231952520393,-0.017811394737342105
RELN,-0.026139529902681088,
IL15,-0.006787851553683996,-0.0005234428373746943
BSG,-0.04244466497687162,0.012768764222846913
ADAMTS3,0.003190842459209,0.0003307817483412605
CD34,0.049974407616074336,0.048623362309404186
PLAT,0.006663102203925038,-0.002909495524729011
LTA,,-0.023971453074853537
CKLF,-0.002350481921824248,-0.020860863689845053
CD24,-0.05166542176437442,-0.006589669469797405
HSP90AA1,0.02452832427449741,0.07390119989735044
BMP4,0.02156911222446212,0.016920686723631798
SCGB3A1,,-0.03529703288295523
IGFBP4,-0.04949037844929791,0.0034434174847505945
RSPO4,,0.03390026639600969
LEFTY2,-0.015690791011013127,0.041084119752802524
PF4,,-0.023971447527681492
ANGPTL2,-0.03812503256631354,0.015927461591787605
LRIG2,-0.028084402556399685,-0.027922993957459237
ICOSLG,0.05659624604198166,-0.06631483081991023
NPPC,0.005604086831867198,
LYZ,0.007945236776234613,-0.02803909023589332
EREG,,0.03951836863237515
SPTAN1,0.07262332411457637,0.011515978369918908
LIPC,-0.0243404747253509,-0.030308982813298746
COL8A1,0.024405730142730835,-0.08621650701844465
GSTM2,-0.0011480308771213315,-0.034355443232752546
SPX,-0.0012961378255401832,-0.053782359201176876
MFGE8,0.0107693719180153,0.011281784627174912
TGFA,-0.048145536791442234,0.01775179196879619
SLIT2,0.007743687352481621,0.032975364816462724
PLTP,0.021489788804213178,-0.022407194959422626
APOD,0.009092603740911507,-0.08186709836961141
B2M,-0.03668090888690441,-0.029686236656763815
OMG,-0.035735879607928185,-0.032596985892388144
CXCL3,-0.014719361806983368,-0.02797790801757168
CXCL10,0.006005029875875001,0.06386472834986624
RSPO3,,-0.01708352588834138
NCAN,-0.04643114341090414,0.009905836027218388
PRG4,,-0.014633254773425128
ZG16B,,-0.021301318255735252
TGM2,-0.019133385100145717,0.020130769956657725
VEGFC,-0.019415080771252573,0.048669099410842596
WNT6,,-0.025725719710523422
NRG4,0.01739070152002321,-0.01708352780299705
PMCH,,0.010030820606714572
COL9A1,-0.015645515488942843,-0.007018180937574072
GDF11,-0.04509285415608664,-0.04785955058706328
RAET1E,,0.004236126622025577
SORBS1,0.08025298346873283,0.01225049076967141
DLL1,0.038393256871544865,-0.009312313008140312
TLN1,0.04885617143175083,0.0385239950946177
COL2A1,,-0.008495450302153446
SHH,-0.03926106700278836,-0.009904192005591323
PON2,-0.015469388755213965,-0.011682748294510117
ICAM5,,-0.014603052988174343
HPX,-0.02090222339272285,-0.0074563706908909325
SFRP2,0.016256814579092106,-0.03426627997456707
CD70,,0.03660793569255178
HP,-0.0199668136648524,-0.025555089094591414
CXCL2,-0.03143247958287463,0.02074230151984944
NPPB,,-0.01732933635988367
CCK,-0.03169240495162353,0.05110122202488756
SEMA6A,0.05599728207581136,-0.000657726701818103
IRAK4,-0.0044182050694209765,-0.02314847856415561
GSTP1,-0.016572705831123722,-0.01020866079095221
VCAM1,-0.04078703444746437,-0.02602007511923505
NXPH3,-0.014025745192770089,0.020901002084039062
MTMR4,-0.032027765702659264,-0.03631278183638058
LAMC2,-0.015073148565047895,-0.03301770002000606
IL10,-0.014539499337195045,0.015584199418009011
SEMA4D,0.015425810251712841,-0.011525164963056722
TRH,0.04889984020671845,-0.019410018853910683
SEMA6D,0.01806324733735238,-0.036432401626829106
CEL,-0.012636777920187596,0.03678687230535256
PDCD1LG2,-0.02181564056106901,-0.00303309011340756
SPINT1,-0.029781722045795028,-0.027433921090916857
CTHRC1,-0.03478736986543656,0.0016129551252511128
PODXL,0.02943007320311642,-0.0225640547796667
JAM3,0.045602887078003314,0.07936684807466486
TGFB2,-0.037412176256785466,0.033974830503388266
COL18A1,0.017232553090043255,0.009199634946755164
NODAL,0.02236586672485463,-0.010982821801105496
INHBB,-0.0980204269938155,-0.02106309288854298
LCN1,,-0.019628467530454375
ARF4,-0.07910678680162532,0.006570379353699763
CXCL14,-0.024352850620469785,-0.015000396629042715
LIF,-0.03984335606281649,0.09139356001729744
IL17B,,0.01940976980945529
MMP1,,0.02172818909689499
MATN1,-0.01524721820550745,-0.02360673060123406
ADAM28,0.07297179011168835,0.015223604917330776
TCN2,0.005366890190004401,-0.029587903413486764
THPO,,-0.025555096874114683
CUBN,0.06189325620858075,-0.04485392970389323
TIMP3,-0.022513025588005612,-0.00428601519055087
PIGF,-0.029963539544073704,-0.04708565166450077
CRH,-0.025698995117829075,-0.0009699453764620266
BDNF,0.013743429954545376,0.0030214346835015895
CCL5,0.02035924331860197,0.009192336540194702
GAD1,-0.027963117098882252,-0.016919452684445772
COL14A1,0.003925870797716428,-0.013699676529733884
HLA-A,-0.038622639753932646,0.0482396709628325
FGF18,,-0.019410020411161265
ADM,0.02156777891197715,0.023939201647660224
CCL15,,-0.016834309195737248
GNAI2,0.03857963194014699,-0.007387711885879818
HDC,,-0.05697917137003901
COL11A1,-0.04537367747119181,0.039311667631379804
NUCB2,-0.035132317517903314,0.03839739614996551
CXCL1,-0.022918795475754507,0.008840842355138085
VCAN,-0.09418331704975409,0.014815117051352751
MMP7,,0.014817075518758062
PTPN6,0.011678129102193357,-0.08188453970156012
PTGS2,-0.018849444984618612,0.047449872641687665
CD58,-0.05479361537451923,0.0015931453611279852
TNFSF14,0.01516141432099328,0.0045277565006251845
CNTN4,-0.019134079471405146,-0.028644623984618894
INSL3,,-0.02304998774305529
BTLA,,-0.022288185632954725
MFNG,0.00798406096085438,-0.008747988665479002
ICAM1,-0.035356553598737635,-0.053154480101043976
PROS1,-0.029884003399083377,0.0038409660266350313
CLCF1,0.009574850123642634,-0.005269481292541079
PSAP,-0.05492510060293158,-0.053876795740956704
EFEMP1,0.00631400301095663,-0.04421285920493025
C1QTNF1,-0.05079484120531487,-0.025300166310972868
ALB,-0.00353961998162117,-0.02606401655626645
EFNA3,0.021519931468266907,-0.046641907128257366
DRAXIN,-0.007312477565966165,0.0004894651946613507
NPTX2,0.006575252619936373,0.00914752171163418
FGF11,0.017860480244657854,-0.011971113208525364
CD59,-0.036160845751317255,-0.014293731214387857
COL9A2,0.041832356978936475,-0.09190587945270177
DLL3,0.016294013818299244,-0.020832973493445938
FGF5,,0.0381276595767343
LIN7C,-0.021802421514556847,0.016930318191043923
GDF7,0.05788624485508321,-0.03287970497543074
PSPN,-0.015076738690897104,-0.007742676494974755
ANGPT1,-0.05330504306271363,-0.049382355666003415
PNOC,,0.011531596901992564
L1CAM,0.04342860129243539,0.02883548435053321
APOA1,0.002427425884355402,-0.06444244546849413
PSEN1,-0.07676222868819892,-0.024834100778040658
CALM2,-0.03990821507761943,-0.03589529222103732
CLEC2B,-0.041634035780486696,0.08388894144009473
NTNG1,-0.037134361994657465,0.03521762292813652
LRIG1,0.02621796771703777,-0.07386885269283924
CPAMD8,-0.03056942761137682,-0.024151958815301775
GHRL,0.03645697866562121,0.06013622976296036
NPY,-0.006655306898541058,0.05962049083914723
MMP2,-0.046178938127431936,-0.012590807543413057
PPY,,0.024607816505851678
ALKAL2,-0.026897135106516767,-0.040560690233911574
CSF1,-0.05339992968701687,-0.009445698279321981
SEMA4C,0.0539148210258469,0.020051013095459896
BMP8A,,-0.020688604761931625
ICAM2,-0.02842112559125518,0.0006303721456549593
SYTL3,-0.017840159639259775,-0.004753279119428555
IL1A,-0.029482508220361033,-0.006285215453015315
PGF,0.05948954142934649,-0.024473843543593485
LGALS8,0.0367514980063219,0.03625657605973524
DKK3,-0.05233179208026771,-0.024877068033745717
COL16A1,-0.00818048045505187,-0.01759988823986061
TPH1,0.04528938482120988,0.018307194484255943
TNC,0.02664621329361576,-0.019680606362883605
TNFSF9,-0.035747221197051274,-0.019284013676277037
C4A,-0.020770793850209475,-0.027860368072613464
CNTN2,-0.027730984722450846,0.07151456693760494
LUM,0.01044198596246236,-0.03179570170108361
BTC,0.040640540246355085,-0.015146833261912613
APOC1,-0.011828908837844224,-0.08362873392178885
PKM,-0.06144427902612753,0.012935879399389562
TNF,,-0.05609510530861751
GNAS,0.015905479617532713,0.037316239651959515
BMP8B,-0.045785194239969344,0.03242290779100545
LIPH,,-0.0044561784493669584
CCL28,-0.01435757133500708,0.08629965253642456
PTPN11,0.03360553087875702,0.033579209214631846
ADAM12,-0.04149343452663083,0.04750187249455688
EPO,,0.10189609468702124
EDN3,-0.018589615245099014,-0.031040636215250845
CCL22,-0.01782212579684302,0.0388979134194553
CCL2,-0.03352474764418841,-0.022446297357362248
DSCAM,-0.003632007514023814,-0.002205618185026004
ANG,0.02062951268245667,0.02842919786363521
FBLN2,-0.035216038100171335,-0.005449800115361648
VTN,,-0.02786037385675975
VEGFA,-0.025712518739719702,0.0725756838918647
F10,-0.015419495164668525,-0.016794548289433855
SERPINA1,0.012765600976089753,-0.01576741765119214
VWF,0.044070067119863915,-0.02892893252297798
VASP,-0.058658381186413394,0.07296194272863721
ADAM15,-0.01868474194538068,0.025925982878415604
WNT2,,-0.031165390306489613
OLFM2,0.0026151278676346578,0.009919167568003675
MFAP2,0.02044280651913371,0.02619549336221216
HLA-C,-0.0371891874161516,-0.05395642933639611
THBS1,0.016543498554345403,0.0034832030130435296
HSPA4,0.0003053169904473477,-0.011647044382442056
LMAN1,-0.010896557306097425,0.04836045304179058
LYPD3,,-0.03542746716286142
APOE,-0.017075577317979738,-0.07530168528443065
SOSTDC1,,0.04740594122849788
ANXA1,-0.04608561793807046,-0.022744056769346117
WNT2B,-0.02846904523013939,-0.023649159968494246
AMH,-0.014357569504111543,-0.01908007781936492
GDF10,-0.018120865143714485,-0.03471971365775492
EFNB3,0.05501074686489567,-0.014193206286581729
LTB,-0.0009503946105822068,-0.019392559841705265
ANGPT2,0.06839584056735029,-0.009924016500870565
NRTN,0.09163203965135483,
ADAM17,-0.039595735588456665,0.0153375571673982
LRPAP1,0.021831325007713804,-0.01759018716324709
NID1,0.009646695499445085,0.018476409197059746
MST1,0.019643107104685777,0.02233435428027655
DCN,0.017982290976866034,-0.04253797756286636
IGFL2,,-0.024868201963556776
COL7A1,0.0021878201816046077,0.0064907595579755655
CALR,-0.023462293811088518,0.0007857348364233614
PIGA,-0.06121990939323504,-0.010254667767397205
CD200,0.002852677536848379,-0.02710889318202407
GRP,-0.019830123009727963,-0.020270701685692203
CDH1,0.009978396339262698,0.019022020942942523
LPL,-0.004038373234120371,0.028740875309675666
SEMA5A,-0.007690425286054903,-0.06091484694665064
SEMA7A,-0.003180716099832092,0.04413919046778078
SEMA4G,0.027556915840030338,0.030457774832229147
SEMA3B,0.0206406292442778,-0.03668648313352225
RPH3A,-0.04437392188903873,-0.041080433195708366
JAG2,-0.019519684265031402,0.04758733732583817
CGN,-0.03774148545611942,-0.04813040018350822
GDF15,-0.02344802715145316,0.014456212224038097
SEMA4F,-0.03354099324056789,0.007063199064767078
NXPH1,0.018714206148765,0.020393539198790354
ARF1,-0.0036965189956086287,0.0016818686133043864
DSC3,,-0.01708352780299705
EBI3,0.008637898133108815,0.025821778736034466
TIMP1,-0.009104814411188994,0.017921047780736304
SEMA3C,0.018314114774747314,-0.024548999699540646
GNRH2,,-0.01851233065887941
GAS6,-0.0011513164713982506,0.010353429691522234
MEPE,,0.11619041249840813
SERPINE1,-0.006624998295580654,0.07613169456563282
RSPO2,-0.028259785967632498,-0.003564758147708366
SHBG,-0.023991416897374468,-0.0020777351882953383
LGALS3BP,-0.038954208981377386,-0.041336703421814294
LAMB1,-0.02122979434367251,0.013347443995948314
SPTBN2,-0.04667335022889667,-0.001869659237988211
COL1A2,0.03575516285457589,0.003290187318701843
DEFB1,,-0.011941039093179407
WNT11,,-0.003909265222463358
LGALS1,0.0042427006514005935,0.0042367697891810465
BCAN,-0.0492251812876727,-0.05063282639220394
ANOS1,0.001369691775913106,-0.01261043611295666
EDA,-0.026357679118159207,-0.04886006780658954
FGF22,0.10772721525385939,0.016499757878845164
SHANK1,,-0.0020638744153231143
RAET1G,,-0.021301314552429316
TGFB1,-0.07097436174039358,-0.04897222678384844
MSTN,0.01044603940280278,0.01463316206285569
WNT4,-0.01398715468485384,0.003906521948428173
TNFSF4,0.0017404935263370543,0.0008010171055493956
NTN1,0.022116392821092262,0.021785737187741325
CXCL12,-0.049425880105317975,0.012183901352213058
GNRH1,-0.01417347864889703,0.023310625507449584
RIMS1,-0.015354781855831019,-0.024429663572623397
FGF14,-0.026401478338020326,-0.03752180540484346
IGF1,-0.008550388635506488,0.029608414904619212
TNFSF10,0.04106851714204578,0.02860760496705046
GDF5,0.023659289660114144,0.010439542052577222
CHAD,-0.01575888244145691,
RGMA,-0.007986866285250398,0.0012098625631490635
WNT16,-0.013018515052380806,0.07870505412744769
CX3CL1,-0.050840699988446654,0.0192124400193252
FGF1,0.035030545117769096,-0.003512956249718004
ALOX5AP,-0.02660198148590098,0.037266073469453445
IL1RN,,0.03044973665246526
NPW,0.12117560763118332,0.009709780274103866
CXCL9,-0.017055081694158068,-0.001767935190866777
ANGPTL4,0.0008622421398156957,-0.0170982027130269
OBP2A,,0.10995146181941831
COL4A3,-0.02445594929440487,-0.016989146325453265
NRG3,-0.05714111025529775,-0.0179058292927479
IL23A,,-0.027701238540319754
COLQ,0.05319856461555346,0.03530751645127484
TNFSF12,0.00828386456106171,-0.024249725199712583
DKK2,,-0.0036155155614680584
FYN,0.057157240158850896,-0.05632511913442358
ACE,0.03680515324015215,0.013675744886251378
IL18,-0.04822972171587051,-0.019951853658127246
PPBP,-0.016739499572785945,
CCL27,0.09323816559232674,-0.04927398202922633
SERPING1,0.007512001868618216,-0.02140821277284083
AZGP1,0.009721606900053298,-0.03632070456848497
INHA,-0.014539494424987962,-0.013286478639372958
SEMA3G,0.023127574145275616,0.0481418906978311
COL6A1,-0.008914143785125218,-0.026448906483775136
FGF17,,0.004042145947230868
TNFSF8,-0.013018520113586415,-0.02015206440945649
FGF20,-0.01996229246376861,-0.03147284946707438
ICAM3,-0.06504270316122109,0.001825454486940846
LAMA4,-0.005773567813767067,-0.026578267361483648
DLL4,0.022750839965293587,-0.024764408528829815
SEMA3A,-0.03738205353789838,-0.03148205707363507
RLN2,-0.021676707195554312,0.058732316380100257
C5,0.01421431456454601,-0.00967611204034082
COMP,-0.015590026921760482,0.07084885637583418
C1QA,0.05052133316887894,0.0006050610617338607
UTS2B,,-0.022480821468163666
COL9A3,-0.022460449982821762,-0.03910322806587576
HGF,0.07005642124427776,0.09937018085740434
P4HB,0.0028681232553449455,0.06625396083187017
ADCYAP1,0.057028588863928295,-0.01835093569494591
GREM1,0.0544658627139406,0.021040394392248953
EGF,-0.008730608687040045,-0.04845065912835316
VEGFB,-0.000659987590513527,-0.03844304607864863
FARP2,0.0004409915741852421,-0.003783676678035287
LAMA2,-0.03217870196972657,0.0030187264011842024
NRG1,,0.04581252955080189
SPINK1,,0.03065213805682723
EFEMP2,0.004877551848218301,0.039364722569462114
SELPLG,-0.04037399772806685,-0.0420625410075256
HLA-E,0.05439680244099307,-0.01902050438599831
PTN,0.0091402573198267,-0.005903794397621803
CD274,0.08724435182414664,-0.05785185534613863
CD14,0.08228468798617691,-0.024891683612484616
SFTPD,-0.008874871394558902,-0.017972281299389662
SLIT1,-0.01380266616272501,-0.04122147341286713
CNTF,-0.013413805019505256,
BST1,-0.048747089567376826,0.010279802198661061
AGTRAP,-0.028949086590470872,0.04745006179712925
LAMC1,0.018026798436226347,0.03301933032397205
COL6A3,0.011601168465891588,0.036693663423074216
FN1,-0.019676860078164406,0.0340600536365895
MIF,-0.09069033404087894,0.04507560852043114
JAG1,-0.01943179379149069,0.043438530960800026
NID2,0.06369344795859194,-0.015404840895860333
EFNB1,-0.013403054665944193,-0.004139089721725758
COL4A2,6.769224822741112e-05,0.007994141576499492
SPP1,-0.0387735407174966,0.03539839377902752
PODXL2,-0.019811705213865046,0.03214875156952782
FGF9,,-0.0025073542282344837
ITIH2,-0.013436081312991222,-0.023067459212510685
ADAM10,-0.006315829459154375,-0.031331928258638904
CFH,-0.020554464733326165,-0.019355519827933203
COL4A5,-0.026582403953962153,-0.04427054446044026
LTBP3,-0.03077808763178948,-0.031061803620148903
GNB3,-0.022918796923080683,-0.03406066352807628
COL6A2,-0.05470574751720557,0.01689173092130427
GDF9,0.03335449615526056,0.01832359320760177
NCAM1,0.02797198492793377,0.024147827910922334
APOC2,0.019316779251738466,-0.022343080094928625
BST2,-0.05241951484112608,-0.06427585248649273
COL5A1,0.030823863041224534,0.01770551019823163
CALM3,0.00665433805790968,-0.0017207518552182677
THBS2,0.025653701434001253,0.03567891827928068
SERPINE2,-0.029691470311874208,0.010302766855025422
EFNB2,-0.00912254792002338,0.01306723477892366
PROK1,-0.013413791925884894,
MMP9,-0.044041982226596776,0.06447729085781817
NPPA,-0.0183144548558484,0.014702328578990282
APOB,-0.014719364107649584,-0.017329345332702653
C4B,-0.014897209481293004,-0.01918927258655568
NTNG2,-0.05272914452466634,0.03852436481900738
