,MGH258,UKF251,UKF255,UKF259,UKF266,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.009743273058368902,0.05003260276128965,0.110622927997655,0.06530380167409434,0.13700789355588897,0.03289040282102691,-0.006889610966579388,0.15448170770872383,-0.002108777968834574,-0.05336459019193273,-0.056069719641229275,-0.021345395102892097
NDP,0.0064426445212660225,0.03311682851141385,0.013484653266348621,0.04814383648349041,0.003169444563892986,0.02655948113790366,0.009823080213454537,0.06150751523582683,-0.04253792671541142,0.029419157013742123,0.0980026666463677,0.012191030056382147
TNFSF18,0.015299100911659239,-0.018421672759978202,,,0.04356380810410285,-0.034596422057107994,,,0.04795133330830982,,,
RTN4,-0.06155234693662106,0.06744288157095703,0.07404328081881167,0.03850391716481185,-0.22274092219953198,0.02511872943798327,0.014124219321741408,-0.06953902907899145,0.08039428502585659,0.03577211369566947,-0.07546287882825845,0.05647539379090929
HEBP1,-0.013555502281907645,0.026669033497317658,-0.02425211006923955,-0.02384726569799937,0.03485553567319738,0.03711633539149623,-0.019620031356548426,0.011493712532877771,0.025986589989067648,-0.0016220014960748666,0.047583762807474624,-0.004491194149666452
WNT7B,0.03698241841010102,0.046491267454604024,0.07823896505766897,-0.03462046440498105,-0.010019436937669612,-0.011846786061533736,0.030216129258767217,0.09986081441838988,,0.0019886050317680388,0.04672885146008054,-0.05154969558848081
PTMA,-0.08592007649124586,-0.03517910138327609,0.17307327310759013,-0.03578386484768644,0.31571073673007954,0.022624646678063173,-0.0033951032356188365,0.1726816449804445,-0.047787058902750014,0.0528318823560552,-0.01873334921922417,0.10068963659607345
FASLG,-0.04897396226574903,,,,,,,,,,,
CEACAM1,0.008181992296396047,0.020671339031328024,,-0.03997671085306657,,-0.0003721904407273114,,,-0.029689499029322393,0.049029951456618294,0.0030858384437467017,0.043793313320783414
PDAP1,0.07918468882423416,0.03139009042746806,0.03170891422513368,0.05013941038567089,0.1750728960945431,-0.008918369767434578,0.024968097307835908,0.15447314079594812,-0.03294672116096266,0.05407735704618268,-0.04653552930563576,0.11894416223598801
QDPR,-0.0837174459584629,-0.02375250105313459,0.08847238380559139,-0.004340902025129394,-0.08472502889841466,-0.0246758919423619,-0.0014320983945389312,0.10750819833261906,-0.040460391052122076,0.08546716170075891,0.1460045803665162,-0.08086895071573888
POMC,-0.019715733907317148,0.002283111183366888,,-0.003534527218375407,0.0213130067421305,0.013907316548823804,-0.031096789359875674,-0.014944689201614594,0.017406695383237768,0.06575160254070538,-0.007009662675991107,0.013159191873301092
CCL18,,,,,,,,0.06540816175204725,,-0.030832222291500816,0.04456171192381593,-0.00318235471639024
CCL17,,,,0.02761890102298831,,-0.009200491969795123,-0.0012984348026679417,,,-0.06085196327766138,0.0035627390502313986,
VEGFD,,-0.023516651132924022,,-0.0035128876677381024,,0.02236185939597914,-0.03202947910044181,0.15283381689056974,-0.04036222331979419,,0.03875541778293527,
TNFSF13,,,,0.07404431837797146,-0.011536604192993061,,,,,0.1154786016644308,0.03340633509076515,0.03539902232946847
WNT5A,0.043354694424567734,0.057157703800038956,0.11643096254685258,0.009447764209183135,0.25605186233258936,0.009097882272137295,0.010247497127856279,0.006711311905322298,0.02275712107546693,-0.0038134608127542015,0.02612899618400993,0.005653252535914545
CXCL8,,-0.020619751383092404,-0.12223996057497935,-0.026815409748153742,0.04578164266547074,0.024248981466695234,0.06274805619127748,-0.06222760128094345,-0.015852141005741942,-0.16993900088451191,-0.25691888898677284,-0.058261315081667965
GRN,-0.13489354669094766,-0.029839429220244414,0.1601305972641075,-0.01061375311600079,0.08485105133362032,0.027910474472060166,-0.024180064442469056,0.009191046579389682,-0.03143367167343932,-0.03871070107478898,-0.0802515395002214,-0.08585235109754794
MIA,0.043813670151190115,-0.06014407569971184,-0.007020096621736948,-0.04879034416963738,0.01489862176663645,-0.04226042698432703,-0.0044986380938255,-0.03325046690443661,-0.018847249040571452,0.19585230150207017,0.3553388944918679,0.0008632824737272278
COL4A4,-0.018740583464369943,0.07258731442713297,0.006667612026379082,0.05514375376989631,0.0898018871105196,-0.009920386921686907,-0.01790228151511308,,-0.03160441576236571,0.06468121035125426,0.007452249513900793,0.019980528081863153
TAC1,-0.010070034392929283,-0.04091603582724256,0.13077767341490143,-0.04096895253104524,-0.15550234182329742,-0.04181738544664843,0.012051059655771343,,,,,0.011449935992834453
RARRES2,0.11844556834016763,0.025977591020613883,-0.01472733496372478,-0.036049190870419696,0.14666885239826868,0.01740755887689539,-0.012977068460184494,-0.13594413309898037,-0.0033717097836523328,-0.047696132911033175,-0.02945155179282026,-0.024017275012966344
FGF7,0.06557866818516847,0.016517413819880443,-0.005202079491978183,-0.04107274038617034,0.017740570769843124,-0.060402819048355726,-0.020479755940594212,0.02098353246607314,-0.003776477337155094,0.05476861186190858,0.09824179744273172,0.026792988626835768
EFNA2,,,,,,,,,,,0.011711904424619866,
HBEGF,0.04246042579279947,0.04677450382225134,-0.043364753821440005,-0.028290663506340165,0.15734546851948752,0.11019740848975286,0.04550055917033654,0.024237093159037663,0.04120858070479588,0.04004910406451952,-0.028076027279017167,-0.026942145205113174
CSF3,,,-0.029381565542825845,-0.006505901295362409,,,,0.006295949453377676,,-0.10562920451903308,-0.16724738983898443,0.027544235140187962
PI3,,,-0.11955188355974695,-0.04765999672565006,,,,,,-0.18523270688053825,-0.2743609404798249,-0.009631727182821303
PCSK1N,0.15453548681665707,-0.0061726500327989485,0.1661108496039552,0.030545862405125235,-0.11814559604575826,0.052517572336076596,-0.006001589031048677,0.05660367143399084,-0.016066252649659104,-0.0027490337370541175,0.05540013253363742,0.08476638378083537
NTS,,,,,-0.01964756252954033,0.009937147538544324,-0.012713221041288731,,,-0.011464297532211717,0.011895103390330772,-0.01677041835953516
SFRP1,-0.011859915557335619,0.003964675770260548,,-0.02021758970388402,0.1396092967139316,0.0012514663315058938,-0.02972964531046341,0.06287914706023752,0.0966583289360694,0.047571057284198096,0.09694058425395537,0.049856558767934274
CXCL13,,0.0029007532815525034,0.013040182825671043,,,,,0.006920705247150597,,-0.030808099937775935,-0.01654602835644172,-0.0679687736013784
MICA,0.00979767801303092,0.0275315311833631,-0.013255228829621562,0.030048545901913467,0.09407314016319694,0.06671660506002758,0.028949719199561876,0.008805221277860601,-0.05691673735277974,0.027412717746480093,0.113578083266904,-0.025724798911311308
TG,0.02605244031658582,0.03302261067528871,,0.004927875494767408,0.018891298389306553,-0.00985619965032242,-0.031600835406608005,0.06343698549250852,-0.06446306040677607,0.05104925179620753,0.036049151602511126,0.01783800815844302
ADA,0.14294564347470248,0.008241659151241304,0.019483010901244196,-0.0033311103387554013,0.07302717639728672,0.008201397515180201,0.05325519801352524,0.1137740289151472,0.01987949813444724,0.03891413457099262,0.07184540480568714,-0.019545303451914246
LAMC3,0.02084192448491522,-0.02215635037447519,0.06153348676700306,-0.06841809985329673,0.12945376681601334,-0.013175146880048724,-0.012729305186162911,0.10816739305280018,0.004380549119827181,0.04436739589644549,0.047893650038888784,-0.03182209845277537
CCL7,,,,-0.015774366451413013,,,,,,-0.06991600951374306,,
NGF,,,,0.007776118907554836,0.058443202742203,,,0.032348799634821915,-0.013153017248393717,0.1019479499746319,0.048319857828681374,-0.0461464076818648
TNFSF15,,,,-0.0011686306042060569,0.05477493877620202,,,-0.023456393353945556,0.07912828237637133,0.03432573849105363,,0.051524114747650715
HMGB1,-0.0016367382918007086,0.039121967551990613,0.16769913925522048,0.010860946243598946,0.17874234757085258,-0.04919228632828293,-0.008734634823251607,0.13998607757046144,-0.034555135933373844,-0.04666123508034622,-0.09452731595279468,0.03557421128340285
ITGB3BP,0.013640547920083257,0.05738679719969346,0.09157333585730253,0.022861508543089715,0.22459200655542433,0.014085087407715819,-0.03348189277261724,0.0778927220048181,-0.01763033188906472,0.0781528118181684,0.03935185981411819,0.05477751619318554
AANAT,,,,-0.015982836205279877,,-0.0030465338911917932,0.055668122886713516,,,0.002317109223172553,0.06623506319203734,
RELN,-0.025422670648525714,0.0338570800086661,-0.05084876932473795,-0.027742624375446334,-0.07066073150258623,-0.03680631852518829,-0.051647738304248146,,0.14375929614485541,,,-0.0371830446071775
IL15,0.020194040708422362,-0.04086723707975511,,0.003781578656566794,-0.036753940168072895,0.007612404588444669,0.04257088095034211,0.009842945323232643,0.039243034456855515,-0.013233447544490958,0.036558124204222546,0.03152174212777071
UTS2,,,,,,,,,,0.09099513099010029,,
BSG,0.15213556938496262,0.01732196020368386,-0.01835043973610769,0.015512177953954707,0.12842337280799299,0.0016935532978454636,0.019453943109102874,-0.03597697177427434,-0.04915593263998753,-0.016467151729710236,0.005741258715891879,-0.07678568090784653
ADAMTS3,0.0644568812647452,0.02999251423369088,,-0.033795586000662604,0.02103512669903752,0.0001316151470219343,0.03928387601915487,0.005495033777960032,,0.13931309589075844,0.10494578880409133,0.07207398465407489
CD34,0.07101291618884659,0.018337621349325706,0.062252448830591424,-0.02949126042585153,0.13977668564234727,0.07846288089567302,-0.0010169037393510938,0.10077517030534193,0.04701178062445474,0.043526008619061536,0.09364555170381879,0.002311841731179211
PLAT,0.0786929368978928,0.04196267424673026,0.11920500508193702,0.04347165413712239,0.26647509257416946,0.06475466426810113,0.021817436398833698,-0.012512727999345845,0.012688196622327726,0.1407047929236381,0.1373715603475429,0.08802988315355408
NTF3,,,,,,,-0.0200276269096744,0.14047635684206988,,0.06015223701017941,0.22647152636447904,0.04199304296328538
LTA,,-0.022759868164431554,,-0.020217588758073394,,-0.029502137424155705,,,,,,
CKLF,-0.010131081419167352,0.02348502280012338,0.0486175261036439,-0.04688024322384689,0.22933114447651598,0.07018604979099934,-4.011104598445491e-05,0.049360399206752684,-0.06439058461774072,0.12394588487949082,0.15365322623053213,0.02301216580165597
APELA,,,,,,,,-0.04324060401910034,,,,
CD24,-0.03903170898483568,-0.008677767220505684,0.06494313857157788,-0.03192455111141188,0.14525690862186813,0.031004007459789124,0.08832592003068579,0.17881492748047292,-0.019890898735555353,0.10541992813787594,0.11803953709404487,0.14811219565747863
HSP90AA1,-0.059484256821608635,-0.013326265067956094,-0.16022225312618707,-0.005673817406728993,-0.24706240883106556,0.11557585541474069,-0.014667049915906874,0.018405435413522936,0.08853579059233038,-0.20997009716649323,-0.3186988718036577,-0.06948696478995897
BMP4,-0.034078181814793426,0.01292510788684295,0.04861011497706961,-0.0017524796778106725,0.22513235531317832,-0.007470014103143901,0.055755438311839135,0.022832473320498783,0.1136601163939867,0.03692267630027365,0.13375780120713582,-0.00959375295295575
SCGB3A1,,,-0.018891075515293586,,0.0031281395930839876,,0.029427141464043852,0.0003392590021386501,0.09100499472662171,-0.008521298334473225,0.05260336910180523,0.0179819474379839
IGFBP4,0.06938660920281993,-0.0032986109220626693,0.06662836647556089,-0.016787778400762562,0.21912092158672752,0.07240122506068442,0.03963197404096811,0.11822406626602215,0.026907682008443873,-0.018087971354207283,-0.1147477157198852,-0.034465896421246985
RSPO4,,0.0005989524648581285,,-0.011181423626416973,,0.04119877895758272,0.03262453660084044,,0.06192977736497457,,,0.0361604403651033
LEFTY2,0.0018950008615657204,0.036524977902586485,0.1484030996703738,-0.024634526635000577,0.1065958192061964,-0.027283868231773287,0.03851919657389629,-0.026521906128141915,,0.033057844472558176,0.026376178786641717,-0.018937186482629095
PF4,,-0.042950054747028996,,0.007468815062056292,,,,,,,0.0040839568086741005,
ANGPTL2,-0.020313035456376093,0.00716058596060469,0.10084388084426296,-0.040517226090581095,0.3051541349868506,0.023905336768597213,0.007412132984469155,-0.002071508732780363,-0.04541852817967719,0.09036172221803243,0.1219015847929941,0.02920765738091853
LRIG2,0.004155263808878451,-0.03809662720110149,0.07853467217133316,0.010195126130640154,0.11030914792777402,0.0047654328902053174,0.01127536918280908,0.05603905587532686,-0.0337895588185696,0.06844196790584019,0.041330836909593174,0.018277737071060143
ICOSLG,-0.028728830597670126,-0.03017176381260214,0.11908475708726697,0.006255872498848694,0.1503080791938923,0.0192243685043024,-0.02630249837886156,0.036488342425466766,0.014031095081207002,0.026411818178857096,0.09812653221353591,-0.024517148257284276
