,UKF248,UKF251,UKF255,UKF259,UKF266,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.02315318431442322,,-0.015714771359772062,
BMP1,0.06002560704457037,0.06686024880375349,-0.029807456208134648,-0.05953859166661251,0.06657091899228491,0.04397686923892394,-0.014611597266676631,0.10526266158236858,0.045457279676300456,0.1163946874109115,0.12440766889247179,0.01738600988228217,0.008463224475169196,-0.01115015398454053
NDP,0.03583586478887618,0.005855657396707316,0.0328417747205124,-0.03276109492398951,0.015587489204535735,0.09396746493826666,-0.006215722120481177,-0.0023181524239847583,0.09674523427487323,-0.02162224879551805,-0.02997891595097541,0.007092510577156773,0.04358431229067757,0.0048180761185313385
TNFSF18,0.03956199331015967,0.07563189955389624,,,-0.013117673073225453,,,0.20746004929169642,-0.030745025863163283,,-0.023877470305761907,,-0.026508009771206337,-0.03415808377475828
RTN4,0.038351996636648934,-0.04647801398248601,-0.003268828022918925,0.011503103824002938,-0.11019935155188501,-0.06673223348025055,0.04773482624542896,-0.026151603197654163,0.011880952399089848,-0.10796157538062683,-0.15895480954794727,-0.015911348800841666,-0.06759425917312241,0.12325011457865218
HEBP1,-0.01790041064206605,0.02574656669518885,-0.041619873108902,-0.002701637806195689,0.003076104840741207,0.06257911110470604,0.02982475002129255,0.029714313149067768,0.04636030258473908,0.09773831066998048,0.033461984923289924,-0.005496636485072718,0.052485044109849915,-0.01231956589648249
WNT7B,-0.03830798456380735,-0.02376605801717241,0.00582374322469602,0.0019551991403001733,-0.0014697522100303982,-0.02935520175855373,0.05024416991149517,-0.02780627494091156,,0.01817390533401472,-0.04992972204643403,-0.02123312833971457,0.05850369635834312,0.03790874588666108
PTMA,-0.019203367754326062,-0.007142839055640203,0.0559558960425852,0.009171820832055162,0.11979588322973993,-0.010736719723789414,0.047607031259353956,0.06294891057192245,-0.13142119707238462,-0.04673760072102053,-0.058022695496639035,-0.03808985531784414,-0.02043919115194492,0.029327674107587836
FASLG,,,,,,,,,,,,,-0.01362941583915859,
CEACAM1,-0.016475533452890455,-0.01823902009604337,,0.046034579764199196,,,,,0.040447426038485494,0.12612625290945195,-0.005195554203971643,-0.01409273608732669,-0.01896333034337365,
PDAP1,-0.0063449150860803395,0.04596507573499669,0.04135399612975373,-0.018066839650749036,0.049524871689607494,0.022746105627720677,-0.005040456663311371,0.06632667075479631,-0.016928005978604232,0.001495057362909783,0.08103369430026715,-0.005521978382041947,0.04204672148326923,0.01883124147348035
QDPR,-0.042469399240200593,0.027588895151602448,0.0464490516911194,-0.008586981983046879,-0.05650141070827522,-0.008342804741329868,0.11946923056941533,-0.0785872684906376,-0.04915245183689443,-0.10170754998804904,-0.14907753801614723,-0.03137482719653327,0.020625228383681433,0.041547420378243896
POMC,0.013631269386212976,-0.03240782881002573,,-0.01871087540853727,-0.023326084376347943,0.026201484758408933,-0.023905539222568738,0.023678547107820243,0.003178299485981146,0.04102807024058073,0.01297959881387146,-0.023053864937690384,-0.01376473630547213,-0.0058055065531835435
