,UKF304,ZH881inf,ZH916inf
BMP1,-0.08390234479458543,-0.0773177559806705,-0.028116822772296136
NDP,-0.04205528433116897,0.02348729003140122,-0.05630560727566155
TNFSF18,,-0.016026437594304124,
RTN4,0.15920661942093073,0.025252878443522166,-0.04697449845853951
HEBP1,-0.010839508900439897,-0.06318700888825411,0.05901171815717281
WNT7B,,-0.016186940515178497,0.007248150294226086
PTMA,-0.13150802580791698,0.0189254604902325,-0.0793922526256766
PDAP1,0.008419515875175827,-0.12280608335170577,0.035867940985037296
QDPR,-0.11581531569417972,0.032511055822474134,0.04704741105419857
POMC,0.04405520818684398,,0.019533085802182947
CCL18,-0.040775697750081115,,
VEGFD,0.020835365840207183,,
WNT5A,-0.04682936199510975,-0.0063964903668777265,0.08080292876379062
CXCL8,-0.054104659670427345,0.07957298905045501,-0.06948196261929848
GRN,-0.04084811289607409,-0.05758443911258645,0.04376307314207776
TAC1,0.08447992900070665,0.019112399633622244,0.031950848302047
RARRES2,-0.08052846248752955,0.05994197987262947,0.03943703051199023
FGF7,0.09300658482076847,-0.052929804663069874,-0.037481826150035855
HBEGF,-0.04739680004274428,0.009979800044341144,-0.06837624432241335
CSF3,,-0.036606591987623505,
PCSK1N,0.12387747949661411,-0.04237279790454802,0.0672891888688608
NTS,-0.02137723628714355,,
SFRP1,-0.053316523467641645,0.0120786483977579,0.14709000131848876
MICA,-0.025017671743935408,0.061656544876411354,0.11111235301830431
ADA,-0.036476799938120474,-0.005386675802677023,0.005690160064354284
LAMC3,0.00402278610150291,-0.04272277852033986,0.06672213938910432
NGF,-0.02137725036263529,,
HMGB1,-0.08440216999015518,0.027344756204957337,-0.04370788381319958
ITGB3BP,-0.06418635524937505,0.0217111544470458,0.024693933478076736
AANAT,-0.020097759211780607,,
RELN,-0.006407822995974614,-0.03473980949144351,0.008905513906634343
IL15,-0.04118479777559661,-0.03871703419811869,
BSG,0.07325013410362301,-0.043144051259257826,0.02468174501376813
ADAMTS3,0.0029123010903591047,-0.02120116962136578,
CD34,0.042336262460310525,-0.03167678399702425,0.1457734469750234
PLAT,0.0742785542338962,-0.02570293920030433,0.06182065000075014
CKLF,-0.04564302248344068,0.05716533542787926,0.052600299329981774
CD24,-0.073650020340126,-0.013330337191966022,0.005531235817946999
HSP90AA1,0.11817836081737362,0.060296593928949274,0.04250725735646253
BMP4,-0.03205636204156596,,
SCGB3A1,-0.03537768053044633,,
IGFBP4,0.10142028570477309,-0.05611325194542968,0.0938068746298112
LEFTY2,-0.02137725036263529,-0.059947733664055904,
ANGPTL2,-0.05801988317589068,-0.05730224728950099,-0.11998371142532034
LRIG2,0.06696079787845699,-0.11645755316632843,-0.028963533301519705
ICOSLG,0.00948120196501522,0.03921454535746409,0.046855060566957284
WIF1,0.08943405366798941,-0.03939793706575647,-0.027584538724670104
NPPC,0.0009828512486601629,-0.04982435159948451,0.041650687119116625
LYZ,-0.07150035043703798,-0.02074622007780387,0.023072106040051076
EREG,-0.021990943370507946,,
SPTAN1,0.13298578347114354,0.08589284664432523,0.05059340199012405
LIPC,0.003329280385362198,,
COL8A1,-0.07834434220773122,-0.07063748144749224,
GSTM2,0.026271363969995406,-0.020074641061045135,
SPX,0.03382803513765548,-0.03465507120894394,0.015545846305636934
MFGE8,0.03424437042476665,-0.06406196461046196,0.018171686824748692
TGFA,-0.04686920423225236,-0.06101005811414038,-0.06730620104997613
SLIT2,0.1137931285403743,0.045692467343250005,0.13257805209540427
PLTP,-0.09728573125487727,-0.05580964742797575,0.021508679088549282
APOD,-0.09023242144502777,-0.10620886641985437,-0.012614780457741639
B2M,-0.11601617495725108,-0.09484697714165104,-0.10214064746542767
OMG,0.00821647743616546,-0.02858763578589429,-0.069640789032435
CXCL3,-0.03095763611972951,-0.012159481220207713,
CXCL10,0.07386382202283932,,
RSPO3,0.04752812855804806,-0.06768632463080655,0.035597296777613904
CORT,-0.03190610167704772,0.02864837738536312,0.11493921845212728
NCAN,0.06310434029702039,-0.09158429535753343,0.060699057610889666
TGM2,0.019188501542447146,0.03454674384672367,0.0901330465848092
VEGFC,-0.02484967025722412,,
NRG4,-0.027684003079925787,,
COL9A1,-0.021686087931828142,,0.00012182217040671284
GDF11,-0.008227031416919349,-0.0011456469357412065,0.003730138613445027
SORBS1,-0.020191758420020262,0.036177525236101835,-0.07356550593606061
DLL1,-0.06162916512671892,-0.08129902841715805,-0.00875668585472251
TLN1,-0.13703066613268233,-0.0742116537585727,-0.036015735197794475
