,UKF259,UKF296,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021872563886332116,0.04702335770947215,
BMP1,-0.03407527614867898,0.015096401237456855,-0.058286519587582866,0.06110043657513174,0.007737376758223746,0.08648844034304323,0.07942711003980088,0.0978817379009117
NDP,-0.030267741712678504,0.03785862013717201,-0.03117155899584364,0.030125041858470612,0.04394344456959971,0.021235940329190732,0.007014683357282876,0.016009937373335777
TNFSF18,,,-0.025257698166451487,,,-0.022556789062549543,0.013041397978490469,0.08676997558313558
RTN4,0.00945648549571758,0.01341887201977818,0.028135893131494748,0.01899695090140625,-0.01982134913279677,0.020905748963209184,0.007714680462630647,-0.1348835872859424
HEBP1,-0.02982651176908533,0.014273099548182358,0.07057277625280518,0.029684050440302916,0.07113349858276935,0.01149474192954331,0.010174990378945077,-0.005254963040242984
WNT7B,-0.02554925902715534,-0.011262596095938961,-0.027806260393281337,-0.0344772725520306,-0.03178787392503061,0.017702454865809535,0.06491986199176869,-0.0072599928236793685
PTMA,0.0078508685951666,0.03267727024419354,-0.04522003349966347,-0.12234775136015867,-0.05136869403763297,-0.0767653085015775,0.0369915391088573,0.05821067175784565
FASLG,,,,,,,0.1256125580227879,
CEACAM1,-0.036267158911374726,,,-0.008362093726468638,0.08915508183087675,-0.017265680409010924,0.06734966126065574,
PDAP1,0.06656925582889481,0.029550838769044456,0.05063320797593074,-0.007874902479222965,-0.054043698297629165,0.03747124903220748,0.018901764579868415,-0.047571589448404436
QDPR,-0.04114336253506589,0.0031412804665343695,0.08291858700900792,-0.10435290732972799,0.02383459698012423,-0.044051112396311945,0.051317044862248806,-0.0712666651002905
POMC,0.019251348609031722,0.06038948339409629,0.04832209596245781,-0.019744982781588608,-0.012201457639090044,0.07579342758837466,0.04465363108730205,0.11585306213505464
CCL18,,,,-0.021922625483520388,-0.026237807074671157,,,
CCL17,-0.018612369463256874,0.08916262082794056,,,-0.004229149272076319,0.11157618573659255,0.13904703571083152,
VEGFD,0.01846750333144436,-0.008074406272137088,,,-0.01539974499256638,-0.030414885435717156,,
TNFSF13,0.022268476758218903,,,,-0.006761366723325487,-0.014384316239365568,0.0007932868414790401,0.0054202769505682
WNT5A,0.06004072974140192,0.03665182387208725,0.07548550229208917,0.00759725100155453,0.004420680960355795,0.012250449209422375,0.03092431640100395,0.11159706918057326
CXCL8,0.0442741070613601,0.04850425581848224,,-0.038598233732774524,-0.06786683597617592,0.009623347221858944,-0.05174547136157683,0.03478234645184527
GRN,-0.023279401543391268,-0.018565931912983426,0.09820685434239376,0.11959193696711867,-0.013335436323730762,0.008304833127115361,0.04496044362629497,0.03742756137611921
MIA,-0.0032560037972055866,-0.02468350199679023,0.11130323522907702,-0.012500658914609337,0.060864694390423565,0.049564081830881075,0.0672434334539235,0.03608775634055664
COL4A4,0.009951472184835242,0.055422927510734625,,0.07937154131545428,0.04356501553543741,0.1445497805510941,0.02344586009426662,0.009173681745072685
TAC1,0.0373017534962348,0.08635326341375968,,,,,-0.00551463683012999,-0.03089592318808864
RARRES2,-0.013811613522165072,0.0021431202743372683,0.07599964078606723,-0.052378819066209684,0.013416349641280053,-0.045636019544141405,0.00877832598635892,-0.022880916307293817
FGF7,0.044878333810154235,-0.0007046799351668998,-0.052652015853586705,0.01821534598596246,0.03901607330472094,0.0029700171560756937,0.019323093161939704,0.01420452544237688
EFNA2,,,,,-0.014636427017111693,,,
HBEGF,0.00375991499315341,0.06397207915831943,-0.002075186387946293,0.026785456413203054,-0.0375078192637915,-0.04231254442940827,0.08431915616535791,0.11599709550854528
CSF3,0.018974429687935966,,,,-0.056523642594944905,,-0.026221226497237793,0.02670146509756467
PI3,0.07077104293183431,,,,-0.05675913140347127,0.015596833381947214,-0.031140253353362676,-0.05834039321940401
PCSK1N,-0.0505132655721284,0.00905048572651734,0.054344143202736055,-0.012862759656329862,0.06989175312415374,-0.04004158019753444,0.02485528901139835,-0.0718769597678533
NTS,,0.03435247986675177,,,-0.017831708861847224,,0.0028747956378546973,
SFRP1,-0.021848664557971863,0.009972305063548147,0.10150304506901602,0.06792850944851427,0.05417246144985912,0.053011386898986934,-0.027091018766039164,0.012117603899139014
CXCL13,,,,,-0.03760515341397893,,,0.006546161054724986
MICA,0.011827258280196233,0.0025369161005237392,0.06257150926735426,0.011635038624958283,0.06706694616533876,0.04715766107142227,0.07015823727509833,-0.004077756977062685
TG,0.04271490165782701,0.03232511809313985,-0.03236891958799481,-0.03569515975001244,0.01462022960597189,,0.06693339330216086,-0.039049688056925165
ADA,0.04096867697389755,-0.000445744571506175,-0.022530407915508813,-0.0018532707426952883,-0.028371068722604757,0.009189591373977804,0.10294857651507824,0.03687998149693589
LAMC3,-0.027908714062165465,0.03812247352188052,-0.0544044223605842,0.0835654703931499,0.003852817778540792,-0.010689455097635773,0.07317653042687895,0.13744949817211732
CCL7,0.04686857932034557,,,,,,0.02228008039674756,-0.07397430183192764
NGF,0.04563730433480419,,,0.05188905153012,-0.014439688813889389,,-0.03664135830666022,-0.03881080260812306
TNFSF15,0.016712670291460157,,-0.02983594990360768,0.051897505802970645,,,0.059654065769793915,0.02506631970488302
HMGB1,-0.04390754793272072,-0.012576608929082174,-0.00645581666600702,-0.01916381462466841,0.033592980103709875,-0.07766710616687027,0.0280866115461367,-0.08398321221755307
ITGB3BP,0.04750657511105361,0.024511188365551148,0.04872371770733894,0.042939615026156425,-0.018392287942108284,0.02782147103136638,-0.010130139283527979,0.008099000198805242
AANAT,-0.024811276478997668,-0.013385184814190588,,-0.02283333339677793,-0.019696666552673565,0.13227852093201684,0.0011247602967217787,0.04924138710665469
RELN,0.04127143456945747,-0.029313529648208783,,,,0.0016932165893277374,,0.046173269163589166
IL15,0.03550464055441143,0.00249073364312065,0.07983867995914533,-0.03859833461268412,0.06022018958398189,-0.03252343783454174,0.006922820101492266,0.01354373117165227
UTS2,,,0.12628035883266048,,,,,
BSG,0.00688839362033222,-0.007582021387197385,0.049083049905221235,0.07971447497967808,-0.02511764775439499,0.018865390699444415,0.06349978214594464,0.11316087963898463
ADAMTS3,0.037423553717841555,-0.040306050301416936,0.12209792853063034,-0.027340592212945686,0.08791557832327626,-0.037211941852859275,0.010618520774703603,-0.018908388795762895
CD34,-0.008256243728926463,0.08169280718033925,-0.061246965925497936,0.0945069085293058,0.015197453610243501,0.00028136566391535217,0.06194339624156244,0.005687585881944823
CCL23,,,0.07432520352356842,,,,,
PLAT,-0.043434817558117414,-0.013124961909950373,-0.008959015425102098,0.0901757147554598,0.04851658803128624,0.02045788043653181,0.05509406187108053,0.08160112041728339
NTF3,,0.018074084966001724,,,-0.012937027492034138,,,
LTA,0.004583368766451075,,,,,,-0.007005211487006753,
CKLF,-0.008765155198053607,-0.004945794160978662,0.07736589977953558,0.06778454779211425,0.060559344595434585,0.0776596406923396,-0.0069332707533828735,0.09724255116326735
CD24,0.015660979208031327,0.018557882075229622,0.08015896385702802,0.05487574155316754,0.09221034588671416,0.083586759124,-0.04660454035207729,-0.05161832409611089
HSP90AA1,-0.008895917998359978,-0.05305006715572589,-0.010778974897885004,-0.03278793369532961,-0.0959264237279664,0.04770741365709041,0.007455679821949462,-0.13079244643640686
BMP4,-0.0038769091259067304,0.05078213293759757,0.07253487089269044,-0.047796859534536204,0.04067359999970804,0.013776895712017357,0.10279499301786421,0.01315583028948799
SCGB3A1,,0.03669200148706506,0.12523113288031865,,0.07768293454466595,,0.010195530543460394,0.009674235760613924
IGFBP4,-0.012716835827407602,0.03445843889185722,-0.05057979886769442,0.026579528181026994,0.0030197363723301353,-0.018591291563843492,0.08125759450789323,0.0771411776444716
RSPO4,0.010482053582943884,0.061910569111301834,,,,,0.12784072238460972,0.043154991737941045
LEFTY2,-0.009220886704752103,-0.022830232751925732,-0.003692115767836109,-0.005615638984504461,-0.0168292613844829,0.019838218046475602,-0.015393851970025343,-0.0016395725914099416
PF4,-0.021364995918191004,,,,-0.013415298688231587,,-0.03912670081761341,0.10514178579351702
ANGPTL2,-0.019911657589531756,0.026370019881609193,-0.02011299103745013,0.04015596544573165,0.05141337185966414,-0.0345384111469202,0.09771120266063708,-0.004477440606081469
LRIG2,0.044616080315524324,-0.03484070970872027,0.052140945531503426,0.10338469493163886,0.044900549522167287,0.027893242941972637,0.0075269852387714825,-0.017014384699137904
ICOSLG,0.027336061437993883,-0.009830656665132142,0.055606420049402645,0.08785526528102543,0.0162983632757024,0.0423323908630364,0.06188373971532211,-0.01459145788989482
WIF1,,-0.03918038482531019,,,,,,0.029398019246502732
NPPC,0.0663323291941121,-0.019270297645258255,0.09884450079961787,0.07476015583273245,-0.025382644479832968,0.12790924039144658,,0.027926054009848173
LYZ,0.008469436011000408,-0.003577272146869558,0.012112188086059692,0.01757497075796718,0.0024098681241038534,0.0005310502047203234,0.01648735577303085,-0.04976850424893203
EREG,,,,,-0.022907517717162047,,0.016390528275654744,0.07060942641143365
