,MGH258,UKF243,ZH1007inf,ZH1007nec,ZH1019T1,ZH881T1
BMP1,-0.04126502813895,0.10597772040176842,0.07288705104780094,-0.04343104199771182,0.025845221419234163,-0.08103941434715291
NDP,0.09585643780031954,-0.002942324070327751,0.0845313549519521,-0.006330704275356559,-0.08275906312754892,0.05058967599572248
TNFSF18,-0.01927997795430795,-0.021544820158021713,0.08230291681585758,,-0.011200342178297835,
RTN4,0.025622273780829607,0.07695573311334072,-0.06833872943411248,-0.008506763858150005,0.09846687436079234,-0.01155924267388511
HEBP1,-0.07326171969400393,0.007550329739908989,-0.045292321865981706,0.03838962954481545,0.009286056722653547,0.07616420070225564
WNT7B,-0.01698505671204352,0.10224771651354798,-0.021156278946716293,-0.008344571980907578,,0.0890982316942238
PTMA,0.03974146113990839,-0.04828650852309777,0.009721715236597116,-0.040957670767691384,0.05457108356279528,0.057750519982104814
FASLG,-0.016985061513675542,,,,,
CEACAM1,0.015740508516707757,,,0.0038369365758242763,-0.008190480808273132,-0.013711889372655614
PDAP1,0.007168041594123272,-0.0421690869121482,0.05934230329424795,-0.09267383789528424,0.056846196062275874,-0.007135804912863649
QDPR,0.053921257556458164,0.06691316894806278,-0.012096350944641681,0.050065187785335745,0.045497121112240156,0.02536550196904857
POMC,-0.03834605584902638,0.0335946766405464,0.0685442441928679,-0.004652969744284726,0.0561068105927047,0.012807988210458573
CCL18,,0.010024160190150998,,-0.08697692465957176,,-0.038484159026673515
VEGFD,,0.04009333009947312,,-0.048865260191874524,0.045289441395832006,
TNFSF13,,,,,,-0.015397532759903411
WNT5A,-0.08243165564529586,-0.006017685180103358,-0.009351776443050823,-0.024458881599169386,0.12659297292066368,0.01162497102103469
CXCL8,,-0.03435727768877123,,0.027920034589858814,0.014412088290513669,0.007250739584894777
GRN,-0.010349751999128774,0.06697571400741587,0.03192565356133714,-0.11663388812279923,0.04333480787956307,0.009207667865841287
MIA,-0.022231980523270543,-0.0233274685351505,0.06683566304481228,0.08287459606497066,0.0654576824193798,-0.03679959649593647
COL4A4,-0.01967077085155764,-0.013554994599637757,,,-0.07592305305277473,-0.027634196353512976
TAC1,-0.016985052272802437,0.016153639926531696,,,,-0.023656915445050573
RARRES2,0.021864327932981244,-0.04871124557490383,-0.03933145007906625,0.029682363387748895,0.013418823374721318,-0.002474520614863764
FGF7,0.13742851654394736,0.0522334547090527,0.08197089603988628,0.008232118107719741,-0.024094864575678755,-0.04597642663680605
HBEGF,-0.01914225953692288,0.06765054111302572,0.11172165648187125,-0.026284240019277434,0.12022451405303929,0.0019433477876070694
CSF3,,0.09056736835511829,,,,-0.01965786644149692
PI3,,0.03697964013226499,,0.012323210776316155,,-0.07506633903669521
PCSK1N,0.009823356013722728,0.03710663720171565,0.00833273311816224,0.00039277042294688685,-0.023974921094524836,0.030278503754241858
NTS,,,,,,0.012784112342229561
SFRP1,0.05359872130510924,0.07701251178079489,-0.03229364211034644,0.06719503077654138,0.05720592371759764,0.11556038713830888
CXCL13,,,,,,0.030929779617768778
MICA,0.05416738502677491,-0.04733655391317605,0.05838685792430785,0.07753718298243369,-0.03617306896569464,-0.023450040578253964
TG,-0.01967076641867369,-0.026124234132359887,0.0641608223946116,-0.020823773759176833,0.12225237144374208,0.1442924260358302
ADA,-0.013770514457452577,-0.023626795134993644,0.037224727370880326,-0.022956563271127,0.01207897022045155,0.015610731157420066
LAMC3,-0.02686087895139157,0.023034779058850714,0.000962008517495034,-0.08827309821842981,0.03959129841539863,0.026180200705684265
NGF,,0.040723390620614995,,,0.0011657632587048236,0.015076468772050844
TNFSF15,,-0.023357754996069523,-0.025011721870147465,,-0.022800157380598703,-0.012207197576243414
HMGB1,0.024367739959604846,0.04790971610930013,-0.033805728691100934,-0.025561183507688386,-0.01241610722582801,0.03333900229729431
ITGB3BP,0.018697998372550748,-0.00038144820377377633,0.05073595718743616,0.01688276786919705,0.048997711628241895,-0.005057448867170784
AANAT,,-0.03384062981801401,,0.01208125778402638,,
RELN,-0.01630758687543601,0.038360690894669716,,,-0.00428371231873759,-0.014744971749682778
IL15,-0.045453141905655234,-0.033202645539025674,-0.0867664705827042,-0.010889077614628066,-0.0763621451427256,-0.01649228148123389
