,MGH258,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,-0.017257037044084413,,,,,-0.01660307221009506,,
BMP1,0.024297114276581593,0.06395159919076408,0.0004773175456508961,0.09951899639417121,0.005844153035974584,0.03640024986514718,0.1035856879835596,0.033943827187302954,0.03704369270133419,0.045475401742153705,-0.0962166165573735
NDP,0.02282155810815058,0.03192277370516658,0.021751506504576537,-0.02279256570865235,-0.0323279254014535,-0.005840704876553782,0.07473966938090316,-0.026631542513723905,-0.010631254453770137,-0.029489353186084324,-0.03232459423210912
TNFSF18,-0.024504302234370362,,,0.021917065316618654,-0.010647508663312509,,,,-0.017122455308836482,,
IL36G,,,,,,,,0.06995967958387889,,,
RTN4,0.02106148840963384,-0.0367861402264546,0.01259360881122783,-0.11693155762495497,-0.02787175095191953,-0.002235790712699803,-0.14254006891378984,-0.11245646147029224,0.03217565462891369,0.021206174603940097,0.07878961392774031
HEBP1,0.04903986369510676,0.01640449043340875,0.05892369587484493,0.07135295478686891,-0.0169457123972289,0.060990255324475,0.03451914065540069,-0.008442320048894541,-0.017582003244765144,-0.013222526447338297,0.0022885810836523117
WNT7B,-0.02158752277239183,-0.022753992941740145,-0.01892073814331949,-0.004664133696216229,-0.030520092431677647,-0.012770482207927846,,-0.017551329234418662,-0.00739983161129647,-0.022338912311980718,-0.042562981494716705
PTMA,0.04263776502045275,0.012742784461993466,-0.009238638860808935,-0.07019167946881617,-0.02806388339564912,0.053173043491520286,0.15994270484902284,0.05172655688915819,-0.008298032158931766,0.06667483769237398,0.06910688952554864
FASLG,-0.021587528875129214,,,,,,,,,,
CEACAM1,-0.029974472770417215,-0.002683359214588829,0.08465292340372162,0.0024455473607351047,-0.016745994528413258,,,,0.057472445536024534,0.08571177674787123,
PDAP1,0.010877676096915284,-0.02996239978078655,-0.03382243235778483,0.13981868505485637,0.021875635404711782,-0.005362975148585144,0.042611623708441085,0.024445195882656454,0.005524059142662014,-0.004623820696666725,0.10204469960151578
QDPR,-0.0027503801030899335,-0.02603520123727598,-0.03679438190084805,-0.09647045657769646,-0.03374188337013185,0.03958569981294214,0.1053633223602353,0.07295823723357789,-0.05512631463153874,-0.054228741047839875,0.016317258921148613
POMC,0.03785996605721228,-0.024467729940206937,-0.0029620650122002216,-0.03408808355240892,-0.012354527067756282,-0.03434753006817195,0.08035535857145337,-0.03421289195694346,0.012375712190281954,0.03838575369789118,0.017477165341785453
CCL18,,,,,,,0.22535687353068892,,,0.030880193970287767,
