,UKF243,UKF259,UKF266,UKF269,UKF275,UKF334,ZH1019inf
IGFL3,,,,0.03753809810177725,,,
BMP1,0.017576448246585524,-0.03797500708073109,-0.032722102873926816,0.05534736570414469,0.024364222009804124,-0.0018739310735426794,0.11080850626105311
NDP,0.022899010880611442,-0.021539225556257847,0.034981234135603716,-0.0043705573055322034,-0.02748943544756598,0.0007295497480244289,-0.024842913227570568
TNFSF18,-0.01837269200102319,,-0.011239798760213485,0.08413889702146451,0.0015648034868610877,,
IL36G,,,,,,-0.015082912256850173,
RTN4,0.03387586197431085,-0.03206136661616245,0.019352896642861706,-0.05791014044314528,-0.0052201889037134935,0.010765897461155121,0.011778216794903052
HEBP1,0.009597595881596581,0.04458024602423837,-0.06455053864984037,0.0978616731780521,0.03599014351001875,0.019916895770406874,-0.04651033687014459
WNT7B,-0.04288206736431638,-0.007640454035056278,-0.011805430644331101,-0.048735552915066815,0.0009011005729587078,-0.016577858746195134,0.06223761986997913
PTMA,-0.08018021974972443,0.0017566824343526663,-0.03936465025682383,-0.07653356137783573,-0.03897481613496794,0.05972559883720647,0.003260374067613144
CEACAM1,,0.020767064505886612,,-0.029040102918069893,0.020195440722181265,,0.05073382727598567
PDAP1,0.01806618181217454,-0.009716536109029644,-0.031174834790401486,0.047724524022902316,0.04543512746394463,0.012373988598027656,-0.037739812510719
QDPR,0.03286981726587403,-0.015183445672990188,0.027474810161399184,-0.03797979070695895,-0.01641227107391663,-0.009282873900345278,-0.024123106784287966
POMC,-0.034690708655620954,0.00780564759881085,0.039782056743993204,0.04936505652883578,-0.0032969569702991277,-0.032315301170967425,0.09547745970438645
CCL18,0.021000434089795305,,,,,,-0.019372872235351474
CCL17,,0.04185882379720718,,,-0.019808622363318866,0.010641914306150484,
VEGFD,-0.027761278877785036,0.005705801448478289,,-0.024895894824959866,0.0727008228177054,-0.014767025856768812,
TNFSF13,,-0.013082992678161863,-0.010900260043118082,,,,
WNT5A,0.021077084387230344,-0.016049644914133722,-0.053965909912122474,0.12420689013639101,-0.01323523458664177,-0.043152287177894634,0.07775400946648345
CXCL8,-0.02320505177939755,0.0331317435979269,-0.015504912929673327,-0.00593843111399512,-0.008312662706576926,-0.011584843195926118,-0.03410899169797784
GRN,0.06655179905519226,-0.023461816752337102,-0.05079386450677971,0.06538133099742442,-0.019038480092898852,-0.04568433221007236,0.07683578397649544
MIA,-0.0066832803964972844,0.06062233679749013,0.03642442237475094,-0.003293254215988844,0.013841446220855098,0.06299069464174682,-0.016170831488695546
COL4A4,-0.027946572115635546,-0.01826307690805056,-0.010371115853005212,-0.014644255652404107,-0.020680814599765014,0.04849469875136382,-0.024493363622792183
TAC1,-0.0007062371179738965,0.003463967182531531,0.04191066442646249,-0.07993948153776281,-0.06849479949992292,-0.034767459351475495,
RARRES2,-0.07559407376619287,-0.003389953829108241,-0.004958934494108925,0.07665169242213665,-0.03423609467775707,0.04203140444785983,-0.07054843319071277
FGF7,0.05633386948592327,0.11605991980251866,-0.002964704020749282,0.06642459187845161,0.022131746995506112,0.027492788728642154,-0.01657206040999
HBEGF,0.06100811503480578,0.007179697754189848,0.009011054102330248,0.005757797442025391,0.08047440417617396,0.042619193280323465,0.06115452454485575
CSF3,-0.007465426323056105,-0.02260697663899248,,0.13166402640943034,,,
PI3,-0.03310685588046719,0.12380383000960443,,-0.017445706020564448,,,
PCSK1N,0.0035291067449638104,-0.04427428413409884,-0.010691390974248398,-0.04394664198924734,0.035684464955477765,-0.019363154863039522,-0.010317268637796698
NTS,,,-0.012660776054185077,0.10265599142233084,0.023292667095199948,,
SFRP1,-0.043149852226708786,-0.01654941606727472,-0.005372499890422492,0.03053030877199713,0.033102121671440124,-0.004651459384275147,-0.0234073188127461
MICA,0.06506685812396375,-0.024373596279507026,-0.026872912455773047,0.06709143092290194,0.0015310272795341594,-0.029078119665269523,0.025703274629535863
TG,-0.022277860940870232,-0.01785944193080531,0.06274697125141764,-0.01869907596246529,-0.0199564374035753,0.044376933138713305,-0.03154356533515008
ADA,-0.03294531688420139,-0.02109959488466809,0.011190192585598701,0.09092074713632912,0.057831521587939,0.082654247518452,0.010204890899074922
LAMC3,0.01486237082828211,0.017514866404192295,0.019095151895239457,0.07534426128058448,0.009551895747628093,0.04811202674567981,0.0954046804987973
CCL7,,-0.012912347981418477,,,,,
NGF,-0.016100801871944133,0.13605633618733035,-0.013945554641422402,,,,-0.028789311251101915
TNFSF15,-0.019918701350512963,0.025584577001169527,0.09450249638470971,,,,0.1171540262752477
HMGB1,0.04440014941415749,-0.0021985852992431627,-0.056168666595119945,0.07518647790649143,0.016040188124183345,0.012753095100211876,-0.04889369656298246
ITGB3BP,-0.002829978842894228,0.03877121936464652,-0.035808319768887376,0.033859629753648084,0.012515289798031914,0.05133350931699212,0.08691268614266434
AANAT,0.011864884551504543,0.053315498895819276,,-0.013975412512770928,-0.002121352937318598,-0.018482765916434277,-0.020177658507895546
RELN,-0.02776126446853234,0.028674266501599568,0.08240214326808262,-0.04100824523854553,0.011172115155397063,-0.020462017182447383,
IL15,-0.028314090144796952,-0.0041387153851697835,0.017998647279148437,0.010920820411148491,0.040706767865306616,0.021963106656097246,0.09160757692912988
UTS2,,,,-0.046099914615138564,,,
BSG,-0.06779932551371748,0.010720867286570717,-0.044490307710813526,0.03351028879024987,0.06975298702549824,0.010897782244265413,0.012668770175012741
ADAMTS3,-0.029181092560548738,-0.026252285314491423,0.05663364851468701,0.05678424750280062,-0.014205252249855265,0.10108185754653012,-0.024160691892419595
CD34,-0.03441988763616606,-0.024185710994532053,0.010259721035996379,0.07237690049051353,-0.03903028722284798,-0.039697919698663243,0.03795081146264489
CCL23,,,,-0.015901800988813445,,,
PLAT,0.04527570439875514,-0.0582587962466241,-0.06922796383316192,0.06551791215167886,0.09844762876711477,-0.03040586757162018,0.05834475599878595
LTA,,0.06907961718826827,,,-0.017284774337593765,-0.017141913243953984,
CKLF,-0.045130731737463424,-0.004619745905014996,-0.02097151837963113,0.07963282023789803,0.030106758504664426,-0.04278750043576908,0.060142053648983174
CD24,0.04573576208069964,0.037349921730479956,-0.03369140030937256,0.07342625428866956,0.0041474143821829,0.0582426439221217,0.09978594901396234
