,UKF248,UKF269,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,0.006592645870709921,,,,-0.015726824299668127
BMP1,0.08473089504548008,0.08546472981588471,0.15409729539233957,0.02292002250157321,0.018519351574863414,0.05977245373363172
NDP,0.045325704490446636,0.014454433244845856,0.10838578769052433,-0.001250843676226797,-0.01272189763349084,0.0342710552494166
TNFSF18,0.050873357991775135,0.08643238232979783,,,,0.041770100800999604
RTN4,-0.03601693623368503,-0.10817932202145204,-0.10560370701433328,-0.012031744683605471,-0.006432477047609646,0.007014166599358119
HEBP1,-0.022891066428129436,0.062381228397550996,-0.008095633051984841,0.000571562767741045,-0.01472742553246197,0.05400082326455908
WNT7B,-0.03014198840156233,-0.04162149344918115,-0.06496679431781355,0.011800748561866086,0.0655581109610898,0.15124574838281762
PTMA,0.03830380331471092,-0.05856128632209492,0.08175092100884362,-0.058056525302937124,0.1112833762037225,-0.0037453381326500268
FASLG,,,,,,0.054735417913724646
CEACAM1,-0.016693685916556893,0.0039795006707713364,-0.04892162528341326,0.02964086146081969,-0.014464089308812206,-0.0356647002331946
PDAP1,0.011873571684420775,0.08046269737619538,0.1291276943605233,-0.04305452815527523,-0.007664560796690438,-0.0024298560837113675
QDPR,-0.07181619829169193,-0.1223115913041964,0.15198519265599655,0.06839271142197889,-0.03216393069570229,-0.033961744354421716
POMC,0.0395116786570837,0.004142118905536136,-0.03691912158214069,0.10649454902417416,0.037973334722115636,0.024661918774092975
CCL18,-0.020832142737189325,,0.011160944186660755,-0.03332793994820005,-0.022218091438604724,
CCL17,,,,-0.012920611348364182,,-0.02323353021941188
VEGFD,-0.02083214935237036,0.028227191848398246,-0.047258813651621816,,,
TNFSF13,0.005637698934828951,,,0.011464127042957756,0.0062096060863368625,0.09635475277388236
WNT5A,0.04898673176118793,0.1269346130490876,0.08870978155077373,-0.06182614373670595,-0.04508490997212961,0.041464971366324356
CXCL8,-0.026456118407976487,0.024891555318819043,-0.1114905200818821,0.0014037461725971694,-0.0076069107880280705,-0.0107480773862489
GRN,0.11641842072031776,0.14808639183906896,0.03596884949442438,0.04077352594048274,0.018390088906632632,0.026920915214678938
MIA,-0.03293551347949646,0.07758291208147348,-0.02096723385608026,0.07067307786944847,0.003301444560378306,0.07210646691738955
COL4A4,-0.02501923417107925,0.14791779449906212,,-0.03413990965640052,-0.01665784476640344,0.021769100410349455
TAC1,0.008060675274541627,-0.057027353343654094,,,0.02257205768328451,0.04217273489084504
RARRES2,-0.05541112017737877,0.09417867506296401,-0.10949235118559335,0.009142804655280177,-0.0448031140801081,0.018689052616568638
FGF7,,0.03040638109250288,0.06342732511583883,-0.042744406153329646,0.029771437359638542,0.004852529448763188
HBEGF,0.09552851466325259,0.10344241593401984,0.18336495460114632,0.0329350441034964,0.015060785268777865,-0.008191531060660126
CSF3,,-0.0175182679061304,,-0.04207700549377984,-0.020736247799485148,-0.02446132312596615
PI3,-0.02191629247920476,-0.019725800878412223,-0.06714735931778038,-0.09147676724385048,0.004963737315527138,-0.044207819750780475
PCSK1N,-0.06114537147834141,0.009840823866325942,-0.007831763980810745,0.037947857629258355,-0.007996865199494631,0.050889032389022655
NTS,,0.01479103736771025,,0.042152784560303386,-0.013240669440322077,-0.0362238839737531
SFRP1,0.009121711237766447,0.05044669005212034,-0.011021111975682804,-0.03288670257258751,-0.008206812708363462,0.011542813818212132
