,UKF243,UKF248,UKF255,UKF259,UKF260,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02787355612973238,
BMP1,-0.10869626230952553,-0.1646167593157315,-0.1165999830542363,-0.07850598548126783,0.09299981861876609,-0.11973098461939892,-0.03433308089438605,-0.07570280515421357,0.02777281544810939,0.15008313865747686,0.016253081294561867,-0.08591077537878566,-0.05531254589524499
NDP,-0.21935830983862234,-0.1643170554233306,-0.0948012935059291,-0.18581189047464855,-0.08209799866420468,-0.052726739927874675,-0.034889833495821344,0.024985883317904915,-0.0015313825617809629,-0.029397543646967412,-0.02961441812293909,-0.11459595596443031,-0.22106754726224123
TNFSF18,0.04794597559126037,-0.05415374811433543,,,,,,,,,,-0.047017705910544744,-0.014214314981023466
IL36G,,,,,,,-0.013752911436744552,,,,,,
RTN4,0.058899226328375895,0.04815241276329028,-0.122843463446736,-0.03557767535675595,-0.09033665421834305,-0.0066487255231165825,-0.05454627939584084,-0.08764791308384742,-0.04448082164766021,-0.08331925860361894,-0.04634564430760504,0.027888125967421382,-0.14737166162529988
HEBP1,0.043866617377439895,-0.0029440678883908967,0.12239619805449384,0.05132070012410572,0.05030604746981307,0.004004551190664862,-0.02109156587454914,0.04433950919944058,-0.013613475524058342,-0.0028229415503523885,0.04842135397203025,0.008810490659925575,0.07603465039553645
WNT7B,-0.07587094475156297,0.029531117365912986,-0.007302968657924055,0.08502019274900709,-0.050189260034315356,-0.028632932319196815,-0.015116034573743229,0.011940765172625316,0.07332130498095367,-0.01433300917265723,-0.026787528411999217,0.06270686674645012,0.07934980418622356
PTMA,0.25380597642964287,-0.21570543208617404,-0.2090564225486117,0.1456360260791523,0.08117826801229747,-0.1389578408680697,0.06743970921679122,0.046895094960825716,-0.06439349414802051,-0.04299482581767582,0.031162869001629293,-0.006507013759961079,0.21386200333337885
FASLG,,,,,,,,,,,,0.043531012985145064,
CEACAM1,,-0.03700306380457643,,0.011334122865700838,0.029857432230165494,,,-0.02856766097156631,0.006805837650314465,0.026146801194005163,-0.017779272196832823,-0.03363558022140701,
PDAP1,-0.06560863289636591,-0.13937429070652327,-0.003803701598004915,0.05313912456926589,0.03430831294642257,-0.07312430996792288,0.0010251559363886255,-0.040760534136814956,-0.014701262945780082,0.03890016309803963,0.04869330179989766,0.1516577266400182,0.12699892943000762
QDPR,-0.14039006394434841,-0.1256570186274338,-0.16824376156925955,-0.08672924525071017,-0.05244663073631568,-0.07236699101701395,-0.0409364390933559,-0.08075412900949976,-0.09556475151998797,-0.08863844568257127,-0.012190387607530148,-0.03764185785343963,-0.24471051394390447
POMC,-0.011002601652053167,-0.02814299643256796,,0.005629336181008438,-0.023226360202865573,0.009414934492752994,-0.018123005463187628,0.0026363631144007294,-0.04813020242654719,-0.05430215959471206,-0.02908455372869824,0.0238728478821097,-0.03441424020922915
CCL18,0.12048676709126102,0.25364200223508476,,,,-0.06989279541853273,,-0.020254941326243163,0.032949867196795046,0.1340559681822451,0.06189080048390133,,
CCL17,,,,-0.03824371625910315,,,-0.012563675042489455,,0.006385000703874222,0.11097204471766586,,-0.02191167357111733,
VEGFD,0.0831684874929947,-0.007461734524537688,,0.10749198727755267,-0.02528291607237024,0.00043989829861786024,-0.013464879681973988,,,0.06292114587543646,,,
TNFSF13,,-0.02666858358447092,,0.0403235002190627,,,,,-0.03909112134835066,-0.05882885446980688,-0.0199649310651457,-0.035703243191054355,-0.06824449745551792
WNT5A,-0.02602099974312169,0.037512590524034335,-0.15491216468681596,-0.03908455217050368,-0.09650426870206198,-0.025309497275935712,0.004635487929360024,0.03441682184101047,0.003111583029393189,0.054495821127124686,-0.07188651163333204,-0.030221495858476215,0.2098790679372763
