,MGH258,UKF248,UKF251,UKF260,UKF269,UKF275,UKF296,UKF334,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.016803100262952834,,,,-0.02437471819708235,-0.00011770216733987991,
BMP1,0.03432037564396683,-0.012275645589574679,-0.007143821986289617,-0.010363754538724271,0.0859465278462699,-0.010044650531820626,-0.010911296806074368,-0.008010725673698817,0.0005162590819386554,-0.007047450118688957,0.09059393385141169
NDP,-0.02461379951859384,0.010975926660325762,-0.03507029508283942,0.0888075789066114,0.028247597303451274,0.002563894592635443,-0.03036919688067077,-0.049639180148137944,0.009677336647090279,0.05038974849697868,0.007855520762733383
TNFSF18,-0.019279987219288242,-0.024830500990900395,-0.02417022732592152,,0.10117309261051508,-0.010647508906761256,,,0.01604298978183581,-0.02188651581453083,-0.017764002560361956
IL36G,,,,,,,,-0.01452708578036695,,,
RTN4,0.05008595083784164,-0.01674570550797783,0.006587006502382198,0.06365331961793637,-0.022357539141088355,-0.058862423636388814,0.023268966261406534,-0.021021297269225317,-0.022403945309487965,0.0022302892884811278,-0.07615925851525035
HEBP1,0.006307270076921983,-0.0023783768307855785,-0.007452757429541975,-0.012632417065135175,-0.0053973756564640795,-0.03699664436952248,-0.038339455149167666,0.010468310879414635,0.09572484696989506,0.01171330773187702,0.04743502427426407
WNT7B,-0.01698506487420097,0.004922125805137918,-0.015013795967871158,0.04544210877931182,0.02778977660294743,0.006213776787446597,-0.0015930607292927773,-0.015966941394319048,0.019121377236084154,-0.043495109146000265,-0.009357320847424702
PTMA,0.054065272754340435,0.0397472889028265,0.0010065905784208574,-0.09929003497875433,-0.10067900888954386,0.031018548851888695,0.011185644180035703,-0.009800804965811488,-0.04061680428723198,-0.030893507606341044,-0.01860761675964347
FASLG,0.0961195701240795,,,,,,,,,0.12353151075120603,
CEACAM1,0.017920135294693194,0.07197391927383683,-0.011522185386319992,0.06931499927974312,-0.008056881090738391,-0.01674599491130014,,,0.15163684755440493,-0.007759169405093831,
PDAP1,0.03803595367450004,0.03240221022673242,-0.03498145587265979,-0.030269327723401254,0.04103906928067392,0.027971412454041045,0.02042496990384478,0.013960478601690971,-0.03965813231268634,-0.00891920795041599,0.013583490096130683
QDPR,0.02800497852686402,0.0022503481715616305,0.025096827062294644,0.07710485153592884,-0.06984123651993707,0.010872603493503602,0.08320612655607224,-0.07775900243605631,-0.04541977242573625,0.02701462367320608,0.024172703729602667
POMC,0.04289232561560788,0.0573477821834885,-0.004102008364463085,0.09556121030032207,0.043480454864861726,-0.012354527350234958,0.039029038026583446,-0.008231850058510475,0.06926181253556067,0.02636601344851149,0.05800532372861181
CCL18,,-0.019721815643362183,,,,,,,,,
CCL17,,,,,,-0.013279516613040892,-0.022106816783729426,-0.01327090528419068,-0.001324837570280113,-0.016019338800195234,
VEGFD,,-0.01972182190596236,0.06062966481971138,-0.016418601212114883,0.1276463399029585,-0.014148201754226626,0.055211289368753275,0.057691341371173564,-0.03389425516573357,,
TNFSF13,,-0.014882719679791863,,,,,,,-0.03446240962464751,-0.02610217549503675,0.06253379464300617
