,UKF259,UKF260,ZH8811Abulk,ZH881T1
BMP1,0.011440721749638358,0.0018061374409654469,0.011175015689741444,0.016820780652438486
NDP,-0.02039602174354008,-0.05950715831280901,-0.0071999983058482035,-0.06342512275967943
RTN4,-0.02088891390627177,-0.0002717820203044789,0.061633212902645285,0.07190794824178405
HEBP1,0.019013667219941372,-0.03251567385673716,0.0003251452608432653,0.05690083455626737
WNT7B,0.022508101687092563,0.0764219877380774,0.022596824881345342,0.05542016595510346
PTMA,-0.024128546687789614,0.04014746978897608,-0.04760898458084312,-0.019179249147607727
CEACAM1,0.055723232196740316,0.02934379353390576,-0.018489886658746787,-0.018228275382259775
PDAP1,0.004566658605072416,0.04518376967254299,0.012683030327415265,0.04802294804113263
QDPR,-0.02607677322845997,-0.013465571382880012,0.021153373605677678,0.011677077348758745
POMC,0.016403310551145536,0.0276045819266225,0.007346552410366639,-0.02981906395646972
CCL18,,,0.03202953945807858,-0.0024238221254373996
CCL17,-0.01669895680813275,,0.11910223273311997,
VEGFD,-0.0025609854368672247,-0.015506871298010755,,
TNFSF13,-0.011518566672560836,,-0.02517085694016407,-0.020469131549048343
WNT5A,0.003092598760879575,0.09938764672151937,0.011232251855116813,0.007820796172980392
CXCL8,-0.03659172606584424,-0.002072310375633538,0.05903802728993511,-0.013005234437227241
GRN,-0.003087582058896805,-0.012018375011433647,0.02120560242665618,0.00931772331391711
MIA,0.06122326681154109,-0.0279654463639991,-0.04160048603456277,0.06644550649338148
COL4A4,-0.04024674106379613,-0.007503973065714055,-0.034660619844840444,-0.03673627517034992
TAC1,-0.026911974212726102,-0.0050785793855804675,,-0.03144896795092069
RARRES2,0.020443267166883803,0.022377403917892245,0.10269355959971498,-0.011377666818036003
FGF7,0.010936800191639591,-0.029691148703741694,0.021911081080326272,-0.04281367698305462
HBEGF,-0.005781826975645632,0.057111583915164625,0.03013928457372508,-0.007635941259697462
CSF3,-0.019903700482529502,-0.05166480890281299,0.04658441157793987,-0.026132722718568018
PI3,-0.034347777918672544,-0.02257975792045093,0.04923119627900021,0.008303124485970632
PCSK1N,-0.007618186173777709,0.02575815596303254,0.027737443905593316,0.09232763691629058
NTS,,-0.04377571062193771,0.026853552706044486,-0.03317223250945742
SFRP1,-0.014570485289733877,-0.01769065472024784,0.02021350690822495,0.01923474328156258
CXCL13,,-0.01753166474774656,0.001560377690465233,-0.023218633243674413
MICA,-0.03476542732434711,-0.03834049664562436,0.03329565876926625,-0.021470033118751817
TG,0.021205687048960607,-0.00560058042656656,0.08267287862566114,0.014009099552147578
ADA,0.0445997743356518,-0.026824238373008753,-0.04720143709891172,0.005966778900883792
LAMC3,-0.04181347718439462,-0.04765940899683803,-0.02121686628483919,-0.006406753348027915
CCL7,-0.011368327169634374,-0.023243750634966334,0.0029579934659057557,
NGF,0.0770584111720559,-0.024810284562425674,0.1124542287292338,-0.00807011437420763
TNFSF15,-0.012659188321147246,-0.017209594094260608,-0.01916666103603615,0.07481428108034535
HMGB1,0.01706883866966927,-0.01092335555341639,-0.046929664866683075,0.004892803136081467
ITGB3BP,0.006753011915182652,0.025394223539586622,0.08730260556015694,0.009730328245641746
AANAT,0.0894930714555317,-0.015506873511704024,0.08340361604984976,
RELN,0.06624066613041076,-0.008904442244294401,,-0.01960163171188159
IL15,-0.031434973704395935,0.027642495162633306,-0.03159849144702214,0.020950391756215134
UTS2,,,0.04450751248678443,
BSG,0.027911380044113355,0.02121099327787204,0.06851435075993063,0.033755797961256565
ADAMTS3,0.03859365125718272,0.09823704391073551,-0.020866197707205915,0.048940210501326735
CD34,-0.009302286846777795,-0.0027836942506166812,0.007714540464570255,0.03864289390797796
PLAT,0.02058264155986723,0.06370789467070705,0.012746187930971835,0.060334768245890014
NTF3,,,0.02065334544761543,-0.01995860416079653
LTA,-0.014570484608103673,,,
CKLF,0.03128588868938713,-0.00415602216552057,-0.009830387082914402,0.04038210754617779
CD24,0.005538987346215944,0.02958137065839214,-0.023909762089488192,0.05580662877615295
HSP90AA1,-0.060440107423893545,-0.03723798726970824,0.02798820058704706,-0.039811075068523064
BMP4,-0.014993306732417055,0.008281557547613297,-0.04929597394649133,-0.041071679353083264
SCGB3A1,,-0.018466772035070626,-0.029923926699892894,-0.033700377546489496
