,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,-0.0216836678972139,,,,,,,
BMP1,-0.02409674845387676,0.017130803410504804,-0.11979542506068275,-0.06745478493606993,0.02425758196853696,-0.05003183273819554,-0.13480299037063223,-0.021871245478978008,-0.013542828617022096,-0.02116837800437451
NDP,0.020403495730584302,-0.03521248321625062,-0.015573604477635821,0.012152196866229825,-0.05044842060360475,-0.03282138744011881,-0.06856555713135119,-0.03730610356281965,-0.018631007946040494,0.01657804968064011
TNFSF18,-0.03532089560289697,-0.009996706372649579,0.017657780146293,-0.01512909219359481,,,,,,-0.044731833039983855
IL36G,,,,,,,-0.01792677144688584,,,
RTN4,0.08199431044575264,0.06722940978941468,0.17432358443466606,0.09153194328159876,0.05778844873925169,0.09363162189843642,0.17538626418696862,0.029238053127290903,0.02697435706871253,0.09977695164869235
HEBP1,0.03499353127587344,0.004971577246214369,-0.06319907133382814,0.007583729445965268,0.018634147426276136,-0.09992184936828512,-0.0015444082957213577,0.012543268331280345,-0.07588793836040175,0.018202054796961725
WNT7B,0.016505032200308085,-0.0014532875213517764,0.049890057743447284,0.007540384876389864,0.07928154881554897,,0.015392282300487628,0.025389669221500186,0.06495737086013156,0.01067211859226232
PTMA,-0.04882041507339191,-0.05799332565588668,0.01895618133119493,0.022234713054774063,-0.062131108068304526,-0.15476540952628176,-0.1824595463717538,0.07973457643235723,-0.02879093095095136,-0.10190352059827368
CEACAM1,-0.0072638674408763634,,-0.04237283420756031,-0.011843086311059063,,,,0.012066977138375264,-0.016848516190036276,
PDAP1,0.018129815698756862,0.06436401230238309,-0.09848477264477931,-0.03892579934304314,-0.0004312762227932323,0.02974711447549265,-0.10187675182700649,0.04951205474748453,-0.03436868914821293,-0.02487198492855549
QDPR,-0.043628183482380324,0.06656082385251448,0.02175904380680085,0.011275268548438976,0.011482002591954548,-0.10604070647750943,-0.001618287832229391,-0.046459907812709846,-0.051955597622708405,0.1043157792832246
POMC,-0.03880032374407158,0.010912895610783877,-0.008435139089701928,0.014366026671029323,0.01112756545001898,-0.05826704726596598,0.05839652851850961,-0.03501627783223924,-0.02756195917092972,0.08098687490039563
CCL18,-0.02805389193291168,,,,,-0.06647741274314789,,-0.03650041125070786,-0.02441066165328295,
CCL17,,,,0.0707146765300066,-0.015079038619489988,,-0.016376614657599032,0.09358663954083676,,
VEGFD,-0.02805390084133633,,-0.01557690464408817,0.07844884755852484,-0.011060657184626711,-0.03283927927613496,-0.017551325166949665,0.012682441084682172,,
TNFSF13,-0.021170373819269724,0.015754473928818298,,,,,,-0.023453919756317946,-0.018919754451140455,0.008648610970417464
WNT5A,0.02134015148622615,-0.022572912174711975,-0.07942217110535482,0.0361504796443692,-0.04666318078000532,-0.04628157427722716,-0.03530876784310781,0.011146539952326494,0.08192046147714688,-0.06973571972049716
CXCL8,0.0072611741871305945,0.014257238342168636,-0.034625054865442526,0.019936958436775315,-0.010300164903687544,-0.042437848772714316,-0.052770119007530925,0.009730597002114134,-0.032129090814909146,-0.053867033573918977
GRN,0.02823843058769038,-0.056782550861745676,-0.1143102686645271,-0.01739269421803197,-0.005733329127532773,-0.04372390195682123,0.0002857141824853279,0.002074515081751474,0.01219504664700236,0.012232327578008293
MIA,-0.017359881949534302,-0.011370484143412487,-0.06194139860667967,-0.006337589085111778,-0.01257916819479904,,-0.024037344150549155,0.008294806835729475,0.029258211104719038,3.846892194686103e-05
COL4A4,-0.0016246836951217052,-0.030330670753114367,-0.021367645238830613,-0.019699739923017597,-0.02113200217920163,,-0.023317115589828775,0.04437085254625791,-0.033955583509104104,-0.01370908025153098
TAC1,-0.02268105120086228,0.10507109159871501,0.19175286969122476,0.062155176967818214,0.038283834388463965,0.006970043295676447,0.24430690689399767,,0.0405782196850654,0.07633550321414526
RARRES2,-0.018111500490234113,-0.04064933193812351,-0.13508109279372413,0.06891464441634858,-0.05149204945238341,-0.06315797574290098,-0.1519836047036021,-0.017521990344083044,0.0022426012959357528,-0.08065650127473795
FGF7,,0.044100371997138794,-0.015543463638916597,0.010782163561015957,-0.030305159559093773,-0.009441027790684963,-0.004083519742181135,0.055720146154628176,-0.005305495587027608,-0.02647744975253526
EFNA2,,,,,,,,-0.014206445093963216,,
HBEGF,0.05772801301606433,0.010064376203697139,-0.03081837075534324,-0.08060404057072566,0.03616152933370924,-0.07125841576010325,-0.044269129238414695,-0.034623308737745516,0.015293767667976766,-0.07329099346403732
CSF3,,,-0.022606557386583053,,,,,-0.009101234707326173,-0.02415464944325074,-0.05720889064869298
PI3,-0.018148768021581073,,-0.025455281991553818,,,,,-0.04819878574132518,-0.003355752660526075,-0.04180412925137407
PCSK1N,-0.03074916508505918,-0.00911243055925463,0.09815767156032455,-0.08965856672939813,0.050801640607022164,0.1500931788694523,0.186499596094677,-0.025582568633445855,0.0253664563139537,0.08241719992854707
NTS,,0.015719588789711834,-0.02778617840175195,0.003144827056292608,0.012734047586612467,-0.02956590021487253,,-0.01730785748333272,-0.05584889849813825,
SFRP1,0.07612892645931771,-0.0009461772826570922,-0.03039219719937783,0.0656041874051429,-0.015079038771348292,-0.01025604597957847,-0.022241290575936445,0.015932969246997625,0.011318432092198783,0.053422881477540214
CXCL13,,,,,,,,0.0228226517534912,-0.03001241880437198,-0.0020577759605315497
MICA,0.03806240329813257,0.003765477680154668,-0.05763681085003173,-0.02835213712580827,-0.011211447709094918,-0.03821062334650395,-0.060105788066774676,0.04795651305542432,-0.06080560187236597,0.030073262904753165
TG,-0.04417807391775436,-0.007487106747019437,0.01672522014682347,-0.019009726369525158,-0.010912634766373197,,-0.010368833656423987,-0.021316518523847566,-0.019879647666168176,0.03021920714029614
ADA,0.043630053457631934,0.02718356932314123,-0.0989314320161278,-0.04120229337425252,0.015374622248451644,-0.043857351948036354,-0.04231717095373665,-0.009905522506330425,0.0014409793100585411,0.006426575844903791
LAMC3,0.040948461450019624,0.017485197443347957,-0.0777142308762545,-0.026313049882501473,0.042242031734822084,0.022172907101907335,0.007664600187887524,-0.03223682240225345,0.03421451599089363,0.005743944309524188
CCL7,-0.01784464519942816,,,,,,,,,-0.060357632171056226
NGF,0.014745606722599612,0.017399514264126056,,,,-0.011739973951673598,,-0.01401548657118337,0.015724121559147906,-0.05720886886388951
TNFSF15,,0.027213061805774697,,,,,,,-0.014999622620093786,-0.06331570403121668
HMGB1,-0.029053136958211663,-0.007229152334622981,-0.09598128309881672,-0.0030972536816458,-0.05658274437310797,-0.03021262913096188,-0.04837630662615681,0.05966274855419888,0.058516328333584174,-0.01577093259316532
ITGB3BP,-0.00641037091672435,-0.019791574483714183,-0.06761065589660212,-0.02401109327264166,-0.0033686729663479037,-0.009973483826626715,-0.12476370015807692,0.019188351113950668,0.015113383558044235,-0.031882306818214495
AANAT,0.054994227820234776,,0.07579649276682932,-0.01709555801730067,-0.012579168894484492,-0.0277963126484878,-0.0219676621230576,-0.019118027342842406,,0.0864791999882754
