,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.016978932899929928,,,,,,,,-0.020322173776236026,,0.09061821641491538,,
BMP1,0.07199268216165182,-0.030594319676773805,0.05725349155827582,0.022264480238704778,0.052459507183089484,-0.023318024619731946,0.06958493129052996,0.10688717079839578,0.11670830702379988,0.028899128312399856,0.034115552624667825,0.018408202487943094,-0.0032168624984415996,-0.009722369686718085,0.02243478934674729,-0.043956551950707495,0.129977916270965,-0.06047696389699024,0.016714620084234657,0.026603854579691617,-0.033392244618785566
NDP,-0.0007044879228543455,-0.034995951624449115,0.07263275645239343,0.02479521770891355,0.09176994497238224,0.03438849769061343,-0.06371170077900543,0.01795601606661918,0.016940640720319027,0.030401100189696315,0.07328015353823245,-0.04096238108289429,0.006549304148398508,-0.026792044520087682,0.06711500304498454,0.030071828446636636,0.05280534384236622,0.020210350671223783,0.0197355543857096,0.08077366662391654,-0.0892775363997098
TNFSF18,-0.006561904563553023,0.1201800416185038,0.04984626271432813,0.010959966642896956,,,,0.16007126274035732,0.014152535232224251,0.052262451233456825,,,,-0.0642830538586574,,,-0.020957899107999955,,-0.010588330128985848,-0.03618261488027231,
IL36G,,,,,,,,,,,,,0.019754267153085918,,,,,,,,
RTN4,-0.05265559758757286,0.03622542385168423,-0.03982139540793092,0.010870043757957828,-0.021488386239513744,-0.012765615055315151,0.0014192239907978577,-0.04846854726088031,-0.18227483785218435,-0.03994045510290802,-0.03455461575789475,0.1025213029858424,-0.01280710733665813,0.0543906429926595,-0.07449545301800496,0.013208226574576402,-0.07260746451122174,0.17614179772054084,-0.009833427845676528,-0.013752574397493424,0.010759989420391452
HEBP1,-0.030333046103716177,-0.019182857088263883,0.01423979554420856,0.023138067895802975,-0.03590648639613356,-0.06646910598289568,-0.013757397582415965,0.040959343471343515,0.060508670654182854,-0.033710685046542094,-0.0038807679407640776,-0.044202256319939216,-0.009957062108602338,-0.03535991400488666,0.041814959757112656,0.06447144552873153,-0.024401177863993154,0.026545150295362904,0.042581819339480985,0.03163698873446312,-0.028390532518249936
WNT7B,0.016707510822379885,0.13500835338612002,-0.014371142377606325,0.007468791067593088,0.10174650619054001,-0.029876974924957073,-0.00971309268642394,0.042822570952942667,-0.04780308676602401,0.03748639461866781,0.0009937324891419563,,-0.025826230718301705,,-0.0442265745425543,0.003614945827095931,0.11265493433237861,0.028280595302193564,0.1294607180174444,0.013481423955366835,-0.03649533189183142
PTMA,0.025840546002557224,0.023134230720107268,0.0575013335998018,-0.004783159292559267,0.012836729510822521,0.007571386271022051,0.02155896188547976,0.09988833853472634,-0.11459843833055444,-0.0073692984271604145,-0.006720599346641705,-0.12181091247171269,0.011212096780153807,-0.07640650168548462,-0.0061316865518723125,-0.06241526788902358,-0.08492417544960264,0.005646003155329441,-0.001307799487773195,-0.033291995109624585,-0.035391931802961844
FASLG,-0.029593520076803263,,,,,,,,,,,,,,,,,,-0.013418615546545993,,
CEACAM1,0.01926286402505518,,0.04660254768919949,-0.00742053109111682,,0.004317848877439669,0.018257580714398734,,0.05513076192896429,-0.025633911275379628,,,,-0.020541883268910033,-0.03573507517010897,0.004733245827522283,0.03510462228366333,-0.008480575900299877,-0.018670032697130627,,
PDAP1,0.059167773432205466,-0.018820108682725947,-0.012051803629484034,-0.005986843262216973,0.02598525260862253,0.04035066909796948,0.04607970439002766,0.026851724877699833,0.138217301120971,0.015778289005724425,0.06512459186856857,-0.03451781698490632,0.017526889752641134,-0.0010001097194921424,-0.032819647498511656,-0.07750420281877869,-0.028975519307474683,0.032647001307606366,0.017837718463216645,-0.015246734806002875,-0.03697859303596032
QDPR,-0.10911241096260997,0.03268660502971397,-0.024769858956597904,-0.07161807463478645,0.024479108550607604,-0.016671964669972304,-0.035529252013655005,-0.030607350193160944,-0.17200258649306552,-0.036557453491757735,0.010650670232274029,-0.12380103831524926,0.027023678482607838,-0.03551262241095753,0.031020019381922826,0.0889821150799511,-0.05693343978087235,-0.07093091119181538,0.02168183871134984,0.00550524323931793,0.08513101713436327
POMC,0.014350150089392558,0.08904937501933767,0.04486820033550537,-0.03932497868434337,,-0.046771632127549374,-0.007674618948235267,-0.0713997834654169,0.028354848472607695,-0.0040361357497324755,0.006793470346437768,-0.02900606644045291,0.005623098985039932,-0.005854000330441519,-0.008979024298898117,0.08127918747329425,0.039673305097424214,0.01143059794826306,-0.029283737211064448,0.0847700215452661,0.04333127955300431
CCL18,,-0.03662631630511941,-0.01637410294605142,,,,,,,,,-0.04652186757087857,,,-0.017125117602806807,-0.00665378744756588,,-0.05220731365221163,,,
CCL17,,,,,,-0.002699673847419283,,,,-0.006212477480920203,-0.02049130443692556,,-0.02146544245676144,,-0.03260204094399531,-0.033525530317009646,-0.026793612213210867,,-0.012162467819159294,,
VEGFD,,-0.012214383395612203,0.030009201426365685,-0.03169960588477257,,0.05128054441451203,0.020694939781839655,,0.08833787207415336,-0.02165734257026943,-0.015030619614549386,-0.030003879859888588,-0.023005179537289155,0.02204488615077517,,0.0013495063361164184,-0.028258991054779584,,,,
TNFSF13,,,-0.0009418759934767206,,,-0.001235530116995674,,0.016285235000090655,,,,,,,-0.01874535638896994,0.03832906809798482,0.041527699546176605,-0.01951730447950497,0.06726619680873723,0.06371437806202948,
WNT5A,0.02412189086539455,0.0008571342736953738,-0.025773846151748377,0.06101981924603503,0.018409862019195526,0.07700489955275204,0.001250339212825643,0.07222315317395891,0.05903276198232347,0.004325450717637295,-0.013619712176985883,0.02859099393264214,0.0030938019029837565,-0.11870469096480644,-0.026044101012971114,0.017095380574578,0.037885200375224026,-0.006156509623386364,-0.010673022091915726,-0.033351623152206404,0.006545289421626801
CXCL8,,-0.04442421015109508,-0.024642067128507177,0.03894432123611872,-0.03516811509944875,0.008567089886910078,-0.017523266343854597,0.03457346084417918,0.036618886884389704,-0.028729573589677454,-0.01399716653813678,-0.0410226160702921,0.0538374862148229,-0.10922925868624163,-0.05163753707993887,-0.15259600513007673,-0.03804108874745131,-0.09323873042824606,0.05144204726275324,-0.025516061451301718,-0.03378734743775204
GRN,-0.10791023109134686,-0.11666362446609961,-0.002589798425311132,-0.011739827858527988,0.0016520612107671995,0.02058086815289109,0.012583376122083777,0.09927269423728619,0.10095782544520605,0.048858135627268866,0.02702751654957513,-0.05377473085254816,-0.024324244799487624,0.005836978575652331,0.016475013592670968,0.018701279684279183,0.1041459121459026,-0.08980861362094891,-0.05367414232669293,-0.05231711070654136,0.06077011361677012
MIA,0.13469439009222425,0.04861596174809406,0.004105627442335439,0.006978265236623866,-0.008973784985339373,-0.019551054779411582,0.07024662124501563,0.06864399448090645,0.1018733473660934,-0.03995417425975539,-1.7816896081633293e-05,,-0.03150664764756884,0.0021539811632887438,0.13442361262980643,0.12226338600954635,0.06672072201429977,-0.10939714309769355,0.07135614591554311,0.08881544985429474,
COL4A4,-0.034272902200151986,-0.012067363277475334,-0.0006547049529603022,-0.003449450568117448,0.03173645023951597,0.06422073527685479,0.03299450354709275,0.06451798449912656,0.01257884051816236,0.06945945636378012,0.0008004994126035313,,0.0018587153685830774,0.025620769447670628,0.13458728645205828,0.05271070367866477,-0.04127339375211402,0.008799832240658197,0.04373631094112693,0.003242109031381981,
TAC1,0.04977949119072607,0.17964072095415637,0.053827643764897515,-0.023860473834028485,0.03625652273489082,0.03645259994460756,-0.04254740135833489,-0.044189234958381896,-0.08845787654970846,-0.05319071409456443,-0.0028636067656398244,0.0886702250371606,0.0758631214829901,,,,,-0.01846629439697437,-0.01598880068006689,0.11291151253611731,0.07664443338642804
RARRES2,0.12523491805409262,0.04658271041120877,0.0295933856624429,0.048357174731196204,-0.016621279517827086,0.07190125351161088,0.049991957867808565,0.04693263471141866,0.19615759132195026,0.03991344766111514,0.013568674443342674,-0.03496897161743159,-0.0020308879066111844,-0.05497297761621772,-0.01425161570207804,-0.022606425106773735,-0.06933265473493236,-0.040769022181675246,-0.010444983790342033,0.07227725078226667,0.0723542687111171
FGF7,0.06200103474872635,-0.051246463600649196,,-0.01753445028998674,-0.030367326042238855,0.07615189444197862,-0.02701921786955378,0.03810798336562806,0.09995516012660124,0.04540694922736373,0.027542712058458124,0.09108121541366661,-0.028742153802166617,0.0030581101236147904,-0.011309700766985798,0.03502689147039244,-0.005246026030895695,0.005144720856503567,-0.0089827157806473,-0.01883841145950089,0.061593484113448914
EFNA2,,,,,,,,,,,,,,,,0.06161923906312686,,,,,
HBEGF,-0.02945833241674234,-0.028250502869176023,0.021628575206958652,0.02566271190697136,0.02622071054564212,0.007427704173918242,0.03806440340577773,0.1401661248536972,0.11097088190732426,-0.018773184518263344,-0.038600072345160275,-0.015810138970912532,-0.0032830167176476537,0.07518551582223855,0.07121124015371376,0.014984355013175294,-0.03428390969258123,-0.060218081821630805,-0.03217601863843337,0.05992513060967154,-0.07648561666578287
CSF3,,0.014809584402563247,,,0.08908895845790725,-0.02157349938447263,-0.045039530154440566,,-0.040228997104158525,,,,,,-0.03508264890359917,-0.03605912768291184,,-0.03490749353465268,-0.012805202331458319,-0.034499094061315606,
PI3,,0.0005759102696516023,0.01733691388181874,,-0.004358770373296709,0.03971412794028286,-0.04071498192812566,,-0.009922096522572935,,,,,,-0.08861062205494764,-0.15527479886801315,0.02100971133619278,-0.10581582693535414,-0.027821450554832542,0.1113117023224803,
PCSK1N,0.0841868046772039,0.10344523718505816,0.047929649817351684,-0.030869494928675835,0.037802313635747146,-0.08032981702459331,0.02047870941842234,-0.007927612572336358,-0.031734878341618034,0.02335573762376466,0.0038609696631593266,0.1725129515790448,0.030320458219200257,0.00487073093554738,0.000338060548712865,0.024681578049381918,0.04091352282483219,0.051174834128853645,0.040716838699544754,-0.03417357617185591,0.013639671152383126
NTS,,,,,,,-0.006866485880490923,-0.01835427202326072,0.022290226121872505,0.022793807648276175,-0.021088100844679977,-0.027013129933127343,,,-0.07605716777495254,0.0030540126424377454,,0.07397799328891826,-0.0189627585199097,,
SFRP1,-0.0008368961331432729,0.1257820614920411,-0.009292084620329794,-0.04040496815101898,,0.028434086516749457,0.010820828506497472,0.062296677167702194,0.051195627931845726,0.020541704733616783,-0.020491304643289826,-0.01528409665273204,0.002957047079795014,0.018569458894268052,0.023708494895261823,0.06959170707014352,-0.019923939436321064,0.10062156732834678,-0.01852211205295355,-0.003933742600562941,0.01417918699583082
CXCL13,,,,0.0021488194576275363,-0.02229653192893319,,-0.032820151378007804,,,,,,,,-0.03452805259864167,-0.0644912137807836,,-0.010363479590566133,,0.031218784720293526,
MICA,-0.0025498479140929247,-0.007416742774399655,0.0005198231445001224,-0.023490240348748085,-0.012984691462054065,0.03407657398199783,0.0628569519296719,0.0033075655895161344,0.11849013116143842,0.04731154042560349,-0.012791162616541034,0.0690357072553346,0.01493857127825851,-0.03218911767030547,0.01816933684971068,0.010308090968014959,0.03773576465081119,0.038396839066478186,0.02330437829007923,0.010855000955533604,0.03166859510323203
TG,0.06417368259899035,-0.03311605000678868,-0.0010653342831573659,0.012519620148330104,,-0.033486205359400306,-0.015499234905481366,-0.012266386541620763,0.05881354420896335,-0.006494768517692733,-0.014829468035031426,,-0.010646248822467766,-0.037313288685341374,0.006024635387600665,-0.0019164001055205515,,-0.02857043687039373,0.025856117160067936,0.04580264237111289,
