,MGH258,UKF259,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,,,-0.018219043330381456,,
BMP1,0.05689958303391073,-0.015497915675930153,-0.01655678211389801,0.002432631308001006,-0.011672570217935187,-0.00799695789684549,0.08063623563622896
NDP,-0.059645492039801164,-0.0474284660753936,0.04564755551051969,0.0020740324747428765,0.028753228021336317,0.010522014102959323,0.015380339088593474
TNFSF18,-0.025387507560902883,,,,0.08810491573299924,,0.08197627503106704
IL36G,,,-0.015082911983405606,,,,
RTN4,-0.06496645135157407,-0.049835748187872904,-0.01074200076964393,0.005028203331218152,0.05370937657699359,0.031123900131360592,-0.03468724446388616
HEBP1,-0.05048636653040842,0.03098148454413239,0.037713376580864925,0.06746775450376877,-0.024939378073858483,0.041368955465138905,-0.1419941328078802
WNT7B,0.059579790426120355,-0.012485384687195011,0.08483043978268309,0.02630894449887166,0.028781867906969762,-0.023611190259878477,-0.006075854822036406
PTMA,0.02799109426162666,0.0035269084311463235,0.06010637673446154,-0.017609695891780238,0.061105128405019644,0.014175104546342434,0.02089064855896059
FASLG,-0.022365605325004454,,,,,,
CEACAM1,-0.014934599047585616,0.005202864108774622,,0.0014885748763529434,-0.007601037387360844,-0.027558099061759544,
PDAP1,0.08648674093995594,0.01291899349831176,0.028022510918087783,-0.04781714067598193,0.05622555823246209,-0.030033731753822433,0.013855175120480536
QDPR,-0.0531996753101655,-0.008615507913833502,0.06574246925342773,0.03669791419290901,0.032696317673094395,0.028172553639159655,-0.0011771929482913201
POMC,0.0416785717968226,0.001967198067755554,0.0134663892908278,0.005962660251023031,-0.011257265180405953,-0.010052777291963327,
CCL18,,,,-0.012886807928848954,,-0.06641811130901708,
CCL17,,-0.021485598932644793,-0.013778668300567044,-0.014426157357306508,-0.02402075620772199,,
VEGFD,,-0.012092243423142962,-0.014767025589051084,,-0.02533448380910605,,
TNFSF13,,-0.014820285281835172,,0.0641948094255982,-0.025759154593876045,-0.030945898232690134,
WNT5A,0.018499564036688548,0.010902043506753958,-0.001152679636665663,0.04727988524893394,0.01086574722705555,-0.015445235593165399,-0.018015325010112226
CXCL8,,-0.014096698443061361,-0.013156673198097001,-0.05284978041270705,0.10222946196035809,-0.03198549280114054,-0.03521976416840026
GRN,-0.09102271609975879,-0.018364536392895738,0.08436954754870304,0.026494891383902337,0.007715051676731264,0.04634293955045392,0.13365256504613143
MIA,-0.029274648288810042,0.011197950788693758,-0.003882376063899387,0.038695585098911495,-0.012231018693708705,0.014367297073771245,
COL4A4,-0.025902096200847713,0.0277648121852127,-0.01961814502908588,0.035722677429421465,-0.03700203321954544,0.03096239227174361,
TAC1,-0.022365593156798855,-0.03856362444474392,-0.034767458721161354,,,-0.038817719419867794,0.045780535625968406
RARRES2,0.06857079156928336,-0.011770629200658439,-0.003436210286564219,-0.003011695027218585,0.026350555044050955,-0.06786090078475228,0.07694748585235438
FGF7,0.09476947433815046,0.011353756491831467,0.0035649371803386353,-0.032328792319169436,-0.01573710352177131,-0.029714903903844386,0.02946554623463091
HBEGF,-0.07531530507405866,0.016994637926977127,0.011633408583610618,-0.04622390206893848,0.02782705908050265,0.05171543728603341,0.05300395268268918
CSF3,,0.02178666724023571,,0.02177081907996318,,-0.008031220361918731,0.07076938368228497
PI3,,0.035253490387724476,,-0.045754474933231364,-0.02040955009528886,-0.07046239947510628,
PCSK1N,0.04410272110553759,0.0220036249194082,-0.03429526431014723,0.015276706888428757,-2.5702267315133972e-05,0.002957876839767996,-0.0311114687236415
NTS,,,,0.008690892923192545,,0.03622920032736553,
SFRP1,-0.017832070621396797,0.012305164354077372,0.04402745019012261,0.05371685651721004,-0.008015747794715948,-0.011534252178724173,-0.05734488346081012
CXCL13,,,,-0.03240410720119126,,0.020191395599677916,
MICA,0.005488339682454077,0.011486037987552348,0.051526098932288746,-0.020422027914144852,0.05064103166899354,0.051264779882695184,-0.05240480570700876
TG,-0.025902090363710606,0.10693342568129419,-0.020697503998041534,-0.01916875638181183,,0.014998875984418868,
ADA,-0.004895967973483961,0.021983494636460685,0.04487516839630951,0.017617308129134816,0.010610996975197863,-0.030483041741852943,0.05289384299367532
LAMC3,-0.021945251256647053,-0.0021497325675374737,0.003676975218871397,0.02364446631125886,-0.0017201152745399597,0.007460095818879003,-0.026200441006884307
