,MGH258,UKF243,UKF260,UKF266,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.025709243187743917,-0.014815022006211983,
BMP1,0.059844008570398406,0.03515010471038291,-0.023149046344439834,0.06958036157924039,0.08839589248042062,0.1245170459720816,0.01878254169656643,0.09405375701379656,0.15820259357975375,-0.012946888409214315,0.02341795471583955
NDP,0.011304223572981569,0.15722662014246222,-0.01747911236685594,-0.0008353562367165038,-0.014703077828492955,0.08030457278095177,0.13839249422457933,0.22622990496898224,0.046485494697472006,0.14409102286666073,0.028317515188163323
TNFSF18,-0.020102978873778325,-0.04781973775908739,,-0.017104138286226218,0.0023070307771177597,,0.08812880497264845,,0.07217175902225015,0.0053425483535101586,-0.031747223285537016
IL36G,,,,,,0.0100231426557414,,,,,
RTN4,-0.018830888453958868,-0.06194552270515215,0.010504409764184399,-0.07021000915629223,-0.04068357904668967,-0.12950181555347923,-0.08136070215608224,-0.12404802374661673,-0.1928408687614281,0.021945302357448144,-0.12361316714053448
HEBP1,-0.010269269879571141,0.11348741496059735,-0.003052907490418062,0.06246617755502367,-0.03434030451307821,0.03517174833694241,0.04627571285529418,-0.08169922797685021,0.08897097306753476,0.13390221955096168,0.10240230260721568
WNT7B,-0.017710094744991314,-0.031944884828565355,0.030354641782415554,-0.013573446091414322,-0.02442737599447635,-0.0529268829844078,0.06353144560601942,-0.058999940057425274,0.044642483726335044,0.03773356500701654,0.05132734855305214
PTMA,-0.04708383829514649,-0.17424578693412568,-0.050658275114373645,0.07799222195691866,-0.0931783949792831,0.07455578611276745,-0.1467629596260178,-0.0653811194991501,-0.1779631740279506,-0.10855255678728327,-0.03136719342697034
FASLG,-0.01771009975158973,,,,,,,,,-0.025394909773944548,
CEACAM1,0.012383205920610709,,-0.014562084186546665,,-0.01907605415117794,,,0.05557998113696374,0.09587351169058583,0.05171166766394818,
PDAP1,0.015300429408866407,0.020311679029729555,-0.07874470435587026,0.06926680638211062,0.044938268284407674,0.09915855792070623,0.03952664741846697,0.04804055887703896,0.032543689914107714,-0.006761954746541995,-0.09673154612389608
QDPR,-0.04595221725433126,0.0038520926640084824,0.12335176014799668,0.05775039147787315,0.04676793849347741,-0.062465048367981335,0.04055421765167004,0.020130977983111857,-0.11996640652462898,0.06284191935692057,-0.015452616374101733
POMC,0.014948226566907538,0.04202305860985645,-0.029302356910465097,0.08116943960108676,-0.004130355154867677,-0.03572236520179189,0.07449653326102851,-0.1372255925381988,0.035833936763156216,-0.01759628818509097,0.02848268428286309
CCL18,,-0.04457644027429793,,,,,,0.1083654527483268,,,
CCL17,,,,,-0.018224941623041488,-0.004571289718412996,,,0.08611163336065505,-0.023017633363492367,
VEGFD,,-0.020559636746530344,-0.013932177671296701,,-0.0015341542811450235,-0.005396564996350718,,0.033309762008196235,0.05350837751229123,,
TNFSF13,,,,-0.01658744601311498,,,,,0.22463125324897154,-0.0139298234295821,0.023072177569001522
WNT5A,0.008990949888750484,-0.007588689809619452,-0.01158570963237924,0.08344439078747616,-0.014124826785940365,0.07593651632293849,0.05887639849970041,0.05324035770175511,0.0697006437445907,-0.006346933980397217,-0.046224678584746916
CXCL8,,-0.12730939215334916,-0.049912818429152336,0.022445093969696517,0.03593982363586126,-0.05518622145026873,,-0.1811635279826681,-0.02739531788265575,-0.074316783652074,-0.050924768304624134
GRN,-0.0022683052288506164,0.09493343715116435,-0.09435359285172483,0.06914119881184005,-0.0036943329067903167,-0.04476873267647406,0.11454878804229361,0.00734208895710974,0.15333157328558214,-0.11749764404505067,-0.06544172023157652
MIA,-0.023180993040590916,-0.019021076371115258,-0.04227504103285248,0.08429331451117736,0.03531994268073134,-0.03656285366185998,0.07726652525815582,-0.03802741677224032,0.05900272717865362,0.14883863493183105,0.0771603786462834
COL4A4,0.023753347684722797,0.029184452303107213,-0.016416893791125774,-0.015782222041216053,0.009127364896868018,0.02953051093398258,,,-0.0412743200496773,-0.026347552809403475,-0.01159580423166366
TAC1,-0.017710090116253154,0.015010914661448889,0.10566671311137424,-0.06440441226023326,-0.07013420308985799,-0.10401229695164543,,,,0.06477368403567779,-0.07822180581461032
RARRES2,-0.0156531444444002,-0.06541321063103821,-0.0714888094232324,0.03802439266314271,-0.11058158879655745,0.07895353611694333,0.10724983220547968,0.030228584835026558,-0.022530063161457566,0.06630250887142711,-0.005593537358952324
FGF7,-0.022492351472423747,0.05044870294948911,0.073016251106513,-0.012434439390566163,-0.010807649517525476,0.07835770028785378,0.015200194038150731,0.09264907092604885,-0.03147539624242869,0.041572229162398305,0.006834181640076075
HBEGF,-0.019893042593799364,0.09929170206283432,-0.042483452442240506,0.04153574810598231,0.1351869093436254,0.0425677347323101,0.13264655124314123,-0.0604976932310429,-0.026031078412183637,-0.11149188944187631,-0.03419576655136576
CSF3,,-0.02181573989715068,-0.03830862192783644,,,,,,,-0.006113085380141548,-0.016060086215832183
PI3,,-0.010807558274459644,0.022064605124188414,,,,,0.044755583947071444,-0.028800309502378094,-0.052652468070902736,-0.08739393209574871
