,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.012644888909914576,,,,,,,-0.024031212350199543,,,0.03722485779680016,,
BMP1,-0.03878279845940619,0.005442112663796849,-0.023279032096908743,0.001423129185363131,-0.0032469862311808326,-0.04699483973993574,0.021696613534998785,0.0019083940691585562,-0.005500694521208153,0.08001390680416894,0.024745987298899055,0.024754360221006376,0.05081656474116249,-0.001970472949785821,-0.013131171232045142,-0.017850929721984498,0.030949994425742682,0.042499830864888274
NDP,0.10712832823961127,0.04162949452101083,0.006879315503770974,0.055910738115603854,-0.02609909028588716,0.042897958252275305,0.0073755093788355625,-0.0423766112780018,0.011075776352363476,-0.0019737669199634987,0.02137970270358094,-0.014056267140960763,-0.011917283615555054,-0.03047793144688561,-0.012643761738984738,0.09027093230423235,0.07264366581536233,0.025166217082556962
TNFSF18,-0.033848898374931866,0.12299961971383522,-0.03380338313658642,,-0.002608349631311836,-0.018777280421255607,,,,,,,0.035844277482459795,,-0.03214811917255394,-0.03617644355962134,0.024519628458066135,
IL36G,,,,,,,,,-0.018192709200955205,,,,,,,,,
RTN4,-0.03438202401407842,0.03804718643802678,-0.012418682100944378,0.060686929724819115,0.011181250164182923,0.10015087524504991,0.04235257040211851,0.10126667857454323,0.08442864607881836,0.054136248122330165,-0.058972062990532294,-0.0068294193935952395,-0.048706582816805656,0.0374394570560682,0.004761133273624285,0.056535121623149984,0.09956033255075897,-0.06872870726336967
HEBP1,0.0010614895904067425,-0.020194696729807657,-0.03505516046967357,-0.01622707442309114,-0.02358048903517993,0.005745862731460097,-0.02694343418656823,-0.05518029733287347,0.00201868619989203,0.006099010627250085,-0.008577586279150465,0.030384422217092224,-0.01209398072180215,-0.0011553990114788078,0.05804692319583652,0.012384097379778821,0.05712842996524452,0.034358348829726264
WNT7B,0.055266443146634446,0.0413717748278309,-0.020997613741604953,0.04759750259330033,-0.030062256133189795,0.013010608137665929,0.01925692268444275,,-0.021977359265269284,-0.02560659363844106,0.029931313459498975,-0.026972317754758085,-0.05182318495762324,0.052710762149080576,-0.03214808583736931,0.11021384429926268,0.09116111730052541,-0.019280660127492067
PTMA,-0.06684506916394105,0.016250602612795692,-0.0539109096160801,-0.054863119635824104,0.028732161873441613,0.03962931882077647,-0.06499402350539059,-0.0867401729576163,-0.04723423928780908,-0.06576599536478885,0.030151617079889188,0.015032172044048138,0.03188137077895083,0.05150947663186416,0.017095642812789188,-0.07310978837094101,-0.05999162783971112,0.041635052644346894
FASLG,,,,,,,,,,,,,,,,0.033046896001752785,,
CEACAM1,,-0.021814464792833606,-0.016114405625256234,-0.023515886688659678,,0.008498561036951739,,,,-0.038141458472936395,-0.0030323964817315745,-0.018461213861739115,-0.03561053350223091,-0.02275894780005468,,-0.013910038477074388,,
PDAP1,0.01036075550089115,0.018683206821316394,-0.036275391482345716,-0.020953975200279085,-0.03502566272521797,-0.09540146587383537,-0.040390724017760796,-0.05354236245227301,-0.03885287010857594,0.009356066611704319,-0.01040084141188647,-0.014132007502719594,-0.014004981302120413,0.006624545388848901,-0.0364906113556242,0.019662315520466107,-0.013039109521359116,0.021393790354506694
QDPR,-0.002291754139500158,0.03195732074978778,0.01950775855021057,0.07821708234383865,-0.014903717513537503,0.0924773221782651,0.0002637434128208762,0.014672398344286816,0.08404511867169187,-0.05273112259315158,0.043830387945592554,0.012921532026546176,0.01016362535355121,-0.021695756406440336,-0.08421807530688225,0.03941369102594682,0.0732163741205618,-0.0022628652754281536
POMC,0.1104523307864652,0.01564644412085236,-0.0286327278619485,0.00039037119080428137,-0.018780814987587036,-0.004807346576793814,0.014486765911728,-0.02032417743730439,0.018223635354860407,0.07211961988640798,-0.029016647338321933,0.04670233416300427,0.11129396182897672,-0.015831079432958216,,0.012772541080046617,-0.06323232353640847,-0.049384507094668566
CCL18,-0.04539415592027267,-0.027222390942972192,,,,,,-0.05762045520572837,,0.08285089485944222,0.03355871988150691,-0.02701730992153618,,0.05080945480128587,,,,
CCL17,,,,,,,0.06691182873079057,,0.08027132513326861,,-0.02172089813441563,-0.011007029863907697,0.12204764429368242,,,0.09212373996105845,,
VEGFD,-0.039319598054944414,-0.027222399587356335,0.03350456303913451,0.041408161929084655,,-0.021183580836711784,-0.014404800944829488,-0.016883551315874445,-0.029196951487346377,,,-0.018461213861739115,-0.03341659324033085,,,,,
TNFSF13,,-0.02054289629029769,,,-0.020543842131505494,,,,,,-0.01030534746114817,-0.0004587013320841379,-0.0339767408629404,-0.025556773017080186,,0.0283499140374489,-0.019727752340913923,
WNT5A,-0.013238436601629572,-0.03367630738362672,-0.028547584422441832,-0.06138165051688249,-0.039031455547328446,-0.0350765104454605,-0.008456292261274718,0.04128216819727181,0.012630225367196808,0.014129993669937656,-0.03468260281337498,-0.0034327241184819264,0.10096294744791273,0.010266185379216477,0.025119421072335568,0.04601992966926828,-0.05224908811251958,0.006911895843937813
CXCL8,-0.08365253965117193,-0.018633652349610143,0.008100944375621068,-0.07879036178492563,-0.003295116352123575,-0.04212112209954322,-0.0134143769813932,-0.08826816998650297,-0.07079696629008411,-0.03289040790236642,-0.00019467092353890904,-0.051210552290087946,0.030282302254248154,0.0031656093461197026,0.033845126430209725,-0.02097889968491764,-0.06711281901554358,0.0150806450920799
GRN,-0.00019790670081846858,-0.08718806256018327,-0.001285988408412536,-0.07308007066829413,-0.03243330295900086,-0.03447317175743253,-0.028043965717569123,-0.011830864245851766,0.05392731315847324,0.036912247579551125,-0.025776682735322482,-0.029326431183614634,0.04817200802724896,-0.02161930390300681,-0.03629635460532671,-0.06050654309456149,0.059607691279147945,0.03862608151238549
MIA,0.008530823662246181,-0.04692551534701412,0.06008593420821235,-0.017437070504305853,0.01379418511754482,-0.03612129221029249,-0.01638242745191145,,0.028555011850938818,0.05327934493482316,0.12574107759396572,0.0248394454040752,-0.005835200041502331,0.013638518452220997,,0.13652048856697913,-0.003679989897254584,
COL4A4,0.044388465866097494,-0.0007800234746252841,0.0600015675036407,0.03406598002130906,0.0598468575668802,-0.01246059945172812,-0.027521175267975345,,-0.029962825069703852,-0.03419070199927674,0.05321262782896325,0.025268827626627847,-0.038200315466054464,0.0033262824908950597,,-0.0180767223432901,-0.024110723789496885,
TAC1,0.02969705644678853,0.01988702844971193,-0.03163840005009384,0.11098312299364424,0.04637006953506318,0.014365906574731087,0.050405899401927565,0.06152469333635118,0.012345989115215863,,,,,0.017714255338691025,-0.02191673080635228,-0.03206676830122754,0.020083276958062588,-0.03425788341448209
RARRES2,-0.05048855845619096,0.008757226778650304,-0.030349036106186396,-0.08415927457132717,-0.023731981158788464,-0.10393975253398706,-0.037403716577781944,-0.04087199701717921,-0.00639050725051852,0.03674942289282171,0.019060798864660028,-0.040276830644742884,-0.048623443070038457,0.00693841385392667,-0.10565436488590953,0.03153816616886516,-0.0538173781379636,0.13675196253679606
FGF7,0.025268135737205114,,0.049382033570426906,0.026639372974904832,0.007698089720951267,-0.035510811207590504,-0.025125746314477348,0.06588081420520735,0.022217207442740437,-0.006814869344152186,0.0019840408375133,0.012672453376753427,0.01753771253019702,0.001494861744951454,0.0010219160410809632,0.019356649230604414,0.003141014152035633,-0.008727705912530593
EFNA2,,,,,,,,,,,,-0.01754614829434297,,,,,,
HBEGF,-0.004835824603240563,-0.004040271336443347,-0.01759622235176517,-0.07864299827399214,0.0073570156208534665,0.008933927329735289,-0.03699290999619385,-0.05743980479854026,-0.06174082672165156,0.07803893425909386,0.0821400144572985,-0.010839668742595829,0.025301318128787356,0.07774015845762326,0.06051428644966057,0.024188133241623805,-0.00253560106543028,-0.025345754509903527
CSF3,-0.0260195789447871,,,-0.059890919136738316,,-0.013183074383171164,,,,,0.015282425112085654,-0.03614102708951446,,0.0040941836747473035,-0.028893821483326976,-0.025681817193776837,-0.010538124122290328,
