,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.0003156210583980365,,,,,,-0.01908562901226029,,0.052021987800216093,
BMP1,-0.03086424057842585,-0.03859446337203925,0.03714857840046804,0.0067412046507264985,0.036494790269710926,0.1366222276283191,-0.007410902397282464,0.028458472234328645,-0.008553735417166487,0.007400214761533019,0.030858475803931758,0.0037524936476858646,0.06748147142765211,0.12534876217639412,0.07298875898901495
NDP,-0.0020770601871328218,0.06494952108402847,-0.0014391008784481556,0.013185222986376042,-0.007017700793175052,0.01757029722572324,-0.0024782091146170818,-0.0005030280490047472,0.007080785379557943,0.13784111133094046,0.06006395160743435,0.08169324334023596,0.0036808403816814173,0.04526156141756328,0.06701991071925616
TNFSF18,0.023840216397851978,0.0015109004348204983,0.045336741444592446,,,0.009994273701802411,,,,-0.0252577245950281,,0.00579801306607746,,0.08105711645268679,0.007417476844660895
IL36G,,,,,,,,,-0.015968598770360602,,,,,,
RTN4,0.015045864776174353,-0.040123285167399214,-0.06379422646387839,0.03234312839245701,0.013345512181930495,-0.1739584951407161,-0.01198771925012434,-0.12903564242134902,0.03006737565184584,0.07764487714702605,-0.04458732884260872,-0.057751304747860374,-0.0014654182900241174,-0.01842319465425702,-0.030809572976126888
HEBP1,-0.022794948293385915,0.0027898881063254887,0.020830451592718735,0.014668729252669967,0.030407651111802596,0.049950410851656586,-0.024895429711453546,0.05440970235057869,0.019196775109010022,0.06739612452051587,0.025244523418507355,0.017239283869576332,-0.0006127780701068995,0.06674630721871168,0.021825598126596086
WNT7B,-0.018178440247095747,-0.043046698213959,-0.015910553562755815,-0.029093624770545164,0.0559834482663133,-0.030028054105325115,-0.019958662422770102,,-0.01755133029229642,0.025661620414979713,-0.026565903957296255,0.02489274313826562,-0.0055142523076168225,0.05754284234741003,0.062406938645942156
PTMA,-0.04736805190640758,-0.07803664501113548,0.022699346920709306,0.016737548231674167,0.028843855858494267,-0.1048233674706927,0.01820011439055021,0.0929003726440713,-0.003068725658902976,0.042541266125024145,-0.07299657722267501,-0.024854200279920968,0.012417212585089446,0.04461219789980356,0.01411139554585732
FASLG,-0.018178445386094238,,,,,,,,,,,,,0.14250791225684334,
CEACAM1,0.04715231200262384,,0.031963034220914434,-0.029952937463217727,-0.015405854502900725,0.03732240048312571,,,,,0.017015172172367154,-0.028281945223899697,-0.014826660991910582,0.005202537131953848,
PDAP1,0.04245756488178439,0.005229468541499069,0.06979531681502714,-0.059370007772593505,0.018302686827783334,0.07016213260278341,0.0037108485835145003,0.03894446305498905,-0.03421757086042699,0.0162560271242204,-0.03612651771578358,-0.04732425701076042,-0.06360503798601713,-0.02714384756445893,-0.004682108217117009
QDPR,-0.05276310145427378,0.0523770120185513,-0.07525234063545252,-0.01316267830273455,-0.018633277531259863,-0.1446141105887965,-0.0005893456689793403,0.0476828538975003,-0.00733789491313294,0.0640162064798312,-0.012907087074930537,-0.09062300803873889,-0.00787059476015982,0.011114583949223928,-0.0304692172111625
POMC,0.04539975055716166,0.0964527170298477,0.00966813955581841,-0.02542749499449854,-0.018282973032892023,-0.016209297622625452,0.05555914912141538,0.007048954115957971,0.02658149553261206,0.09795884818814057,-0.017697258923687908,0.019554808142553573,-0.024254469669081048,0.05591956050615059,0.014793285951642138
CCL18,,0.027662286124742422,0.04413180549903322,,,,,0.1147239486261274,,,0.05318446189276377,,-0.009359470937388106,,
CCL17,,,,0.022951897693523706,,,-0.0019275859625810887,,-0.014587768325089791,,0.03570757552903946,-0.02516329937094077,,-0.01603793787819665,
VEGFD,,-0.03529325559552872,-0.029847653133108498,0.09015247153413093,0.010075541687755485,0.014256266448351552,-0.002630094979288105,-0.021864760467568706,-0.015634163145859647,,-0.02193086857977086,0.011823401688900562,,,
TNFSF13,,,0.007007368284051584,-0.017264381103083117,,,,,,,-0.03441180017721748,-0.008569911307625603,-0.01664934657350659,0.08741824736980595,-0.030160534519278984
WNT5A,0.11402261383611198,-0.015127630245174958,-0.024333258626709302,0.024252159027286065,0.020952918375718152,0.06841539315261033,-0.007636664759066489,0.019629233299424103,0.04366750350430971,0.09673781670299034,0.032056204197015985,0.013444271276132687,0.007201590325086958,0.1019373566643423,0.05072822961237797
CXCL8,,-0.03680067071756178,-0.06566725485912041,-0.00565388282497025,0.08097488055429489,0.004259922574798544,-0.016874241116424105,0.05284067647939272,0.03673881585432339,,-0.044416441423846924,0.021864513271768145,-0.020294176946742973,0.01808253382853194,0.0297756545959298
GRN,0.02223741179077576,0.056085668380028104,0.07502633970681075,0.04635697870026279,0.06841119137495742,0.13886786397642065,0.014362500590632482,0.08263828012313555,0.08018185121070726,-0.00383587233681019,0.02469848803926209,0.07054848953874736,0.05957321331003342,0.09438566466036538,0.056842931692597236
MIA,-0.023794017080337817,-0.027612135642336947,-0.008701206686189315,-0.029198169323002943,0.020438659571130897,0.05231997120671183,-0.006358731431182046,,-0.02141170290380834,0.20082493609385946,0.04613803950931919,0.03923902414403988,0.014059404154205596,-0.04735694735957215,-0.007189597180997949
COL4A4,0.08677958319396419,-0.03552882116988034,-0.016945758481376257,0.010280785362928686,-0.019211709094420316,-0.019493068247409345,0.016307692005206167,,0.011801342740975778,,-0.023109461861619305,0.03007514628089156,0.08042085166669247,0.07050502909877729,0.09374871560941188
TAC1,-0.018178435495950072,-0.03009415527977592,-0.04666076792067175,-0.018077337443248884,-0.03297525896573539,-0.07787567665780644,0.014980936074234884,-0.08098510926176436,-0.007792745294548626,,,,-0.025580214067182718,-0.018476801047241257,-0.01662844686818625
RARRES2,0.02512290062226685,-0.04364982343081692,-0.07715438834539957,-0.022288541108470006,0.07596645439386018,0.11840028154324626,-0.047311275231131406,0.10223029465971639,0.01900667295152309,-0.07170046022399774,0.006456069960598833,0.024965000315635092,0.036522679489495384,0.07389179961567753,-0.016243466370513562
FGF7,0.06574446705233776,-0.016008545181955557,,-0.01597501606480672,-0.001682338765797022,0.0013677859342953102,0.013916259322058243,0.0006296396122687194,0.03904511436898354,0.016912787868397502,-0.004938559676142229,0.020860766615502402,0.023304035484386407,0.0348525605674538,0.011161187605154882
EFNA2,,,,,,,,,,,-0.02084382290386167,,,,
HBEGF,-0.013047641728798728,0.009195912434042485,0.03153273154845677,-0.010280288195452042,0.015313550047741495,0.08961539627321094,0.0030052436668429445,0.07311614066491373,-0.027719148190142557,0.04842675506696576,0.019375270999362537,0.03792438927666173,-0.06254757899726128,0.03317090665395781,0.05704598686086563
CSF3,,-0.0010757081379241817,,-0.010474360029268484,0.010048633477875588,-0.02062329101078599,,,,,-0.01647113169793484,,-0.02125604383401487,0.07867244995590064,-0.05972725428304443
PI3,,-0.014046290690156298,-0.031400979554163315,-0.009861069485182918,0.016869730516300717,0.011161554039806561,,,,,-0.0412689585378604,-0.021380326857023242,0.009027137920489361,-0.07940129435763398,-0.05496080832130841
PCSK1N,0.09731130463878503,0.04951726299386807,0.011314353299198844,0.05762684808498845,-0.06858936530849634,-0.03596734977330512,0.010088505683571223,-0.10861733059344506,0.010884087857362027,-0.0071763369460225695,0.050003822212383094,0.03954282463706094,-0.029278647657656656,0.05895360013664494,-0.033810020788976006
NTS,,,,,0.005518815012764429,-0.025348505456078252,-0.010732318001591048,-0.019685307974344514,,,0.07177369167426723,,-0.01805180268624369,-0.020828933410882274,
SFRP1,0.043160577960701524,-0.021252574245065176,-0.046933609633959365,0.032407158423554946,-0.016815159162735176,0.06717166864425918,0.021033744051053262,0.01276561772539943,0.06339513663410042,0.0033040088426137615,0.01759021463584837,-0.020854748320687563,0.02507702352937659,0.01430141278129459,0.11187413073203256
CXCL13,,,,,-0.016664037469662506,,,,,,0.051704556609862805,,0.03351958804059811,,-0.0165243127158857
MICA,0.02749080283780285,-0.042354266821660096,0.043179596303880276,-0.049675199037277636,0.018695800489333052,0.032051936665355746,0.0011188779420598007,0.10373107966508682,-0.012433902553296924,0.07094102615275744,0.08895375315544451,0.06162943634141275,0.022602091876011088,0.13869516653629851,0.002805894300382247
TG,0.086779563637851,-0.028322118868124406,0.006508971041557705,-0.023567406889745773,-0.03566430730026634,0.005651266325939002,0.14228732522965842,,0.009780617287822462,-0.0323689534574498,0.07152908253844786,,0.02508339938440523,0.003426537288305945,-0.0064383330197756794
ADA,0.06844213109069,0.0018258891508982956,0.07253378726551049,-0.03554209213101528,-0.012243796111951588,0.05568143013507843,-0.008411864531704186,0.05780942175440647,0.07815286848793739,-0.02878626526362787,0.013480296218277066,0.03798480339551849,0.048068677893471405,0.12392743923681668,0.04558973648278601
