,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.015200537586933894,,,,,,0.0352590348370422
BMP1,-0.0180638868699221,0.021071948037379176,-0.03857164020639267,0.060248215005802054,-0.01992572183189971,-0.010485647641328673,0.006056121342028252,0.08043771415592371,0.05465265479339856,0.08599216966623141,0.0273980019710106,0.0578479917689842,0.03417236422956174
NDP,0.001789982050584762,0.02822974110576837,0.005034209951163303,-0.03033599829297319,-0.03997171471174173,0.04120633326501162,-0.024278437234359414,-0.015706718118586784,0.047453025442322216,0.054021782479014915,-0.062471567849981376,0.07061509558528498,0.06814794639733111
TNFSF18,0.00841616644089948,0.022640039580349977,,,,-0.012763185392035343,0.04443920673182528,-6.845542398393673e-05,,,-0.02018061920704838,,0.0012903378518471103
IL36G,,,,,,,,,,0.0499258789997305,,,
RTN4,0.07775865782853675,-0.01160120773605648,0.01517934177579338,0.043386361349430184,0.01276842649818475,0.0731584540718091,-0.07999794550085836,-0.01794713373829465,0.013482802526727893,-0.04774934814813959,-0.0480823807699247,0.016959051188857818,-0.014281692122761439
HEBP1,-0.008218636840856594,-0.039433589853780246,0.0972395145865868,-0.010532650158919445,-0.0017712182444967227,0.06731338731162613,-0.04698905923488941,-0.02105887598230993,0.014278678959071974,-0.05577914885326275,-0.03169181283230825,-0.044863670666621155,0.03394804621331586
WNT7B,0.08293639705740838,-0.017227636103705507,0.047858925299564294,-0.009054361958740133,-0.02297779825057696,0.08770587761923383,-0.018369659019401734,-0.04817150097376256,-0.013002785435370935,-0.021500894482822143,,-0.020366673885378588,0.023834118320463858
PTMA,-0.04249276969097692,0.028932810987620995,-0.04233833952896745,0.025091415310379426,-0.10072588569942523,-0.08680492508123411,-0.034699291101568705,-0.07908746139167269,0.09105819238460237,0.04712631950520746,0.014438439655699622,-0.0645755614520053,-0.06916924799697531
FASLG,,,,,,,,,,,,,0.10447851844032435
CEACAM1,-0.005786760788097588,-0.013221174537054804,,-0.024103001574145723,-0.014562084405375462,,0.1254126758936806,-0.026431102511826166,,,-0.052126168900182866,-0.01351765766452986,0.0978994412769484
PDAP1,-0.01182925300844861,0.036049064067604074,0.003146798569181681,0.008951102860149525,0.04671357670942053,-0.02975704325646422,0.04143839167354573,0.007984097675224124,0.05128732418790592,-0.02682887530075886,-0.016351746182607735,-0.008715916040406793,-0.0016718929297654809
QDPR,-0.0047404922591494396,-0.001999016355935507,-0.05102953901159146,-0.015201244619071186,-0.007948888490482385,0.05309971813693586,-0.057653017549195634,-0.049139194863172114,0.07620509103123214,-0.02681524818205086,0.02565867223796985,0.021336421197041665,0.06778605335922623
POMC,-0.0006968363897946893,0.1001980864551346,,0.003143709849616485,-0.015931517107247235,-0.022260291954515798,0.051745421648728446,-0.019499813573863538,0.021247440239319612,0.0003901810389287435,0.046594513947065326,0.011710939989184313,-0.0022115698694179556
CCL18,-0.0013040614445205695,,,,,,,,0.07632282789954678,,,-0.011641136073678265,
CCL17,,,,-0.028785256205849208,,,,-0.020959773770738106,,-0.017870444135808735,,,-0.021455943433910704
VEGFD,-0.027222395842975956,-0.018936679968464327,,-0.03206995416111253,-0.013932177880659705,,-0.025464977907541406,-0.022330866150665124,-0.02020485400329947,-0.0017350086206566208,0.0762692404103929,,
TNFSF13,-0.020542893464668102,,,-0.01985542549773771,,0.10461936607002202,,,,,,-0.015179423569579693,-0.03496066897072514
WNT5A,0.018287264523425172,0.02782473381467345,0.14657600315127248,-0.06442830980183976,-0.02184566560044873,-0.04227586404967523,0.03854795614597243,0.0437258112736602,0.02048225811633323,0.04083872993312872,-0.03194020869065533,-0.02734300951702117,-0.04116899897261933
CXCL8,0.042163799060748346,0.0005491824677453319,-0.04590981239646205,0.05646917164509099,0.07503059053842959,-0.017606372002787335,0.06238736765834192,0.04257709190625693,-0.07684897826406764,0.005642500988072359,-0.04130796545031549,0.05793321907682082,-0.06313582325480471
GRN,-0.018212774065271005,0.02414953493607831,0.047926679411358954,-0.002487126889002368,0.02492910730259999,0.01833172964695268,0.039145904612791584,0.02319538156392801,0.08311899231046968,-0.0006848769363626969,0.05345475625312494,-0.016554656730320617,-0.05306364499338129
MIA,-0.016996832452038597,-0.016840958868454686,-0.023262140684069232,0.0018911191221169747,0.09321893286961441,-0.022381137285735875,0.029320893474124626,-0.00020501984155892215,-0.027401411889479397,0.028437856719283817,0.01958763118999732,-0.07475101742161028,0.10190751683775034
COL4A4,0.04967724025735091,-0.006039636683924237,-0.01728197086026512,-0.011233931175708103,-0.019273831627068624,-0.01177676550782553,-0.014979001529480479,-0.021882652284205936,,-0.02544403836008195,-0.05548820855460139,-0.027242752328947763,-0.006318054491451727
TAC1,0.04350844860332251,-0.05303962238781444,0.04716476161078058,-0.00449098335984103,0.0034398424621366083,0.08815423350401365,0.002897026989525373,-0.09740848325045792,,0.005023495251007004,,-0.02332181041532054,-0.013590349222324116
RARRES2,0.031468996858314294,0.0013415433724334766,0.07962614415611033,-0.028244011549518392,0.058293626581407375,-0.01146929078551736,0.044760892273589266,-0.058053544322997704,-0.003585422786352176,0.06184861700410262,-0.06172721040309559,-0.09810979491645294,0.006049003376202634
FGF7,,0.0393289686097025,0.06876004261647639,-0.019605157672573665,-0.026676068774409274,0.020606949978847714,-0.04268787368153632,-0.025371344253762286,0.07956043399400496,0.03528866336901946,-0.051377618186714026,-0.03199345054969224,0.036291928001673794
HBEGF,-0.011199312992112645,0.058524561437393735,0.034059915362883456,0.018480818226413752,-0.07083702515031312,0.01151039375321282,0.02897542604400198,0.07469118932117466,-0.0017570714980618537,-0.01824008880889037,0.04195236284811532,-0.06423255754118556,-0.015191906953083777
CSF3,,,-0.010906305525334824,0.06754448706363549,0.00863867526052069,,-0.015847495308212427,,-0.030354282329298998,,,0.05587756809343789,-0.02258979846596154
PI3,0.05827806974156635,,-0.03527834051076673,0.0721675850262196,0.03162297551438626,,-0.017844488881345197,,,,,-0.03907295109179979,-0.049080127341713506
PCSK1N,-0.0386636329851837,-0.04791725780130035,-0.007400226978336239,-0.04426943601714327,0.014004087147901358,0.05090620160950939,0.03500611522785157,0.08869803497746033,0.09995716084570982,-0.03528852256320129,-0.019270202955434107,-0.013319566834813562,0.03898911701550769
NTS,,,,,-0.018600992854623594,-0.014376754907624042,0.01902869922045601,-0.0028638700983100525,,,,-0.006916062176246555,0.05763746399167522
SFRP1,0.057115871712643214,0.05128315236385144,,-0.025116248693108932,-0.015894202231461263,0.05624114078811539,0.007487566354230661,0.004906809468525032,0.03501322309582259,0.0983090782871864,0.04829679610354032,-0.010964560682064506,0.06696572778741726
CXCL13,,-0.022016029342218565,0.053920268174228465,,-0.015751357389612787,,,,0.026399332428887298,,,-0.03161184845612294,
MICA,-0.04763381880195572,-0.03921342391202745,0.04927604322855683,0.01213531364128821,0.005161689974677612,0.1093890497847982,0.05182532482122654,-0.015937967329390023,-0.0027634883309947886,0.1378014581568614,0.07705620834438308,0.03039653268687251,0.03716476362762532
TG,-0.03480404804409858,0.07032105733123521,,0.016784852664190962,-0.03371099299087502,-0.016594565066841427,0.10395002068825979,-0.02111617888295956,-0.005499102245891512,0.07403042270080479,-0.023726816305411434,-0.01594955120152648,-0.003949487811855732
ADA,-0.04261378065417607,0.0075955016879692035,0.027304425948375243,-0.003742013481710932,-0.018947138947235542,0.004925007564320689,0.0354876219796499,0.06204176169189185,0.0021255659250102423,0.01754042769325565,-0.07832498430116677,0.05053369407352941,0.02437380888521863
