,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0039187810388006,,,,,,,,,,,-0.015617973474657626,,0.04375331240652471,,
BMP1,0.001080572170424104,0.0365350549851194,0.1123694069441173,0.06980722974037522,0.09501377495194256,-0.004174754300297179,-0.009610709070782346,0.1830975854611391,0.022180210559286272,0.0007159474067015492,-0.03360989736871188,0.07464400877845657,0.050870908556602444,0.052761517300087706,-0.02369349310024181,0.11219547119426673,0.06507385809412632,0.026314900047582943,0.03465941169736102,0.0027007222901270682,0.0759225613912943,0.03777764992549062,-0.012363494811855101
NDP,0.03621087628751707,0.02330429011470991,0.027101371894012485,-0.05082078662649318,0.035303727806036335,0.006470088036522996,0.041818961533199146,0.02057699811521379,0.0584702397415454,0.003411879993409218,-0.01834190183637317,0.03621922176638778,0.02497683113497542,0.015870757765190407,0.03979359433128357,-0.03370445426846313,0.1180401162263242,0.08802688563776544,0.01443163564072037,0.0024046236547269535,0.06483789566682997,0.05349787835235666,0.03179727282600787
TNFSF18,0.15507487517287943,-0.02310633324165339,0.007693237146512782,0.06625107591423263,,,,0.09367883084051429,-0.017201225738676156,,,,,-0.02874300490547084,,0.059806348353098324,,,0.03795815507900321,,0.08221381620479322,0.011217480531885322,
IL36G,,,,,,,,,,,,,-0.02300731308819396,,,,,,,,,,
RTN4,-0.030426811537756504,-0.036217116783214404,0.00932112526759797,-0.032934171389329164,-0.04882748842954424,-0.009328108971618483,0.019820080926673533,-0.15978028401956368,0.060029877985554855,-0.04839912546489568,-0.04173588810344585,-0.011678944094414221,-0.02020345122793851,0.009958786293730416,0.01189131813851782,-0.0028071064887387155,-0.030289975789668327,-0.0707920664779659,-0.044544680834025956,0.06054066186928625,-0.006822937835766683,0.057214874100514714,0.05737262827713105
HEBP1,-0.010833913133093408,0.030698346009032342,-0.0014991215734328188,0.041629101499270946,-0.001925333718845807,0.036354829909546235,0.013200282801485679,0.11591677347396333,0.06403485250368893,0.00964645352796582,-0.019362474600290506,-0.011886582273285307,0.029503573910624775,-0.02135076309605981,0.012868004568178028,0.039104273236695665,0.12736045326418322,0.09097024044941684,-0.006116271094659275,0.048454133751971745,0.07712925517694716,0.0088002646235112,0.05788110969991049
WNT7B,0.10560025122217447,-0.05393043863989786,-0.0548601500994097,-0.02555589035333213,0.022425073811184183,0.05140042219139037,0.04863331475134318,-0.06326923022680561,0.021562389531273426,0.011258178051660529,,0.0780009835653078,-0.02528768847888384,0.15541210634291958,0.0365906587929484,,-0.042124000146352966,-0.01526775207233537,-0.003349914306898023,-0.020489254454192685,-0.0538889281775558,-0.01909590741557793,-0.04854047618458326
PTMA,-0.0024693734270491868,-0.06496883422207278,0.05598580806050031,-0.017849699723643888,0.06356158682728132,-0.04777712755776978,-0.025565665913824226,-0.13091433476694248,0.04890886239940694,0.023458416695890938,0.0995069948899988,0.08562638468335411,0.055579312721038505,-0.029331212731922098,-0.15752189720745746,0.05306359004261463,-0.11835302464353953,-0.06582416631337205,-0.01777783642414219,0.04610694499244436,0.011270971265012066,-0.1017187666861312,-0.06451150158087496
FASLG,-0.02491775835822896,,,,,,,,,,,,,,,,,,,,-0.005238570893433888,,
CEACAM1,0.005165074969162841,,0.0630055006523367,-0.01961260876287981,,0.053411530878163575,0.03186831022018503,0.0035796546541779868,0.033601184202209734,,,,,,-0.03614013958457722,0.12403654659370532,-0.009919395347344113,-0.021575297100674202,0.06948391342661342,-0.011055768372592093,0.030333358169131512,,
PDAP1,0.05946573228432509,-0.006018373954664498,0.058969697810655815,-0.005222509428169842,-0.004365163820614133,0.023305444598535185,-0.04553742510045082,0.14997346215609575,-0.016383183579472226,0.050907064993047965,0.01918895395917971,0.11473101584417521,0.038112644737564816,0.12786605720242827,-0.04783602480226927,-0.05026881808810982,-0.01063338420671378,-0.0533507522714539,0.030778655749772305,0.06466314330246063,0.019523921996612105,0.017499529001245302,0.010043840483131023
QDPR,0.0546301004546562,-0.02163280609922857,-0.09502986910092126,0.01620359877164326,0.02870106207927413,0.009199499569416701,0.0418693203024902,-0.12946939028144608,-0.02936294482487588,0.015332190420079305,0.014201278523776312,0.05803895624247844,0.024327931494667724,-0.03225313442138135,0.014534065205975631,0.06592240853259129,0.06555089024624781,0.1376466378328592,0.004729111302010237,-0.010060985136802024,0.032374114674333876,0.09110106469828898,0.03709732670388581
POMC,0.02602464937413288,-0.043628613299632246,-0.027163731344628492,0.050453003494445266,,-0.006745170880558064,-0.029039361562312214,-0.014123537834830715,-0.019958942106269806,0.02636165773333786,-0.07590614641157654,-0.039436895319553036,-0.049293414886906875,0.10088111146658224,-0.014776565312807187,-0.012151158932831207,0.11155719000322009,0.062403095415462906,-0.015952987870341172,-0.019374283405434893,0.03995313542368073,-0.05327393297033272,-0.01634110550418865
CCL18,,0.005153727075440207,-0.03567956233042976,,,,,,,,-0.06354157776995274,0.04510023290258714,,,-0.005848510073663335,,0.0604889014502858,-0.007931193852569188,,0.016211414099872114,,,
