,UKF248,UKF260,UKF266,UKF269,UKF334,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,-0.014513724260411373,,,,0.08069184851279765
BMP1,-0.06767074683504735,-0.010300215279121836,0.07344441304655416,0.05121304504400487,0.020093386918366103,-0.0014338615521948689,0.058544309701311165,-0.004897840100858831
NDP,-0.008899657771276756,-0.02301326976329528,-0.011022664460199963,0.03252858849987054,0.05050321099942519,-0.016628699438540655,-0.07031724568373421,0.05263758318727472
TNFSF18,0.03347706277232742,,-0.012213190702360412,-0.02155244481276871,,,,0.07638668952999679
IL36G,,,,,-0.017926778260390634,,,
RTN4,-0.027211608783893816,0.02388647497994758,-0.09148930391008675,-0.06951928764134054,-0.034826653276190604,-0.05346869891583635,0.02783170348323787,0.050910096894642556
HEBP1,0.04009955199527968,0.016428856660801752,0.06887902390698496,-0.02246578743847816,-0.015026278797897474,-0.02071703365161291,0.025991074119465832,0.04200074792884479
WNT7B,0.0940171000070411,0.06130473677062024,0.023451395963184324,-0.02372635273327304,-0.0197035952151843,0.05128928748494642,0.023528105788366987,0.026169254056841795
PTMA,-0.06547205595854338,0.02494146612491839,0.13960964494086325,-0.014676405425938292,-0.03372196758083142,0.00903596974709978,-0.059986138461146025,-0.07356970018718036
FASLG,,,,,,,,0.040483973887031656
CEACAM1,-0.02312959874534588,-0.015610029096024563,,-0.02836178983813323,,-0.018489886464457306,-0.01603498306079712,-0.020369822011619926
PDAP1,-0.026477135172179995,0.04463766620723163,0.09151044155156138,0.033928093458678345,0.007137379180293768,0.019690921239646372,0.016753801354204838,0.008754749304908735
QDPR,-0.0028631511322536767,-0.035656508362514445,-0.08312742039398999,-0.07299897117689445,-0.027609573760403367,0.03750859269480265,-0.048195291811929566,0.03423586565818262
POMC,-0.01999012591785978,0.18621966801788908,0.049368877278605255,0.004396313576586062,0.044160890783601664,-0.03392174246874612,-0.02623112584178775,0.025645633141114673
CCL18,0.05919826543324525,,,,,-0.006678049827336976,0.061618433663647734,
CCL17,,,,,0.0038076028783893333,-0.013117679510871571,,0.10883456608476745
VEGFD,-0.028863563022085648,0.08414592533842948,,0.008954429951480858,-0.01755133183775699,,,
TNFSF13,-0.021781370882770133,,-0.011844247165986798,,,-0.007900446641360845,-0.018006211272057714,-0.021622005752601696
WNT5A,-0.011243364825954071,0.007604103521800613,0.10355426115660599,0.013259177827931947,-0.006154760480780327,0.03265667088372014,0.03446679207516318,-0.029473125128951318
CXCL8,0.04067119660269376,0.05143218732266467,0.06953406126201447,-0.031446169111300104,0.07243069726408666,-0.06003329264907942,-0.013374663365596442,-0.05892145698127193
GRN,-0.06978775335322858,0.01748301801165375,0.0817864675338752,0.07437960538672271,0.04081304322235249,-0.04154083093113723,0.054907912160955516,-0.02475727480424847
MIA,-0.017269555455581034,-0.036751776350080236,-0.004171852262704993,-0.021881688561587963,-0.024037353286525488,0.10006571959371922,-0.06567389001415293,0.06454611299578814
COL4A4,0.10345626432280193,0.00019632358098301776,0.0209617666957306,-0.014302197975026484,0.035358261501344176,0.044705420976889315,-0.008940059681407765,-0.03896918463145626
TAC1,-0.011053435282869452,-0.018919399192665557,-0.08540732164728547,-0.04799073205758497,0.004391444717465686,,-0.027664913865814572,-0.017444480645300894
RARRES2,0.032092271486441615,-0.025303141140622796,0.038512133824006776,0.052450023719789705,0.012894802550646461,-0.03730130929589299,-0.018296439774207994,0.008518787833872131
FGF7,,-0.028595783278276114,0.15113684619070858,0.023598029969660976,0.02309190475480611,0.011149914660464314,-0.035043154884559516,0.07682101971060526
HBEGF,-0.06698938144691,0.026750787576725367,0.06472394660235732,0.008728173263158846,0.010611295670786381,-0.04516017576501681,-0.03583323796533582,0.007270893466329001
CSF3,,0.022947368434803148,,-0.015131450174450889,,-0.0318210314530304,-0.007127942073234277,-0.013971035645517351
PI3,0.036993674381234236,-0.017907987097225464,,-0.017038212609956895,,-0.08418552529214098,-0.03808696639243552,-0.030354419036133846
PCSK1N,-0.003680128536677982,-0.02110473992552418,-0.04438794110169546,-0.0014993541806021654,-0.08432824039779138,0.005899703602786726,0.025733510374870438,0.08789562087066738
NTS,,-0.05002973038808417,0.09381855898292973,-0.01859837244719297,,0.0757854866437567,0.00812406608293926,0.0817344124699033
SFRP1,-0.013633958378463535,0.025054210475972016,0.034733793218834685,-0.02025403007425677,0.07794285933457676,0.11540625669454443,0.03437890969413615,-0.020208434121056978
CXCL13,,0.0698798276236782,,,,-0.029464997682551015,-0.037498763994038946,
MICA,-0.022142102453269044,0.055580392689430866,-0.029200167329682593,0.07206686446855286,0.007671718979155172,0.0665692838980513,-0.007983948988008716,0.011295449779507978
TG,0.10894346755185592,-0.03613696822476776,-0.015879467512125704,0.0650685381676132,0.0026481022884006903,0.006846643531672229,-0.018919755899343405,0.004623933168906103
ADA,-0.025444631714196586,0.05285950618114814,-0.03102209960161371,0.007209796146887165,0.006358107543221915,0.012570030606564288,0.02720154595999902,0.02913521719078399
LAMC3,-0.055315722821273935,-0.05215393518419557,0.073419703802,0.08447511000128989,0.06510174671368589,-0.018851025217496493,0.09854562932096907,-0.03509545654072196
CCL7,0.0005501571756817674,-0.022386242525134357,,,,-0.019660377953511853,,0.07064263922923816
NGF,0.01362434900920311,0.07019031986554182,-0.015153271150082779,,,-0.02270616260404694,-0.029114114787059015,-0.023817496395166924
TNFSF15,,-0.0165746979996284,-0.018399393274167196,,,0.0032120037972492347,-0.01427536359396378,-0.03868218374914498
HMGB1,-0.07356808507152572,0.041225135130316774,0.048663193012000575,0.027933462928912876,-0.04310310873751313,-0.06067522686487764,-0.014009148362267068,0.02897129622475072
ITGB3BP,0.014187546193539386,-0.050079266482349255,0.12201204166308732,0.10243598160301104,0.034169293774842145,0.019602729946330964,-0.02988869709982263,0.0005583139209953995
AANAT,-0.026637071374423615,-0.014934794159999853,,0.014267753409977156,0.008264243060956307,-0.01724769893434453,,-0.015490038493068903
RELN,0.016939861047874066,-0.018137928032049562,-0.04243009729102845,-0.04005038261632846,-0.02432010732035125,,-0.017243092167123025,
IL15,-0.037831111553203185,-0.011375182967782551,-0.013092262145860808,-0.03560209533446014,0.013860878448788163,0.011958485712013574,-0.013475593799778442,-0.02359782398877018
UTS2,,,,-0.008441406392724107,,-0.014687677960083105,,
BSG,-0.030395525720860253,0.051406468578518084,0.06837994559161867,0.004310962839185944,-0.01287252279516003,0.011904341905104693,-0.03575462321137882,0.027289672024612195
ADAMTS3,0.03419725847062017,-0.0201338182154185,0.04870722599880979,0.06374819297577844,0.08131981539406624,0.05446890775666036,-0.020876166000050662,0.04281741045528347
CD34,-0.06187260915639749,0.04534778124508853,0.09880864007494046,0.04862019316092018,0.0067265335844123135,0.022636334354532956,0.08074058797434616,-0.007954058511173761
CCL23,,,,0.033682006932550114,,,,
PLAT,-0.05836065857437394,0.050982710833236196,0.06981178770944879,0.055900087426003955,-0.004158458120891258,0.07293612142162138,0.05156358914660771,0.0522831031474601
NTF3,,,,,,0.029234173903294344,0.020070023848551347,
LTA,,,,,-0.020374001548915138,,,0.018750659560208056
CKLF,0.023962816150664132,0.010665397024027235,0.08262520021326132,0.07591212257498266,0.0992338422609182,0.03430221466325079,-0.0006982881225311013,-0.012908334469506687
CD24,-0.010683375958981235,0.049352392461352854,0.11069467304565855,0.00013476193092603586,0.02268162432563856,0.036195591817493294,0.005200976131894878,0.01633973720809018
HSP90AA1,0.0681691304880776,0.027513673788650973,-0.10192617915001768,-0.04115705465324653,0.025738323918023144,-0.08273809683695509,-0.05987400028111693,-0.01580926157568173
BMP4,0.02217757607965464,-0.028983380610879853,0.07785386077631166,0.01313535199572362,-0.01736075363672021,-0.006849391726348077,0.03608579176913881,-0.02970188472013608
SCGB3A1,-7.374300557566008e-05,-0.017785496150159445,-0.016712504183045387,,0.07921791029807193,-0.01492388491351558,-0.029645425678961557,-0.030696776199216617
IGFBP4,-0.038381573898401876,0.007013615226036267,0.10394269558619744,0.07845337057609836,-0.02219177539381438,-0.035970658653648596,0.08273113820261656,-0.02290927951635034
RSPO4,,-0.020527353681509274,,,-0.02826194766467343,,0.09237063686841329,0.004377970373437618
LEFTY2,-0.041003004350545325,0.015058989334814187,-0.003405341289023432,0.14069093924978401,0.028967682204753712,-0.01668943452054375,-0.027150989274334646,0.06160841205792912
PF4,-0.019045196717309407,,,,,,,-0.02084725258263393
ANGPTL2,-0.03839594961568898,-0.007107472036491025,0.11096075879982381,0.05460863336028922,0.01777980187123968,0.03923822656019566,0.024012556441350256,-0.010473617701811076
LRIG2,0.028914420885077806,-0.00734014719670018,0.08267660429323724,0.040268578236626815,-0.020029624656150637,0.01536393225574866,0.011540616168779523,0.05796914113858581
ICOSLG,-0.022120426883251446,0.08392339190565988,-0.02475163323650757,0.06055998122371182,0.07999052317940011,0.07720807855729653,-0.04439347077618589,0.004299163602347645
WIF1,-0.024114045523151505,0.02099245214895959,-0.08020163190750551,-0.010171391489382224,0.028969495446338624,,-0.018559338651121485,
NPPC,0.02708216383785637,0.020024530625163198,-0.0320628801941237,-0.03674933192455165,0.030308281607614087,-0.029349398856975687,-0.020228625143983048,
LYZ,-0.03469365550893315,0.008491083073433874,0.022947256350917843,-0.024130653954652772,0.08905800638488093,0.01846320052291702,0.0014856756966938913,-0.050180279810492834
EREG,,-0.028886857144696534,,,,0.00495941823937585,-0.024866660107190738,-0.03148418038302247
SPTAN1,0.03911748820942991,-0.012533426837482249,-0.04909308882169308,-0.003572005006111634,0.014238575545435013,0.050147052251885156,0.00426291131595239,0.04723583962098252
PTH2,,,,,,,-0.03175089391854905,
LIPC,-0.023316326712753598,-0.019873856972830853,-0.020302741557066212,-0.012915982152708777,-0.032005651166159256,,,-0.026358817902085316
COL8A1,-0.02347015061386445,-0.0424177579497488,0.03659181375480944,-0.03991143177091555,0.08373558403973168,0.08957316374628174,-0.03000939243909122,-0.0025766573575169553
GSTM2,-0.04322207245741274,-0.012206652839677173,-0.011071270551611235,0.026160758556398347,-0.016857515753573346,0.054611302683552264,0.012199598282288173,0.012604286515918568
SPX,-0.02875038717015016,0.015644653347922678,-0.03759602885598773,-0.004639748736268592,-0.015397000144770016,0.06886389264003867,0.005531057824613056,0.0962507977989559
MFGE8,-0.016356519005750723,-0.07762319209561994,-0.018594480322173472,0.04391269064829559,0.015861699660119834,0.014406515921803906,0.08302682363279554,0.01651154428316196
TGFA,-0.03117788978930994,0.017632991666370022,0.058001169831456194,-0.020863252445403026,0.04512683502629057,0.038936220384835504,0.019937148748739267,0.05916211221580884
SLIT2,0.014943425244504741,0.02338418107800091,-0.0237806380192758,0.000382747931590684,0.05620476823805051,0.06397103402597591,-0.025961625809783787,-0.005198025897842295
PLTP,-0.0007519971569989087,-0.032668046456239885,0.03490251937678275,0.030692376544895938,-0.0013508894640877258,-0.06990126497873582,0.027974409623936887,0.029966622610252434
APOD,-0.03787856183214639,-0.007915051922596464,-0.07927148876537873,0.01304303317216111,-0.011639482595813665,0.08293239084450438,0.10511168450483668,-0.10748646225252954
B2M,-0.04328289445401951,-0.01505068010280424,0.023600814442812087,0.08180612427859857,0.09012866369793487,-0.014098667490705022,0.027388355853947527,-0.04303626526132951
OMG,-0.028527495586957535,-0.03468688654020186,-0.044392066622402526,-0.06205751630902313,-0.013436421169928579,0.06240502034333139,-0.0013959938231977117,0.0710413865128525
CXCL3,-0.04703153990463369,0.0639706013104448,,-0.017920455058184678,-0.014672970569593952,-0.030957887845035732,-0.033301742614517627,0.0057605937180722246
CXCL10,-0.05791501800571818,-0.010981238078667443,-0.017895639157438137,0.07712861824395288,0.03534476638652002,-0.020301862419565646,-0.00039599957998782037,-0.03981315590543741
RSPO3,-0.024939260909582015,0.09289086994974112,-0.0059020106996638,0.012587967383556824,-0.015332971451419515,0.1248266556682452,0.06156928564030796,-0.014857032675434123
CORT,0.007555562922458747,-0.024119911223732686,-0.030121309733754327,-0.00774867913027839,0.02783530112851409,0.017258028907976855,-0.03320436047076494,
NCAN,-0.006119809185837849,0.023077893239525003,0.02620839648506734,0.06960069061975496,-0.02275197311199758,0.05547400664174987,0.05458658504745594,0.05974609821954968
PRG4,-0.027610733894573653,0.08781035739314685,,0.020338894231065198,-0.017926778260390634,-0.02153355443869372,0.09891596824956081,0.015893206585003723
ZG16B,-0.011896738621753942,,,-0.020961806582021493,,,,-0.018525120834174957
TGM2,-0.014519238179457614,0.07773156557943545,0.06854654115738192,0.051606121512659926,0.018704352558511106,-0.03309629658506714,0.08120920098872772,-0.03949898026557059
VEGFC,-0.003281688149113896,-0.021904071894125677,0.0712978632982402,0.005566407195630187,-0.018294991773660015,-0.025301776985738204,0.14791464553740571,-0.04034708546908152
WNT6,0.030795266622128167,-0.01960702087513138,-0.013428626949440569,-0.019092287010192315,-0.01596694497919742,-0.02934940281673599,0.03222028879146429,-0.022372890750798888
NRG4,-0.01690989011573605,0.016276781178959403,-0.01643912182308232,-0.008343621903659884,-0.021343241817273467,,-0.026364211442557108,-0.014857034340553023
PMCH,-0.01948955837979678,,,,,-0.019983420857805176,-0.01517942443260792,-0.01931812162810589
COL9A1,-0.05107267973006178,-0.0028445536434703557,0.11053350840541162,0.08484176200231572,-0.024320116648658442,0.045524491220783524,-0.039802108915114466,0.03433558285225398
GDF11,-0.08098741039965368,0.06278979923227537,0.10825057817585047,0.05880212325916556,0.021693465892418336,0.02589613356015839,-0.011978486776840448,0.03750283772966144
RAET1E,,,,,,,,0.08553316459988985
IL24,,,,,,-0.014899157052479855,,
SORBS1,0.004307941281205568,-0.04077113752664126,0.007602464789343084,-0.04249799309541819,0.02107226506281261,0.024939153401831796,-0.025850192979181615,0.05452549725140337
DLL1,-0.0019034403853545436,0.03184541529001825,0.10867931721851945,0.022815025197208908,-0.049553900684669965,0.038300215911801064,-0.0021227701903188054,0.0440966413915968
TLN1,-0.02080350709617966,-0.003525980768284556,0.02768827113878994,0.02126789580310116,0.07155722841801612,-0.07307181608303029,0.045801995260236934,-0.0491643345182461
COL2A1,-0.03582996904405242,0.18974107207304852,0.2667670524922308,0.004018009339549666,-0.014896077533254694,-0.03257151048359629,-0.008518985582093222,0.11195460659247887
SHH,,0.013918890331906176,-0.015879469209699047,-0.014087659919077738,-0.014216707603302134,0.04015682480633361,0.05443689033041232,0.16664165863863262
PON2,-0.018342672665409968,-0.018215640651506985,-0.040351400523047885,0.034098150004785686,0.013895110583410905,0.039965185386886044,-0.00466636779140333,0.08941110377016373
ICAM5,-0.004121019396395381,0.0795490061444857,-0.047082580521888844,0.009959738245580739,-0.015308455550340109,-0.04164724223637097,-0.0031110460781634108,-0.03203740873145113
HPX,-0.028914463985670748,-0.03605502163943143,-0.01342862785529623,0.003371001849857243,-0.03613603333374093,-0.012297128412529439,-0.014024654684049532,0.0038054488706900057
SFRP2,-0.02440921257033257,,0.0743931558137253,-0.014302193763548823,0.034949278566777695,0.03215668784218081,0.024539024333954437,-0.0005046972845356355
CFC1,,,-0.022691094748115755,,,,,
CD70,-0.04459502716638468,,,,,-0.00672491930965517,-0.009445402374931593,-0.00479580967152287
HP,0.0042882333390830306,-0.012602472677587084,,-0.03540976200405679,0.08228684322790203,-0.031160373700668754,0.029230932720508473,-0.022224498395912628
CXCL2,-0.028646127143138148,0.04053933850930115,-0.020754525683678113,-0.040754975509070535,0.03227124214069269,0.006044238441902929,-0.06909428427467806,0.04109519512749818
NPPB,-0.02368573413375062,,,,0.017910838113242813,-0.02808205893454431,-0.02268721867873337,-0.015070806707301864
CCK,-0.019754466555398188,0.006511359866804576,-0.08481499696006957,-0.04051296307230249,0.030363754807083008,0.05736601122091047,0.024824352992382347,0.08809313791898148
SEMA6A,-0.00014326196984136967,0.023673310708631854,0.059841440782665734,0.05082221670775726,-0.01786599876572587,-0.004799256631882425,-0.10796006814353894,0.054523013232288205
IRAK4,-0.025161969929187806,0.005784616375025735,0.01641267338036589,0.0318014717569981,0.004352886334249108,-0.03155252519532253,-0.0018807642779329738,0.0734371684779789
GSTP1,-0.06754246180289795,-0.019979520768744714,0.10685893242748601,0.07795351631404022,0.021607930387402816,0.07517244537033436,0.034427930936942096,0.0220014928388785
VCAM1,-0.0830944785152563,0.019116396531383438,-0.0029486205389531676,0.0525602789695687,-0.04278231391126494,-0.018951755682495856,0.02362440184842528,0.06473240951273845
NXPH3,-0.04237514766379217,-0.030176784389806945,0.07792204492839828,0.027920024407611196,0.035534304044452694,0.027423301366387435,0.03369791944571499,0.08756952727796063
MTMR4,-0.00736539087492464,0.05145262757631477,-0.007281121696165497,0.04919258545580045,0.016544452327906828,0.008270436016278143,0.051706895472834094,0.046456951777727906
LAMC2,0.057409229705587095,,-0.018399391465811595,,,-0.018317154457313932,-0.014733999065294764,-0.028714508425903083
IL10,-0.030157138968912693,-0.019128559005173625,,0.045507315933400995,-0.01637661983950598,0.030730703278165482,0.016723898683516283,0.007498694336610268
SEMA4D,0.0024225745370501013,-0.033157491984395555,-0.050501190868240974,-0.0400065058925722,0.02919518642997835,0.07190708905547444,-0.001276772009332104,-0.003786979989976331
