,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.017106946601066913,,,,,,,,0.15961609676348798
BMP1,0.10353145777204736,-0.05791474197354477,0.020913476224664412,0.04535309414505777,-0.041500386145514365,-0.017420271950468826,0.11871846853531325,0.037990847847010116,0.021411490661390583,0.1355359068503832,-0.09367530528353521,0.0667335025935694,-0.021560725012424273,0.0736138436186976,0.040611249850187235
NDP,-0.0018053401284267854,0.04121631968149725,-0.016520039990017242,0.01303131942699941,0.03375928366328769,0.007188906865028179,0.07853149673293888,0.04159448120507523,0.017715625888082735,0.053979800869649375,0.07531087101412957,0.02980446123166081,0.02875197842800281,0.029343285102145112,-0.008587813831970714
TNFSF18,0.009981107230985876,-0.029141447597407128,0.033920995645581764,,,,-0.009686441088505141,-0.011674764661574738,,,,,,,-0.02731047814703792
IL36G,,,,,,,,,0.014266591098272254,,,,,,
RTN4,-0.07749100963902712,0.04474868083342141,0.007258176680414837,-0.04050538431406833,0.007621017284014215,-0.08100777611128795,-0.08377517674932174,0.0005720834850265614,-0.013166233955687986,-0.0009453283722848024,-0.08746541479715526,-0.041897226382935145,-0.05748711376064468,-0.025921024890050576,0.03522479938076205
HEBP1,-0.01942585914628729,-0.032890369723716416,0.04270993498002289,-0.043210609174082606,-0.0001282971971799467,-0.02552437916924186,0.02544043963964798,-0.003289641856155857,0.026473009706584054,0.054250641226112804,0.014431597199339929,0.06824416726700956,-0.005306369237881511,0.01529607258481623,0.06830873008581825
WNT7B,-0.04570262928722102,0.010778992968972124,0.03970079508795322,0.057407070011377744,-0.006114641794566904,0.010180332292690587,-0.027479249124228507,-0.03346462612583523,-0.022121271127958274,-0.061664301604824036,-0.029509535932314826,0.017168695171818866,-0.04426210227726055,-0.020366669737881198,-0.02268542627191422
PTMA,-0.03091164580698979,-0.03972215431271686,-0.09287014850750117,0.0977254316115606,0.06464198185766737,-0.02462436007482846,-0.039981328803649775,0.00830801219512031,0.06213038822302779,-0.027535105729941233,-0.09287697960821797,-0.03866939770135785,-0.005970574134986994,0.001221636577414237,-0.005160118857413286
FASLG,,,,,,,,,,,,,,,-0.014042014721020445
