,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.052073938236661364,0.02130304776692001,0.04384304652073053,-0.014833437184470569,0.1303236938574977,0.12415952582846185,-0.00690278876838385,0.0242887400442515,0.09727379047753135,0.005369013859593247,-0.01815096686642576,0.03853645426206392,-0.03943914341209407
NDP,0.043341255226233465,0.010847191306489855,0.039195843215519985,0.03232369307644506,-0.04084044884976862,0.0034635748871736276,-0.012651493295960882,-0.03836223179490478,0.0747172296914859,-0.06599012873751378,0.13592263693520237,0.1654337418305938,0.007486403911212936
TNFSF18,0.07988204105349056,-0.009300978702719336,,,,0.059968098546113846,-0.01262208878819351,,,0.0600638938783518,,,
RTN4,-0.025534589992065322,0.026290489234251407,-0.0912770952407983,-0.045855956866308056,-0.01689019784618673,-0.2139922840244902,-0.008325455691059178,0.036050188986318996,0.023310708923386915,-0.0076434160434817894,-0.022719037741119198,-0.03458948734418437,0.061115831233996235
HEBP1,-0.02068064636443894,0.019944872755433704,0.01719792940747494,0.013208206274063269,0.003990343839253445,0.07073913557538558,0.007953680585528564,-0.05827579791474689,0.018264038276101572,-0.04854728535374136,0.05364234506070122,0.12888583785666222,-0.006735223151598111
WNT7B,0.049344593012036746,-0.07287650528224351,0.10589018542147659,-0.02434221457582592,-0.058128011062244654,-0.027229579263811473,-0.03618004255059806,-0.011246855396774986,-0.0027422585534021843,,0.06379683811710185,0.04102822055622729,0.029543330990293562
PTMA,-0.0180897783201089,0.0683142150722652,0.10376772471703992,-0.011984458355547584,0.011100476749791907,0.2610026542284593,-0.035852195577189015,0.008182346666347352,0.03435817536488125,0.04881618768942187,-0.06229067457199592,-0.07386085609391962,-0.005961578600515619
FASLG,-0.019736378593722445,,,,,,,,,,,,
CEACAM1,0.1081587925270174,0.06504360918380923,,-0.02810827902935601,-0.014429283511562384,,-0.019851538652655713,,,-0.04017287600329174,-0.04040681665001799,0.009187824552495732,-0.04186209339352244
PDAP1,0.06129573930580347,-0.011275145418890587,-0.006574239153918519,-0.029613460281887737,0.0005565422027199139,0.10638604821744872,0.0587826627759682,0.003065953811068581,0.013894480240808412,0.0001641535542179732,0.02485619021506309,-0.06310101145687841,0.046331970991667235
QDPR,-0.03995241824537939,0.02377510284818781,0.045102399925043814,-0.025439147066365984,0.05604374365005507,-0.06556177019421786,-0.05255128284084421,0.015570351388141009,0.06682415552278688,0.0928043768574553,0.065559172551292,0.08411877531850416,0.005588741135037401
POMC,0.043020692939899935,0.007839399948820474,,0.07776275814314729,0.013232738408396096,0.006263686895734898,-0.01464567369855005,0.010398280396434739,0.15516703392483647,-0.012049040859329313,0.11813795293048364,0.06476279056250761,0.027279788954716364
CCL18,,-0.027321661103975315,,,,,,,-0.013023630445395439,,0.05032752217763638,-0.01767130860311089,-0.04821567851000065
CCL17,,,,-0.016291906180455624,,,-0.01574220216408139,0.027022726550097718,,,0.0035205721060170537,0.09756178925377225,
