,UKF243,UKF259,UKF260,UKF269,ZH1019T1,ZH1019inf,ZH916bulk
IGFL3,,,,-0.012644893364242316,,,
BMP1,-0.003794999089149803,0.015859780327953685,0.03260727416901917,0.06856859625423561,0.012624814800721555,-0.005946900035956146,0.03738392796863021
NDP,0.06293281809557644,0.03155099480337881,-0.036909631465194014,0.002223437942186571,0.06796046423002801,0.09019368668041776,0.037133272154771954
TNFSF18,-0.021812107582778986,,,0.14546635569202374,0.08853527548352007,,-0.022855169192837258
RTN4,0.0006868926960631354,-0.02727493853385533,-0.009926129951052827,-0.08275528399886173,-0.02788560970364098,0.02618577524064947,-0.08117939861246576
HEBP1,-0.06289555665784652,-0.0021509062654705377,-0.006721696925115209,0.07884584756734447,0.043084767666778837,-0.04623186162096614,-0.0008682771401559552
WNT7B,0.01988837764357307,0.017580053762519,0.04339483514052434,0.02825152034629588,,-0.03362344586569037,0.04678620325289579
PTMA,-0.10112236990882957,-0.01610613267618439,-0.002817169229918546,-0.03748175733669996,-0.04431341220589952,-0.0840895135054982,0.024635207692703925
CEACAM1,,0.012066561237379543,0.0038394966779510082,0.07136214483560699,-0.04817753959127795,-0.006352029877112443,
PDAP1,0.014927704354033745,-0.005048485374380234,0.022528794316036816,0.07552664337995699,-0.10671329877739126,0.02249664344585323,0.004886140143293808
QDPR,0.03269310253739468,-0.025361577277043974,-0.012589710167350216,-0.08183065739527741,0.007783453984658771,-0.03476960733532697,-0.046296518229659654
POMC,0.047757358974935986,-0.035372594178976494,0.044534006499046395,-0.00782284806263684,0.10799319893907872,-0.004619351893028858,0.020552178366481457
CCL18,-0.02925182975218242,,,,,-0.021379713550906686,
CCL17,,0.031093585068221494,,,,,
VEGFD,-0.03295826226684987,0.0028085658412706277,-0.016770287544433195,-0.021183588298905594,-0.06549630932003528,,
TNFSF13,,-0.020519441033282647,,,,,-0.02486316402764538
WNT5A,0.01986490070697377,0.031111157288625495,0.03661215784659718,0.04938224061958663,0.08122227085641874,0.050225086937862914,0.022938298790642908
CXCL8,-0.08849519557964712,-0.017487962960027748,-0.02170459946832582,0.004440426451106782,0.11231662745715265,-0.03764235179759809,-0.008268480765637055
GRN,-0.03268875410684554,0.033639518434750236,0.039046474566594234,0.06848437544409759,0.04646129635946089,0.025936629069837392,-0.0008845689071703708
MIA,0.023592702839033867,0.0064000197681140375,0.010491610758037163,0.009857242322557351,-0.06268738061787658,-0.06782024098648684,-0.045545552585384806
COL4A4,0.0027162258590661334,0.010677532739456187,0.0640902836009667,-0.012460603841137485,0.0912474189561407,-0.027030638089788356,0.17704356405196287
TAC1,-0.027718324894458007,-0.002063433499136638,0.02156431682847869,-0.03282496829018088,,,-0.06657067072995664
RARRES2,-0.014712237826973182,-0.002176417746269089,-0.035624359608180355,0.08705812741275355,-0.09608131325621416,0.0048552225047023174,0.07355927857722447
FGF7,-0.0016258412145346503,0.007690593867550839,-0.020786318136016516,0.06819488150641324,0.015382456197298704,0.06136429917865745,-0.05327414971299908
HBEGF,0.04306026582838015,0.01162577763216559,0.02860346632215177,0.05382137903381281,0.08600997544282346,-0.04995000574748407,0.034071675271466005
CSF3,0.05765162272650896,-0.01908505585235366,-0.049338033117864694,-0.013183079027081785,,,-0.02923016532637214
PI3,-0.039304545145158555,-0.01696870775832803,-0.0357008837829239,-0.014844320982303623,,,0.05381989727622145
PCSK1N,0.050251725532707,0.04748543926741755,0.0593137446801668,0.025864933432848236,0.030714080446005338,0.033336537179930514,-0.038262799941814606
NTS,,,-0.05617841633195138,-0.016203589934851895,,,
