,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.01503158539450933,,,,,-0.016360146360959907,
BMP1,0.024023736837307495,0.06617495834350308,-0.04389324745773461,0.0035642742707901838,0.002937496990811262,0.007990400313737834,-0.011065339833931813,-0.023839332179561492,0.040939466252301375,-0.0897750414666868,-0.03164665357723266,0.029513150377585375
NDP,0.06806898740287311,0.04189100518415134,-0.02046838625480411,0.0240243443713293,-0.00796423561509929,0.019504091166627918,0.027091051873412268,-0.014978770854390859,0.017177539145991575,0.04606217996367851,0.035473446228493306,0.06321545077249355
TNFSF18,0.00022504074222042664,0.03024104402865367,,,0.12019523989480348,0.11614826454703107,-0.015776938591090552,,,0.030254265260728896,-0.016871930168516444,-0.02211143845216355
RTN4,-0.045745555633316184,-0.027367684109739318,-0.01428555059814579,-0.0463698558166332,-0.005876688768691474,-0.10829857291033045,0.0431609452005215,-0.010031020497022002,-0.09690493068399983,-0.001450848555069638,0.03902515421753434,-0.04017584979360979
HEBP1,0.05495918595772238,0.0197385247707976,-0.02281832041429971,0.03456309756977579,-0.06433274941575112,0.01296274794130376,0.024103519472135876,0.038606757422952026,0.0846593539901869,-0.025466947383507677,-0.015420918518402358,0.04654163710621749
WNT7B,0.049984372132457086,0.045782537957965545,0.005334799200596745,0.005670234804801169,0.023292958354582966,-0.037464158791008714,0.02177470499231114,0.02330901938678634,,0.07324548902058833,-0.03528057088600327,-0.01159309572515499
PTMA,-0.09037539099169715,0.04382397512639502,0.03719142252453951,0.031782192090265934,-0.05855099039650345,-0.010797501648459825,0.035513405812667015,-0.006600313620576245,0.15483300699878583,0.08318211801206897,0.008624349043385583,-0.02456024607046741
FASLG,0.08956481403760773,,,,,,,,,,,
CEACAM1,0.00826950160511488,-0.01530031267374491,0.0007686441887291464,0.06036493233426885,,-0.002839641032059691,0.02189064149990639,,,,-0.02424320219880735,
PDAP1,0.11670007706158994,0.02423336431720693,0.009122407501907922,-0.02603902029671287,-0.04218005965444452,0.05225630900427922,0.019098688597543146,0.051758438213525125,-0.01322894380283411,0.022949022721076566,-0.03768527109709746,-0.011818693859911878
QDPR,-0.14783767626587238,-0.022168304748171132,-0.0007568973364858079,0.07048514979108556,0.03437225209474727,-0.08530972412848908,0.028831142102797188,0.05516362240491764,0.10419223078511403,-0.02793785490907439,-0.002532349743233068,0.008702971751668613
POMC,0.013478521370414926,-0.02718621456961703,-0.008558958938457224,-0.025969557042244452,-0.029113271725967546,0.06381683946884233,-0.018306311930186028,0.006689887301615394,0.00488179113074522,-0.047585057221956245,-0.041129981199453394,0.0838095389720675
CCL18,,,,,,,,,0.1290264037888155,,,
CCL17,,,-0.008760123629624056,,,,-0.0196769140986839,-0.03008961221532889,,,-0.021569907932758623,
VEGFD,,0.06774081685301954,0.09238998072068763,0.06798988181363352,,-0.025181937664858114,0.03300233853721724,-0.02207109444642868,-0.02186477651468885,,0.06649431127756028,
TNFSF13,,,0.00794474114734935,,-0.010701911194173,,,,,,-0.023130936770299752,-0.039092085304729296
WNT5A,0.1434878663214939,0.06985348761738323,0.011172023135659676,-0.06920360331718628,-0.03827651192686885,-0.001441747487142536,0.028086860085150933,0.0028581073048242344,-0.07146461469580276,0.028910140757522334,-0.006152097158432961,-0.029472094393923613
