,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.06276298455978058,,,,,,,-0.01497438319468192,,
BMP1,-0.04209296042086752,0.08842046835851784,0.0016040018607449643,0.01566055234026403,0.019996328663393206,-0.1530381290796985,-0.13956774822013832,-0.3820286392367134,-0.14087183246799717,-0.030734662275926843,-0.14603276767487333,-0.26482909449061004,-0.15949297353358996,-0.06834899107834427,0.020130821471584247,-0.05785454812633426,-0.003320740148979488
NDP,-0.05938099680265515,0.03165860141921672,-0.03500699436482012,-0.001225924629400328,0.0014559972311470573,0.15980194401058403,0.04240485629865664,-0.09517655902568996,-0.002299553634349189,0.04905217404792039,-0.14301329057463302,-0.08781120348609167,0.11573201734982404,0.02802735839192173,-0.005479553077021075,-0.0058989010124462435,0.028530551674195454
TNFSF18,-0.04311416437939081,0.01304746822380956,-0.006988102870794885,,,,0.021012209893039507,-0.0732427434331294,-0.027937276176346833,,,,,0.07518899072697446,0.10890729889787457,-0.07882744433289586,
IL36G,,,,,,,,,,,,-0.04532785572876563,,,,,
RTN4,0.37984553556593403,0.08316405993089668,0.042172756957116635,0.04251635345691502,0.0618189144850895,0.30189547476253575,0.2839726938723258,0.5029242206807272,0.1624600179374999,0.16430062676446397,0.4454539470059224,0.4199017523380988,-0.07098769277060342,0.11812466401207655,0.00982699740604919,0.4155625561885018,0.049615253824176246
HEBP1,-0.03922132168942751,0.04913557857550133,0.04639345269935279,0.022175800365432416,-0.02641577127206756,-0.008974413136693383,-0.12894354169449007,-0.19393752340996398,-0.013172186052073915,-0.021761362804913652,-0.24319502274702,-0.02948327765204691,-0.053435209601987145,-0.061075223662422226,-0.0054437458072630115,0.008795544134455843,-0.09411915465015816
WNT7B,0.39911383998845656,0.06730194830850164,0.008153054562258207,-0.010099349082044979,0.0010584672221855122,0.08410903401185317,0.09159675727729806,0.2767640909130407,-0.01688714610931224,0.08384890011111702,,0.1446801209226302,0.06972248385953352,0.112144454178269,-0.03196155867575692,0.10943682192779475,0.11288098872242094
PTMA,0.0010744809217061372,0.11376805523755117,-0.04830588069576649,0.02368324206987491,-0.010631569991023219,-0.1960653529828041,-0.29561809517656795,0.043175973134555415,0.09115379369298306,-0.1066480298079328,-0.5936169035582792,-0.43753026950864116,-0.10575737387762932,-0.03573960544626662,0.01749910709204185,-0.13618469937826752,-0.2841557238406744
FASLG,,,,,,,,,,,,,,,-0.012987277436162986,,
CEACAM1,,-0.014036440035305024,0.08295005586429055,,0.05267434472939573,0.0040299624437844786,,-0.10647438539243768,-0.00938907996645575,,,,0.001568725506559471,,-0.018069889068569617,,
PDAP1,-0.08105010640883613,0.01751911687615208,0.02590610085446539,-0.0202601772222049,0.03682503713007082,-0.13588064826293544,-0.11799232473098101,-0.25142682890536067,0.0009734329646245538,-0.018971134434206262,0.05625943823235583,-0.2257703769116801,-0.0957313035778753,0.014842328338785645,0.03587673845659944,-0.06758052753231061,0.003420297266292694
QDPR,0.16478410657935574,0.003125430502097502,0.1110966769633791,0.061001549352326205,-0.0010670983296836413,0.23775821802827243,0.1860333989513012,0.15409391180053594,0.10276455915529842,0.016975558243505242,-0.460525737361431,0.05964567445576802,0.0348423819080022,-0.09538751959317554,-0.008710319705990994,0.27510988087757454,-0.13391458507744028
POMC,0.18648406950711058,0.03535625024553308,-0.03770083720253635,,0.01324058653180993,0.17196933239024373,0.04572357196827856,0.03398708478437655,-0.02921935396478797,0.014915781967634574,-0.10258186636444604,0.07941383024666016,-0.003842991161986412,,-0.00636501255357081,-0.0026108664954445897,-0.027208166662624145
CCL18,0.06951672961488439,-0.028423685965759112,,,,,,,,,-0.22329265785429817,,0.004103069990417535,,,,
CCL17,,,,,-0.013714485920880592,,,,0.025292969599289016,-0.005604879609090653,,0.014466010375809184,,,0.022842939102736073,,
VEGFD,-0.00019851562315210337,0.0225682577483263,-0.030390396150988513,,0.0012367039308475384,0.0197081092508941,,-0.09776584999056154,0.030437404324751876,0.07431481924417808,0.03592337827229326,0.0020201087384539673,,,,,
TNFSF13,,0.021233291710978822,,,-0.006652369360307641,,0.004897735311031107,,,,,,-0.020634691381300172,,-0.019180690197813637,0.048614856662831066,
WNT5A,-0.030835211931916573,0.016336976053716486,-0.004199698666353739,0.03472793254462836,0.06741670339762022,-0.13414453751050887,-0.2107953582632776,-0.3342788975470581,-0.02765363727222694,-0.08486087268370429,0.05224063633754417,-0.0661857582128664,-0.052403587941362795,-0.01555972987548885,0.06795325258163873,-0.14011168002016175,0.06704980754410539
CXCL8,-0.10722664722019574,-0.03277425211390115,-0.028455765659559165,-0.06311795741807948,0.0057111684251632145,-0.10596123797893754,-0.06492353938829795,-0.10844793644846307,-0.12057617558701272,0.0018829441079492235,-0.19184544250297736,-0.0962708972714563,0.01625507252121864,0.023450044963552828,-0.002242401694171448,-0.15680821621046873,0.01754558817958398
GRN,-0.07761549647836154,0.02278570071474973,-0.07406813627693505,0.062433269524716895,-0.0636892537840601,-0.1478803168457412,-0.1847544514403153,-0.3852944300536341,0.03711822785168669,-0.049094131389375587,-0.4001653310589215,0.02793811790431045,-0.05777501779735819,0.02769802072482086,0.0095284328678901,0.10614712511096795,-0.021135483642637478
MIA,0.003102806188459577,-0.023489529445209316,-0.003241594597520488,-0.038340768738946464,0.0025616495008883495,-0.08612623711823167,-0.03297448030036201,-0.12209256963853742,-0.08838125193447141,0.0018961538443889386,,-0.022471852943248476,-0.1377515877113034,,0.005015017469052786,-0.1079679183447678,
COL4A4,-0.031180599214202506,-0.014985938105216399,-0.016462367203113493,-0.03837097058450882,0.011958183264325144,-0.14365998832202356,-0.07268000119449361,0.013111387744844246,0.046124753738019844,0.025992216941365026,,-0.05895734514149302,-0.03703340802819424,,0.1279047525343604,-0.05095520707098427,
TAC1,0.3711292785738427,0.19399413356718956,0.03236524277056938,0.16002187203806015,0.20087708105063729,0.3974331458437385,0.35762582771461005,0.5072842932425516,0.29112468165529964,0.07280204722636205,0.3611967641912685,0.42469024366759567,0.33816766281243354,0.08045018312855633,0.12104876908123373,0.31914025895363296,0.31484517030688824
RARRES2,0.017650224088304103,-0.07974226634787604,-0.035389025830374364,-0.01812723767371839,0.09368769076798997,-0.22996499010193705,-0.21853305928724298,-0.43613090443697206,0.1296510230968534,0.013479750322605191,-0.17694124266033362,-0.19270844186274574,-0.0638473255785404,-0.025276817241941443,0.06928781478102357,-0.1339116408196808,0.11830604421504887
FGF7,-0.007265441470072818,,-0.034301181481699514,-0.045629818764192184,0.058930537169451194,0.19045497807792097,-0.0007613204109177755,-0.09958868323038325,-0.04359444640606223,0.06789731685688141,0.03816935653840252,-0.028931370547213422,-0.058187101396840774,0.09428690469643886,0.0535566472310551,0.04883643457977398,-0.10177735736223432
HBEGF,-0.04179310573283552,0.07569709551171389,-0.02772911325949054,-0.07790457590900228,-0.03461057042158342,-0.14339504720520702,-0.14460227795737557,-0.1389919074002617,-0.17435634860332844,-0.037032564938376256,-0.21371757834144656,-0.03961693869919853,-0.05215305233411148,0.016026121072808555,-0.023817379862714313,-0.11396971121692175,-0.0003992751168730085
