,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.019781367438955734,,,,,,,,,-0.03837781452649335,
BMP1,-0.0259239849720028,0.019005848083851903,-0.014676828781370015,0.029490905408494757,0.021301123792532628,0.11241040123003199,-0.009870511885644844,-0.033164429596317664,0.071575086854387,-0.035603699092763876,-0.002011660160651017,0.046015441215457045,-0.02721606693974491,0.015155342515451543,0.09925219216625183,0.0073708243036752965
NDP,-0.04263084011506061,0.010720917542522596,-0.018254632894183703,-0.0006455960097396386,-0.006983665477401341,0.03777837186819487,0.030463988581906437,-0.016213069400544074,0.10882658687375935,0.04682854404730635,0.010361198673061933,0.01577837325245587,0.05589930265489949,-0.029129221331984295,0.024294043399712275,-0.04826159638374289
TNFSF18,-0.026454312323267722,-0.033469245348361695,-0.0033903578394927185,,,0.023585358740771698,-0.018888983219000743,,-0.037248037976043695,,-0.04352269688758497,,,,0.029441241175397106,-0.03202298083396501
RTN4,0.019785309240249394,-0.00200837915027348,-0.06150304499544042,-0.012684771441427028,-0.016324416098680624,-0.12651321448796915,0.009773356302608815,-0.07223822621566503,-0.0669377215615739,-0.03521507904890026,0.039521969228202704,0.01736213274974453,-0.05313055721528258,-0.012557580135370063,0.02154488521118223,-0.05806587781424908
HEBP1,0.004617047925317423,0.050377383843963786,-0.012918986468908914,3.187298044619868e-05,-0.039390762588486936,0.09901358257193327,-0.010646035040175326,-0.05033682445163388,-0.027358769607986094,0.025971106069536416,-0.02269586897098432,0.03733724809861493,0.06206967946577936,-0.03489820693640235,-0.00571180279126287,-0.02911087588106173
WNT7B,-0.002933511660815516,-0.049530811891991496,-0.020649629441043833,-0.014585951569993944,0.048344862641246954,-0.004435155722172786,0.05553697528313452,,-0.004767854682516703,0.11616485699245803,,0.0392907733044847,0.07056038358455594,-0.020366673885378588,0.07296780525475145,-0.014485339063129626
PTMA,0.0269768755930475,0.025350838695876537,0.00032135420145103347,-0.028597737919899696,0.01157194849099675,-0.0681239722246595,0.010837611999038205,0.02896237151857418,0.009255569319813521,-0.02042664449445553,-0.009474932463763986,-0.03315576783319832,-0.04900016447751202,0.05915861010361366,-0.005705790566338938,-0.010574315885351581
FASLG,-0.023305427173078718,,,,,,,,,,,,,,0.06237510615957241,
CEACAM1,0.07307203099290215,-0.021302257416233674,-0.01584734860442191,-0.020986514502796778,0.01340195036500793,-0.03865548056089722,0.009986456320189801,,,0.009476728092673005,0.029831157410839425,0.014367432926861606,-0.0013097632148056206,-0.01351765766452986,-0.04631127988190937,
PDAP1,0.019103416039182787,0.041698984762257106,0.007364553989303886,-0.03956092884437236,-0.04234724174600499,0.08838717846741417,0.0009679037922623706,-0.012800621760253175,0.003234299647650096,-0.19409291341168772,0.042202844264771604,-0.0026692665605746856,0.011937102868465301,-0.02901999928600407,-0.06440633583266406,-0.010848378877205234
